Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
masaaki futamo,3,11 か月前,川沿いに桜の木がありますが、紅葉の木は見当たりません。橋の欄干や手摺に紅葉の模様が一杯。この付近一帯、昔は紅葉の名所であったようです。,紅葉橋,"
〒114-0023 東京都北区王子本町１丁目８−５",Unknown,Unknown,"3.7
(16)",お店やスポットの電話番号を追加する,〒114-0023 東京都北区王子本町１丁目８−５,35.7524776,139.7303421
masaaki futamo,3,11 か月前,川沿いに桜の木がありますが、紅葉の木は見当たりません。橋の欄干や手摺に紅葉の模様が一杯。この付近一帯、昔は紅葉の名所であったようです。,紅葉橋,"
〒114-0023 東京都北区王子本町１丁目８−５",Unknown,Unknown,"3.7
(16)",お店やスポットの電話番号を追加する,〒114-0023 東京都北区王子本町１丁目８−５,35.7524776,139.7303421
K G,5,1 年前,"4月上旬、川沿いの桜が良い感じに咲いておりました。
日本の春をしっかりと感じられるスポットです。",紅葉橋,"
〒114-0023 東京都北区王子本町１丁目８−５",Unknown,Unknown,"3.7
(16)",お店やスポットの電話番号を追加する,〒114-0023 東京都北区王子本町１丁目８−５,35.7524776,139.7303421
K G,5,1 年前,"4月上旬、川沿いの桜が良い感じに咲いておりました。
日本の春をしっかりと感じられるスポットです。",紅葉橋,"
〒114-0023 東京都北区王子本町１丁目８−５",Unknown,Unknown,"3.7
(16)",お店やスポットの電話番号を追加する,〒114-0023 東京都北区王子本町１丁目８−５,35.7524776,139.7303421
中Chan,5,2 年前,通常橋の上から水面まで高さがあります。紅葉橋の名の通り欄干は紅葉柄で風情があります,紅葉橋,"
〒114-0023 東京都北区王子本町１丁目８−５",Unknown,Unknown,"3.7
(16)",お店やスポットの電話番号を追加する,〒114-0023 東京都北区王子本町１丁目８−５,35.7524776,139.7303421
中Chan,5,2 年前,通常橋の上から水面まで高さがあります。紅葉橋の名の通り欄干は紅葉柄で風情があります,紅葉橋,"
〒114-0023 東京都北区王子本町１丁目８−５",Unknown,Unknown,"3.7
(16)",お店やスポットの電話番号を追加する,〒114-0023 東京都北区王子本町１丁目８−５,35.7524776,139.7303421
久保修,3,5 年前,コンクリートの橋ですが、朱色、紅葉の模様が素敵な橋でした。,紅葉橋,"
〒114-0023 東京都北区王子本町１丁目８−５",Unknown,Unknown,"3.7
(16)",お店やスポットの電話番号を追加する,〒114-0023 東京都北区王子本町１丁目８−５,35.7524776,139.7303421
久保修,3,5 年前,コンクリートの橋ですが、朱色、紅葉の模様が素敵な橋でした。,紅葉橋,"
〒114-0023 東京都北区王子本町１丁目８−５",Unknown,Unknown,"3.7
(16)",お店やスポットの電話番号を追加する,〒114-0023 東京都北区王子本町１丁目８−５,35.7524776,139.7303421
satoshi kaimoto (kii),5,4 年前,近くにお寺があり川岸に桜、そして多種な樹木があり、素敵な場所です。桜の季節、秋の紅葉いずれも絵になるお気に入りの場所です。,紅葉橋,"
〒114-0023 東京都北区王子本町１丁目８−５",Unknown,Unknown,"3.7
(16)",お店やスポットの電話番号を追加する,〒114-0023 東京都北区王子本町１丁目８−５,35.7524776,139.7303421
satoshi kaimoto (kii),5,4 年前,近くにお寺があり川岸に桜、そして多種な樹木があり、素敵な場所です。桜の季節、秋の紅葉いずれも絵になるお気に入りの場所です。,紅葉橋,"
〒114-0023 東京都北区王子本町１丁目８−５",Unknown,Unknown,"3.7
(16)",お店やスポットの電話番号を追加する,〒114-0023 東京都北区王子本町１丁目８−５,35.7524776,139.7303421
