Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Mr Gon,4,6 年前,東急線の緑が丘駅から徒歩で数分です。こじんまりとした公園ですが遊具も有ります。トイレ在り。,緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
Mr Gon,4,6 年前,東急線の緑が丘駅から徒歩で数分です。こじんまりとした公園ですが遊具も有ります。トイレ在り。,緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
CoCo Moco,3,4 年前,"緑ヶ丘駅から徒歩5,6分にある公園。ブランコ、滑り台、砂場、おうまの乗り物、おむつ交換台付お手洗い有。

【良い点】
◎ブランコの椅子２つのうち一つがベビー用なので支えてあげなくても安心して乗せてあげられること。
◎滑り台も低めで、小さい子供にも安心な高さかつ、滑る部分の板が金属ではなく、プラスチックなので、夏場高温になりにくい。
◎常時あまり混んでいないので三密を避けれる。

【残念な点】
◎砂場の上に屋根がない為、夏場は昼間日差しが当たりすぎて暑すぎて子供達が可哀想。
帽子をかぶせてもかなり直射日光にさらされます。砂場の位置を反対側の木の下あたりに移動するか、現在の位置をキープするのであれば、雨避けにもなるので、屋根をつけて頂きたいです。

◎園内は禁煙🚭との記載が入り口にあるにもかかわらず、頻繁に道路整備のユニフォームを着た方が公園内でたばこを吸っている姿をみかけます。
一番残念なのはそのタバコの吸殻が大量に公園内に捨てられている点です。万が一子供が広い口に入れてしまったらと思うと恐ろしいです。",緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
CoCo Moco,3,4 年前,"緑ヶ丘駅から徒歩5,6分にある公園。ブランコ、滑り台、砂場、おうまの乗り物、おむつ交換台付お手洗い有。

【良い点】
◎ブランコの椅子２つのうち一つがベビー用なので支えてあげなくても安心して乗せてあげられること。
◎滑り台も低めで、小さい子供にも安心な高さかつ、滑る部分の板が金属ではなく、プラスチックなので、夏場高温になりにくい。
◎常時あまり混んでいないので三密を避けれる。

【残念な点】
◎砂場の上に屋根がない為、夏場は昼間日差しが当たりすぎて暑すぎて子供達が可哀想。
帽子をかぶせてもかなり直射日光にさらされます。砂場の位置を反対側の木の下あたりに移動するか、現在の位置をキープするのであれば、雨避けにもなるので、屋根をつけて頂きたいです。

◎園内は禁煙🚭との記載が入り口にあるにもかかわらず、頻繁に道路整備のユニフォームを着た方が公園内でたばこを吸っている姿をみかけます。
一番残念なのはそのタバコの吸殻が大量に公園内に捨てられている点です。万が一子供が広い口に入れてしまったらと思うと恐ろしいです。",緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
土田久美子,3,4 年前,朝は、幼稚園生がいっぱい。他は空いているので花見でぼ―っとスポット。夏は盆踊りで盛り上がる。,緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
土田久美子,3,4 年前,朝は、幼稚園生がいっぱい。他は空いているので花見でぼ―っとスポット。夏は盆踊りで盛り上がる。,緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
株式会社大口工務店,5,6 年前,暗くて蚊が多くてさびしいよ。でもトイレがあるよ。今度きれいになるらしいよ,緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
株式会社大口工務店,5,6 年前,暗くて蚊が多くてさびしいよ。でもトイレがあるよ。今度きれいになるらしいよ,緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
天啓,5,5 年前,"トイレもあり、
近くにコンビニもあり
椅子4つあり
滑り台あり
めちゃくちゃ良かった！！！",緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
天啓,5,5 年前,"トイレもあり、
近くにコンビニもあり
椅子4つあり
滑り台あり
めちゃくちゃ良かった！！！",緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
KM,5,1 年前,子供のお気に入りの公園です。,緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
KM,5,1 年前,子供のお気に入りの公園です。,緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
R Z (凌舞),3,7 年前,とても静かな小さな公園,緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
R Z (凌舞),3,7 年前,とても静かな小さな公園,緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
田中隼人,1,3 年前,      3 年前,緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
田中隼人,1,3 年前,      3 年前,緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
水田絢子,1,4 年前,     4 年前,緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
水田絢子,1,4 年前,     4 年前,緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
Genki K,3,4 年前,      4 年前,緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
Genki K,3,4 年前,      4 年前,緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
Shogo Kurasawa,5,5 年前,      5 年前,緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
Shogo Kurasawa,5,5 年前,      5 年前,緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
宮脇尚哉,3,5 年前,      5 年前,緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
宮脇尚哉,3,5 年前,      5 年前,緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
小林沙也加,4,5 年前,      5 年前,緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
小林沙也加,4,5 年前,      5 年前,緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
昌浩熊田,4,5 年前,      5 年前,緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
昌浩熊田,4,5 年前,      5 年前,緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
Yoko Yoko,5,5 年前,      5 年前,緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
Yoko Yoko,5,5 年前,      5 年前,緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
n asa,5,6 年前,      6 年前,緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
n asa,5,6 年前,      6 年前,緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
大津美由紀,1,6 年前,      6 年前,緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
大津美由紀,1,6 年前,      6 年前,緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
豊岡田,3,6 年前,      6 年前,緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
豊岡田,3,6 年前,      6 年前,緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
Y O,5,6 年前,      6 年前,緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
Y O,5,6 年前,      6 年前,緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
田中泰憲,1,7 年前,      7 年前,緑が丘児童遊園,"
〒152-0034 東京都目黒区緑が丘１丁目１３",Unknown,Unknown,"3.4
(21)",お店やスポットの電話番号を追加する,公園,35.609283,129.9217732
