Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
S Y,5,3 週間前,"久しぶりに美味しい焼肉を食べたくなり、「羅生門 四谷本店」へ。アラカルトで好きなものを注文。どの部位も肉質が良く、丁寧にカットされていて、食べる前から期待が高まる。

焼きながら感じたのは、お肉のポテンシャルの高さ。脂のノリが絶妙で、焼き加減によって食感や旨みが変わるのが楽しい。タレや塩もシンプルながら計算されていて、どれもバランスがいい。

特に印象に残ったのは、オーナーさんの対応。気さくで話しやすく、美味しく焼くコツを教えてくれたり、ちょっとした豆知識を教えてくれたりと、焼肉をより楽しめる雰囲気を作ってくれる。こういう接客があると、また来たくなる。

店内は落ち着いた雰囲気で、大人の焼肉時間を楽しめる空間。焼肉好きにはたまらないお店だった。また食べに行こうと思う。

━━━━━━━━━━━━━━━━━━━━

#羅生門四谷本店 #四谷グルメ #四谷焼肉 #焼肉好き #焼肉ディナー #肉好きと繋がりたい #美味しい焼肉 #東京焼肉 #隠れ家グルメ #こだわりのお肉 #絶品焼肉 #焼肉時間 #お肉大好き #至福の時間 #四谷ディナー #食べログ高評価 #リピート確定 #焼肉とワイン #贅沢ごはん #大人の焼肉 #グルメ好きな人と繋がりたい #焼肉巡り #旨いもの巡り #また行きたいお店 #幸せな食卓",羅生門,"
〒160-0006 東京都新宿区舟町７−１４ ダイアパレス四谷舟町 １階","
03-3359-9675",http://www.rashomon.net/,"4.4
(323)",Unknown,〒160-0006 東京都新宿区舟町７−１４ ダイアパレス四谷舟町 １階,35.6895719,139.7206388
S Y,5,3 週間前,"久しぶりに美味しい焼肉を食べたくなり、「羅生門 四谷本店」へ。アラカルトで好きなものを注文。どの部位も肉質が良く、丁寧にカットされていて、食べる前から期待が高まる。

焼きながら感じたのは、お肉のポテンシャルの高さ。脂のノリが絶妙で、焼き加減によって食感や旨みが変わるのが楽しい。タレや塩もシンプルながら計算されていて、どれもバランスがいい。

特に印象に残ったのは、オーナーさんの対応。気さくで話しやすく、美味しく焼くコツを教えてくれたり、ちょっとした豆知識を教えてくれたりと、焼肉をより楽しめる雰囲気を作ってくれる。こういう接客があると、また来たくなる。

店内は落ち着いた雰囲気で、大人の焼肉時間を楽しめる空間。焼肉好きにはたまらないお店だった。また食べに行こうと思う。

━━━━━━━━━━━━━━━━━━━━

#羅生門四谷本店 #四谷グルメ #四谷焼肉 #焼肉好き #焼肉ディナー #肉好きと繋がりたい #美味しい焼肉 #東京焼肉 #隠れ家グルメ #こだわりのお肉 #絶品焼肉 #焼肉時間 #お肉大好き #至福の時間 #四谷ディナー #食べログ高評価 #リピート確定 #焼肉とワイン #贅沢ごはん #大人の焼肉 #グルメ好きな人と繋がりたい #焼肉巡り #旨いもの巡り #また行きたいお店 #幸せな食卓",羅生門,"
〒160-0006 東京都新宿区舟町７−１４ ダイアパレス四谷舟町 １階","
03-3359-9675",http://www.rashomon.net/,"4.4
(323)",Unknown,〒160-0006 東京都新宿区舟町７−１４ ダイアパレス四谷舟町 １階,35.6895719,139.7206388
R,5,10 か月前,"先輩に連れて行っていただきました羅生門。
1人遅れるとのことでセン刺しやポパイサラダを注文。ポパイサラダ＝ほうれん草サラダはごま油たっぷりでビールに合う！
名物の梅タンは紫蘇を巻いてあっさりといただく。これまた新しい発見です。何枚でも食べられそう。でもやっぱりネギ好きなのでたん元中心のスペシャルネギタンを追加注文。流石に最高にうまい。
キムチの盛り合わせはニラキムチが絶品でした。
個人的No. 1はヒレです。ほぼステーキをレアで濃厚な旨みタレとニンニクとライスといただく。
至福の時間でした。
ホルモン、ハラミ、上ミノどれも臭みなく、新鮮な焼き肉。
〆のアサリスープも脂を良きに流してくれ2次会へ連れて行ってくれました！
肉をガッツリ食べたい時におすすめです！
老舗なので安心ですよ！飲み物コスパも良いです！",羅生門,"
〒160-0006 東京都新宿区舟町７−１４ ダイアパレス四谷舟町 １階","
03-3359-9675",http://www.rashomon.net/,"4.4
(323)",Unknown,〒160-0006 東京都新宿区舟町７−１４ ダイアパレス四谷舟町 １階,35.6895719,139.7206388
R,5,10 か月前,"先輩に連れて行っていただきました羅生門。
1人遅れるとのことでセン刺しやポパイサラダを注文。ポパイサラダ＝ほうれん草サラダはごま油たっぷりでビールに合う！
名物の梅タンは紫蘇を巻いてあっさりといただく。これまた新しい発見です。何枚でも食べられそう。でもやっぱりネギ好きなのでたん元中心のスペシャルネギタンを追加注文。流石に最高にうまい。
キムチの盛り合わせはニラキムチが絶品でした。
個人的No. 1はヒレです。ほぼステーキをレアで濃厚な旨みタレとニンニクとライスといただく。
至福の時間でした。
ホルモン、ハラミ、上ミノどれも臭みなく、新鮮な焼き肉。
〆のアサリスープも脂を良きに流してくれ2次会へ連れて行ってくれました！
肉をガッツリ食べたい時におすすめです！
老舗なので安心ですよ！飲み物コスパも良いです！",羅生門,"
〒160-0006 東京都新宿区舟町７−１４ ダイアパレス四谷舟町 １階","
03-3359-9675",http://www.rashomon.net/,"4.4
(323)",Unknown,〒160-0006 東京都新宿区舟町７−１４ ダイアパレス四谷舟町 １階,35.6895719,139.7206388
石室正輝,4,2 か月前,"羅生門🍖
焼肉好きな友達たちと行きました✨
とても美味しかったです😆",羅生門,"
〒160-0006 東京都新宿区舟町７−１４ ダイアパレス四谷舟町 １階","
03-3359-9675",http://www.rashomon.net/,"4.4
(323)",Unknown,〒160-0006 東京都新宿区舟町７−１４ ダイアパレス四谷舟町 １階,35.6895719,139.7206388
石室正輝,4,2 か月前,"羅生門🍖
焼肉好きな友達たちと行きました✨
とても美味しかったです😆",羅生門,"
〒160-0006 東京都新宿区舟町７−１４ ダイアパレス四谷舟町 １階","
03-3359-9675",http://www.rashomon.net/,"4.4
(323)",Unknown,〒160-0006 東京都新宿区舟町７−１４ ダイアパレス四谷舟町 １階,35.6895719,139.7206388
yoshihiro murakami / L3TB,4,1 年前,"久しぶりの再訪
夜のディナー難民となり急遽訪問。昔は深夜までやってたのにラストオーダーも随分早くなってしまってるようです。
しかもこの日もハラミなし。悲しい。ハラミが食べたい時は事前確認しないとこちらのハラミがどんどん人気になってるのか確率的に50%くらいになってる気がする。

四谷三丁目にある老舗の焼肉屋さん羅生門。この日は久しぶりに都内に出たのでどうしても行きたくなって訪問。土地柄テレビ関係者が多く来店していたイメージですがコロナ禍の影響か今は深夜帯の営業はしてないそうで営業時間だ短縮されてるみたい。お肉でオススメはハラミだけど売り切れ注意なので来店前に電話で確認すべき！万が一売り切れでもサイドメニューも全てハズレがないので安心してオーダーできる！突き出しのアサリから食後のデザートのゼリー何気ない定番メニューも他ではあまり見ないメニューで記憶に残る焼肉屋さん。スタッフさんも蝶ネクタイのダウンスタイル。老舗の気持ちいい接客に安定の美味しさ。値段が少し高く感じるかもしれないがサービスと味、共に高いレベルなのでどうでも良い焼肉屋さんに払うより全然満足度が違う。定期的に行きたくなるお店でオススメです。",羅生門,"
〒160-0006 東京都新宿区舟町７−１４ ダイアパレス四谷舟町 １階","
03-3359-9675",http://www.rashomon.net/,"4.4
(323)",Unknown,〒160-0006 東京都新宿区舟町７−１４ ダイアパレス四谷舟町 １階,35.6895719,139.7206388
yoshihiro murakami / L3TB,4,1 年前,"久しぶりの再訪
夜のディナー難民となり急遽訪問。昔は深夜までやってたのにラストオーダーも随分早くなってしまってるようです。
しかもこの日もハラミなし。悲しい。ハラミが食べたい時は事前確認しないとこちらのハラミがどんどん人気になってるのか確率的に50%くらいになってる気がする。

四谷三丁目にある老舗の焼肉屋さん羅生門。この日は久しぶりに都内に出たのでどうしても行きたくなって訪問。土地柄テレビ関係者が多く来店していたイメージですがコロナ禍の影響か今は深夜帯の営業はしてないそうで営業時間だ短縮されてるみたい。お肉でオススメはハラミだけど売り切れ注意なので来店前に電話で確認すべき！万が一売り切れでもサイドメニューも全てハズレがないので安心してオーダーできる！突き出しのアサリから食後のデザートのゼリー何気ない定番メニューも他ではあまり見ないメニューで記憶に残る焼肉屋さん。スタッフさんも蝶ネクタイのダウンスタイル。老舗の気持ちいい接客に安定の美味しさ。値段が少し高く感じるかもしれないがサービスと味、共に高いレベルなのでどうでも良い焼肉屋さんに払うより全然満足度が違う。定期的に行きたくなるお店でオススメです。",羅生門,"
〒160-0006 東京都新宿区舟町７−１４ ダイアパレス四谷舟町 １階","
03-3359-9675",http://www.rashomon.net/,"4.4
(323)",Unknown,〒160-0006 東京都新宿区舟町７−１４ ダイアパレス四谷舟町 １階,35.6895719,139.7206388
りり,5,9 か月前,"テレビでGACKTさんがここの上ハラミが1番おいしいとのことで伺いました。上ハラミは売り切れでしたが並のハラミでも柔らかくて肉そのものに味があっておいしさが溢れてハラミの概念が変わり、驚きました！千枚刺しや豚足の煮こごり、ロースにんにく、上カルビ上タン（スペシャル）上ロース、キムチ盛り、上ミノ、スペシャルミノ、どれもおいしく言わなくても網の交換などサービスも行き届いていてこの場所でこの値段は👍最後のデザートもカルピスみたいなゼリーもおいしかったです。今の時代食後のデザートと温かいお茶出してくれるところは少なくなったと思います。ちなみにユッケは馬でした。あのハラミを上ハラミと言っても全く問題ないレベルだと思いましたが正直なお店なんだなと感心しました。上ハラミ食べにまた行きます。てか、並のハラミで充分だなあ‥
ケジャンなどもあり大当たりな焼肉屋さんでした！ご馳走さまでした。

補足です‥
知り合いの肉屋さんに美味しいハラミ食べたと伝えたところ写真ありますか？
‥！？見せたところ、これはハラミではなくてカルビに付いているソト身だとかウチ身？だとか説明してもらいました‥。専門用語や部位は素人なのであんまり理解できませんでしたが、なるほど知らない人はハラミじゃない部位でもハラミと言われたらハラミと思いますよね！ここのお店がどうかはわかりませんけど美味しかったので大満足でした！",羅生門,"
〒160-0006 東京都新宿区舟町７−１４ ダイアパレス四谷舟町 １階","
03-3359-9675",http://www.rashomon.net/,"4.4
(323)",Unknown,〒160-0006 東京都新宿区舟町７−１４ ダイアパレス四谷舟町 １階,35.6895719,139.7206388
りり,5,9 か月前,"テレビでGACKTさんがここの上ハラミが1番おいしいとのことで伺いました。上ハラミは売り切れでしたが並のハラミでも柔らかくて肉そのものに味があっておいしさが溢れてハラミの概念が変わり、驚きました！千枚刺しや豚足の煮こごり、ロースにんにく、上カルビ上タン（スペシャル）上ロース、キムチ盛り、上ミノ、スペシャルミノ、どれもおいしく言わなくても網の交換などサービスも行き届いていてこの場所でこの値段は👍最後のデザートもカルピスみたいなゼリーもおいしかったです。今の時代食後のデザートと温かいお茶出してくれるところは少なくなったと思います。ちなみにユッケは馬でした。あのハラミを上ハラミと言っても全く問題ないレベルだと思いましたが正直なお店なんだなと感心しました。上ハラミ食べにまた行きます。てか、並のハラミで充分だなあ‥
ケジャンなどもあり大当たりな焼肉屋さんでした！ご馳走さまでした。

補足です‥
知り合いの肉屋さんに美味しいハラミ食べたと伝えたところ写真ありますか？
‥！？見せたところ、これはハラミではなくてカルビに付いているソト身だとかウチ身？だとか説明してもらいました‥。専門用語や部位は素人なのであんまり理解できませんでしたが、なるほど知らない人はハラミじゃない部位でもハラミと言われたらハラミと思いますよね！ここのお店がどうかはわかりませんけど美味しかったので大満足でした！",羅生門,"
〒160-0006 東京都新宿区舟町７−１４ ダイアパレス四谷舟町 １階","
03-3359-9675",http://www.rashomon.net/,"4.4
(323)",Unknown,〒160-0006 東京都新宿区舟町７−１４ ダイアパレス四谷舟町 １階,35.6895719,139.7206388
