Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
見風使舵,4,6 か月前,美和ダムは国土交通省直轄ダムで最初の特定多目的ダムです。ダム湖は美和湖で三峰川水系県立公園に指定されておりダム湖百選にも選ばれています。美和ダム管理支所1階には　みわっこ　があり、入館自由で年中無休8時30分〜17時15分、トイレもあり美和ダムの歴史から美和ダムの紹介、いろなパネル、写真の展示を見る事が出来ます。普通のダムに思えるかもしれませんが、発電所や上流には美和ダム土砂ストックヤード､三峰堰、ダム下流には美和ダム土砂バイパストンネル吐口など他のダムでは見られない構造物もあります。ダム展望台は通行禁止でしたが、ダム下流右下には小さな公園もあります。,美和ダム,"
〒396-0401 長野県伊那市高遠町勝間","
0265-98-2111",https://www.cbr.mlit.go.jp/tendamu/,"4.1
(87)",Unknown,堰,35.7909409,138.080089
見風使舵,4,6 か月前,美和ダムは国土交通省直轄ダムで最初の特定多目的ダムです。ダム湖は美和湖で三峰川水系県立公園に指定されておりダム湖百選にも選ばれています。美和ダム管理支所1階には　みわっこ　があり、入館自由で年中無休8時30分〜17時15分、トイレもあり美和ダムの歴史から美和ダムの紹介、いろなパネル、写真の展示を見る事が出来ます。普通のダムに思えるかもしれませんが、発電所や上流には美和ダム土砂ストックヤード､三峰堰、ダム下流には美和ダム土砂バイパストンネル吐口など他のダムでは見られない構造物もあります。ダム展望台は通行禁止でしたが、ダム下流右下には小さな公園もあります。,美和ダム,"
〒396-0401 長野県伊那市高遠町勝間","
0265-98-2111",https://www.cbr.mlit.go.jp/tendamu/,"4.1
(87)",Unknown,堰,35.7909409,138.080089
p-t-f,4,5 か月前,"堤頂長367.5m、堤高69.1mとまずまずの大きさの多目的ダム。
ダム湖は「美和湖」の名称でダム湖百選となっています。",美和ダム,"
〒396-0401 長野県伊那市高遠町勝間","
0265-98-2111",https://www.cbr.mlit.go.jp/tendamu/,"4.1
(87)",Unknown,堰,35.7909409,138.080089
p-t-f,4,5 か月前,"堤頂長367.5m、堤高69.1mとまずまずの大きさの多目的ダム。
ダム湖は「美和湖」の名称でダム湖百選となっています。",美和ダム,"
〒396-0401 長野県伊那市高遠町勝間","
0265-98-2111",https://www.cbr.mlit.go.jp/tendamu/,"4.1
(87)",Unknown,堰,35.7909409,138.080089
写真好人。,5,5 か月前,"意外と光が多いかな〜！？

だけれども？
狙った天の川が撮れるのはめちゃめちゃ嬉しい(^o^)

深夜のダムはビビるけれども？
ここは何故か安心できるかな？(^o^)

もう少し〜ダムの放流口と天の川を撮りたかったけど〜
夜中に行ったので道がわからなく（笑）
きっと探せばあったのだろーけど！！
ライトを照らしながらだとちょっとキツかったなぁ〜(*´꒳`*)

次回は昼間に下調べしてからベスポジで天の川を狙いたいと思います(^o^)

2024/11//16
再訪問
紅葉を見にきたよぉ〜(*´꒳`*)
土曜日なのに誰も居なくて最高〜(*´꒳`*)",美和ダム,"
〒396-0401 長野県伊那市高遠町勝間","
0265-98-2111",https://www.cbr.mlit.go.jp/tendamu/,"4.1
(87)",Unknown,堰,35.7909409,138.080089
写真好人。,5,5 か月前,"意外と光が多いかな〜！？

だけれども？
狙った天の川が撮れるのはめちゃめちゃ嬉しい(^o^)

深夜のダムはビビるけれども？
ここは何故か安心できるかな？(^o^)

もう少し〜ダムの放流口と天の川を撮りたかったけど〜
夜中に行ったので道がわからなく（笑）
きっと探せばあったのだろーけど！！
ライトを照らしながらだとちょっとキツかったなぁ〜(*´꒳`*)

次回は昼間に下調べしてからベスポジで天の川を狙いたいと思います(^o^)

2024/11//16
再訪問
紅葉を見にきたよぉ〜(*´꒳`*)
土曜日なのに誰も居なくて最高〜(*´꒳`*)",美和ダム,"
〒396-0401 長野県伊那市高遠町勝間","
0265-98-2111",https://www.cbr.mlit.go.jp/tendamu/,"4.1
(87)",Unknown,堰,35.7909409,138.080089
TTT III,4,8 か月前,"ダム巡り：長野-美和ダム。（202408F）
重力式コンクリートダム、 高さ42メートル、堤頂長147メートル。  天竜川水系三峰川 に建設された 洪水調節・灌漑・発電 を目的とした多目的ダム。 美和湖はダム湖百選に選ばれており、湖の奥に連なる山々が美しい。 天端からは見えないが、ダムから400m下流には土砂バイパス吐口がある。 水がものすごい勢いで流れ出る様子は見ていて圧倒される。
ダムカード：美和ダム管理支所内学習センター（みわっこ） にて配布中。",美和ダム,"
〒396-0401 長野県伊那市高遠町勝間","
0265-98-2111",https://www.cbr.mlit.go.jp/tendamu/,"4.1
(87)",Unknown,堰,35.7909409,138.080089
TTT III,4,8 か月前,"ダム巡り：長野-美和ダム。（202408F）
重力式コンクリートダム、 高さ42メートル、堤頂長147メートル。  天竜川水系三峰川 に建設された 洪水調節・灌漑・発電 を目的とした多目的ダム。 美和湖はダム湖百選に選ばれており、湖の奥に連なる山々が美しい。 天端からは見えないが、ダムから400m下流には土砂バイパス吐口がある。 水がものすごい勢いで流れ出る様子は見ていて圧倒される。
ダムカード：美和ダム管理支所内学習センター（みわっこ） にて配布中。",美和ダム,"
〒396-0401 長野県伊那市高遠町勝間","
0265-98-2111",https://www.cbr.mlit.go.jp/tendamu/,"4.1
(87)",Unknown,堰,35.7909409,138.080089
chima renren,4,1 年前,"伊那ICから車で約40分、高遠城から分杭峠へ向かう途中にあります。三峰川を堰き止めて作られたダム。洪水調節と灌漑用水、発電の三つの用途に用いられる重力式コンクリートダム。
湖畔には無料の駐車場があり、ここに停めてダムの周りを散策できます。堰き止められて出来た美和湖はエメラルドグリーンが美しいです。",美和ダム,"
〒396-0401 長野県伊那市高遠町勝間","
0265-98-2111",https://www.cbr.mlit.go.jp/tendamu/,"4.1
(87)",Unknown,堰,35.7909409,138.080089
chima renren,4,1 年前,"伊那ICから車で約40分、高遠城から分杭峠へ向かう途中にあります。三峰川を堰き止めて作られたダム。洪水調節と灌漑用水、発電の三つの用途に用いられる重力式コンクリートダム。
湖畔には無料の駐車場があり、ここに停めてダムの周りを散策できます。堰き止められて出来た美和湖はエメラルドグリーンが美しいです。",美和ダム,"
〒396-0401 長野県伊那市高遠町勝間","
0265-98-2111",https://www.cbr.mlit.go.jp/tendamu/,"4.1
(87)",Unknown,堰,35.7909409,138.080089
