Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
おやきさん,3,3 年前,耶馬溪橋に一番近い公共の無料駐車場です。耶馬溪橋まで徒歩2分。青の洞門までなら徒歩5分と言った感じですかね。トイレはありませんけど、青の洞門に向かう途中にありました。,耶馬渓橋 公共駐車場,"
〒871-0201 大分県中津市本耶馬渓町樋田",Unknown,Unknown,"3.8
(32)",お店やスポットの電話番号を追加する,〒871-0201 大分県中津市本耶馬渓町樋田,33.503156,131.1701367
おやきさん,3,3 年前,耶馬溪橋に一番近い公共の無料駐車場です。耶馬溪橋まで徒歩2分。青の洞門までなら徒歩5分と言った感じですかね。トイレはありませんけど、青の洞門に向かう途中にありました。,耶馬渓橋 公共駐車場,"
〒871-0201 大分県中津市本耶馬渓町樋田",Unknown,Unknown,"3.8
(32)",お店やスポットの電話番号を追加する,〒871-0201 大分県中津市本耶馬渓町樋田,33.503156,131.1701367
Y Ohdachi,4,5 か月前,近いです。耶馬溪橋まで徒歩1分です。橋は、見るだけで渡れません(昔の石橋)。,耶馬渓橋 公共駐車場,"
〒871-0201 大分県中津市本耶馬渓町樋田",Unknown,Unknown,"3.8
(32)",お店やスポットの電話番号を追加する,〒871-0201 大分県中津市本耶馬渓町樋田,33.503156,131.1701367
Y Ohdachi,4,5 か月前,近いです。耶馬溪橋まで徒歩1分です。橋は、見るだけで渡れません(昔の石橋)。,耶馬渓橋 公共駐車場,"
〒871-0201 大分県中津市本耶馬渓町樋田",Unknown,Unknown,"3.8
(32)",お店やスポットの電話番号を追加する,〒871-0201 大分県中津市本耶馬渓町樋田,33.503156,131.1701367
machi i55,4,5 年前,耶馬渓橋を見るにはここに車を止めていきましょう。歩いてすぐで無料です。トイレないので、ご注意下さい,耶馬渓橋 公共駐車場,"
〒871-0201 大分県中津市本耶馬渓町樋田",Unknown,Unknown,"3.8
(32)",お店やスポットの電話番号を追加する,〒871-0201 大分県中津市本耶馬渓町樋田,33.503156,131.1701367
machi i55,4,5 年前,耶馬渓橋を見るにはここに車を止めていきましょう。歩いてすぐで無料です。トイレないので、ご注意下さい,耶馬渓橋 公共駐車場,"
〒871-0201 大分県中津市本耶馬渓町樋田",Unknown,Unknown,"3.8
(32)",お店やスポットの電話番号を追加する,〒871-0201 大分県中津市本耶馬渓町樋田,33.503156,131.1701367
浜風涼,4,2 年前,耶馬渓橋のすぐ近くにあります。わかりやすいところで、ここから青の洞門も歩けます。,耶馬渓橋 公共駐車場,"
〒871-0201 大分県中津市本耶馬渓町樋田",Unknown,Unknown,"3.8
(32)",お店やスポットの電話番号を追加する,〒871-0201 大分県中津市本耶馬渓町樋田,33.503156,131.1701367
浜風涼,4,2 年前,耶馬渓橋のすぐ近くにあります。わかりやすいところで、ここから青の洞門も歩けます。,耶馬渓橋 公共駐車場,"
〒871-0201 大分県中津市本耶馬渓町樋田",Unknown,Unknown,"3.8
(32)",お店やスポットの電話番号を追加する,〒871-0201 大分県中津市本耶馬渓町樋田,33.503156,131.1701367
木野純子,4,3 年前,耶馬溪橋から、山々を眺める風景が、とても壮大です。橋が完成した、いきさつや愛の鐘が建立されており、穏やかな、ひとときを味わえます。,耶馬渓橋 公共駐車場,"
〒871-0201 大分県中津市本耶馬渓町樋田",Unknown,Unknown,"3.8
(32)",お店やスポットの電話番号を追加する,〒871-0201 大分県中津市本耶馬渓町樋田,33.503156,131.1701367
木野純子,4,3 年前,耶馬溪橋から、山々を眺める風景が、とても壮大です。橋が完成した、いきさつや愛の鐘が建立されており、穏やかな、ひとときを味わえます。,耶馬渓橋 公共駐車場,"
〒871-0201 大分県中津市本耶馬渓町樋田",Unknown,Unknown,"3.8
(32)",お店やスポットの電話番号を追加する,〒871-0201 大分県中津市本耶馬渓町樋田,33.503156,131.1701367
