Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
2022 Yohei,4,9 か月前,"20240724訪問。
海水浴場の西側に無料の駐車場・無料の水シャワー。水シャワー２台は駐車場のすぐそばなので、着替えも楽。更衣室もありますが、使いづらいので、車の陰で済ませました。浜辺まで少し距離あります。この日は10時前に到着したが、比較的空きがありました。

海の家は1つありましたが、オススメしません。駅方面に一件コンビニがありました。水着で入れるか未確認ですが、レストランも数軒あります。

海はキレイではありますが、透き通るほどではない。ほとんど波もないので、スノーケリングの練習してましたが、魚はいません。浜辺左側が遊泳区域です。浜辺中央に岩場があり、干潮時には磯遊びができます。砂浜には一部芝生のエリアがあり、テントをたてるのが楽でした。
本当に波が無いので、ゆっくりするには最適。逆に小学生位になると物足りないかも。",興津海水浴場,"
〒299-5245 千葉県勝浦市興津地先","
0470-73-6641",http://www.katsuura-sanpo.com/facilities/see-play/post-1389/,"4.2
(450)",Unknown,浜,35.135017,140.2493823
2022 Yohei,4,9 か月前,"20240724訪問。
海水浴場の西側に無料の駐車場・無料の水シャワー。水シャワー２台は駐車場のすぐそばなので、着替えも楽。更衣室もありますが、使いづらいので、車の陰で済ませました。浜辺まで少し距離あります。この日は10時前に到着したが、比較的空きがありました。

海の家は1つありましたが、オススメしません。駅方面に一件コンビニがありました。水着で入れるか未確認ですが、レストランも数軒あります。

海はキレイではありますが、透き通るほどではない。ほとんど波もないので、スノーケリングの練習してましたが、魚はいません。浜辺左側が遊泳区域です。浜辺中央に岩場があり、干潮時には磯遊びができます。砂浜には一部芝生のエリアがあり、テントをたてるのが楽でした。
本当に波が無いので、ゆっくりするには最適。逆に小学生位になると物足りないかも。",興津海水浴場,"
〒299-5245 千葉県勝浦市興津地先","
0470-73-6641",http://www.katsuura-sanpo.com/facilities/see-play/post-1389/,"4.2
(450)",Unknown,浜,35.135017,140.2493823
my way,4,2 年前,"2022年9月4日に海水浴に訪れました。
おきつ海水浴場って読むんですね。

3歳、5歳の海水浴デビューで波が穏やかで綺麗な海を探してこちらへ。
想像以上の透明度と穏やかな波で子どもたちも楽しんでいました。

波打ち際には海藻が多く、浅瀬では足にまとわりついてくるので私はずっと海藻掃除してましたが、こーゆー地味な仕事好きなので楽しみながらお掃除してました。

浜には色んな砂のお城が建設されてました。
我が家もお城作ってトンネル掘って水流して楽しみました。

海水浴シーズン過ぎてたので泳げないかな？と思いましたが、まだまだ暑い9月上旬、水に慣れるとぬるく感じました。
しかもちょうどこの日まで無料の温水シャワーも出たので助かりました。

この時期は人も少なく駐車場代も無料です。
お得にゆったり楽しむならシーズンオフを狙った方がいいかもしれません。

シャワーが出ない時期は水かシャワー持参しないと大変だと思います。

トイレも比較的新しくキレイでしたが、子どもたちは嫌がって使ってくれませんでした。
（床が濡れてる、細かいティッシュが落ちてるのが嫌）

裸足で歩くと、ガラスのような透明の細いトゲが刺さります。マリンシューズなど履いて行った方がいいです。

浜辺では生き物になかなか遭遇できませんでしたが、堤防ではカニがたくさん捕まえられます。",興津海水浴場,"
〒299-5245 千葉県勝浦市興津地先","
0470-73-6641",http://www.katsuura-sanpo.com/facilities/see-play/post-1389/,"4.2
(450)",Unknown,浜,35.135017,140.2493823
my way,4,2 年前,"2022年9月4日に海水浴に訪れました。
おきつ海水浴場って読むんですね。

3歳、5歳の海水浴デビューで波が穏やかで綺麗な海を探してこちらへ。
想像以上の透明度と穏やかな波で子どもたちも楽しんでいました。

波打ち際には海藻が多く、浅瀬では足にまとわりついてくるので私はずっと海藻掃除してましたが、こーゆー地味な仕事好きなので楽しみながらお掃除してました。

浜には色んな砂のお城が建設されてました。
我が家もお城作ってトンネル掘って水流して楽しみました。

海水浴シーズン過ぎてたので泳げないかな？と思いましたが、まだまだ暑い9月上旬、水に慣れるとぬるく感じました。
しかもちょうどこの日まで無料の温水シャワーも出たので助かりました。

この時期は人も少なく駐車場代も無料です。
お得にゆったり楽しむならシーズンオフを狙った方がいいかもしれません。

シャワーが出ない時期は水かシャワー持参しないと大変だと思います。

トイレも比較的新しくキレイでしたが、子どもたちは嫌がって使ってくれませんでした。
（床が濡れてる、細かいティッシュが落ちてるのが嫌）

裸足で歩くと、ガラスのような透明の細いトゲが刺さります。マリンシューズなど履いて行った方がいいです。

浜辺では生き物になかなか遭遇できませんでしたが、堤防ではカニがたくさん捕まえられます。",興津海水浴場,"
〒299-5245 千葉県勝浦市興津地先","
0470-73-6641",http://www.katsuura-sanpo.com/facilities/see-play/post-1389/,"4.2
(450)",Unknown,浜,35.135017,140.2493823
zazensan 28,5,1 年前,"#おきつ
#海水浴場
近くに海浜公園駐車場があります
早めに到着しないと
満車になります
（7:30位まで到着が理想）
トイレもあり
簡易的な着替え室と
シャワー室があり
無料で使えました
駐車場にも別でシャワーがあり
とても便利だと思います
水質はとても良く
子供達も喜んでました
お昼頃になると
向かって右側の岩場が現れて
人気のスポットになってました
但し、マリンシューズは必要です
シュノーケルあれば
意外と浅瀬でも魚が見れます
海の家も一軒あり
焼きそばと
焼きトウモロコシが
美味しかったです",興津海水浴場,"
〒299-5245 千葉県勝浦市興津地先","
0470-73-6641",http://www.katsuura-sanpo.com/facilities/see-play/post-1389/,"4.2
(450)",Unknown,浜,35.135017,140.2493823
zazensan 28,5,1 年前,"#おきつ
#海水浴場
近くに海浜公園駐車場があります
早めに到着しないと
満車になります
（7:30位まで到着が理想）
トイレもあり
簡易的な着替え室と
シャワー室があり
無料で使えました
駐車場にも別でシャワーがあり
とても便利だと思います
水質はとても良く
子供達も喜んでました
お昼頃になると
向かって右側の岩場が現れて
人気のスポットになってました
但し、マリンシューズは必要です
シュノーケルあれば
意外と浅瀬でも魚が見れます
海の家も一軒あり
焼きそばと
焼きトウモロコシが
美味しかったです",興津海水浴場,"
〒299-5245 千葉県勝浦市興津地先","
0470-73-6641",http://www.katsuura-sanpo.com/facilities/see-play/post-1389/,"4.2
(450)",Unknown,浜,35.135017,140.2493823
M3 TAIHEI,4,11 か月前,"穏やかな入江な感じになっており、GW中に子供達は海に入っていました。

GWは、まだ透明度がとても良い、綺麗な海、砂浜をみんなで守りましょう！",興津海水浴場,"
〒299-5245 千葉県勝浦市興津地先","
0470-73-6641",http://www.katsuura-sanpo.com/facilities/see-play/post-1389/,"4.2
(450)",Unknown,浜,35.135017,140.2493823
M3 TAIHEI,4,11 か月前,"穏やかな入江な感じになっており、GW中に子供達は海に入っていました。

GWは、まだ透明度がとても良い、綺麗な海、砂浜をみんなで守りましょう！",興津海水浴場,"
〒299-5245 千葉県勝浦市興津地先","
0470-73-6641",http://www.katsuura-sanpo.com/facilities/see-play/post-1389/,"4.2
(450)",Unknown,浜,35.135017,140.2493823
西村英明,5,3 年前,"波穏やかな興津海水浴場。
沖縄にも引けを取らない透明度、白砂の美しい海です。
岩場が隠れる満ち潮時の透明度は尚更格別。

消波ブロックが入り江の沖に設置されておりますので、近隣の海水浴場が台風などで大荒れでもこちらでは波静か、同じ海とは思えないほどのやさしい海です。小さなお子様にも向いております。
岩場で磯遊びができます。ヤドカリや小さな魚など豊富ですが、足の裏を岩場で傷付けない様、ブーツなどで自衛してください。

隠れるものがございませんので、ご自身でテントやタープをご用意ください。風で飛ばされないようにご注意願います。

ビーチからすぐ歩いて行けるところにスーパーマーケット「わくわく広場 ファミリーセンタータカヨシ 興津店」様がございます。海の中という非日常から歩いてすぐの場所に日常的スーパーがあり不思議な感覚ですが、大変便利。水着で入店すると浮きますのでご注意ください。

駐車場は無料、トイレに併設されている更衣室とシャワー、野外シャワーも無料、大変うれしいご対応を頂いております。
コロナ以降、シャワーは中止されておりましたので、我が家では20リットル入りポリタンク２つに水を満載し持っていきました。足の砂だけ洗って、少し先にある温泉など良いかもしれません。

夏休み、お盆休みの最盛期ですら閑散とした、ちょっとプライベートビーチ的な雰囲気を醸し出す美しい海水浴場です。
車を停められないことはまずありません。
長居して、夕刻に至る頃にはサウダージな感傷に浸りましょう。

ウミガメ産卵地の立ち入りを制限されています。
美しいビーチを末代までも美しく伝えて行きたいですね。",興津海水浴場,"
〒299-5245 千葉県勝浦市興津地先","
0470-73-6641",http://www.katsuura-sanpo.com/facilities/see-play/post-1389/,"4.2
(450)",Unknown,浜,35.135017,140.2493823
西村英明,5,3 年前,"波穏やかな興津海水浴場。
沖縄にも引けを取らない透明度、白砂の美しい海です。
岩場が隠れる満ち潮時の透明度は尚更格別。

消波ブロックが入り江の沖に設置されておりますので、近隣の海水浴場が台風などで大荒れでもこちらでは波静か、同じ海とは思えないほどのやさしい海です。小さなお子様にも向いております。
岩場で磯遊びができます。ヤドカリや小さな魚など豊富ですが、足の裏を岩場で傷付けない様、ブーツなどで自衛してください。

隠れるものがございませんので、ご自身でテントやタープをご用意ください。風で飛ばされないようにご注意願います。

ビーチからすぐ歩いて行けるところにスーパーマーケット「わくわく広場 ファミリーセンタータカヨシ 興津店」様がございます。海の中という非日常から歩いてすぐの場所に日常的スーパーがあり不思議な感覚ですが、大変便利。水着で入店すると浮きますのでご注意ください。

駐車場は無料、トイレに併設されている更衣室とシャワー、野外シャワーも無料、大変うれしいご対応を頂いております。
コロナ以降、シャワーは中止されておりましたので、我が家では20リットル入りポリタンク２つに水を満載し持っていきました。足の砂だけ洗って、少し先にある温泉など良いかもしれません。

夏休み、お盆休みの最盛期ですら閑散とした、ちょっとプライベートビーチ的な雰囲気を醸し出す美しい海水浴場です。
車を停められないことはまずありません。
長居して、夕刻に至る頃にはサウダージな感傷に浸りましょう。

ウミガメ産卵地の立ち入りを制限されています。
美しいビーチを末代までも美しく伝えて行きたいですね。",興津海水浴場,"
〒299-5245 千葉県勝浦市興津地先","
0470-73-6641",http://www.katsuura-sanpo.com/facilities/see-play/post-1389/,"4.2
(450)",Unknown,浜,35.135017,140.2493823
ALEX KEATON,4,2 年前,"SUPをしたくて調査に来ました。噂通りコンディションが安定していてほとんど波がなく、しかも透明度がたかいてす。ついでにシュノーケル用具のテストやシュノーケリングベストの浮力も試すために少し潜りましたが、海藻が多いですね。海水浴場が始まる時間まで、数人の人が浜辺に打ち上げられていた海藻をほうきで集めてました。近くの公園に無料駐車場(小さい)と期間限定でシャワーが無料解放されているのもいいですね。
駅からも徒歩5分で言うことなし、かと思ったのですか、逆に規模が小さい？せいか、コインロッカーが無いです。そのため、一人で来ても荷物を置く場所が確保できないのでその点を何とかしてほしいですね。",興津海水浴場,"
〒299-5245 千葉県勝浦市興津地先","
0470-73-6641",http://www.katsuura-sanpo.com/facilities/see-play/post-1389/,"4.2
(450)",Unknown,浜,35.135017,140.2493823
ALEX KEATON,4,2 年前,"SUPをしたくて調査に来ました。噂通りコンディションが安定していてほとんど波がなく、しかも透明度がたかいてす。ついでにシュノーケル用具のテストやシュノーケリングベストの浮力も試すために少し潜りましたが、海藻が多いですね。海水浴場が始まる時間まで、数人の人が浜辺に打ち上げられていた海藻をほうきで集めてました。近くの公園に無料駐車場(小さい)と期間限定でシャワーが無料解放されているのもいいですね。
駅からも徒歩5分で言うことなし、かと思ったのですか、逆に規模が小さい？せいか、コインロッカーが無いです。そのため、一人で来ても荷物を置く場所が確保できないのでその点を何とかしてほしいですね。",興津海水浴場,"
〒299-5245 千葉県勝浦市興津地先","
0470-73-6641",http://www.katsuura-sanpo.com/facilities/see-play/post-1389/,"4.2
(450)",Unknown,浜,35.135017,140.2493823
gishi 150,4,11 か月前,"初めての人も車で迷わずにいける。海原が広がりいつ行っても落ち着く。海水浴と釣りを存分に楽しめる。7,8月は混雑します。",興津海水浴場,"
〒299-5245 千葉県勝浦市興津地先","
0470-73-6641",http://www.katsuura-sanpo.com/facilities/see-play/post-1389/,"4.2
(450)",Unknown,浜,35.135017,140.2493823
gishi 150,4,11 か月前,"初めての人も車で迷わずにいける。海原が広がりいつ行っても落ち着く。海水浴と釣りを存分に楽しめる。7,8月は混雑します。",興津海水浴場,"
〒299-5245 千葉県勝浦市興津地先","
0470-73-6641",http://www.katsuura-sanpo.com/facilities/see-play/post-1389/,"4.2
(450)",Unknown,浜,35.135017,140.2493823
rika nogi,5,6 年前,波も穏やかで、海も綺麗です！カニや小魚もうろうろしてますので、磯遊び、小さな子供も楽しめます！無料の水シャワーや駐車場もあるので、気軽に来れますね。小さめの海水浴場なので他に比べて人出は少なめだと思います。オフシーズンも、綺麗な海を眺めに来ています。,興津海水浴場,"
〒299-5245 千葉県勝浦市興津地先","
0470-73-6641",http://www.katsuura-sanpo.com/facilities/see-play/post-1389/,"4.2
(450)",Unknown,浜,35.135017,140.2493823
rika nogi,5,6 年前,波も穏やかで、海も綺麗です！カニや小魚もうろうろしてますので、磯遊び、小さな子供も楽しめます！無料の水シャワーや駐車場もあるので、気軽に来れますね。小さめの海水浴場なので他に比べて人出は少なめだと思います。オフシーズンも、綺麗な海を眺めに来ています。,興津海水浴場,"
〒299-5245 千葉県勝浦市興津地先","
0470-73-6641",http://www.katsuura-sanpo.com/facilities/see-play/post-1389/,"4.2
(450)",Unknown,浜,35.135017,140.2493823
N哲也,3,4 年前,"2019年8月 訪問
駐車場無料なのでハイシーズンは早めに行かないと混みそうです。この日は８月も末ということもあり待ってる人もそれほどはいなかったです。駐車場入り口に整理係の人が居て案内してくれます。トイレの中と駐車場脇に無料シャワーありました。
海中に藻？があるので泳ぎにくい感じはありますが、そのおかげで水が綺麗らしいです。
砂浜は白いサラサラした感じで綺麗です。わりとファミリー層のかたが多いようです。
勝浦に近いのでランチするならおすすめです、でも混むので時間は早目がいいと思います。海鮮丼美味しかったです。",興津海水浴場,"
〒299-5245 千葉県勝浦市興津地先","
0470-73-6641",http://www.katsuura-sanpo.com/facilities/see-play/post-1389/,"4.2
(450)",Unknown,浜,35.135017,140.2493823
N哲也,3,4 年前,"2019年8月 訪問
駐車場無料なのでハイシーズンは早めに行かないと混みそうです。この日は８月も末ということもあり待ってる人もそれほどはいなかったです。駐車場入り口に整理係の人が居て案内してくれます。トイレの中と駐車場脇に無料シャワーありました。
海中に藻？があるので泳ぎにくい感じはありますが、そのおかげで水が綺麗らしいです。
砂浜は白いサラサラした感じで綺麗です。わりとファミリー層のかたが多いようです。
勝浦に近いのでランチするならおすすめです、でも混むので時間は早目がいいと思います。海鮮丼美味しかったです。",興津海水浴場,"
〒299-5245 千葉県勝浦市興津地先","
0470-73-6641",http://www.katsuura-sanpo.com/facilities/see-play/post-1389/,"4.2
(450)",Unknown,浜,35.135017,140.2493823
シマタク,4,3 年前,"愛犬の散歩で立ち寄りました。砂浜はとても綺麗です。内海なので、波も穏やかでした。
この辺りには駐車する場所はありませんが、近くの興津港海浜公園に無料の駐車スペースあり(徒歩圏内)",興津海水浴場,"
〒299-5245 千葉県勝浦市興津地先","
0470-73-6641",http://www.katsuura-sanpo.com/facilities/see-play/post-1389/,"4.2
(450)",Unknown,浜,35.135017,140.2493823
シマタク,4,3 年前,"愛犬の散歩で立ち寄りました。砂浜はとても綺麗です。内海なので、波も穏やかでした。
この辺りには駐車する場所はありませんが、近くの興津港海浜公園に無料の駐車スペースあり(徒歩圏内)",興津海水浴場,"
〒299-5245 千葉県勝浦市興津地先","
0470-73-6641",http://www.katsuura-sanpo.com/facilities/see-play/post-1389/,"4.2
(450)",Unknown,浜,35.135017,140.2493823
