Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Sesame Open (simsim),4,7 か月前,"2024/8/22、初来店。秋葉原駅から徒歩。落語の独演会、あらかじめ予約してオンライン決済。
料理の味は良いのですが、正直、えっこれだけ？と思いました。値段からしてもっと期待していました。
他のお客さんは仕事帰りの会社員といったところで、日頃の落語会より年齢層が若かったです。ネタは熊の皮で、聞き入りしました。",落語・小料理 やきもち,"
〒110-0016 東京都台東区台東１丁目１２−１１ 青木ビル １階Ｂ号室",Unknown,https://yakimochi.info/,"4.4
(56)",お店やスポットの電話番号を追加する,〒110-0016 東京都台東区台東１丁目１２−１１ 青木ビル １階Ｂ号室,36.1644425,138.9078228
Sesame Open (simsim),4,7 か月前,"2024/8/22、初来店。秋葉原駅から徒歩。落語の独演会、あらかじめ予約してオンライン決済。
料理の味は良いのですが、正直、えっこれだけ？と思いました。値段からしてもっと期待していました。
他のお客さんは仕事帰りの会社員といったところで、日頃の落語会より年齢層が若かったです。ネタは熊の皮で、聞き入りしました。",落語・小料理 やきもち,"
〒110-0016 東京都台東区台東１丁目１２−１１ 青木ビル １階Ｂ号室",Unknown,https://yakimochi.info/,"4.4
(56)",お店やスポットの電話番号を追加する,〒110-0016 東京都台東区台東１丁目１２−１１ 青木ビル １階Ｂ号室,36.1644425,138.9078228
Nijimu Aotsuki,3,6 年前,よく、飲食店で落語会をするってことはあるけど、高座がある寄席を飲食店としても使うという逆転の発想ですね。あまり興味ない人も来るので、掘り起こしとしも有効かなと思いました。ランチを一度食べたところでは、お料理はまあまあといったところですが、林家一門のもつ煮とかあるようで、値段がなかなかなのでどんななのか気になります(笑)。店も白木で明るくてすっきりしてて気持ちいいですね。カウンターの奥行きがあるのもよいです。,落語・小料理 やきもち,"
〒110-0016 東京都台東区台東１丁目１２−１１ 青木ビル １階Ｂ号室",Unknown,https://yakimochi.info/,"4.4
(56)",お店やスポットの電話番号を追加する,〒110-0016 東京都台東区台東１丁目１２−１１ 青木ビル １階Ｂ号室,36.1644425,138.9078228
Nijimu Aotsuki,3,6 年前,よく、飲食店で落語会をするってことはあるけど、高座がある寄席を飲食店としても使うという逆転の発想ですね。あまり興味ない人も来るので、掘り起こしとしも有効かなと思いました。ランチを一度食べたところでは、お料理はまあまあといったところですが、林家一門のもつ煮とかあるようで、値段がなかなかなのでどんななのか気になります(笑)。店も白木で明るくてすっきりしてて気持ちいいですね。カウンターの奥行きがあるのもよいです。,落語・小料理 やきもち,"
〒110-0016 東京都台東区台東１丁目１２−１１ 青木ビル １階Ｂ号室",Unknown,https://yakimochi.info/,"4.4
(56)",お店やスポットの電話番号を追加する,〒110-0016 東京都台東区台東１丁目１２−１１ 青木ビル １階Ｂ号室,36.1644425,138.9078228
COOL SHIN,4,5 年前,秋葉原の裏手にある落語と小料理屋のお店。ランチでお邪魔しましたが、料理は美味しくリーズナブルです。ご飯が美味しかったなあ。落語を聴くときはテーブルが全部仕舞われる特殊構造になっていて面白いです。今度は落語を聞きに行ってみたいと思います。,落語・小料理 やきもち,"
〒110-0016 東京都台東区台東１丁目１２−１１ 青木ビル １階Ｂ号室",Unknown,https://yakimochi.info/,"4.4
(56)",お店やスポットの電話番号を追加する,〒110-0016 東京都台東区台東１丁目１２−１１ 青木ビル １階Ｂ号室,36.1644425,138.9078228
COOL SHIN,4,5 年前,秋葉原の裏手にある落語と小料理屋のお店。ランチでお邪魔しましたが、料理は美味しくリーズナブルです。ご飯が美味しかったなあ。落語を聴くときはテーブルが全部仕舞われる特殊構造になっていて面白いです。今度は落語を聞きに行ってみたいと思います。,落語・小料理 やきもち,"
〒110-0016 東京都台東区台東１丁目１２−１１ 青木ビル １階Ｂ号室",Unknown,https://yakimochi.info/,"4.4
(56)",お店やスポットの電話番号を追加する,〒110-0016 東京都台東区台東１丁目１２−１１ 青木ビル １階Ｂ号室,36.1644425,138.9078228
いとうゆう,4,7 年前,"店主の丁寧な料理と対応が良い、ゆっくりお酒と小料理を楽しむお店です。
次は落語の日に行ってみたいですね。",落語・小料理 やきもち,"
〒110-0016 東京都台東区台東１丁目１２−１１ 青木ビル １階Ｂ号室",Unknown,https://yakimochi.info/,"4.4
(56)",お店やスポットの電話番号を追加する,〒110-0016 東京都台東区台東１丁目１２−１１ 青木ビル １階Ｂ号室,36.1644425,138.9078228
いとうゆう,4,7 年前,"店主の丁寧な料理と対応が良い、ゆっくりお酒と小料理を楽しむお店です。
次は落語の日に行ってみたいですね。",落語・小料理 やきもち,"
〒110-0016 東京都台東区台東１丁目１２−１１ 青木ビル １階Ｂ号室",Unknown,https://yakimochi.info/,"4.4
(56)",お店やスポットの電話番号を追加する,〒110-0016 東京都台東区台東１丁目１２−１１ 青木ビル １階Ｂ号室,36.1644425,138.9078228
ハナカワ,3,5 年前,まずホームページで演者さんの出演日を確認して興味のある日程で予約を入れます。落語家さんを身近に感じながら落語を楽しみ、落語終わりには落語家さんと一緒になってお酒を飲んだり会話をしたりと…楽しいひと時が過ごせます。カウンターもあるので一人でも来店可能。隣との間隔がちょっと狭いですけど。小皿料理も美味しいですよ。,落語・小料理 やきもち,"
〒110-0016 東京都台東区台東１丁目１２−１１ 青木ビル １階Ｂ号室",Unknown,https://yakimochi.info/,"4.4
(56)",お店やスポットの電話番号を追加する,〒110-0016 東京都台東区台東１丁目１２−１１ 青木ビル １階Ｂ号室,36.1644425,138.9078228
ハナカワ,3,5 年前,まずホームページで演者さんの出演日を確認して興味のある日程で予約を入れます。落語家さんを身近に感じながら落語を楽しみ、落語終わりには落語家さんと一緒になってお酒を飲んだり会話をしたりと…楽しいひと時が過ごせます。カウンターもあるので一人でも来店可能。隣との間隔がちょっと狭いですけど。小皿料理も美味しいですよ。,落語・小料理 やきもち,"
〒110-0016 東京都台東区台東１丁目１２−１１ 青木ビル １階Ｂ号室",Unknown,https://yakimochi.info/,"4.4
(56)",お店やスポットの電話番号を追加する,〒110-0016 東京都台東区台東１丁目１２−１１ 青木ビル １階Ｂ号室,36.1644425,138.9078228
