Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
アウトドアマンP,4,1 か月前,夏の海よりも誰もいない時期の海が良いですね。のんびり出来て癒されます。綺麗な砂浜と美しい海です。,蛤浜海水浴場,"
長崎県",Unknown,Unknown,"4.5
(252)",Unknown,浜,32.9818866,129.0990158
アウトドアマンP,4,1 か月前,夏の海よりも誰もいない時期の海が良いですね。のんびり出来て癒されます。綺麗な砂浜と美しい海です。,蛤浜海水浴場,"
長崎県",Unknown,Unknown,"4.5
(252)",Unknown,浜,32.9818866,129.0990158
ばあばbaaba,4,3 か月前,"🏣長崎県南松浦郡新上五島町七目郷1004
🅿️🚗…有りました（100台無料）
🚌…蛤で下車
※
営業時間
9時～16時30分
海の家（開設期間）
7月20日～8月31日（未定）
シャワー🚿100円
コインロッカー100円
マリンアクチｨビチｨ等の貸し出しが有る。
※
西海国立公園
満潮と干潮の差が大きく、遠浅で白い砂浜海岸で汀長は約500m、松林も素敵な浜辺です。
休息舎やシャワー設備も整っています。
※
国の海水浴場百選にも選ばれているそうです。
砂が流れ出ないようにでしょうか？杭をウチ砂の保護工事がされていました。",蛤浜海水浴場,"
長崎県",Unknown,Unknown,"4.5
(252)",Unknown,浜,32.9818866,129.0990158
ばあばbaaba,4,3 か月前,"🏣長崎県南松浦郡新上五島町七目郷1004
🅿️🚗…有りました（100台無料）
🚌…蛤で下車
※
営業時間
9時～16時30分
海の家（開設期間）
7月20日～8月31日（未定）
シャワー🚿100円
コインロッカー100円
マリンアクチｨビチｨ等の貸し出しが有る。
※
西海国立公園
満潮と干潮の差が大きく、遠浅で白い砂浜海岸で汀長は約500m、松林も素敵な浜辺です。
休息舎やシャワー設備も整っています。
※
国の海水浴場百選にも選ばれているそうです。
砂が流れ出ないようにでしょうか？杭をウチ砂の保護工事がされていました。",蛤浜海水浴場,"
長崎県",Unknown,Unknown,"4.5
(252)",Unknown,浜,32.9818866,129.0990158
Rocco K,4,8 か月前,"ここは王道のビーチ。
広いし、遠浅だし、設備は揃ってる。
沖縄、石垣にも負けてない海の綺麗さ。
子連れや、海水浴、日光浴だったらここが1番。　休憩所やロッカー、シャワー、水掛け場、売店もあり。　1、2時間は飽きずに海で遊べます。",蛤浜海水浴場,"
長崎県",Unknown,Unknown,"4.5
(252)",Unknown,浜,32.9818866,129.0990158
Rocco K,4,8 か月前,"ここは王道のビーチ。
広いし、遠浅だし、設備は揃ってる。
沖縄、石垣にも負けてない海の綺麗さ。
子連れや、海水浴、日光浴だったらここが1番。　休憩所やロッカー、シャワー、水掛け場、売店もあり。　1、2時間は飽きずに海で遊べます。",蛤浜海水浴場,"
長崎県",Unknown,Unknown,"4.5
(252)",Unknown,浜,32.9818866,129.0990158
しょうぢ,5,4 か月前,広く綺麗な砂浜です。,蛤浜海水浴場,"
長崎県",Unknown,Unknown,"4.5
(252)",Unknown,浜,32.9818866,129.0990158
しょうぢ,5,4 か月前,広く綺麗な砂浜です。,蛤浜海水浴場,"
長崎県",Unknown,Unknown,"4.5
(252)",Unknown,浜,32.9818866,129.0990158
じゃっぷりんたろう,5,1 年前,上五島が誇る蛤浜海水浴場。写真は満潮時ですが、普段は遠浅で広々とした砂浜が広がっています。私は上五島に来るまでこれほど綺麗な海を見たことがありませんでした。観光地でありますので、夏場は海水浴客で賑わいます。海水浴場ですが、夏以外にも多くの人が訪れます。近くには海を見ながら食事を楽しめる飲食店「はまぐりデッキ」があります。海水浴場は駐車場が少なめなので、停められない場合もあります。上五島に来た際はぜひ訪れて欲しいです。,蛤浜海水浴場,"
長崎県",Unknown,Unknown,"4.5
(252)",Unknown,浜,32.9818866,129.0990158
じゃっぷりんたろう,5,1 年前,上五島が誇る蛤浜海水浴場。写真は満潮時ですが、普段は遠浅で広々とした砂浜が広がっています。私は上五島に来るまでこれほど綺麗な海を見たことがありませんでした。観光地でありますので、夏場は海水浴客で賑わいます。海水浴場ですが、夏以外にも多くの人が訪れます。近くには海を見ながら食事を楽しめる飲食店「はまぐりデッキ」があります。海水浴場は駐車場が少なめなので、停められない場合もあります。上五島に来た際はぜひ訪れて欲しいです。,蛤浜海水浴場,"
長崎県",Unknown,Unknown,"4.5
(252)",Unknown,浜,32.9818866,129.0990158
きぃろいとり,5,1 年前,"貝殻で真っ白な砂浜です。遠浅で波もほとんどなくて穏やか。5月の平日の昼間、だあれもいません。きれいなビーチを独り占めでした。名前の蛤は昔捕れていたそうですが、今回あるかとほじってみましたが見つかりませんでした。
水中に人骨のようなものを発見、牛の骨かな？
無料駐車場には20台ほど停められます。
小池百合子さんが環境大臣の時に快水浴場百選に認定済。トイレあり。休憩舎はシーズンになると有料で借りられ貸しロッカーやシャワーも有料ですが借りられます。足洗い場は無料。",蛤浜海水浴場,"
長崎県",Unknown,Unknown,"4.5
(252)",Unknown,浜,32.9818866,129.0990158
きぃろいとり,5,1 年前,"貝殻で真っ白な砂浜です。遠浅で波もほとんどなくて穏やか。5月の平日の昼間、だあれもいません。きれいなビーチを独り占めでした。名前の蛤は昔捕れていたそうですが、今回あるかとほじってみましたが見つかりませんでした。
水中に人骨のようなものを発見、牛の骨かな？
無料駐車場には20台ほど停められます。
小池百合子さんが環境大臣の時に快水浴場百選に認定済。トイレあり。休憩舎はシーズンになると有料で借りられ貸しロッカーやシャワーも有料ですが借りられます。足洗い場は無料。",蛤浜海水浴場,"
長崎県",Unknown,Unknown,"4.5
(252)",Unknown,浜,32.9818866,129.0990158
