Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Daigo,5,6 か月前,"10月12日に訪問。　直線距離約4kmの橋ヶ原バス停付近から撮影。　行縢山の全貌と行縢の滝が遠望できました。　この距離で視認できる滝で、滝壺まで比較的容易に行ける滝は稀だと思います。　山、滝、空と、どれも美しい。
帰路で撮ったのですが、滝壺付近から麓の田んぼが見えたので。",行縢の滝,"
〒882-0077 宮崎県延岡市行縢町",Unknown,Unknown,"4.5
(114)",お店やスポットの電話番号を追加する,観光名所,32.6288423,131.5787998
Daigo,5,6 か月前,"10月12日に訪問。　直線距離約4kmの橋ヶ原バス停付近から撮影。　行縢山の全貌と行縢の滝が遠望できました。　この距離で視認できる滝で、滝壺まで比較的容易に行ける滝は稀だと思います。　山、滝、空と、どれも美しい。
帰路で撮ったのですが、滝壺付近から麓の田んぼが見えたので。",行縢の滝,"
〒882-0077 宮崎県延岡市行縢町",Unknown,Unknown,"4.5
(114)",お店やスポットの電話番号を追加する,観光名所,32.6288423,131.5787998
KatoShiki,5,5 か月前,前日の大雨の影響かダイナミックで迫力のある滝が見られました。水しぶきもすごかったです。,行縢の滝,"
〒882-0077 宮崎県延岡市行縢町",Unknown,Unknown,"4.5
(114)",お店やスポットの電話番号を追加する,観光名所,32.6288423,131.5787998
KatoShiki,5,5 か月前,前日の大雨の影響かダイナミックで迫力のある滝が見られました。水しぶきもすごかったです。,行縢の滝,"
〒882-0077 宮崎県延岡市行縢町",Unknown,Unknown,"4.5
(114)",お店やスポットの電話番号を追加する,観光名所,32.6288423,131.5787998
123 KAZ,5,1 年前,"落差のある滝は迫力満点。一見の価値ありです。滝に行くなら、時間に余裕を持って行くといいです。水飛沫はかかりますが滝を至近距離で見られます。

神社入口から徒歩約１時間で滝に到達します。登山道は一本道なので、まず迷わないと思います。坂の傾斜も、そんなにキツくないです。滝の近くは岩場があります。
下山時には登山用のストックかまたは杖を使うと、三点で支えるので身体が安定します。下りはストックを使った方が速いです。",行縢の滝,"
〒882-0077 宮崎県延岡市行縢町",Unknown,Unknown,"4.5
(114)",お店やスポットの電話番号を追加する,観光名所,32.6288423,131.5787998
123 KAZ,5,1 年前,"落差のある滝は迫力満点。一見の価値ありです。滝に行くなら、時間に余裕を持って行くといいです。水飛沫はかかりますが滝を至近距離で見られます。

神社入口から徒歩約１時間で滝に到達します。登山道は一本道なので、まず迷わないと思います。坂の傾斜も、そんなにキツくないです。滝の近くは岩場があります。
下山時には登山用のストックかまたは杖を使うと、三点で支えるので身体が安定します。下りはストックを使った方が速いです。",行縢の滝,"
〒882-0077 宮崎県延岡市行縢町",Unknown,Unknown,"4.5
(114)",お店やスポットの電話番号を追加する,観光名所,32.6288423,131.5787998
あーたん,4,1 年前,"ふと思い立ち行縢の滝に行ってみよう！
小学校(50年前f^_^;)の遠足で行って以来
ハイキングでは無く、しっかりとした登山です。
滝まで30分と書いてありましたが、夏はちゃんと水分補給と休憩取りながら行くべきなので、もうちょっと余裕を持って行った方が良いです。
滝は行縢山の中腹辺りにあるようですが、今回は、ちゃんと準備をして来なかったので、4合目辺りで断念しました。
汗を沢山かいていたので自己判断で無理はしない方が良いと思い、諦めました。改めて挑戦しようと思います。",行縢の滝,"
〒882-0077 宮崎県延岡市行縢町",Unknown,Unknown,"4.5
(114)",お店やスポットの電話番号を追加する,観光名所,32.6288423,131.5787998
あーたん,4,1 年前,"ふと思い立ち行縢の滝に行ってみよう！
小学校(50年前f^_^;)の遠足で行って以来
ハイキングでは無く、しっかりとした登山です。
滝まで30分と書いてありましたが、夏はちゃんと水分補給と休憩取りながら行くべきなので、もうちょっと余裕を持って行った方が良いです。
滝は行縢山の中腹辺りにあるようですが、今回は、ちゃんと準備をして来なかったので、4合目辺りで断念しました。
汗を沢山かいていたので自己判断で無理はしない方が良いと思い、諦めました。改めて挑戦しようと思います。",行縢の滝,"
〒882-0077 宮崎県延岡市行縢町",Unknown,Unknown,"4.5
(114)",お店やスポットの電話番号を追加する,観光名所,32.6288423,131.5787998
u y,4,1 年前,"2023/11訪問。
行縢(むかばき)の滝と読むそうです。
滝を見たくて行きましたが、登山経験の少ない私にはそれなりに過酷でした。滝見橋まで行って引き返しましたが、良い運動になったし達成感はありました。写真のとおり、大きな岩が多く足場が悪い箇所もたまにあります。
駐車場は大体5～6台しか停められず、離合もできない幅の道を数百mほど進む必要があります。運転にも充分注意してください！",行縢の滝,"
〒882-0077 宮崎県延岡市行縢町",Unknown,Unknown,"4.5
(114)",お店やスポットの電話番号を追加する,観光名所,32.6288423,131.5787998
u y,4,1 年前,"2023/11訪問。
行縢(むかばき)の滝と読むそうです。
滝を見たくて行きましたが、登山経験の少ない私にはそれなりに過酷でした。滝見橋まで行って引き返しましたが、良い運動になったし達成感はありました。写真のとおり、大きな岩が多く足場が悪い箇所もたまにあります。
駐車場は大体5～6台しか停められず、離合もできない幅の道を数百mほど進む必要があります。運転にも充分注意してください！",行縢の滝,"
〒882-0077 宮崎県延岡市行縢町",Unknown,Unknown,"4.5
(114)",お店やスポットの電話番号を追加する,観光名所,32.6288423,131.5787998
赤嶺富春,5,1 年前,"むかばきの滝。

5/7雨の中、行縢神社を通り過ぎて、細い道をドキドキしながら行くと、上の駐車場を発見。車をとめて登りました。登山しやすい様に岩を土に巧く入れ込んで固定してくれていますので、歩きやすいです。途中、急なところや岩肌だけで滑りやすい所はロープや金具を岩に固定しており、良く整備がされていました。ゆっくり歩いて45分位で滝まで行けます。垂直な岩肌と滝の音と可愛い紫の花に癒されました。雨のなか、☂️さしてのぼりましたので、疲れましたが、頑張って行った価値はありました！登山靴なければ、厚底の運動靴でも大丈夫な印象です。手袋はあった方が良いかと。",行縢の滝,"
〒882-0077 宮崎県延岡市行縢町",Unknown,Unknown,"4.5
(114)",お店やスポットの電話番号を追加する,観光名所,32.6288423,131.5787998
赤嶺富春,5,1 年前,"むかばきの滝。

5/7雨の中、行縢神社を通り過ぎて、細い道をドキドキしながら行くと、上の駐車場を発見。車をとめて登りました。登山しやすい様に岩を土に巧く入れ込んで固定してくれていますので、歩きやすいです。途中、急なところや岩肌だけで滑りやすい所はロープや金具を岩に固定しており、良く整備がされていました。ゆっくり歩いて45分位で滝まで行けます。垂直な岩肌と滝の音と可愛い紫の花に癒されました。雨のなか、☂️さしてのぼりましたので、疲れましたが、頑張って行った価値はありました！登山靴なければ、厚底の運動靴でも大丈夫な印象です。手袋はあった方が良いかと。",行縢の滝,"
〒882-0077 宮崎県延岡市行縢町",Unknown,Unknown,"4.5
(114)",お店やスポットの電話番号を追加する,観光名所,32.6288423,131.5787998
木夏才石,3,6 年前,"滝としてはとても綺麗です。
私が行ったときは前日に雨が降ったので水量はまあまあだったはずです。

ただ、滝までの道は遊歩道でなく、完全な登山道です。片道30分ほどとはいえ、スキーでも転ばない私が下りで二回も転びました。
それなりの覚悟でいった方が良いです。

途中の滝見橋のところには「スズメバチがいます」と。
それなりの覚悟で。

途中休むところもなく、虫も襲ってきます。
もう二度といきたくありません。
でも行って良かったです。",行縢の滝,"
〒882-0077 宮崎県延岡市行縢町",Unknown,Unknown,"4.5
(114)",お店やスポットの電話番号を追加する,観光名所,32.6288423,131.5787998
木夏才石,3,6 年前,"滝としてはとても綺麗です。
私が行ったときは前日に雨が降ったので水量はまあまあだったはずです。

ただ、滝までの道は遊歩道でなく、完全な登山道です。片道30分ほどとはいえ、スキーでも転ばない私が下りで二回も転びました。
それなりの覚悟でいった方が良いです。

途中の滝見橋のところには「スズメバチがいます」と。
それなりの覚悟で。

途中休むところもなく、虫も襲ってきます。
もう二度といきたくありません。
でも行って良かったです。",行縢の滝,"
〒882-0077 宮崎県延岡市行縢町",Unknown,Unknown,"4.5
(114)",お店やスポットの電話番号を追加する,観光名所,32.6288423,131.5787998
ひろきん,4,4 年前,"雄岳･雌岳二つの岩峰の間からかかる滝で落差は77m､幅は33mの雄大な滝
その落差からは想像できぬ緩やかな滝で別名･布引きの滝
また日本武尊の故事から矢筈の滝とも呼ばれている
日本名瀑百選に認定されている
そんな滝で初めて本格的な滝行をしてみた♪
10mくらいの落差の滝でだけどかなりパンチの効いた打たせ湯って感じ♪
かなり冷たいけどw
充二分に行縢の滝を楽しみ行縢を後にする",行縢の滝,"
〒882-0077 宮崎県延岡市行縢町",Unknown,Unknown,"4.5
(114)",お店やスポットの電話番号を追加する,観光名所,32.6288423,131.5787998
ひろきん,4,4 年前,"雄岳･雌岳二つの岩峰の間からかかる滝で落差は77m､幅は33mの雄大な滝
その落差からは想像できぬ緩やかな滝で別名･布引きの滝
また日本武尊の故事から矢筈の滝とも呼ばれている
日本名瀑百選に認定されている
そんな滝で初めて本格的な滝行をしてみた♪
10mくらいの落差の滝でだけどかなりパンチの効いた打たせ湯って感じ♪
かなり冷たいけどw
充二分に行縢の滝を楽しみ行縢を後にする",行縢の滝,"
〒882-0077 宮崎県延岡市行縢町",Unknown,Unknown,"4.5
(114)",お店やスポットの電話番号を追加する,観光名所,32.6288423,131.5787998
誉めお,5,1 年前,駐車場あり！5台位いける感じかな！滝までは、程よい道です！石畳みみたいな感じです。私が行った時は、水量は少なくサラサラと一枚岩を流れてる感じで見てて心が穏やかになりました！滝の真下にゴロンとできる平べったい岩があるのでしばらく仰向けになってました！そしたら、真上を自衛隊の戦闘機が飛んでました！その時に限ってシャッターチャンスを逃しましたあ！往復1時間程度かな？いい汗かけました！入り口に杖あります！,行縢の滝,"
〒882-0077 宮崎県延岡市行縢町",Unknown,Unknown,"4.5
(114)",お店やスポットの電話番号を追加する,観光名所,32.6288423,131.5787998
誉めお,5,1 年前,駐車場あり！5台位いける感じかな！滝までは、程よい道です！石畳みみたいな感じです。私が行った時は、水量は少なくサラサラと一枚岩を流れてる感じで見てて心が穏やかになりました！滝の真下にゴロンとできる平べったい岩があるのでしばらく仰向けになってました！そしたら、真上を自衛隊の戦闘機が飛んでました！その時に限ってシャッターチャンスを逃しましたあ！往復1時間程度かな？いい汗かけました！入り口に杖あります！,行縢の滝,"
〒882-0077 宮崎県延岡市行縢町",Unknown,Unknown,"4.5
(114)",お店やスポットの電話番号を追加する,観光名所,32.6288423,131.5787998
Shimo (しもさん),5,2 年前,"石積みの歩きやすい道。
自然を感じながら…

滝は水量は、ないですが迫力ありました。
是非行ってみてください",行縢の滝,"
〒882-0077 宮崎県延岡市行縢町",Unknown,Unknown,"4.5
(114)",お店やスポットの電話番号を追加する,観光名所,32.6288423,131.5787998
