Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
いか,3,1 年前,今、東京都から白米10キロ配布されたので5キロの白米一袋寄付してきました。今はコロナで活動休止中でお米の配布だけしてるみたいです。一回1キロ配布で75キロ位配布するらしいです。またお米もらったら半分お届けしようと思います。,要町あさやけ子ども食堂,"
〒171-0043 東京都豊島区要町１丁目３９−４","
03-3957-4270",http://www.asayake-kodomoshokudo.com/,"4.4
(22)",営業時間を追加,〒171-0043 東京都豊島区要町１丁目３９−４,35.735488,139.6971314
いか,3,1 年前,今、東京都から白米10キロ配布されたので5キロの白米一袋寄付してきました。今はコロナで活動休止中でお米の配布だけしてるみたいです。一回1キロ配布で75キロ位配布するらしいです。またお米もらったら半分お届けしようと思います。,要町あさやけ子ども食堂,"
〒171-0043 東京都豊島区要町１丁目３９−４","
03-3957-4270",http://www.asayake-kodomoshokudo.com/,"4.4
(22)",営業時間を追加,〒171-0043 東京都豊島区要町１丁目３９−４,35.735488,139.6971314
黄八丈かさね,5,8 か月前,いつも新鮮な食材を提供してくれて、ありがとうございます。明るく元気な子供達が増える事を願っています。応援しています❗🌠 …,要町あさやけ子ども食堂,"
〒171-0043 東京都豊島区要町１丁目３９−４","
03-3957-4270",http://www.asayake-kodomoshokudo.com/,"4.4
(22)",営業時間を追加,〒171-0043 東京都豊島区要町１丁目３９−４,35.735488,139.6971314
黄八丈かさね,5,8 か月前,いつも新鮮な食材を提供してくれて、ありがとうございます。明るく元気な子供達が増える事を願っています。応援しています❗🌠 …,要町あさやけ子ども食堂,"
〒171-0043 東京都豊島区要町１丁目３９−４","
03-3957-4270",http://www.asayake-kodomoshokudo.com/,"4.4
(22)",営業時間を追加,〒171-0043 東京都豊島区要町１丁目３９−４,35.735488,139.6971314
東田伸夫,5,9 年前,ひそか、ここの街で、できないものかと、寝ても起きても考えてます。夫の画面を借りて、まずはささやかな決意表明。今日はあっちに行き、「どーやらない！」と声かけ作業。はじめの一歩うまくいきますように！,要町あさやけ子ども食堂,"
〒171-0043 東京都豊島区要町１丁目３９−４","
03-3957-4270",http://www.asayake-kodomoshokudo.com/,"4.4
(22)",営業時間を追加,〒171-0043 東京都豊島区要町１丁目３９−４,35.735488,139.6971314
東田伸夫,5,9 年前,ひそか、ここの街で、できないものかと、寝ても起きても考えてます。夫の画面を借りて、まずはささやかな決意表明。今日はあっちに行き、「どーやらない！」と声かけ作業。はじめの一歩うまくいきますように！,要町あさやけ子ども食堂,"
〒171-0043 東京都豊島区要町１丁目３９−４","
03-3957-4270",http://www.asayake-kodomoshokudo.com/,"4.4
(22)",営業時間を追加,〒171-0043 東京都豊島区要町１丁目３９−４,35.735488,139.6971314
神崎美樹,5,6 年前,いつもありがとうございます。末永く、いつまでも応援しています。頑張ってください。,要町あさやけ子ども食堂,"
〒171-0043 東京都豊島区要町１丁目３９−４","
03-3957-4270",http://www.asayake-kodomoshokudo.com/,"4.4
(22)",営業時間を追加,〒171-0043 東京都豊島区要町１丁目３９−４,35.735488,139.6971314
神崎美樹,5,6 年前,いつもありがとうございます。末永く、いつまでも応援しています。頑張ってください。,要町あさやけ子ども食堂,"
〒171-0043 東京都豊島区要町１丁目３９−４","
03-3957-4270",http://www.asayake-kodomoshokudo.com/,"4.4
(22)",営業時間を追加,〒171-0043 東京都豊島区要町１丁目３９−４,35.735488,139.6971314
h asa,4,5 年前,"素晴らしい。
初めてのこの日は人が多すぎて、すぐに帰りました。",要町あさやけ子ども食堂,"
〒171-0043 東京都豊島区要町１丁目３９−４","
03-3957-4270",http://www.asayake-kodomoshokudo.com/,"4.4
(22)",営業時間を追加,〒171-0043 東京都豊島区要町１丁目３９−４,35.735488,139.6971314
h asa,4,5 年前,"素晴らしい。
初めてのこの日は人が多すぎて、すぐに帰りました。",要町あさやけ子ども食堂,"
〒171-0043 東京都豊島区要町１丁目３９−４","
03-3957-4270",http://www.asayake-kodomoshokudo.com/,"4.4
(22)",営業時間を追加,〒171-0043 東京都豊島区要町１丁目３９−４,35.735488,139.6971314
