Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
のんちゃん,5,5 日前,"平日の8時半、ほとんど人もいませんでしたが10分程過ぎると少しずつ人が増えてきました。
早くから入れるので朝から観光される方は良いと思います。
御朱印もすぐに頂けました。
写真では伝えられないものがあります。是非自分の目で見られてください。",豊国神社,"
〒739-0588 広島県廿日市市宮島町１−１","
0829-44-2020",https://www.itsukushimajinja.jp/jp/setumatusya.html#setumatusya05,"4.4
(1,306)",Unknown,〒739-0588 広島県廿日市市宮島町１−１,34.2959896,132.3198285
のんちゃん,5,5 日前,"平日の8時半、ほとんど人もいませんでしたが10分程過ぎると少しずつ人が増えてきました。
早くから入れるので朝から観光される方は良いと思います。
御朱印もすぐに頂けました。
写真では伝えられないものがあります。是非自分の目で見られてください。",豊国神社,"
〒739-0588 広島県廿日市市宮島町１−１","
0829-44-2020",https://www.itsukushimajinja.jp/jp/setumatusya.html#setumatusya05,"4.4
(1,306)",Unknown,〒739-0588 広島県廿日市市宮島町１−１,34.2959896,132.3198285
Hirofumi Saito (Kamedaifuku),4,2 か月前,"厳島神社の末社ですが、神仏習合の時代の面影を残す寺院風の建築です。
畳857枚分の広さがあることから千畳閣と呼ばれています。

元々は豊臣秀吉が毎月の千部経を読誦するため建立された施設ですが、建築の途中で秀吉が急逝したため、今日まで板壁が無く天井も一部分のみという未完成の状態です。

壁がなく広い堂内は、とても開放感のある造りで、ちょっと休憩をしながら景色を楽しむのに良いですよ。

飾られている宮島名物の大しゃもじも見どころです。

■予約：不要

■料金：100円（拝観料）

■アクセス性：宮島桟橋から約徒歩10分",豊国神社,"
〒739-0588 広島県廿日市市宮島町１−１","
0829-44-2020",https://www.itsukushimajinja.jp/jp/setumatusya.html#setumatusya05,"4.4
(1,306)",Unknown,〒739-0588 広島県廿日市市宮島町１−１,34.2959896,132.3198285
Hirofumi Saito (Kamedaifuku),4,2 か月前,"厳島神社の末社ですが、神仏習合の時代の面影を残す寺院風の建築です。
畳857枚分の広さがあることから千畳閣と呼ばれています。

元々は豊臣秀吉が毎月の千部経を読誦するため建立された施設ですが、建築の途中で秀吉が急逝したため、今日まで板壁が無く天井も一部分のみという未完成の状態です。

壁がなく広い堂内は、とても開放感のある造りで、ちょっと休憩をしながら景色を楽しむのに良いですよ。

飾られている宮島名物の大しゃもじも見どころです。

■予約：不要

■料金：100円（拝観料）

■アクセス性：宮島桟橋から約徒歩10分",豊国神社,"
〒739-0588 広島県廿日市市宮島町１−１","
0829-44-2020",https://www.itsukushimajinja.jp/jp/setumatusya.html#setumatusya05,"4.4
(1,306)",Unknown,〒739-0588 広島県廿日市市宮島町１−１,34.2959896,132.3198285
こばずん,5,2 か月前,"安土桃山時代に豊臣秀吉によって建てられた神社。
通称千畳閣。
未完成のまま工事は止まっているようです。
入場料がかかります。
靴を脱いで上がるので冬は足元が大変寒くなります。
中央にある社務所で御朱印をいただくこともできます。
高台にあるので行くまでの階段は少しありますが景色が良い。

ただ肝心の厳島神社と大鳥居は木々が間にあって綺麗には見えません。

神社内の天井には色々な奉納されたものが飾られていてみていて楽しいです。

宮島観光の一つとしてぜひよりたい神社です。",豊国神社,"
〒739-0588 広島県廿日市市宮島町１−１","
0829-44-2020",https://www.itsukushimajinja.jp/jp/setumatusya.html#setumatusya05,"4.4
(1,306)",Unknown,〒739-0588 広島県廿日市市宮島町１−１,34.2959896,132.3198285
こばずん,5,2 か月前,"安土桃山時代に豊臣秀吉によって建てられた神社。
通称千畳閣。
未完成のまま工事は止まっているようです。
入場料がかかります。
靴を脱いで上がるので冬は足元が大変寒くなります。
中央にある社務所で御朱印をいただくこともできます。
高台にあるので行くまでの階段は少しありますが景色が良い。

ただ肝心の厳島神社と大鳥居は木々が間にあって綺麗には見えません。

神社内の天井には色々な奉納されたものが飾られていてみていて楽しいです。

宮島観光の一つとしてぜひよりたい神社です。",豊国神社,"
〒739-0588 広島県廿日市市宮島町１−１","
0829-44-2020",https://www.itsukushimajinja.jp/jp/setumatusya.html#setumatusya05,"4.4
(1,306)",Unknown,〒739-0588 広島県廿日市市宮島町１−１,34.2959896,132.3198285
K S,4,3 か月前,"厳島神社に初詣へ行ったついでに寄ってみました。
初めて中に入ってみましたが、中には沢山の古い何かしらがたーくさん飾ってありますが、多すぎて何を見ておくべきなのかとか、別にそんな歴史的な価値がある物は無いのか、入っただけではわかりません。
ですが、良い天気の時に本殿から見渡せる景色は素晴らしいです。紅葉🍁の時期も桜🌸の時期も来てみたいな〜と思いました。",豊国神社,"
〒739-0588 広島県廿日市市宮島町１−１","
0829-44-2020",https://www.itsukushimajinja.jp/jp/setumatusya.html#setumatusya05,"4.4
(1,306)",Unknown,〒739-0588 広島県廿日市市宮島町１−１,34.2959896,132.3198285
K S,4,3 か月前,"厳島神社に初詣へ行ったついでに寄ってみました。
初めて中に入ってみましたが、中には沢山の古い何かしらがたーくさん飾ってありますが、多すぎて何を見ておくべきなのかとか、別にそんな歴史的な価値がある物は無いのか、入っただけではわかりません。
ですが、良い天気の時に本殿から見渡せる景色は素晴らしいです。紅葉🍁の時期も桜🌸の時期も来てみたいな〜と思いました。",豊国神社,"
〒739-0588 広島県廿日市市宮島町１−１","
0829-44-2020",https://www.itsukushimajinja.jp/jp/setumatusya.html#setumatusya05,"4.4
(1,306)",Unknown,〒739-0588 広島県廿日市市宮島町１−１,34.2959896,132.3198285
123 123,4,3 か月前,厳島神社を訪れた際に寄りました。豊臣秀吉の命により、安国寺恵瓊が建立を始めましたが、秀吉の急死により未完のまま現在にいたっているそうです。壁が無く、開放的でとても広く感じ、凛とした静寂さがあります。創建は1587年で国重要文化財に指定されています。昇殿料は100円です。,豊国神社,"
〒739-0588 広島県廿日市市宮島町１−１","
0829-44-2020",https://www.itsukushimajinja.jp/jp/setumatusya.html#setumatusya05,"4.4
(1,306)",Unknown,〒739-0588 広島県廿日市市宮島町１−１,34.2959896,132.3198285
123 123,4,3 か月前,厳島神社を訪れた際に寄りました。豊臣秀吉の命により、安国寺恵瓊が建立を始めましたが、秀吉の急死により未完のまま現在にいたっているそうです。壁が無く、開放的でとても広く感じ、凛とした静寂さがあります。創建は1587年で国重要文化財に指定されています。昇殿料は100円です。,豊国神社,"
〒739-0588 広島県廿日市市宮島町１−１","
0829-44-2020",https://www.itsukushimajinja.jp/jp/setumatusya.html#setumatusya05,"4.4
(1,306)",Unknown,〒739-0588 広島県廿日市市宮島町１−１,34.2959896,132.3198285
