Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
公園探訪人,5,3 か月前,高田公園は懐かしさと新しさが融合した不思議な場所。昭和の面影を残すSL遊具や山型遊具が、鮮やかにリニューアルされて現役で活躍中です。懐かしいのに新しい、そんな特別な体験が楽しめます,豊島区立高田公園,"
〒171-0033 東京都豊島区高田１丁目２８−３",Unknown,http://www.city.toshima.lg.jp/340/shisetsu/koen/048.html,"3.9
(10)",お店やスポットの電話番号を追加する,〒171-0033 東京都豊島区高田１丁目２８−３,36.3273793,138.987837
公園探訪人,5,3 か月前,高田公園は懐かしさと新しさが融合した不思議な場所。昭和の面影を残すSL遊具や山型遊具が、鮮やかにリニューアルされて現役で活躍中です。懐かしいのに新しい、そんな特別な体験が楽しめます,豊島区立高田公園,"
〒171-0033 東京都豊島区高田１丁目２８−３",Unknown,http://www.city.toshima.lg.jp/340/shisetsu/koen/048.html,"3.9
(10)",お店やスポットの電話番号を追加する,〒171-0033 東京都豊島区高田１丁目２８−３,36.3273793,138.987837
wataru sadamori,5,1 年前,初めて訪問しましたが素敵な公園です。遊戯施設が面白い🤣 …,豊島区立高田公園,"
〒171-0033 東京都豊島区高田１丁目２８−３",Unknown,http://www.city.toshima.lg.jp/340/shisetsu/koen/048.html,"3.9
(10)",お店やスポットの電話番号を追加する,〒171-0033 東京都豊島区高田１丁目２８−３,36.3273793,138.987837
wataru sadamori,5,1 年前,初めて訪問しましたが素敵な公園です。遊戯施設が面白い🤣 …,豊島区立高田公園,"
〒171-0033 東京都豊島区高田１丁目２８−３",Unknown,http://www.city.toshima.lg.jp/340/shisetsu/koen/048.html,"3.9
(10)",お店やスポットの電話番号を追加する,〒171-0033 東京都豊島区高田１丁目２８−３,36.3273793,138.987837
郡司和之,4,2 年前,遊具、ベンチ、トイレ🚻等揃っておりますが、小じんまりしているのでお子さんが遊び回るには少し狭いかな! …,豊島区立高田公園,"
〒171-0033 東京都豊島区高田１丁目２８−３",Unknown,http://www.city.toshima.lg.jp/340/shisetsu/koen/048.html,"3.9
(10)",お店やスポットの電話番号を追加する,〒171-0033 東京都豊島区高田１丁目２８−３,36.3273793,138.987837
郡司和之,4,2 年前,遊具、ベンチ、トイレ🚻等揃っておりますが、小じんまりしているのでお子さんが遊び回るには少し狭いかな! …,豊島区立高田公園,"
〒171-0033 東京都豊島区高田１丁目２８−３",Unknown,http://www.city.toshima.lg.jp/340/shisetsu/koen/048.html,"3.9
(10)",お店やスポットの電話番号を追加する,〒171-0033 東京都豊島区高田１丁目２８−３,36.3273793,138.987837
馬場一嘉,4,2 年前,いつもきれいに掃除をしてくださってありがとうございます！,豊島区立高田公園,"
〒171-0033 東京都豊島区高田１丁目２８−３",Unknown,http://www.city.toshima.lg.jp/340/shisetsu/koen/048.html,"3.9
(10)",お店やスポットの電話番号を追加する,〒171-0033 東京都豊島区高田１丁目２８−３,36.3273793,138.987837
馬場一嘉,4,2 年前,いつもきれいに掃除をしてくださってありがとうございます！,豊島区立高田公園,"
〒171-0033 東京都豊島区高田１丁目２８−３",Unknown,http://www.city.toshima.lg.jp/340/shisetsu/koen/048.html,"3.9
(10)",お店やスポットの電話番号を追加する,〒171-0033 東京都豊島区高田１丁目２８−３,36.3273793,138.987837
池田楓,5,2 年前,      2 年前 遊び場 滑り台の登り方がコの字の足場を登るかロッククライミングなので3歳以下では心配な方も多いかも知れません。 うちのは3歳半でやっと一人で登… もっと見る  1  共有,豊島区立高田公園,"
〒171-0033 東京都豊島区高田１丁目２８−３",Unknown,http://www.city.toshima.lg.jp/340/shisetsu/koen/048.html,"3.9
(10)",お店やスポットの電話番号を追加する,〒171-0033 東京都豊島区高田１丁目２８−３,36.3273793,138.987837
池田楓,5,2 年前,      2 年前 遊び場 滑り台の登り方がコの字の足場を登るかロッククライミングなので3歳以下では心配な方も多いかも知れません。 うちのは3歳半でやっと一人で登… もっと見る  1  共有,豊島区立高田公園,"
〒171-0033 東京都豊島区高田１丁目２８−３",Unknown,http://www.city.toshima.lg.jp/340/shisetsu/koen/048.html,"3.9
(10)",お店やスポットの電話番号を追加する,〒171-0033 東京都豊島区高田１丁目２８−３,36.3273793,138.987837
