Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
WildBlue,5,2 か月前,"東京では数すくない、西側と同じ1枚１枚焼いてくれるすき焼き屋さん。
東のすき焼きは１枚目しか焼かないで、あとはすき煮だけど、西側のすき焼きは野菜も全て食べる分を少しずつ焼いてくれる。
もちろんその方がちゃんとすき焼きって感じで美味しい。
近江牛のお店で、肉も脂がほどよく美味しい。
お米も近江米らしい。
焼ける人が少ないから、待たされる場合もあるけど、最初に説明してくれるから全く苦にならない。
今回は予約の電話の段階で説明されていたので、到着時間を調整できました。
すき焼きならここがいい。",近江源氏,"
〒160-0021 東京都新宿区歌舞伎町２丁目３９−８ ダーマビル","
03-5272-2850",http://www.oumigenji.co.jp/,"4.7
(77)",Unknown,〒160-0021 東京都新宿区歌舞伎町２丁目３９−８ ダーマビル,35.6970888,139.7021165
WildBlue,5,2 か月前,"東京では数すくない、西側と同じ1枚１枚焼いてくれるすき焼き屋さん。
東のすき焼きは１枚目しか焼かないで、あとはすき煮だけど、西側のすき焼きは野菜も全て食べる分を少しずつ焼いてくれる。
もちろんその方がちゃんとすき焼きって感じで美味しい。
近江牛のお店で、肉も脂がほどよく美味しい。
お米も近江米らしい。
焼ける人が少ないから、待たされる場合もあるけど、最初に説明してくれるから全く苦にならない。
今回は予約の電話の段階で説明されていたので、到着時間を調整できました。
すき焼きならここがいい。",近江源氏,"
〒160-0021 東京都新宿区歌舞伎町２丁目３９−８ ダーマビル","
03-5272-2850",http://www.oumigenji.co.jp/,"4.7
(77)",Unknown,〒160-0021 東京都新宿区歌舞伎町２丁目３９−８ ダーマビル,35.6970888,139.7021165
SAMURAI令和,5,2 か月前,"歌舞伎町のビルの一階、奥まった所にあります。小上がり席が3つとカウンター数席の昔ながらの雰囲気を漂わせる老舗。

お店の方が目の前でぜんぶ美味しく調理してくれるので、客は卵を溶いて待つだけです。
た。
関西風すき焼きをいただきましたが、割下と出汁で本当に焼くだけで、〆のうどんに至るまでお湯を足して煮たりはしませんでした。
人の良さそうな店長さんが「近江牛が自慢です🎵」と言ってました。

プライベートでも会食でも使える良いお店です。",近江源氏,"
〒160-0021 東京都新宿区歌舞伎町２丁目３９−８ ダーマビル","
03-5272-2850",http://www.oumigenji.co.jp/,"4.7
(77)",Unknown,〒160-0021 東京都新宿区歌舞伎町２丁目３９−８ ダーマビル,35.6970888,139.7021165
SAMURAI令和,5,2 か月前,"歌舞伎町のビルの一階、奥まった所にあります。小上がり席が3つとカウンター数席の昔ながらの雰囲気を漂わせる老舗。

お店の方が目の前でぜんぶ美味しく調理してくれるので、客は卵を溶いて待つだけです。
た。
関西風すき焼きをいただきましたが、割下と出汁で本当に焼くだけで、〆のうどんに至るまでお湯を足して煮たりはしませんでした。
人の良さそうな店長さんが「近江牛が自慢です🎵」と言ってました。

プライベートでも会食でも使える良いお店です。",近江源氏,"
〒160-0021 東京都新宿区歌舞伎町２丁目３９−８ ダーマビル","
03-5272-2850",http://www.oumigenji.co.jp/,"4.7
(77)",Unknown,〒160-0021 東京都新宿区歌舞伎町２丁目３９−８ ダーマビル,35.6970888,139.7021165
KACHI PI,5,2 か月前,"関西風のすき焼きを食べられる店です。
主な材料は滋賀から仕入れており、肉、お米、卵、野菜など全て拘っている感じでした。
すき焼きの味は甘すぎず、美味しかったです。
店員の方もみんな優しくご丁寧にすき焼きを作ってくれました！また行きます！",近江源氏,"
〒160-0021 東京都新宿区歌舞伎町２丁目３９−８ ダーマビル","
03-5272-2850",http://www.oumigenji.co.jp/,"4.7
(77)",Unknown,〒160-0021 東京都新宿区歌舞伎町２丁目３９−８ ダーマビル,35.6970888,139.7021165
KACHI PI,5,2 か月前,"関西風のすき焼きを食べられる店です。
主な材料は滋賀から仕入れており、肉、お米、卵、野菜など全て拘っている感じでした。
すき焼きの味は甘すぎず、美味しかったです。
店員の方もみんな優しくご丁寧にすき焼きを作ってくれました！また行きます！",近江源氏,"
〒160-0021 東京都新宿区歌舞伎町２丁目３９−８ ダーマビル","
03-5272-2850",http://www.oumigenji.co.jp/,"4.7
(77)",Unknown,〒160-0021 東京都新宿区歌舞伎町２丁目３９−８ ダーマビル,35.6970888,139.7021165
T K,2,1 か月前,"女性焼き手の方の個性が強く、人によっては気になるかもしれません。私は無理でした。
値段相応の味ではあるもののコース料理以外に、アラカルトメニューがあれば良いと思いました。
個人的には焼きの女性がいる限りは２回目はないでしょう。",近江源氏,"
〒160-0021 東京都新宿区歌舞伎町２丁目３９−８ ダーマビル","
03-5272-2850",http://www.oumigenji.co.jp/,"4.7
(77)",Unknown,〒160-0021 東京都新宿区歌舞伎町２丁目３９−８ ダーマビル,35.6970888,139.7021165
T K,2,1 か月前,"女性焼き手の方の個性が強く、人によっては気になるかもしれません。私は無理でした。
値段相応の味ではあるもののコース料理以外に、アラカルトメニューがあれば良いと思いました。
個人的には焼きの女性がいる限りは２回目はないでしょう。",近江源氏,"
〒160-0021 東京都新宿区歌舞伎町２丁目３９−８ ダーマビル","
03-5272-2850",http://www.oumigenji.co.jp/,"4.7
(77)",Unknown,〒160-0021 東京都新宿区歌舞伎町２丁目３９−８ ダーマビル,35.6970888,139.7021165
ナチュルー,4,11 か月前,"近江牛の美味しいすき焼きが食べられるお店です。
歌舞伎のど真ん中にあるので周りの環境は微妙ですがお肉は美味しいです。",近江源氏,"
〒160-0021 東京都新宿区歌舞伎町２丁目３９−８ ダーマビル","
03-5272-2850",http://www.oumigenji.co.jp/,"4.7
(77)",Unknown,〒160-0021 東京都新宿区歌舞伎町２丁目３９−８ ダーマビル,35.6970888,139.7021165
ナチュルー,4,11 か月前,"近江牛の美味しいすき焼きが食べられるお店です。
歌舞伎のど真ん中にあるので周りの環境は微妙ですがお肉は美味しいです。",近江源氏,"
〒160-0021 東京都新宿区歌舞伎町２丁目３９−８ ダーマビル","
03-5272-2850",http://www.oumigenji.co.jp/,"4.7
(77)",Unknown,〒160-0021 東京都新宿区歌舞伎町２丁目３９−８ ダーマビル,35.6970888,139.7021165
