Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
平野善信,3,3 か月前,"JR西日本管内では木次線三井野原駅に次いで二番目の標高６１１㍍に位置する、地元民の要請で建設された請願駅。

現在の利用客は０人の模様だが、広島駅からの臨時スキー列車の終着駅であったり、一部急行たいしゃく等の停車駅であったりと、華やかな時代が半世紀前迄は此の駅にはありました。",道後山駅,"
〒729-5612 広島県庄原市西城町高尾",Unknown,Unknown,"4.0
(26)",Unknown,駅,35.0108743,133.1021077
平野善信,3,3 か月前,"JR西日本管内では木次線三井野原駅に次いで二番目の標高６１１㍍に位置する、地元民の要請で建設された請願駅。

現在の利用客は０人の模様だが、広島駅からの臨時スキー列車の終着駅であったり、一部急行たいしゃく等の停車駅であったりと、華やかな時代が半世紀前迄は此の駅にはありました。",道後山駅,"
〒729-5612 広島県庄原市西城町高尾",Unknown,Unknown,"4.0
(26)",Unknown,駅,35.0108743,133.1021077
gogo Tosha,5,2 年前,"道後山駅""どうごやまえき""　国内秘境駅の一つである芸備線の中で一番標高の高い駅の筈。　豪雪地帯で冬季は雪がずっと残っている。　2022年12月の末の大雪の際にアタックしたが、国道から一気に細い道を上る道を見て我が車のスタッドレスでは心元無く断念、2月に再度トライしてやっと辿り着いた。目に入る昭和レトロの駅舎は言うまでもなく素晴らしい、そしてここに何故駅があるのかなんて、もはや存在意義などは問う事も無かった。　その古くからある味わいのある駅舎の中に入ると、地元愛が強く感じられる。　ボードの真ん中に書かれたイラストが印象深く、”いつもまで残って芸備線""と芸備線への愛がひしひしと感じられて心が痛む。　1日3便の路線でこの駅に降りる人と言えば、一部の青春18切符で興味本位で降りる人だけであろう。　2021年には一日乗車人員が0から1人に増えているが、恐らくはこの人達の影響であろう。駅舎にあるポストカードを貰い、記念に写真を撮り、道後山駅を訪れた事で良い思い出になった。",道後山駅,"
〒729-5612 広島県庄原市西城町高尾",Unknown,Unknown,"4.0
(26)",Unknown,駅,35.0108743,133.1021077
gogo Tosha,5,2 年前,"道後山駅""どうごやまえき""　国内秘境駅の一つである芸備線の中で一番標高の高い駅の筈。　豪雪地帯で冬季は雪がずっと残っている。　2022年12月の末の大雪の際にアタックしたが、国道から一気に細い道を上る道を見て我が車のスタッドレスでは心元無く断念、2月に再度トライしてやっと辿り着いた。目に入る昭和レトロの駅舎は言うまでもなく素晴らしい、そしてここに何故駅があるのかなんて、もはや存在意義などは問う事も無かった。　その古くからある味わいのある駅舎の中に入ると、地元愛が強く感じられる。　ボードの真ん中に書かれたイラストが印象深く、”いつもまで残って芸備線""と芸備線への愛がひしひしと感じられて心が痛む。　1日3便の路線でこの駅に降りる人と言えば、一部の青春18切符で興味本位で降りる人だけであろう。　2021年には一日乗車人員が0から1人に増えているが、恐らくはこの人達の影響であろう。駅舎にあるポストカードを貰い、記念に写真を撮り、道後山駅を訪れた事で良い思い出になった。",道後山駅,"
〒729-5612 広島県庄原市西城町高尾",Unknown,Unknown,"4.0
(26)",Unknown,駅,35.0108743,133.1021077
内山哲,4,2 年前,"〇２０２２年９月２４日・記
ＪＲ芸備線の無人駅。秘境駅の１つにも数えられる。２０２２年８月下旬、初訪問。
当駅がある芸備線の東城～備後落合間は、１日の列車本数が３往復と極端に少なく、今回当駅を訪問するために前夜は新見駅近くのホテルに宿泊。早朝５：１７新見駅発の一番列車に乗車して当駅へ来ました。
比較的しっかりした駅舎が残っていますが、一部は小型の消防車の格納庫として使われています。また、駅舎の直ぐ隣には別棟で新しく綺麗なトイレがありました。以前は駅に隣接してスキー場が営業していたそうですが、今は廃業しており、設備も撤去されているようです。早朝に訪れたこともあってか、大変静かな雰囲気で、また、ＪＲ西日本管内の駅では２番目に標高が高い駅ということで、８月なのに少し肌寒さも感じましたが、澄んだ空気が印象的でした。列車本数さえ多ければ、もう少し滞在したいところですが、６：５６当駅発の新見行き列車（往路に乗った列車が備後落合で折り返してくる）に乗らないと、次は午後まで列車がないため、３０分ちょっとしか滞在出来なかったのが残念です。
前述したとおり、当駅を含む芸備線の東城～備後落合間は列車本数が少ないこともあって、日本屈指の輸送密度の小ささと営業係数の低さを誇ります。コロナ禍を経て、各地でローカル線の存廃が本格的に議論されそうな空気になってきました。何度も乗りに来てますし、大好きな路線の１つですが、そんな自分でも正直、この区間の存続はかなり厳しいのではないかと感じます。大変残念ですが・・・。",道後山駅,"
〒729-5612 広島県庄原市西城町高尾",Unknown,Unknown,"4.0
(26)",Unknown,駅,35.0108743,133.1021077
内山哲,4,2 年前,"〇２０２２年９月２４日・記
ＪＲ芸備線の無人駅。秘境駅の１つにも数えられる。２０２２年８月下旬、初訪問。
当駅がある芸備線の東城～備後落合間は、１日の列車本数が３往復と極端に少なく、今回当駅を訪問するために前夜は新見駅近くのホテルに宿泊。早朝５：１７新見駅発の一番列車に乗車して当駅へ来ました。
比較的しっかりした駅舎が残っていますが、一部は小型の消防車の格納庫として使われています。また、駅舎の直ぐ隣には別棟で新しく綺麗なトイレがありました。以前は駅に隣接してスキー場が営業していたそうですが、今は廃業しており、設備も撤去されているようです。早朝に訪れたこともあってか、大変静かな雰囲気で、また、ＪＲ西日本管内の駅では２番目に標高が高い駅ということで、８月なのに少し肌寒さも感じましたが、澄んだ空気が印象的でした。列車本数さえ多ければ、もう少し滞在したいところですが、６：５６当駅発の新見行き列車（往路に乗った列車が備後落合で折り返してくる）に乗らないと、次は午後まで列車がないため、３０分ちょっとしか滞在出来なかったのが残念です。
前述したとおり、当駅を含む芸備線の東城～備後落合間は列車本数が少ないこともあって、日本屈指の輸送密度の小ささと営業係数の低さを誇ります。コロナ禍を経て、各地でローカル線の存廃が本格的に議論されそうな空気になってきました。何度も乗りに来てますし、大好きな路線の１つですが、そんな自分でも正直、この区間の存続はかなり厳しいのではないかと感じます。大変残念ですが・・・。",道後山駅,"
〒729-5612 広島県庄原市西城町高尾",Unknown,Unknown,"4.0
(26)",Unknown,駅,35.0108743,133.1021077
Kawasaki Kunio,5,3 年前,ひなびた感じの、ひじょうに雰囲気の良い駅でした。思わず、駅舎を壁紙にしちゃいました！！いつまでも、芸備線　残したい路線ですよね。,道後山駅,"
〒729-5612 広島県庄原市西城町高尾",Unknown,Unknown,"4.0
(26)",Unknown,駅,35.0108743,133.1021077
Kawasaki Kunio,5,3 年前,ひなびた感じの、ひじょうに雰囲気の良い駅でした。思わず、駅舎を壁紙にしちゃいました！！いつまでも、芸備線　残したい路線ですよね。,道後山駅,"
〒729-5612 広島県庄原市西城町高尾",Unknown,Unknown,"4.0
(26)",Unknown,駅,35.0108743,133.1021077
kiraku房,2,1 年前,今は道後山の登山者も冬のスキー客の利用者がほとんどないようですが３０年くらい前は賑わいがあり駅舎内で軽食食べた思い出があり少し寂しく思います😢 …,道後山駅,"
〒729-5612 広島県庄原市西城町高尾",Unknown,Unknown,"4.0
(26)",Unknown,駅,35.0108743,133.1021077
kiraku房,2,1 年前,今は道後山の登山者も冬のスキー客の利用者がほとんどないようですが３０年くらい前は賑わいがあり駅舎内で軽食食べた思い出があり少し寂しく思います😢 …,道後山駅,"
〒729-5612 広島県庄原市西城町高尾",Unknown,Unknown,"4.0
(26)",Unknown,駅,35.0108743,133.1021077
