Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
ることらべー,N/A,"Google
より（5 日前）","泉質が好きで何度か宿泊しています。寒いですがここは冬に行くのが最高です。今年は八甲田の樹氷を見てきました！天気が良かったので次はスキーかボードをしてみたいと思ってしまいました。
外国人がものすごく増えてますが、ガイドさんが「大声でしゃべらない」「タオルは浴槽につけない」など日本のマナーをレクチャーしてますのでびっくりするひどい行動は見かけませんでした。また、日帰りする外国人も多いので夜の大浴場は大混雑ではありません。
私は玉の湯（女）も利用しますが、やっぱり混浴の方が大きいので女性もぜひ湯浴み着を購入するかレンタルしてヒバ千人風呂に堂々と入って温泉を大満喫して欲しいです😃
私はここの温泉に入るとなぜかイボが取れます（笑）
部屋は棟によって相違があるので、古いのが苦手な方は旅館棟の１号館を選ぶのがおすすめです。
私はこの渋さと古さがたまりません！おしゃれでカッコだけの宿ではなく本物の温泉を楽しめる酸ヶ湯温泉をずっと応援します。",酸ヶ湯温泉旅館,"
〒030-0111 青森県青森市荒川南荒川山 国有林酸湯沢50番地","
017-738-6002",https://www.sukayu.jp/,"4.3
(4,949)",Unknown,〒030-0111 青森県青森市荒川南荒川山 国有林酸湯沢50番地,40.6491251,140.8494999
ることらべー,N/A,"Google
より（5 日前）","泉質が好きで何度か宿泊しています。寒いですがここは冬に行くのが最高です。今年は八甲田の樹氷を見てきました！天気が良かったので次はスキーかボードをしてみたいと思ってしまいました。
外国人がものすごく増えてますが、ガイドさんが「大声でしゃべらない」「タオルは浴槽につけない」など日本のマナーをレクチャーしてますのでびっくりするひどい行動は見かけませんでした。また、日帰りする外国人も多いので夜の大浴場は大混雑ではありません。
私は玉の湯（女）も利用しますが、やっぱり混浴の方が大きいので女性もぜひ湯浴み着を購入するかレンタルしてヒバ千人風呂に堂々と入って温泉を大満喫して欲しいです😃
私はここの温泉に入るとなぜかイボが取れます（笑）
部屋は棟によって相違があるので、古いのが苦手な方は旅館棟の１号館を選ぶのがおすすめです。
私はこの渋さと古さがたまりません！おしゃれでカッコだけの宿ではなく本物の温泉を楽しめる酸ヶ湯温泉をずっと応援します。",酸ヶ湯温泉旅館,"
〒030-0111 青森県青森市荒川南荒川山 国有林酸湯沢50番地","
017-738-6002",https://www.sukayu.jp/,"4.3
(4,949)",Unknown,〒030-0111 青森県青森市荒川南荒川山 国有林酸湯沢50番地,40.6491251,140.8494999
ハオタイロン,N/A,"Google
より（1 週間前）","有名な温泉地だが日帰りのみで今まで宿泊した事がなかったが、空き部屋があったので湯治棟の2食付きで宿泊しました。

部屋は昭和感漂うレトロな感じだが、ボロかったり、不潔な感じはなく、きちんと改修されているようでした。贅沢を言えば広縁に椅子とテーブルがあれば良かった。

建物はかなり古く、廊下を歩く音や階段を昇降する音が結構響くし、隣の部屋の話し声が聞こえるが、我慢できないほどではないし、それを含めて楽しむ事が出来るレベルでした。

共同トイレにはウォシュレットも設置されていて、最低限の設備は整っていました。

お風呂は混浴で24時間入浴可能な千人風呂と玉の湯の両方に何度も入り、満足。酸ヶ湯のお湯は相変わらず最高でした。

食事は湯治プランだったので、そんなに期待していませんでしたが、鶏団子とキノコがたっぷり入った鍋が美味しくて、お替りしてしまいました。

朝食は和洋バイキング。過不足なく美味しく頂きました。",酸ヶ湯温泉旅館,"
〒030-0111 青森県青森市荒川南荒川山 国有林酸湯沢50番地","
017-738-6002",https://www.sukayu.jp/,"4.3
(4,949)",Unknown,〒030-0111 青森県青森市荒川南荒川山 国有林酸湯沢50番地,40.6491251,140.8494999
ハオタイロン,N/A,"Google
より（1 週間前）","有名な温泉地だが日帰りのみで今まで宿泊した事がなかったが、空き部屋があったので湯治棟の2食付きで宿泊しました。

部屋は昭和感漂うレトロな感じだが、ボロかったり、不潔な感じはなく、きちんと改修されているようでした。贅沢を言えば広縁に椅子とテーブルがあれば良かった。

建物はかなり古く、廊下を歩く音や階段を昇降する音が結構響くし、隣の部屋の話し声が聞こえるが、我慢できないほどではないし、それを含めて楽しむ事が出来るレベルでした。

共同トイレにはウォシュレットも設置されていて、最低限の設備は整っていました。

お風呂は混浴で24時間入浴可能な千人風呂と玉の湯の両方に何度も入り、満足。酸ヶ湯のお湯は相変わらず最高でした。

食事は湯治プランだったので、そんなに期待していませんでしたが、鶏団子とキノコがたっぷり入った鍋が美味しくて、お替りしてしまいました。

朝食は和洋バイキング。過不足なく美味しく頂きました。",酸ヶ湯温泉旅館,"
〒030-0111 青森県青森市荒川南荒川山 国有林酸湯沢50番地","
017-738-6002",https://www.sukayu.jp/,"4.3
(4,949)",Unknown,〒030-0111 青森県青森市荒川南荒川山 国有林酸湯沢50番地,40.6491251,140.8494999
Jyoji,N/A,"Google
より（3 週間前）","平日日帰り温泉で訪問、多くの観光客がいました。
入館料は1000円、フェイスタオル付きです。
ヒバ仙人風呂と玉の湯どちらも入浴しました。
仙人風呂は混浴ですが広くゆったり浸かれます。
玉の湯は洗い場がありますが浴槽が小さいので混雑時は避けたほうがいいかもしれません。
どちらも湯温はちょうどよいです。酸性の温
泉なので傷口に染みて痛かったです。
食堂は酸ヶ湯そばが名物です。
冬は豪雪地帯のため雪の壁ができます。
青森駅、新青森駅からバスでも訪問できますので車の運転が苦手な方でも訪問可能です。",酸ヶ湯温泉旅館,"
〒030-0111 青森県青森市荒川南荒川山 国有林酸湯沢50番地","
017-738-6002",https://www.sukayu.jp/,"4.3
(4,949)",Unknown,〒030-0111 青森県青森市荒川南荒川山 国有林酸湯沢50番地,40.6491251,140.8494999
Jyoji,N/A,"Google
より（3 週間前）","平日日帰り温泉で訪問、多くの観光客がいました。
入館料は1000円、フェイスタオル付きです。
ヒバ仙人風呂と玉の湯どちらも入浴しました。
仙人風呂は混浴ですが広くゆったり浸かれます。
玉の湯は洗い場がありますが浴槽が小さいので混雑時は避けたほうがいいかもしれません。
どちらも湯温はちょうどよいです。酸性の温
泉なので傷口に染みて痛かったです。
食堂は酸ヶ湯そばが名物です。
冬は豪雪地帯のため雪の壁ができます。
青森駅、新青森駅からバスでも訪問できますので車の運転が苦手な方でも訪問可能です。",酸ヶ湯温泉旅館,"
〒030-0111 青森県青森市荒川南荒川山 国有林酸湯沢50番地","
017-738-6002",https://www.sukayu.jp/,"4.3
(4,949)",Unknown,〒030-0111 青森県青森市荒川南荒川山 国有林酸湯沢50番地,40.6491251,140.8494999
ウダウダウダウダ,N/A,"Google
より（4 日前）","めちゃくちゃ山の中。
3月後半に行ったためまだ4mは雪が残っており途中通行止め。ルート変更しました。
混浴は初めて。
仕切りは…見当たらず。
湯あみを借りていたので裸が見られる心配はありませんでした。
カップルや家族で来ている方は女性も入浴されてました。
あとはおばあちゃんが数人。
お湯は白ぽくてなんだか気持ち良い！！
すごく良かったです。",酸ヶ湯温泉旅館,"
〒030-0111 青森県青森市荒川南荒川山 国有林酸湯沢50番地","
017-738-6002",https://www.sukayu.jp/,"4.3
(4,949)",Unknown,〒030-0111 青森県青森市荒川南荒川山 国有林酸湯沢50番地,40.6491251,140.8494999
ウダウダウダウダ,N/A,"Google
より（4 日前）","めちゃくちゃ山の中。
3月後半に行ったためまだ4mは雪が残っており途中通行止め。ルート変更しました。
混浴は初めて。
仕切りは…見当たらず。
湯あみを借りていたので裸が見られる心配はありませんでした。
カップルや家族で来ている方は女性も入浴されてました。
あとはおばあちゃんが数人。
お湯は白ぽくてなんだか気持ち良い！！
すごく良かったです。",酸ヶ湯温泉旅館,"
〒030-0111 青森県青森市荒川南荒川山 国有林酸湯沢50番地","
017-738-6002",https://www.sukayu.jp/,"4.3
(4,949)",Unknown,〒030-0111 青森県青森市荒川南荒川山 国有林酸湯沢50番地,40.6491251,140.8494999
T H Devon,N/A,"Google
より（1 か月前）",湯治棟に宿泊。廊下がボロボロでテンションダダ下がり。部屋はまぁ許容範囲。湯治棟は情緒なんてなく、ただボロいだけ。温泉の泉質は最高。情緒もある。しかし、食事が全然美味しくない。親切なスタッフさんもいれば、とんでもなく失礼な勘違いスタッフも居て、勘違いスタッフは態度最悪です。サービス業として許し難いレベルに感じ悪い。食事が合わなかったしボロ過ぎるから宿泊は二度としたくないけど、ここの温泉の泉質は日本でも最高峰のレベルだから、スキーで来る度に、日帰りではまた来ると思います。,酸ヶ湯温泉旅館,"
〒030-0111 青森県青森市荒川南荒川山 国有林酸湯沢50番地","
017-738-6002",https://www.sukayu.jp/,"4.3
(4,949)",Unknown,〒030-0111 青森県青森市荒川南荒川山 国有林酸湯沢50番地,40.6491251,140.8494999
T H Devon,N/A,"Google
より（1 か月前）",湯治棟に宿泊。廊下がボロボロでテンションダダ下がり。部屋はまぁ許容範囲。湯治棟は情緒なんてなく、ただボロいだけ。温泉の泉質は最高。情緒もある。しかし、食事が全然美味しくない。親切なスタッフさんもいれば、とんでもなく失礼な勘違いスタッフも居て、勘違いスタッフは態度最悪です。サービス業として許し難いレベルに感じ悪い。食事が合わなかったしボロ過ぎるから宿泊は二度としたくないけど、ここの温泉の泉質は日本でも最高峰のレベルだから、スキーで来る度に、日帰りではまた来ると思います。,酸ヶ湯温泉旅館,"
〒030-0111 青森県青森市荒川南荒川山 国有林酸湯沢50番地","
017-738-6002",https://www.sukayu.jp/,"4.3
(4,949)",Unknown,〒030-0111 青森県青森市荒川南荒川山 国有林酸湯沢50番地,40.6491251,140.8494999
