Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Ks,5,11 か月前,1980年8月にランドナーで訪問して以来44年ぶり。2024年4月末時点で峠から東(長野)側は通行止め。崩落の調査中らしい。お助け小屋は時間を限定してまだ開いているけれど、野麦峠の館はすでに閉館。野麦峠の石碑と峠から見える乗鞍は昔通り。「ああ飛騨が見える・・」の女工さんの石碑が比較的新しい(？)。,野麦峠,"
〒390-1611 長野県松本市奈川",Unknown,Unknown,"4.6
(5)",Unknown,〒390-1611 長野県松本市奈川,36.0523402,137.6054953
Ks,5,11 か月前,1980年8月にランドナーで訪問して以来44年ぶり。2024年4月末時点で峠から東(長野)側は通行止め。崩落の調査中らしい。お助け小屋は時間を限定してまだ開いているけれど、野麦峠の館はすでに閉館。野麦峠の石碑と峠から見える乗鞍は昔通り。「ああ飛騨が見える・・」の女工さんの石碑が比較的新しい(？)。,野麦峠,"
〒390-1611 長野県松本市奈川",Unknown,Unknown,"4.6
(5)",Unknown,〒390-1611 長野県松本市奈川,36.0523402,137.6054953
bunji abe,5,2 年前,大竹しのぶさん主演の(原田美美枝子さん、古手川祐子さん、友里千賀子さんも出演してましたね～)あゝ野麦峠の映画を見てから40年ぐらい経過しましたが、いつかは野麦峠へ行きたいと思っていました。今回紅葉の時期に行けて満足です。峠にあるお助け小屋、妹を背負った兄の像を見てきました。もちろん乗鞍岳も見ることができました。1.3km残っている旧野麦街道を来年歩く予定です。,野麦峠,"
〒390-1611 長野県松本市奈川",Unknown,Unknown,"4.6
(5)",Unknown,〒390-1611 長野県松本市奈川,36.0523402,137.6054953
bunji abe,5,2 年前,大竹しのぶさん主演の(原田美美枝子さん、古手川祐子さん、友里千賀子さんも出演してましたね～)あゝ野麦峠の映画を見てから40年ぐらい経過しましたが、いつかは野麦峠へ行きたいと思っていました。今回紅葉の時期に行けて満足です。峠にあるお助け小屋、妹を背負った兄の像を見てきました。もちろん乗鞍岳も見ることができました。1.3km残っている旧野麦街道を来年歩く予定です。,野麦峠,"
〒390-1611 長野県松本市奈川",Unknown,Unknown,"4.6
(5)",Unknown,〒390-1611 長野県松本市奈川,36.0523402,137.6054953
吉曹司（三郎）,3,1 年前,"何故か夏に行きたくなります。
雲が無ければ北の方に乗鞍岳がよく見えますよ!",野麦峠,"
〒390-1611 長野県松本市奈川",Unknown,Unknown,"4.6
(5)",Unknown,〒390-1611 長野県松本市奈川,36.0523402,137.6054953
吉曹司（三郎）,3,1 年前,"何故か夏に行きたくなります。
雲が無ければ北の方に乗鞍岳がよく見えますよ!",野麦峠,"
〒390-1611 長野県松本市奈川",Unknown,Unknown,"4.6
(5)",Unknown,〒390-1611 長野県松本市奈川,36.0523402,137.6054953
上野哲郎,5,3 年前,景色も良く、お助け小屋の蕎麦も美味しい😆広い駐車場もあるし、《峠の博物館》も、一見の価値ありです👍 …,野麦峠,"
〒390-1611 長野県松本市奈川",Unknown,Unknown,"4.6
(5)",Unknown,〒390-1611 長野県松本市奈川,36.0523402,137.6054953
上野哲郎,5,3 年前,景色も良く、お助け小屋の蕎麦も美味しい😆広い駐車場もあるし、《峠の博物館》も、一見の価値ありです👍 …,野麦峠,"
〒390-1611 長野県松本市奈川",Unknown,Unknown,"4.6
(5)",Unknown,〒390-1611 長野県松本市奈川,36.0523402,137.6054953
平沼義之（ヨッキれん）,5,4 年前,      4 年前,野麦峠,"
〒390-1611 長野県松本市奈川",Unknown,Unknown,"4.6
(5)",Unknown,〒390-1611 長野県松本市奈川,36.0523402,137.6054953
平沼義之（ヨッキれん）,5,4 年前,      4 年前,野麦峠,"
〒390-1611 長野県松本市奈川",Unknown,Unknown,"4.6
(5)",Unknown,〒390-1611 長野県松本市奈川,36.0523402,137.6054953
