Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
kibimochi,3,1 年前,"石狩川水系の空知川の上流部に造られた、中空重力式コンクリートダム。斜めに断面積が広いので、重力式コンクリートダムとしても見栄えが中々良い。巨大建築物好き的にも結構満足。

堤体の上を渡った先には管理支所を兼ねた「湖・ダム・ふれあい展示ホール」という、結構大きめな広報施設があり、金山ダムに関する展示物を見ることができるほか、屋上からダム湖を見渡すこともできる。エレベーターもあるので安心。
ちなみにダムカードもその施設内にある。",金山ダム,"
〒079-2131 北海道空知郡南富良野町金山","
0167-54-2131",https://www.hkd.mlit.go.jp/sp/sorati_kasen/kluhh40000005w7g.html,"4.0
(100)",Unknown,堰,43.1297954,142.4431803
kibimochi,3,1 年前,"石狩川水系の空知川の上流部に造られた、中空重力式コンクリートダム。斜めに断面積が広いので、重力式コンクリートダムとしても見栄えが中々良い。巨大建築物好き的にも結構満足。

堤体の上を渡った先には管理支所を兼ねた「湖・ダム・ふれあい展示ホール」という、結構大きめな広報施設があり、金山ダムに関する展示物を見ることができるほか、屋上からダム湖を見渡すこともできる。エレベーターもあるので安心。
ちなみにダムカードもその施設内にある。",金山ダム,"
〒079-2131 北海道空知郡南富良野町金山","
0167-54-2131",https://www.hkd.mlit.go.jp/sp/sorati_kasen/kluhh40000005w7g.html,"4.0
(100)",Unknown,堰,43.1297954,142.4431803
せれなにーさん,5,2 年前,"道内で唯一の中空重力式ダム！高さデカさ、渋さ、全てにおいてカッコいいダムです！

とにかく面構えがカッコいい！
やはり高さのあるダムはカッコいいですね😁
こちらの金山ダムは堤頂の上を車で通れるという大変レアなダムです。
堤頂を車で横断した向こうに駐車場と資料館があり、そこでダムカードの配布もしています。
中空重力式という大変珍しい工法を採用しており、現在はその複雑な工程ゆえに採用されていないそうです。
中が空洞で吹き抜けや通路になっており、ダムの中を見学できる見学会も行ってるようで、是非一度見学してみたいですね〜

資料館の屋上に上がる事ができ、屋上からは広大な「かなやま湖」を一望する事が出来ます。

非常に優秀なダムで台風の被害を最小限に留めたとして2016年にダムアワードを受賞しており、資料館には当時の様子やダムの管理の様子などを詳しく知る事ができ、ダム好きじゃなくても楽しくダムを学べる場所になっています。

駐車場とトイレも完備されていますよ",金山ダム,"
〒079-2131 北海道空知郡南富良野町金山","
0167-54-2131",https://www.hkd.mlit.go.jp/sp/sorati_kasen/kluhh40000005w7g.html,"4.0
(100)",Unknown,堰,43.1297954,142.4431803
せれなにーさん,5,2 年前,"道内で唯一の中空重力式ダム！高さデカさ、渋さ、全てにおいてカッコいいダムです！

とにかく面構えがカッコいい！
やはり高さのあるダムはカッコいいですね😁
こちらの金山ダムは堤頂の上を車で通れるという大変レアなダムです。
堤頂を車で横断した向こうに駐車場と資料館があり、そこでダムカードの配布もしています。
中空重力式という大変珍しい工法を採用しており、現在はその複雑な工程ゆえに採用されていないそうです。
中が空洞で吹き抜けや通路になっており、ダムの中を見学できる見学会も行ってるようで、是非一度見学してみたいですね〜

資料館の屋上に上がる事ができ、屋上からは広大な「かなやま湖」を一望する事が出来ます。

非常に優秀なダムで台風の被害を最小限に留めたとして2016年にダムアワードを受賞しており、資料館には当時の様子やダムの管理の様子などを詳しく知る事ができ、ダム好きじゃなくても楽しくダムを学べる場所になっています。

駐車場とトイレも完備されていますよ",金山ダム,"
〒079-2131 北海道空知郡南富良野町金山","
0167-54-2131",https://www.hkd.mlit.go.jp/sp/sorati_kasen/kluhh40000005w7g.html,"4.0
(100)",Unknown,堰,43.1297954,142.4431803
チーズ&クッキー,5,9 か月前,"資料館屋上からの景色は最高
一階の入り口にダムカードが置いてある。
記名して勝手に持ち帰ります。日曜日",金山ダム,"
〒079-2131 北海道空知郡南富良野町金山","
0167-54-2131",https://www.hkd.mlit.go.jp/sp/sorati_kasen/kluhh40000005w7g.html,"4.0
(100)",Unknown,堰,43.1297954,142.4431803
チーズ&クッキー,5,9 か月前,"資料館屋上からの景色は最高
一階の入り口にダムカードが置いてある。
記名して勝手に持ち帰ります。日曜日",金山ダム,"
〒079-2131 北海道空知郡南富良野町金山","
0167-54-2131",https://www.hkd.mlit.go.jp/sp/sorati_kasen/kluhh40000005w7g.html,"4.0
(100)",Unknown,堰,43.1297954,142.4431803
hideki fujiwara,3,3 年前,"空知川にある大きなダムです。ダムの天端を車で渡る事ができ、渡った先に管理事務所と展示施設が有ります。
湖畔には人気キャンプ施設やラベンダー畑もあります。
ダム下に発電施設があり、使用した水は5キロ以上下流に有る別の発電施設に送られています。
ダム直下の河川が無水区間とならない様に、期間と時間を管理しながら　河川維持放流をしています。",金山ダム,"
〒079-2131 北海道空知郡南富良野町金山","
0167-54-2131",https://www.hkd.mlit.go.jp/sp/sorati_kasen/kluhh40000005w7g.html,"4.0
(100)",Unknown,堰,43.1297954,142.4431803
hideki fujiwara,3,3 年前,"空知川にある大きなダムです。ダムの天端を車で渡る事ができ、渡った先に管理事務所と展示施設が有ります。
湖畔には人気キャンプ施設やラベンダー畑もあります。
ダム下に発電施設があり、使用した水は5キロ以上下流に有る別の発電施設に送られています。
ダム直下の河川が無水区間とならない様に、期間と時間を管理しながら　河川維持放流をしています。",金山ダム,"
〒079-2131 北海道空知郡南富良野町金山","
0167-54-2131",https://www.hkd.mlit.go.jp/sp/sorati_kasen/kluhh40000005w7g.html,"4.0
(100)",Unknown,堰,43.1297954,142.4431803
kaizuka river,5,1 年前,"この場所（ダムサイト）は根室本線の有名なスポットらしいです。
2023年3月に富良野からの定期運行が終了のため、来春桜の咲く頃の列車の風景は終わりとなります。
ここはバックに芦別岳、夕張岳を望む素敵な場所でもあります。
これからは列車の最後となる冬場の風景となるのですね。
寂しい気がいたします。",金山ダム,"
〒079-2131 北海道空知郡南富良野町金山","
0167-54-2131",https://www.hkd.mlit.go.jp/sp/sorati_kasen/kluhh40000005w7g.html,"4.0
(100)",Unknown,堰,43.1297954,142.4431803
kaizuka river,5,1 年前,"この場所（ダムサイト）は根室本線の有名なスポットらしいです。
2023年3月に富良野からの定期運行が終了のため、来春桜の咲く頃の列車の風景は終わりとなります。
ここはバックに芦別岳、夕張岳を望む素敵な場所でもあります。
これからは列車の最後となる冬場の風景となるのですね。
寂しい気がいたします。",金山ダム,"
〒079-2131 北海道空知郡南富良野町金山","
0167-54-2131",https://www.hkd.mlit.go.jp/sp/sorati_kasen/kluhh40000005w7g.html,"4.0
(100)",Unknown,堰,43.1297954,142.4431803
