Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
ふみおA,4,1 か月前,"成人式はじめ金沢市の色々なイベントで使われます。部屋が大小色々あります。
街中なので交通の便は良いですが、車で気軽にという感じでは有りません。
2025/03/01",金沢市文化ホール,"
〒920-0864 石川県金沢市高岡町１５−１","
076-223-1221",http://www.bunka-h.gr.jp/,"3.9
(505)",Unknown,〒920-0864 石川県金沢市高岡町１５−１,36.5686943,136.6530032
ふみおA,4,1 か月前,"成人式はじめ金沢市の色々なイベントで使われます。部屋が大小色々あります。
街中なので交通の便は良いですが、車で気軽にという感じでは有りません。
2025/03/01",金沢市文化ホール,"
〒920-0864 石川県金沢市高岡町１５−１","
076-223-1221",http://www.bunka-h.gr.jp/,"3.9
(505)",Unknown,〒920-0864 石川県金沢市高岡町１５−１,36.5686943,136.6530032
??,4,5 か月前,綺麗です　2階合わせて座席25列　椅子幅は広め　軽食喫茶紅梅　ギャラリー　多目的スペース　茶室あり　駐車場は関係者だけ止めれます　観客さんは近隣に小規模な時間貸しがたくさんあり　そちらに止めます,金沢市文化ホール,"
〒920-0864 石川県金沢市高岡町１５−１","
076-223-1221",http://www.bunka-h.gr.jp/,"3.9
(505)",Unknown,〒920-0864 石川県金沢市高岡町１５−１,36.5686943,136.6530032
??,4,5 か月前,綺麗です　2階合わせて座席25列　椅子幅は広め　軽食喫茶紅梅　ギャラリー　多目的スペース　茶室あり　駐車場は関係者だけ止めれます　観客さんは近隣に小規模な時間貸しがたくさんあり　そちらに止めます,金沢市文化ホール,"
〒920-0864 石川県金沢市高岡町１５−１","
076-223-1221",http://www.bunka-h.gr.jp/,"3.9
(505)",Unknown,〒920-0864 石川県金沢市高岡町１５−１,36.5686943,136.6530032
マリマリコ,5,3 か月前,スガシカオ初参戦！金沢文化ホームのシート、ソファーみたいで座り心地良かったけど、座っている場合じゃない盛り上がり❗️,金沢市文化ホール,"
〒920-0864 石川県金沢市高岡町１５−１","
076-223-1221",http://www.bunka-h.gr.jp/,"3.9
(505)",Unknown,〒920-0864 石川県金沢市高岡町１５−１,36.5686943,136.6530032
マリマリコ,5,3 か月前,スガシカオ初参戦！金沢文化ホームのシート、ソファーみたいで座り心地良かったけど、座っている場合じゃない盛り上がり❗️,金沢市文化ホール,"
〒920-0864 石川県金沢市高岡町１５−１","
076-223-1221",http://www.bunka-h.gr.jp/,"3.9
(505)",Unknown,〒920-0864 石川県金沢市高岡町１５−１,36.5686943,136.6530032
さくら,5,2 週間前,"清水みちこさんのライブに伺いました
目の前の駐車場が空いてたので、駐車場インそこから、コンサート開始時間まで香林坊でブラブラしました
コンサート始まる頃には満車になってました
少し早めに行くのが良いと思います♪
また利用したいです",金沢市文化ホール,"
〒920-0864 石川県金沢市高岡町１５−１","
076-223-1221",http://www.bunka-h.gr.jp/,"3.9
(505)",Unknown,〒920-0864 石川県金沢市高岡町１５−１,36.5686943,136.6530032
さくら,5,2 週間前,"清水みちこさんのライブに伺いました
目の前の駐車場が空いてたので、駐車場インそこから、コンサート開始時間まで香林坊でブラブラしました
コンサート始まる頃には満車になってました
少し早めに行くのが良いと思います♪
また利用したいです",金沢市文化ホール,"
〒920-0864 石川県金沢市高岡町１５−１","
076-223-1221",http://www.bunka-h.gr.jp/,"3.9
(505)",Unknown,〒920-0864 石川県金沢市高岡町１５−１,36.5686943,136.6530032
もえ,4,1 か月前,"セミナーやイベント、コンサートなどでたびたび参加しております。

ただ2階のとある大会議室だけはいつも寒いです。
節電のためにエアコンを切っているのか？
それともたまたま故障中だったのか？

上着やコートを着ないと耐えられない位に寒い時がたびたびあります。",金沢市文化ホール,"
〒920-0864 石川県金沢市高岡町１５−１","
076-223-1221",http://www.bunka-h.gr.jp/,"3.9
(505)",Unknown,〒920-0864 石川県金沢市高岡町１５−１,36.5686943,136.6530032
もえ,4,1 か月前,"セミナーやイベント、コンサートなどでたびたび参加しております。

ただ2階のとある大会議室だけはいつも寒いです。
節電のためにエアコンを切っているのか？
それともたまたま故障中だったのか？

上着やコートを着ないと耐えられない位に寒い時がたびたびあります。",金沢市文化ホール,"
〒920-0864 石川県金沢市高岡町１５−１","
076-223-1221",http://www.bunka-h.gr.jp/,"3.9
(505)",Unknown,〒920-0864 石川県金沢市高岡町１５−１,36.5686943,136.6530032
Taka Y’s,4,3 か月前,"金沢で音楽している人なら誰もが一度は舞台に乗ったことがある場所です。
みんなの思い出の地ですね。",金沢市文化ホール,"
〒920-0864 石川県金沢市高岡町１５−１","
076-223-1221",http://www.bunka-h.gr.jp/,"3.9
(505)",Unknown,〒920-0864 石川県金沢市高岡町１５−１,36.5686943,136.6530032
Taka Y’s,4,3 か月前,"金沢で音楽している人なら誰もが一度は舞台に乗ったことがある場所です。
みんなの思い出の地ですね。",金沢市文化ホール,"
〒920-0864 石川県金沢市高岡町１５−１","
076-223-1221",http://www.bunka-h.gr.jp/,"3.9
(505)",Unknown,〒920-0864 石川県金沢市高岡町１５−１,36.5686943,136.6530032
すずきかつひで,4,1 か月前,"金沢市内で数あるホールの一つ
搬入口は一台付けのケツ下がりで差し替え。駐車スペースは大型車３台分の広さは有るが前の道路が若干狭いので2台くらいが丁度いいですね。",金沢市文化ホール,"
〒920-0864 石川県金沢市高岡町１５−１","
076-223-1221",http://www.bunka-h.gr.jp/,"3.9
(505)",Unknown,〒920-0864 石川県金沢市高岡町１５−１,36.5686943,136.6530032
