Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
吉田聡,4,1 か月前,産まれてはじめて野生の熊（親子）を目撃しました。といっても車の中からで、道中から見えるコンクリート擁壁の上をゆっくり歩いていただけですが。親熊はちょっとしたコンパクトカーくらい大きかったです。白根山で登山した帰りだったので、山で遭遇しなくて良かったです。,金精峠,"
〒378-0414 群馬県利根郡片品村東小川",Unknown,Unknown,"4.2
(165)",お店やスポットの電話番号を追加する,〒378-0414 群馬県利根郡片品村東小川,36.8189603,139.3949064
吉田聡,4,1 か月前,産まれてはじめて野生の熊（親子）を目撃しました。といっても車の中からで、道中から見えるコンクリート擁壁の上をゆっくり歩いていただけですが。親熊はちょっとしたコンパクトカーくらい大きかったです。白根山で登山した帰りだったので、山で遭遇しなくて良かったです。,金精峠,"
〒378-0414 群馬県利根郡片品村東小川",Unknown,Unknown,"4.2
(165)",お店やスポットの電話番号を追加する,〒378-0414 群馬県利根郡片品村東小川,36.8189603,139.3949064
おっさん少年,4,1 年前,金精トンネルの栃木県側入口側に駐車場があり、登山口もこちらから。金精峠まで急な登りでハシゴやロープもあります。峠まで30分くらいです。峠のちょいと先に金精神社、さらには金精山があります。,金精峠,"
〒378-0414 群馬県利根郡片品村東小川",Unknown,Unknown,"4.2
(165)",お店やスポットの電話番号を追加する,〒378-0414 群馬県利根郡片品村東小川,36.8189603,139.3949064
おっさん少年,4,1 年前,金精トンネルの栃木県側入口側に駐車場があり、登山口もこちらから。金精峠まで急な登りでハシゴやロープもあります。峠まで30分くらいです。峠のちょいと先に金精神社、さらには金精山があります。,金精峠,"
〒378-0414 群馬県利根郡片品村東小川",Unknown,Unknown,"4.2
(165)",お店やスポットの電話番号を追加する,〒378-0414 群馬県利根郡片品村東小川,36.8189603,139.3949064
大橋正純,4,4 か月前,峠を過ぎた瞬間　目の前に広がる雄大な景色が目に焼き付いています！　是非　春か秋の晴れた日に訪れてみては〜！　峠から　戦場ヶ原に下って行くと男体山や雄大な景色に感激すると思います。,金精峠,"
〒378-0414 群馬県利根郡片品村東小川",Unknown,Unknown,"4.2
(165)",お店やスポットの電話番号を追加する,〒378-0414 群馬県利根郡片品村東小川,36.8189603,139.3949064
大橋正純,4,4 か月前,峠を過ぎた瞬間　目の前に広がる雄大な景色が目に焼き付いています！　是非　春か秋の晴れた日に訪れてみては〜！　峠から　戦場ヶ原に下って行くと男体山や雄大な景色に感激すると思います。,金精峠,"
〒378-0414 群馬県利根郡片品村東小川",Unknown,Unknown,"4.2
(165)",お店やスポットの電話番号を追加する,〒378-0414 群馬県利根郡片品村東小川,36.8189603,139.3949064
Takuya Ohno,5,8 か月前,"【日光駅から登りました】
自転車で登るところではありませんでした。
辛い！でも楽しかった！
いろは坂よりキツイです。
車は少ないですが７％〜１１％の勾配が永遠に続く感じです。工事中の時差式仮設信号は、登る自転車にも配慮された設定。雨に降られながら反対側の沼田まで下りました。
補給地点はありません、戦場ヶ原の自販が最後です。(鹿が出るので注意）(群馬路面悪し下り注意）(急にトンネルあり、路面が確認できないのでライト付けて下りましょう）",金精峠,"
〒378-0414 群馬県利根郡片品村東小川",Unknown,Unknown,"4.2
(165)",お店やスポットの電話番号を追加する,〒378-0414 群馬県利根郡片品村東小川,36.8189603,139.3949064
Takuya Ohno,5,8 か月前,"【日光駅から登りました】
自転車で登るところではありませんでした。
辛い！でも楽しかった！
いろは坂よりキツイです。
車は少ないですが７％〜１１％の勾配が永遠に続く感じです。工事中の時差式仮設信号は、登る自転車にも配慮された設定。雨に降られながら反対側の沼田まで下りました。
補給地点はありません、戦場ヶ原の自販が最後です。(鹿が出るので注意）(群馬路面悪し下り注意）(急にトンネルあり、路面が確認できないのでライト付けて下りましょう）",金精峠,"
〒378-0414 群馬県利根郡片品村東小川",Unknown,Unknown,"4.2
(165)",お店やスポットの電話番号を追加する,〒378-0414 群馬県利根郡片品村東小川,36.8189603,139.3949064
SHIGEZO 0,5,5 年前,日光側は朝からガスが掛かっていて途中からは名にも見えず…。ヘロヘロになりながら到着した五色山から見た日光白根山はとても綺麗な山容でした。,金精峠,"
〒378-0414 群馬県利根郡片品村東小川",Unknown,Unknown,"4.2
(165)",お店やスポットの電話番号を追加する,〒378-0414 群馬県利根郡片品村東小川,36.8189603,139.3949064
SHIGEZO 0,5,5 年前,日光側は朝からガスが掛かっていて途中からは名にも見えず…。ヘロヘロになりながら到着した五色山から見た日光白根山はとても綺麗な山容でした。,金精峠,"
〒378-0414 群馬県利根郡片品村東小川",Unknown,Unknown,"4.2
(165)",お店やスポットの電話番号を追加する,〒378-0414 群馬県利根郡片品村東小川,36.8189603,139.3949064
