Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
シャックションソン,5,5 か月前,8月中旬に訪れました。雪渓は通れず、回り道だったが、天気に恵まれてよい山行でした。　頂上も絶景　いつか針ノ木サーキットに行きたいと思う　　　途中熊を遠くから山肌に見る事ができました,針ノ木岳,"
〒930-1406 富山県中新川郡立山町芦峅寺",Unknown,Unknown,"4.7
(45)",Unknown,〒930-1406 富山県中新川郡立山町芦峅寺,36.5380636,137.6843712
シャックションソン,5,5 か月前,8月中旬に訪れました。雪渓は通れず、回り道だったが、天気に恵まれてよい山行でした。　頂上も絶景　いつか針ノ木サーキットに行きたいと思う　　　途中熊を遠くから山肌に見る事ができました,針ノ木岳,"
〒930-1406 富山県中新川郡立山町芦峅寺",Unknown,Unknown,"4.7
(45)",Unknown,〒930-1406 富山県中新川郡立山町芦峅寺,36.5380636,137.6843712
tsuyoshi sasaki,5,3 か月前,"扇沢から柏原新道で稜線に登り、鳴沢岳を経て訪れました。
途中、ほぼ全区間にて黒部湖及び劔岳の眺望が利き、最高の景色です。
種池山荘からの縦走の仕上げとなる針ノ木岳への登りは意外に応えます。",針ノ木岳,"
〒930-1406 富山県中新川郡立山町芦峅寺",Unknown,Unknown,"4.7
(45)",Unknown,〒930-1406 富山県中新川郡立山町芦峅寺,36.5380636,137.6843712
tsuyoshi sasaki,5,3 か月前,"扇沢から柏原新道で稜線に登り、鳴沢岳を経て訪れました。
途中、ほぼ全区間にて黒部湖及び劔岳の眺望が利き、最高の景色です。
種池山荘からの縦走の仕上げとなる針ノ木岳への登りは意外に応えます。",針ノ木岳,"
〒930-1406 富山県中新川郡立山町芦峅寺",Unknown,Unknown,"4.7
(45)",Unknown,〒930-1406 富山県中新川郡立山町芦峅寺,36.5380636,137.6843712
Futoshi NAKAURA,5,3 年前,９月末に登山しました。雪渓は殆どなく夏道でした。頂上からの眺めは最高でした。,針ノ木岳,"
〒930-1406 富山県中新川郡立山町芦峅寺",Unknown,Unknown,"4.7
(45)",Unknown,〒930-1406 富山県中新川郡立山町芦峅寺,36.5380636,137.6843712
Futoshi NAKAURA,5,3 年前,９月末に登山しました。雪渓は殆どなく夏道でした。頂上からの眺めは最高でした。,針ノ木岳,"
〒930-1406 富山県中新川郡立山町芦峅寺",Unknown,Unknown,"4.7
(45)",Unknown,〒930-1406 富山県中新川郡立山町芦峅寺,36.5380636,137.6843712
Mc Donald,5,5 か月前,何度か川を渡るので増水したらかなり危険です。天気予報をチェックしてから行くことをお勧めします。,針ノ木岳,"
〒930-1406 富山県中新川郡立山町芦峅寺",Unknown,Unknown,"4.7
(45)",Unknown,〒930-1406 富山県中新川郡立山町芦峅寺,36.5380636,137.6843712
Mc Donald,5,5 か月前,何度か川を渡るので増水したらかなり危険です。天気予報をチェックしてから行くことをお勧めします。,針ノ木岳,"
〒930-1406 富山県中新川郡立山町芦峅寺",Unknown,Unknown,"4.7
(45)",Unknown,〒930-1406 富山県中新川郡立山町芦峅寺,36.5380636,137.6843712
Yoshitaka Ko!,4,6 年前,"黒部ダムを挟んだ向かい側に見える立山&劔岳！
ラスボス感半端ない！格好いいです。
山事態も登りやすく、樹林帯→雪渓と歩き、尾根に出たときの景色の解放感、たまりませんね！
おすすめの山です！",針ノ木岳,"
〒930-1406 富山県中新川郡立山町芦峅寺",Unknown,Unknown,"4.7
(45)",Unknown,〒930-1406 富山県中新川郡立山町芦峅寺,36.5380636,137.6843712
Yoshitaka Ko!,4,6 年前,"黒部ダムを挟んだ向かい側に見える立山&劔岳！
ラスボス感半端ない！格好いいです。
山事態も登りやすく、樹林帯→雪渓と歩き、尾根に出たときの景色の解放感、たまりませんね！
おすすめの山です！",針ノ木岳,"
〒930-1406 富山県中新川郡立山町芦峅寺",Unknown,Unknown,"4.7
(45)",Unknown,〒930-1406 富山県中新川郡立山町芦峅寺,36.5380636,137.6843712
