Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
mizuki,5,1 週間前,"2度目の錦帯橋。変わらない美しさがそこにありました。
アーチと木組みがホント美し過ぎて。。。
修復工事が終わるのを心待ちにしてました。
御橋印を戴くのをすっかりウッカリ忘れてしまうと言う痛恨のミス!!💦
れんこん麺瓦そば戴きました。美味しい。つゆも美味し過ぎました!!
錦帯橋･ロープウェイ･岩国城に行かれるなら、セット割引チケットがお得🉐感ありました。",錦帯橋,"
〒741-0062 山口県岩国市岩国","
0827-29-5116",http://kintaikyo.iwakuni-city.net/,"4.3
(16,944)",Unknown,橋,34.1675959,132.1784105
mizuki,5,1 週間前,"2度目の錦帯橋。変わらない美しさがそこにありました。
アーチと木組みがホント美し過ぎて。。。
修復工事が終わるのを心待ちにしてました。
御橋印を戴くのをすっかりウッカリ忘れてしまうと言う痛恨のミス!!💦
れんこん麺瓦そば戴きました。美味しい。つゆも美味し過ぎました!!
錦帯橋･ロープウェイ･岩国城に行かれるなら、セット割引チケットがお得🉐感ありました。",錦帯橋,"
〒741-0062 山口県岩国市岩国","
0827-29-5116",http://kintaikyo.iwakuni-city.net/,"4.3
(16,944)",Unknown,橋,34.1675959,132.1784105
けいこ,5,1 週間前,"世界遺産を目指している錦帯橋
日中友好の架け橋として作られた
らしいけど実際に渡れるなんて
すごい⤴️⤴️と思う
橋の上からも善き眺め◎
橋の下から全体を眺めてもヨシ◎

手前の河川敷に駐車場に車を停めます。
平日だからか無料でした🎵

橋の手前で入橋券３１０円(往復)を
支払って渡ります。
岩国城までのロープウエイや
シロヘビの館とセットの券もありました",錦帯橋,"
〒741-0062 山口県岩国市岩国","
0827-29-5116",http://kintaikyo.iwakuni-city.net/,"4.3
(16,944)",Unknown,橋,34.1675959,132.1784105
けいこ,5,1 週間前,"世界遺産を目指している錦帯橋
日中友好の架け橋として作られた
らしいけど実際に渡れるなんて
すごい⤴️⤴️と思う
橋の上からも善き眺め◎
橋の下から全体を眺めてもヨシ◎

手前の河川敷に駐車場に車を停めます。
平日だからか無料でした🎵

橋の手前で入橋券３１０円(往復)を
支払って渡ります。
岩国城までのロープウエイや
シロヘビの館とセットの券もありました",錦帯橋,"
〒741-0062 山口県岩国市岩国","
0827-29-5116",http://kintaikyo.iwakuni-city.net/,"4.3
(16,944)",Unknown,橋,34.1675959,132.1784105
Momo Sa (Mom),5,3 週間前,3月下旬桜が満開でした。錦帯橋の昼間と夜でまた違う景色のように見えます。錦帯橋を渡るには大人310円小学生150円を窓口でお支払いします。日本三名橋の一つ。5連のアーチが美しい木造橋です。季節や時間帯によって色々な雰囲気を醸し出すので、是非見に行く価値ありです。,錦帯橋,"
〒741-0062 山口県岩国市岩国","
0827-29-5116",http://kintaikyo.iwakuni-city.net/,"4.3
(16,944)",Unknown,橋,34.1675959,132.1784105
Momo Sa (Mom),5,3 週間前,3月下旬桜が満開でした。錦帯橋の昼間と夜でまた違う景色のように見えます。錦帯橋を渡るには大人310円小学生150円を窓口でお支払いします。日本三名橋の一つ。5連のアーチが美しい木造橋です。季節や時間帯によって色々な雰囲気を醸し出すので、是非見に行く価値ありです。,錦帯橋,"
〒741-0062 山口県岩国市岩国","
0827-29-5116",http://kintaikyo.iwakuni-city.net/,"4.3
(16,944)",Unknown,橋,34.1675959,132.1784105
下野嘉代,5,1 か月前,"初めて訪れましたが、とても天気も良く気持ちの良い１日でした！
下に川川流れて木造の橋でとても綺麗な橋でした！
駐車場も完備され、１日300円でしたが繁忙期になるとお値段は分かりません！
橋を渡るのに、1人往復で310円でした！
山の上には岩国城もありケーブルを利用し上がることも可能でした！
橋の反対にはお土産物屋さんやソフトクリームなど売っていました！
岩国は蓮根が有名な様で蓮根チップスなど蓮根の食べ物が売られていました！
岩国はお寿司も有名みたいで岩国寿司の押し寿司が売られていました！
鮨飯が甘くとても美味しかったですよ♪
錦帯橋のご集印も売られていました。

これからのお花の時期には桜も咲き誇り桜と橋のコントラストが良いのではないでしょうか？

是非、お近くに行かれた時にはお寿司を買って下わらで食べてはいいのでは！",錦帯橋,"
〒741-0062 山口県岩国市岩国","
0827-29-5116",http://kintaikyo.iwakuni-city.net/,"4.3
(16,944)",Unknown,橋,34.1675959,132.1784105
下野嘉代,5,1 か月前,"初めて訪れましたが、とても天気も良く気持ちの良い１日でした！
下に川川流れて木造の橋でとても綺麗な橋でした！
駐車場も完備され、１日300円でしたが繁忙期になるとお値段は分かりません！
橋を渡るのに、1人往復で310円でした！
山の上には岩国城もありケーブルを利用し上がることも可能でした！
橋の反対にはお土産物屋さんやソフトクリームなど売っていました！
岩国は蓮根が有名な様で蓮根チップスなど蓮根の食べ物が売られていました！
岩国はお寿司も有名みたいで岩国寿司の押し寿司が売られていました！
鮨飯が甘くとても美味しかったですよ♪
錦帯橋のご集印も売られていました。

これからのお花の時期には桜も咲き誇り桜と橋のコントラストが良いのではないでしょうか？

是非、お近くに行かれた時にはお寿司を買って下わらで食べてはいいのでは！",錦帯橋,"
〒741-0062 山口県岩国市岩国","
0827-29-5116",http://kintaikyo.iwakuni-city.net/,"4.3
(16,944)",Unknown,橋,34.1675959,132.1784105
Dragon. D.A,5,3 週間前,"久しぶりに来ました〜夜桜ライトアップされててめっちゃ綺麗！

錦帯橋（きんたいきょう）は、日本の山口県岩国市にある、非常に有名で美しい木造のアーチ橋です。その歴史、美しさ、構造、観光地としての魅力など、さまざまな観点から詳しくご紹介します。

■ 基本情報
• 所在地：山口県岩国市
• 全長：193.3メートル
• 幅：5メートル
• 形式：木造五連アーチ橋
• 川：錦川に架かっています
• 完成年：1673年（江戸時代）

■ 歴史的背景

錦帯橋は、岩国藩主・吉川広嘉（きっかわひろよし）の命によって建設されました。当時、錦川はたびたび氾濫を起こしており、普通の橋では流されてしまっていました。そこで、「流されない橋」を目指して考案されたのが、現在のような五連のアーチ構造です。

初代の橋は完成の翌年に流されてしまいましたが、その後改良が加えられ、強固な構造になり、以後300年近くの長期間にわたって存在し続けました。

■ 特徴と構造
• 五連アーチ構造：他に類を見ない構造で、木材だけでアーチを構成し、強度と柔軟性を両立しています。
• 釘を使わない伝統工法：多くの部分で組み木技法を用い、金属をほとんど使わずに組み上げられています。
• 流されにくい設計：中州を利用し、橋脚を石でしっかりと固めることで、増水時にも耐える工夫がされています。

■ 現代の錦帯橋

1950年に台風により流失してしまいましたが、1953年に伝統的な工法を再現して再建されました。2004年には老朽化に伴い、伝統技術を使った全面架け替え工事が行われ、今の錦帯橋が完成しています。

■ 観光スポットとしての魅力
• 桜の名所：春には周辺に約3,000本の桜が咲き誇り、橋とともに絶景が広がります。
• 岩国城：橋の対岸の山上にある城で、ロープウェーで登ることができます。
• う飼い（鵜飼）：夏には伝統的な鵜飼漁の様子も見られます。
• **名物「岩国寿司」**もおすすめです。

■ アクセス
• JR岩国駅からバスで約20分
• 広島からも日帰り可能（新幹線で岩国駅まで約45分）

もっと知りたいこと（例：建築技術、近くの観光地、イベント情報など）があれば、どんどん聞いてくださいね。",錦帯橋,"
〒741-0062 山口県岩国市岩国","
0827-29-5116",http://kintaikyo.iwakuni-city.net/,"4.3
(16,944)",Unknown,橋,34.1675959,132.1784105
Dragon. D.A,5,3 週間前,"久しぶりに来ました〜夜桜ライトアップされててめっちゃ綺麗！

錦帯橋（きんたいきょう）は、日本の山口県岩国市にある、非常に有名で美しい木造のアーチ橋です。その歴史、美しさ、構造、観光地としての魅力など、さまざまな観点から詳しくご紹介します。

■ 基本情報
• 所在地：山口県岩国市
• 全長：193.3メートル
• 幅：5メートル
• 形式：木造五連アーチ橋
• 川：錦川に架かっています
• 完成年：1673年（江戸時代）

■ 歴史的背景

錦帯橋は、岩国藩主・吉川広嘉（きっかわひろよし）の命によって建設されました。当時、錦川はたびたび氾濫を起こしており、普通の橋では流されてしまっていました。そこで、「流されない橋」を目指して考案されたのが、現在のような五連のアーチ構造です。

初代の橋は完成の翌年に流されてしまいましたが、その後改良が加えられ、強固な構造になり、以後300年近くの長期間にわたって存在し続けました。

■ 特徴と構造
• 五連アーチ構造：他に類を見ない構造で、木材だけでアーチを構成し、強度と柔軟性を両立しています。
• 釘を使わない伝統工法：多くの部分で組み木技法を用い、金属をほとんど使わずに組み上げられています。
• 流されにくい設計：中州を利用し、橋脚を石でしっかりと固めることで、増水時にも耐える工夫がされています。

■ 現代の錦帯橋

1950年に台風により流失してしまいましたが、1953年に伝統的な工法を再現して再建されました。2004年には老朽化に伴い、伝統技術を使った全面架け替え工事が行われ、今の錦帯橋が完成しています。

■ 観光スポットとしての魅力
• 桜の名所：春には周辺に約3,000本の桜が咲き誇り、橋とともに絶景が広がります。
• 岩国城：橋の対岸の山上にある城で、ロープウェーで登ることができます。
• う飼い（鵜飼）：夏には伝統的な鵜飼漁の様子も見られます。
• **名物「岩国寿司」**もおすすめです。

■ アクセス
• JR岩国駅からバスで約20分
• 広島からも日帰り可能（新幹線で岩国駅まで約45分）

もっと知りたいこと（例：建築技術、近くの観光地、イベント情報など）があれば、どんどん聞いてくださいね。",錦帯橋,"
〒741-0062 山口県岩国市岩国","
0827-29-5116",http://kintaikyo.iwakuni-city.net/,"4.3
(16,944)",Unknown,橋,34.1675959,132.1784105
