Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Space Dragon,4,4 か月前,八瀬峠から上がって、昼飯の後、池代へ下る。山頂には大きな展望台があり、360°見渡せる(ベンチは3つ位)。池代への道は沢沿いで、渡渉があるので、増水時は注意。この日は、曇って寒かった。2024/12/9,長九郎山,"
〒410-3511 静岡県賀茂郡西伊豆町大沢里",Unknown,Unknown,"4.0
(7)",Unknown,〒410-3511 静岡県賀茂郡西伊豆町大沢里,34.7884756,138.8681584
Space Dragon,4,4 か月前,八瀬峠から上がって、昼飯の後、池代へ下る。山頂には大きな展望台があり、360°見渡せる(ベンチは3つ位)。池代への道は沢沿いで、渡渉があるので、増水時は注意。この日は、曇って寒かった。2024/12/9,長九郎山,"
〒410-3511 静岡県賀茂郡西伊豆町大沢里",Unknown,Unknown,"4.0
(7)",Unknown,〒410-3511 静岡県賀茂郡西伊豆町大沢里,34.7884756,138.8681584
pakpak6,4,2 か月前,"最後まで樹林帯の山道です
山頂の展望台に上がれパノラマです",長九郎山,"
〒410-3511 静岡県賀茂郡西伊豆町大沢里",Unknown,Unknown,"4.0
(7)",Unknown,〒410-3511 静岡県賀茂郡西伊豆町大沢里,34.7884756,138.8681584
pakpak6,4,2 か月前,"最後まで樹林帯の山道です
山頂の展望台に上がれパノラマです",長九郎山,"
〒410-3511 静岡県賀茂郡西伊豆町大沢里",Unknown,Unknown,"4.0
(7)",Unknown,〒410-3511 静岡県賀茂郡西伊豆町大沢里,34.7884756,138.8681584
石田重美,5,5 年前,"５月に登頂すると、一面に群生してる、
天城シャクナゲが見事に咲いています
他にも季節によって色々な高山植物が綺麗に咲く美しい山です。",長九郎山,"
〒410-3511 静岡県賀茂郡西伊豆町大沢里",Unknown,Unknown,"4.0
(7)",Unknown,〒410-3511 静岡県賀茂郡西伊豆町大沢里,34.7884756,138.8681584
石田重美,5,5 年前,"５月に登頂すると、一面に群生してる、
天城シャクナゲが見事に咲いています
他にも季節によって色々な高山植物が綺麗に咲く美しい山です。",長九郎山,"
〒410-3511 静岡県賀茂郡西伊豆町大沢里",Unknown,Unknown,"4.0
(7)",Unknown,〒410-3511 静岡県賀茂郡西伊豆町大沢里,34.7884756,138.8681584
40th mono,5,6 年前,いろいろなコースがあるが、今回はお寺からのコースだった。アマギシャクナゲとカンアオイが有名。新花の百名山に選定されている。,長九郎山,"
〒410-3511 静岡県賀茂郡西伊豆町大沢里",Unknown,Unknown,"4.0
(7)",Unknown,〒410-3511 静岡県賀茂郡西伊豆町大沢里,34.7884756,138.8681584
40th mono,5,6 年前,いろいろなコースがあるが、今回はお寺からのコースだった。アマギシャクナゲとカンアオイが有名。新花の百名山に選定されている。,長九郎山,"
〒410-3511 静岡県賀茂郡西伊豆町大沢里",Unknown,Unknown,"4.0
(7)",Unknown,〒410-3511 静岡県賀茂郡西伊豆町大沢里,34.7884756,138.8681584
Shun H,4,6 年前,名前の割には? 簡単に登れる山です😅　頂上には、展望台があり、360°の景色を堪能することが出来ます(^o^)/ …,長九郎山,"
〒410-3511 静岡県賀茂郡西伊豆町大沢里",Unknown,Unknown,"4.0
(7)",Unknown,〒410-3511 静岡県賀茂郡西伊豆町大沢里,34.7884756,138.8681584
Shun H,4,6 年前,名前の割には? 簡単に登れる山です😅　頂上には、展望台があり、360°の景色を堪能することが出来ます(^o^)/ …,長九郎山,"
〒410-3511 静岡県賀茂郡西伊豆町大沢里",Unknown,Unknown,"4.0
(7)",Unknown,〒410-3511 静岡県賀茂郡西伊豆町大沢里,34.7884756,138.8681584
Norimasa Takigawa,3,6 年前,      6 年前,長九郎山,"
〒410-3511 静岡県賀茂郡西伊豆町大沢里",Unknown,Unknown,"4.0
(7)",Unknown,〒410-3511 静岡県賀茂郡西伊豆町大沢里,34.7884756,138.8681584
Norimasa Takigawa,3,6 年前,      6 年前,長九郎山,"
〒410-3511 静岡県賀茂郡西伊豆町大沢里",Unknown,Unknown,"4.0
(7)",Unknown,〒410-3511 静岡県賀茂郡西伊豆町大沢里,34.7884756,138.8681584
Moka Fukuro,3,7 年前,      7 年前,長九郎山,"
〒410-3511 静岡県賀茂郡西伊豆町大沢里",Unknown,Unknown,"4.0
(7)",Unknown,〒410-3511 静岡県賀茂郡西伊豆町大沢里,34.7884756,138.8681584
Moka Fukuro,3,7 年前,      7 年前,長九郎山,"
〒410-3511 静岡県賀茂郡西伊豆町大沢里",Unknown,Unknown,"4.0
(7)",Unknown,〒410-3511 静岡県賀茂郡西伊豆町大沢里,34.7884756,138.8681584
