Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
なかじまゆお,5,3 年前,"お皿好きにはたまらない場所です。
店員さんもみなさん素敵な方で
アットホームな素敵なお店です。
外には朝採りの旬なお野菜が100円〜売られています",雑貨 とちや,"
〒360-0203 埼玉県熊谷市弥藤吾１４５−１","
080-5545-0393",http://www.tochiya.net/,"4.1
(7)",Unknown,アンティークショップ,36.442248,138.4415378
なかじまゆお,5,3 年前,"お皿好きにはたまらない場所です。
店員さんもみなさん素敵な方で
アットホームな素敵なお店です。
外には朝採りの旬なお野菜が100円〜売られています",雑貨 とちや,"
〒360-0203 埼玉県熊谷市弥藤吾１４５−１","
080-5545-0393",http://www.tochiya.net/,"4.1
(7)",Unknown,アンティークショップ,36.442248,138.4415378
町田順子,4,1 年前,"食器の数は驚くほど多く、状態も良さそうです。
伊勢型紙がたくさんあるのが、着物好きにはたまらないポイントです。",雑貨 とちや,"
〒360-0203 埼玉県熊谷市弥藤吾１４５−１","
080-5545-0393",http://www.tochiya.net/,"4.1
(7)",Unknown,アンティークショップ,36.442248,138.4415378
町田順子,4,1 年前,"食器の数は驚くほど多く、状態も良さそうです。
伊勢型紙がたくさんあるのが、着物好きにはたまらないポイントです。",雑貨 とちや,"
〒360-0203 埼玉県熊谷市弥藤吾１４５−１","
080-5545-0393",http://www.tochiya.net/,"4.1
(7)",Unknown,アンティークショップ,36.442248,138.4415378
south lanka,3,2 年前,良い,雑貨 とちや,"
〒360-0203 埼玉県熊谷市弥藤吾１４５−１","
080-5545-0393",http://www.tochiya.net/,"4.1
(7)",Unknown,アンティークショップ,36.442248,138.4415378
south lanka,3,2 年前,良い,雑貨 とちや,"
〒360-0203 埼玉県熊谷市弥藤吾１４５−１","
080-5545-0393",http://www.tochiya.net/,"4.1
(7)",Unknown,アンティークショップ,36.442248,138.4415378
hideboh1,4,1 年前,      1 年前,雑貨 とちや,"
〒360-0203 埼玉県熊谷市弥藤吾１４５−１","
080-5545-0393",http://www.tochiya.net/,"4.1
(7)",Unknown,アンティークショップ,36.442248,138.4415378
hideboh1,4,1 年前,      1 年前,雑貨 とちや,"
〒360-0203 埼玉県熊谷市弥藤吾１４５−１","
080-5545-0393",http://www.tochiya.net/,"4.1
(7)",Unknown,アンティークショップ,36.442248,138.4415378
digiholy,5,5 年前,      5 年前,雑貨 とちや,"
〒360-0203 埼玉県熊谷市弥藤吾１４５−１","
080-5545-0393",http://www.tochiya.net/,"4.1
(7)",Unknown,アンティークショップ,36.442248,138.4415378
digiholy,5,5 年前,      5 年前,雑貨 とちや,"
〒360-0203 埼玉県熊谷市弥藤吾１４５−１","
080-5545-0393",http://www.tochiya.net/,"4.1
(7)",Unknown,アンティークショップ,36.442248,138.4415378
Yoichi Ogawa,5,5 年前,     5 年前,雑貨 とちや,"
〒360-0203 埼玉県熊谷市弥藤吾１４５−１","
080-5545-0393",http://www.tochiya.net/,"4.1
(7)",Unknown,アンティークショップ,36.442248,138.4415378
Yoichi Ogawa,5,5 年前,     5 年前,雑貨 とちや,"
〒360-0203 埼玉県熊谷市弥藤吾１４５−１","
080-5545-0393",http://www.tochiya.net/,"4.1
(7)",Unknown,アンティークショップ,36.442248,138.4415378
小林ひろこ,3,7 年前,     7 年前,雑貨 とちや,"
〒360-0203 埼玉県熊谷市弥藤吾１４５−１","
080-5545-0393",http://www.tochiya.net/,"4.1
(7)",Unknown,アンティークショップ,36.442248,138.4415378
小林ひろこ,3,7 年前,     7 年前,雑貨 とちや,"
〒360-0203 埼玉県熊谷市弥藤吾１４５−１","
080-5545-0393",http://www.tochiya.net/,"4.1
(7)",Unknown,アンティークショップ,36.442248,138.4415378
