Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
koi m,3,1 か月前,"ワンコとのお出掛け先にこちらに訪れました。
ワンコとのお散歩には少し物足りないかなと思いました。湿原みたいになってるところ（？）にはワンコが立ち入ることができずもったいないなー、と思いました。
霞ヶ浦の湖岸の公園とゆうことなのですが湖で水遊びできる場所が１カ所しかなく、広さも狭いのでこれまたもったいないなー、と思いました。
風車は見応えがあります。
グラウンドなどの広さは十分広いです。結構人がいましたが全然遊べました。
駐車場は満車状態だったので結構待ちました。",霞ヶ浦総合公園,"
〒300-0835 茨城県土浦市大岩田１４５","
029-826-4829",https://www.city.tsuchiura.lg.jp/page/dir000574.html,"4.1
(4,005)",Unknown,公園,36.6309621,138.3516329
koi m,3,1 か月前,"ワンコとのお出掛け先にこちらに訪れました。
ワンコとのお散歩には少し物足りないかなと思いました。湿原みたいになってるところ（？）にはワンコが立ち入ることができずもったいないなー、と思いました。
霞ヶ浦の湖岸の公園とゆうことなのですが湖で水遊びできる場所が１カ所しかなく、広さも狭いのでこれまたもったいないなー、と思いました。
風車は見応えがあります。
グラウンドなどの広さは十分広いです。結構人がいましたが全然遊べました。
駐車場は満車状態だったので結構待ちました。",霞ヶ浦総合公園,"
〒300-0835 茨城県土浦市大岩田１４５","
029-826-4829",https://www.city.tsuchiura.lg.jp/page/dir000574.html,"4.1
(4,005)",Unknown,公園,36.6309621,138.3516329
T. Seino,5,3 か月前,"大晦日の夜、家族でイルミネーションを観に来ました⭐
ライトアップは17時～、16時過ぎには駐車場はほぼ満車でした。キッチンカーも4～5台くらい出ていてほど良い感じでした✨

入場無料で、この規模のイルミネーションが観れれば十分満足です😊",霞ヶ浦総合公園,"
〒300-0835 茨城県土浦市大岩田１４５","
029-826-4829",https://www.city.tsuchiura.lg.jp/page/dir000574.html,"4.1
(4,005)",Unknown,公園,36.6309621,138.3516329
T. Seino,5,3 か月前,"大晦日の夜、家族でイルミネーションを観に来ました⭐
ライトアップは17時～、16時過ぎには駐車場はほぼ満車でした。キッチンカーも4～5台くらい出ていてほど良い感じでした✨

入場無料で、この規模のイルミネーションが観れれば十分満足です😊",霞ヶ浦総合公園,"
〒300-0835 茨城県土浦市大岩田１４５","
029-826-4829",https://www.city.tsuchiura.lg.jp/page/dir000574.html,"4.1
(4,005)",Unknown,公園,36.6309621,138.3516329
Yuki Yoshida,5,2 週間前,広々とした公園です。チューリップを見に出掛けました🌷一部はまだ咲いていませんでしたが、赤や黄色のチューリップは綺麗に咲いてました。,霞ヶ浦総合公園,"
〒300-0835 茨城県土浦市大岩田１４５","
029-826-4829",https://www.city.tsuchiura.lg.jp/page/dir000574.html,"4.1
(4,005)",Unknown,公園,36.6309621,138.3516329
Yuki Yoshida,5,2 週間前,広々とした公園です。チューリップを見に出掛けました🌷一部はまだ咲いていませんでしたが、赤や黄色のチューリップは綺麗に咲いてました。,霞ヶ浦総合公園,"
〒300-0835 茨城県土浦市大岩田１４５","
029-826-4829",https://www.city.tsuchiura.lg.jp/page/dir000574.html,"4.1
(4,005)",Unknown,公園,36.6309621,138.3516329
ポメマロマロン,5,3 か月前,"2024年12月29日(日)にイルミネーションを見に訪れました。17時から点灯され凄く綺麗でした。
自動販売機有り、トイレ有り、駐車場有り、犬同伴可。料金は無料でした。",霞ヶ浦総合公園,"
〒300-0835 茨城県土浦市大岩田１４５","
029-826-4829",https://www.city.tsuchiura.lg.jp/page/dir000574.html,"4.1
(4,005)",Unknown,公園,36.6309621,138.3516329
ポメマロマロン,5,3 か月前,"2024年12月29日(日)にイルミネーションを見に訪れました。17時から点灯され凄く綺麗でした。
自動販売機有り、トイレ有り、駐車場有り、犬同伴可。料金は無料でした。",霞ヶ浦総合公園,"
〒300-0835 茨城県土浦市大岩田１４５","
029-826-4829",https://www.city.tsuchiura.lg.jp/page/dir000574.html,"4.1
(4,005)",Unknown,公園,36.6309621,138.3516329
はんといーさん,5,5 か月前,"2024年1月5日訪問

霞ヶ浦から昇る日の出が綺麗でした。
とても綺麗に手入れされている公園です。

夜はイルミネーションが見れました。",霞ヶ浦総合公園,"
〒300-0835 茨城県土浦市大岩田１４５","
029-826-4829",https://www.city.tsuchiura.lg.jp/page/dir000574.html,"4.1
(4,005)",Unknown,公園,36.6309621,138.3516329
はんといーさん,5,5 か月前,"2024年1月5日訪問

霞ヶ浦から昇る日の出が綺麗でした。
とても綺麗に手入れされている公園です。

夜はイルミネーションが見れました。",霞ヶ浦総合公園,"
〒300-0835 茨城県土浦市大岩田１４５","
029-826-4829",https://www.city.tsuchiura.lg.jp/page/dir000574.html,"4.1
(4,005)",Unknown,公園,36.6309621,138.3516329
インチキたぬき,4,3 か月前,"遊具ではなくイルミネーションを見に行きました。

風車を中心にイルミネーションが設置されております。水面に反射する風車はとてもきれいだと思いました。

駐車場は右折が禁されているようです。",霞ヶ浦総合公園,"
〒300-0835 茨城県土浦市大岩田１４５","
029-826-4829",https://www.city.tsuchiura.lg.jp/page/dir000574.html,"4.1
(4,005)",Unknown,公園,36.6309621,138.3516329
インチキたぬき,4,3 か月前,"遊具ではなくイルミネーションを見に行きました。

風車を中心にイルミネーションが設置されております。水面に反射する風車はとてもきれいだと思いました。

駐車場は右折が禁されているようです。",霞ヶ浦総合公園,"
〒300-0835 茨城県土浦市大岩田１４５","
029-826-4829",https://www.city.tsuchiura.lg.jp/page/dir000574.html,"4.1
(4,005)",Unknown,公園,36.6309621,138.3516329
JSB,3,1 週間前,"2025.4.13
チューリップ🌷見に来ました
まだ半分位しか咲いてなかったのが残念😓でしたが綺麗でした✨風車は大迫力！
次はイルミネーションの時期に来たいです😍 …",霞ヶ浦総合公園,"
〒300-0835 茨城県土浦市大岩田１４５","
029-826-4829",https://www.city.tsuchiura.lg.jp/page/dir000574.html,"4.1
(4,005)",Unknown,公園,36.6309621,138.3516329
JSB,3,1 週間前,"2025.4.13
チューリップ🌷見に来ました
まだ半分位しか咲いてなかったのが残念😓でしたが綺麗でした✨風車は大迫力！
次はイルミネーションの時期に来たいです😍 …",霞ヶ浦総合公園,"
〒300-0835 茨城県土浦市大岩田１４５","
029-826-4829",https://www.city.tsuchiura.lg.jp/page/dir000574.html,"4.1
(4,005)",Unknown,公園,36.6309621,138.3516329
ラルクアンシエル,4,4 か月前,"イルミネーション目当てで初めて来ましたが、駐車場も無料なのでGood♪
ラーメン万博2024がちょうどやっていたので試しに食べてみましたが、値段が高い気が(-_-;)
お店によってトッピング全のせで500円だったり1000円だったりなのでラーメン一杯に2000円（ラーメン1000円トッピング全のせで1000円計2000円）って感じました。
イルミネーションの方も家族向けなのかなって感じ
イルミネーションだけだったら同じ県内にある河内町にあるかわちイルミネーションの方が綺麗です✨",霞ヶ浦総合公園,"
〒300-0835 茨城県土浦市大岩田１４５","
029-826-4829",https://www.city.tsuchiura.lg.jp/page/dir000574.html,"4.1
(4,005)",Unknown,公園,36.6309621,138.3516329
ラルクアンシエル,4,4 か月前,"イルミネーション目当てで初めて来ましたが、駐車場も無料なのでGood♪
ラーメン万博2024がちょうどやっていたので試しに食べてみましたが、値段が高い気が(-_-;)
お店によってトッピング全のせで500円だったり1000円だったりなのでラーメン一杯に2000円（ラーメン1000円トッピング全のせで1000円計2000円）って感じました。
イルミネーションの方も家族向けなのかなって感じ
イルミネーションだけだったら同じ県内にある河内町にあるかわちイルミネーションの方が綺麗です✨",霞ヶ浦総合公園,"
〒300-0835 茨城県土浦市大岩田１４５","
029-826-4829",https://www.city.tsuchiura.lg.jp/page/dir000574.html,"4.1
(4,005)",Unknown,公園,36.6309621,138.3516329
TNK SN,4,7 か月前,"20240818
日本で2番目に大きい湖である霞ヶ浦に面している大きな公園。駐車場も公園の入口ごとに複数の場所にあります。
広大な敷地の中に大きなプール施設、自然観察施設、日帰り温泉など複数の施設があります。
また公園の中には人工の滝や帆船を模した遊具、全長20mほどもあるローラー滑り台、オランダ風車の展望台からは広大な霞ヶ浦がのぞめたりと、自然の中でリラックスしたい人、家族連れで遊びに行きたい人など様々な人が楽しめる公園です。",霞ヶ浦総合公園,"
〒300-0835 茨城県土浦市大岩田１４５","
029-826-4829",https://www.city.tsuchiura.lg.jp/page/dir000574.html,"4.1
(4,005)",Unknown,公園,36.6309621,138.3516329
TNK SN,4,7 か月前,"20240818
日本で2番目に大きい湖である霞ヶ浦に面している大きな公園。駐車場も公園の入口ごとに複数の場所にあります。
広大な敷地の中に大きなプール施設、自然観察施設、日帰り温泉など複数の施設があります。
また公園の中には人工の滝や帆船を模した遊具、全長20mほどもあるローラー滑り台、オランダ風車の展望台からは広大な霞ヶ浦がのぞめたりと、自然の中でリラックスしたい人、家族連れで遊びに行きたい人など様々な人が楽しめる公園です。",霞ヶ浦総合公園,"
〒300-0835 茨城県土浦市大岩田１４５","
029-826-4829",https://www.city.tsuchiura.lg.jp/page/dir000574.html,"4.1
(4,005)",Unknown,公園,36.6309621,138.3516329
nonnon,5,4 か月前,"今はイルミネーションがきれいです
霞ヶ浦がとても眺めがよくて心が落ち着きます
風車もとてもオシャレで上に上がって眺めも気持ちよく
公園もありウオーキングにおすすめです",霞ヶ浦総合公園,"
〒300-0835 茨城県土浦市大岩田１４５","
029-826-4829",https://www.city.tsuchiura.lg.jp/page/dir000574.html,"4.1
(4,005)",Unknown,公園,36.6309621,138.3516329
nonnon,5,4 か月前,"今はイルミネーションがきれいです
霞ヶ浦がとても眺めがよくて心が落ち着きます
風車もとてもオシャレで上に上がって眺めも気持ちよく
公園もありウオーキングにおすすめです",霞ヶ浦総合公園,"
〒300-0835 茨城県土浦市大岩田１４５","
029-826-4829",https://www.city.tsuchiura.lg.jp/page/dir000574.html,"4.1
(4,005)",Unknown,公園,36.6309621,138.3516329
長兵衛,4,5 か月前,"ラーメン万博に行ってきました。
1000円でチケットを買い、好きなラーメン屋さんの前に並んで購入します。
トッピングはどの店も500円位でマックス載せられます。全体的に味が濃い気がしました。
ちょうど水郷公園のイルミネーションと同じ時期だったので、夕方にラーメンを食べた後イルミネーションも鑑賞しました。
とても良い組み合わせだったのですが、どこからかダサイお兄さんがバイクに乗って登場。リズム感のない爆音を立てて一生懸命目立とうと頑張っていたのがうるさかったです。
今でもあんなダサい人がいるんだなぁとびっくり",霞ヶ浦総合公園,"
〒300-0835 茨城県土浦市大岩田１４５","
029-826-4829",https://www.city.tsuchiura.lg.jp/page/dir000574.html,"4.1
(4,005)",Unknown,公園,36.6309621,138.3516329
長兵衛,4,5 か月前,"ラーメン万博に行ってきました。
1000円でチケットを買い、好きなラーメン屋さんの前に並んで購入します。
トッピングはどの店も500円位でマックス載せられます。全体的に味が濃い気がしました。
ちょうど水郷公園のイルミネーションと同じ時期だったので、夕方にラーメンを食べた後イルミネーションも鑑賞しました。
とても良い組み合わせだったのですが、どこからかダサイお兄さんがバイクに乗って登場。リズム感のない爆音を立てて一生懸命目立とうと頑張っていたのがうるさかったです。
今でもあんなダサい人がいるんだなぁとびっくり",霞ヶ浦総合公園,"
〒300-0835 茨城県土浦市大岩田１４５","
029-826-4829",https://www.city.tsuchiura.lg.jp/page/dir000574.html,"4.1
(4,005)",Unknown,公園,36.6309621,138.3516329
