Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
yasuaki arai,5,1 か月前,"2025・02・27に訪湯。交通手段がかなり厳しいので、練馬駅から赤羽駅行きの国際興業バスを利用し、小金沢通りで下車し、とぼとぼ歩く。経路中のWi-Fi環境があまりよくないのでご注意！ゆっくり歩いて20分位で到着。
ファサードにマンションの一階とは思えない破風が立派！入った先に受付があり「こんにちは」。右側に3畳位のレストスペース。アイスや飲み物も購入可能。
脱衣室の天井には、ゆったりと扇風機が回っていて、見がかりで幅45㎝高さと奥行き60㎝のロッカーがずらり。
ロッカーキーの盗難が多く、出口にチェッカーがあるので持って帰らないでね。
洗い場のカランは、６＋５＋５＋４＋４＋４とシャワーが一か所あります。
湯温40度位の湯舟は、ちょっと深めのバイブラ・ボディマッサージと電気・マクロ更にちょっと深めの薬湯。ドアを開けた室外には福島県沼尻温泉から湯の華を取り寄せた半露天風呂が楽しそうに待ってます。",露天風呂ゆの花,"
〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル","
03-5392-1233",http://www.e-yunohana.com/yunohana-1.htm,"3.9
(122)",Unknown,〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル,35.0465219,136.4338188
yasuaki arai,5,1 か月前,"2025・02・27に訪湯。交通手段がかなり厳しいので、練馬駅から赤羽駅行きの国際興業バスを利用し、小金沢通りで下車し、とぼとぼ歩く。経路中のWi-Fi環境があまりよくないのでご注意！ゆっくり歩いて20分位で到着。
ファサードにマンションの一階とは思えない破風が立派！入った先に受付があり「こんにちは」。右側に3畳位のレストスペース。アイスや飲み物も購入可能。
脱衣室の天井には、ゆったりと扇風機が回っていて、見がかりで幅45㎝高さと奥行き60㎝のロッカーがずらり。
ロッカーキーの盗難が多く、出口にチェッカーがあるので持って帰らないでね。
洗い場のカランは、６＋５＋５＋４＋４＋４とシャワーが一か所あります。
湯温40度位の湯舟は、ちょっと深めのバイブラ・ボディマッサージと電気・マクロ更にちょっと深めの薬湯。ドアを開けた室外には福島県沼尻温泉から湯の華を取り寄せた半露天風呂が楽しそうに待ってます。",露天風呂ゆの花,"
〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル","
03-5392-1233",http://www.e-yunohana.com/yunohana-1.htm,"3.9
(122)",Unknown,〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル,35.0465219,136.4338188
SAT,4,4 か月前,"常連の多い地元の銭湯です。シャンプー類は家から持参。小さいのも売ってますが、ボトルで持ってきてる地元民が多いので地域密着型ですね。ドライヤーはコイン式。10円玉数枚用意していきましょう。日替わりの薬湯をやっており電気湯やジェットなど欲しい設備はあります。電気湯のマッサージがお気に入りです。
外は見えませんが雰囲気のある露天があり、湯の花を入れてくれてるのでちょっとした温泉気分が味わえます。サウナがあったら最高ですが、ここはここでのんびりお風呂に浸かる銭湯として利用します。
出たところにある松月でやきとんをテイクアウクアウトして家で風呂上がりの一杯を、最高です。",露天風呂ゆの花,"
〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル","
03-5392-1233",http://www.e-yunohana.com/yunohana-1.htm,"3.9
(122)",Unknown,〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル,35.0465219,136.4338188
SAT,4,4 か月前,"常連の多い地元の銭湯です。シャンプー類は家から持参。小さいのも売ってますが、ボトルで持ってきてる地元民が多いので地域密着型ですね。ドライヤーはコイン式。10円玉数枚用意していきましょう。日替わりの薬湯をやっており電気湯やジェットなど欲しい設備はあります。電気湯のマッサージがお気に入りです。
外は見えませんが雰囲気のある露天があり、湯の花を入れてくれてるのでちょっとした温泉気分が味わえます。サウナがあったら最高ですが、ここはここでのんびりお風呂に浸かる銭湯として利用します。
出たところにある松月でやきとんをテイクアウクアウトして家で風呂上がりの一杯を、最高です。",露天風呂ゆの花,"
〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル","
03-5392-1233",http://www.e-yunohana.com/yunohana-1.htm,"3.9
(122)",Unknown,〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル,35.0465219,136.4338188
鑫#イ言θ月,5,1 年前,銭湯なのに露天風呂？と疑問に思い行ってみた。場所は北赤羽駅からも浮間舟渡駅からも等間隔くらいの所。歩きだと結構歩くことになる。周囲はただの住宅街。銭湯前には沢山自転車が停まっている。人気の施設のようだ。料金はお決まりの520円。番台前には休憩スペースあり。伊良コーラが置いてあるのが珍しい。浴室は普通の銭湯らしい造り。シャンプーの備え付けは無いので予め用意のこと。内湯はジャグジー等のごく普通の銭湯だが外湯は一転して銭湯らしからぬ風景。日帰り温泉のような露天風呂に白濁の湯が満たされている。3人くらいしか同時に入れない大きさだが温泉らしい雰囲気に心も体も癒やされた。,露天風呂ゆの花,"
〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル","
03-5392-1233",http://www.e-yunohana.com/yunohana-1.htm,"3.9
(122)",Unknown,〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル,35.0465219,136.4338188
鑫#イ言θ月,5,1 年前,銭湯なのに露天風呂？と疑問に思い行ってみた。場所は北赤羽駅からも浮間舟渡駅からも等間隔くらいの所。歩きだと結構歩くことになる。周囲はただの住宅街。銭湯前には沢山自転車が停まっている。人気の施設のようだ。料金はお決まりの520円。番台前には休憩スペースあり。伊良コーラが置いてあるのが珍しい。浴室は普通の銭湯らしい造り。シャンプーの備え付けは無いので予め用意のこと。内湯はジャグジー等のごく普通の銭湯だが外湯は一転して銭湯らしからぬ風景。日帰り温泉のような露天風呂に白濁の湯が満たされている。3人くらいしか同時に入れない大きさだが温泉らしい雰囲気に心も体も癒やされた。,露天風呂ゆの花,"
〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル","
03-5392-1233",http://www.e-yunohana.com/yunohana-1.htm,"3.9
(122)",Unknown,〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル,35.0465219,136.4338188
Minoru Shimizu,3,5 か月前,"支払いは現金のみ、ゆの花については自分は全く感ずることもなかった。

浮いてる様子もなく、ニオイとかもなく、何か理由があるのかも。
少し残念。",露天風呂ゆの花,"
〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル","
03-5392-1233",http://www.e-yunohana.com/yunohana-1.htm,"3.9
(122)",Unknown,〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル,35.0465219,136.4338188
Minoru Shimizu,3,5 か月前,"支払いは現金のみ、ゆの花については自分は全く感ずることもなかった。

浮いてる様子もなく、ニオイとかもなく、何か理由があるのかも。
少し残念。",露天風呂ゆの花,"
〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル","
03-5392-1233",http://www.e-yunohana.com/yunohana-1.htm,"3.9
(122)",Unknown,〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル,35.0465219,136.4338188
さっちん。,4,1 年前,"露天風呂ゆの花　北区浮間舟渡

遠くから分かる巨大な看板の下は、意外に控えめな入口です。フロントも脱衣場も浴場も照明が明るく綺麗です。
ラッキーにも今日は伊良コーラ湯の変わり湯です。珍しい110cm高のC型ジェット、体に優しい弱めの揉兵衛いずれも百薬の長41℃くらいの温度です。
伊良コーラ湯は柑橘系の漢方で控えめな香りがします。
そしてお楽しみの福島中の湯沼尻の白濁の湯です。香りはしないものの東屋の下いい雰囲気です。
温泉成分は「貸そうかなまあ当てにするなよひどすぎる借金」を思い出す誰もが知ってる元素ばかりです。
サウナ水風呂なしなし銭湯でしたが、この露天都合30分おりました。
表記の湯は枯れてしまったようで近隣福島の温泉との事
また5年前の中普請かと思いきや25年前改装
とても綺麗で感心しました。",露天風呂ゆの花,"
〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル","
03-5392-1233",http://www.e-yunohana.com/yunohana-1.htm,"3.9
(122)",Unknown,〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル,35.0465219,136.4338188
さっちん。,4,1 年前,"露天風呂ゆの花　北区浮間舟渡

遠くから分かる巨大な看板の下は、意外に控えめな入口です。フロントも脱衣場も浴場も照明が明るく綺麗です。
ラッキーにも今日は伊良コーラ湯の変わり湯です。珍しい110cm高のC型ジェット、体に優しい弱めの揉兵衛いずれも百薬の長41℃くらいの温度です。
伊良コーラ湯は柑橘系の漢方で控えめな香りがします。
そしてお楽しみの福島中の湯沼尻の白濁の湯です。香りはしないものの東屋の下いい雰囲気です。
温泉成分は「貸そうかなまあ当てにするなよひどすぎる借金」を思い出す誰もが知ってる元素ばかりです。
サウナ水風呂なしなし銭湯でしたが、この露天都合30分おりました。
表記の湯は枯れてしまったようで近隣福島の温泉との事
また5年前の中普請かと思いきや25年前改装
とても綺麗で感心しました。",露天風呂ゆの花,"
〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル","
03-5392-1233",http://www.e-yunohana.com/yunohana-1.htm,"3.9
(122)",Unknown,〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル,35.0465219,136.4338188
銭湯甲斐,4,5 年前,"番台の方に営業歴を聞いたところ、曽祖父の時からだそうです。（一人が２０年として、東京オリンピック前後か？）
カウンター式の番台で、券売機で券を購入します。近くには、万引き防止機が設置されており、脱衣場のロッカー鍵を持っていかれたのかな？
浴槽は３つ有り、売りの露天風呂、室内に大と小です。大には、ジェット、電気、泡が有り、小は薬湯です。湯温は約４１度程度で、カランの湯は水で調整する使い勝手が良い温度です。
瀧の絵と浴槽が上手く描かれいます。
なお、洗い場の構造上、排水口が入口側の中央に有り漏斗状なので、シャボンなどの流し湯がタイル床を入口側に流れるため、風呂から出る人の足に湯が流れてくるのは難点です。
シャンプーやボディーソープは持って行きましょう。",露天風呂ゆの花,"
〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル","
03-5392-1233",http://www.e-yunohana.com/yunohana-1.htm,"3.9
(122)",Unknown,〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル,35.0465219,136.4338188
銭湯甲斐,4,5 年前,"番台の方に営業歴を聞いたところ、曽祖父の時からだそうです。（一人が２０年として、東京オリンピック前後か？）
カウンター式の番台で、券売機で券を購入します。近くには、万引き防止機が設置されており、脱衣場のロッカー鍵を持っていかれたのかな？
浴槽は３つ有り、売りの露天風呂、室内に大と小です。大には、ジェット、電気、泡が有り、小は薬湯です。湯温は約４１度程度で、カランの湯は水で調整する使い勝手が良い温度です。
瀧の絵と浴槽が上手く描かれいます。
なお、洗い場の構造上、排水口が入口側の中央に有り漏斗状なので、シャボンなどの流し湯がタイル床を入口側に流れるため、風呂から出る人の足に湯が流れてくるのは難点です。
シャンプーやボディーソープは持って行きましょう。",露天風呂ゆの花,"
〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル","
03-5392-1233",http://www.e-yunohana.com/yunohana-1.htm,"3.9
(122)",Unknown,〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル,35.0465219,136.4338188
びびび,4,1 年前,"銭湯とコインランドリーを探して、こちらへ。
隣のコインランドリーは洗濯and乾燥が続きでできず、そこが残念💦

お風呂は平日夜のためか空いていてのんびり、ゆったりできました！

リフォームされているようて、キレイな店内。

お風呂から出たら、居酒屋がすぐ近くに２軒ほど。困りません😎",露天風呂ゆの花,"
〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル","
03-5392-1233",http://www.e-yunohana.com/yunohana-1.htm,"3.9
(122)",Unknown,〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル,35.0465219,136.4338188
びびび,4,1 年前,"銭湯とコインランドリーを探して、こちらへ。
隣のコインランドリーは洗濯and乾燥が続きでできず、そこが残念💦

お風呂は平日夜のためか空いていてのんびり、ゆったりできました！

リフォームされているようて、キレイな店内。

お風呂から出たら、居酒屋がすぐ近くに２軒ほど。困りません😎",露天風呂ゆの花,"
〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル","
03-5392-1233",http://www.e-yunohana.com/yunohana-1.htm,"3.9
(122)",Unknown,〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル,35.0465219,136.4338188
きちきちきちきち,4,2 年前,この銭湯も昭和を思い出される銭湯です。露天風呂ゆの花ですが露天風呂を見つけることができませんでした。マッサージ風呂、薬湯の2つで40℃位の適温のために常連のらしい方が占拠しており、泡風呂のみしか入れず残念。フロント前に長椅子とテレビあり。まったりできます。シャンプー類は無いため持ってくるか、購入しなければなりません。サウナ、水風呂もない。残念です。気さくな奥さまに話しかけられるかも。,露天風呂ゆの花,"
〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル","
03-5392-1233",http://www.e-yunohana.com/yunohana-1.htm,"3.9
(122)",Unknown,〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル,35.0465219,136.4338188
きちきちきちきち,4,2 年前,この銭湯も昭和を思い出される銭湯です。露天風呂ゆの花ですが露天風呂を見つけることができませんでした。マッサージ風呂、薬湯の2つで40℃位の適温のために常連のらしい方が占拠しており、泡風呂のみしか入れず残念。フロント前に長椅子とテレビあり。まったりできます。シャンプー類は無いため持ってくるか、購入しなければなりません。サウナ、水風呂もない。残念です。気さくな奥さまに話しかけられるかも。,露天風呂ゆの花,"
〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル","
03-5392-1233",http://www.e-yunohana.com/yunohana-1.htm,"3.9
(122)",Unknown,〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル,35.0465219,136.4338188
しなしな,3,2 年前,"本日ご利用させて頂きました。
20時ほどでしたが人は4人ほどしかおらず、空いていました。ほかの方はご高齢の常連の方でみんな常に大きめの声でおしゃべりしていました。目の前にいてもお構い無しでした。もちろんマスクはしておらず注意などもありませんでしたので、気にされる方はやめておいた方が良いです。自分は少し不快に感じたので☆-1しました。

料金については大人500円です。都内共通回数券や1010クーポンなどが使えます。ただし、タオルのレンタルやボディソープ、シャンプーなどはありません。バスタオルは800円、タオルは300円で購入となります。石けん30円ボディソープ50円シャンプー40円リンスは40円です。石鹸以外はボトルで2回分くらいは入っているので購入でも良いと思います。タオルだけ予め用意しておくか、近くのキャンドゥで購入しておきましょう。支払いは券売機で現金のみです。
中のロッカーは沢山あり、100円玉などは不要です。正直ロッカーの半分の人数も入れないくらいの広さなので、荷物多い人は2つ使っても良いと思います。(サイズは一般的なリュックが入る程度のサイズ)
ドライヤーは3分20円なので使う方は用意しておきましょう。

お風呂についてはシャワーは沢山ありますが、湯船はマッサージ系が3人入れるくらい、薬湯は1人、露天風呂は3人入れるくらいで7人で埋まってしまいます。(詰めればそれぞれ+1人ずつで10人は入れるかも)
感想としてはマッサージ系は普通のお湯、薬湯はまんまバブみたいな感じ、露天風呂は再生温泉なのですが温泉地の温泉という感じではなく、香りのある温泉という感じでした。(硫黄臭くはないです)また、薬湯はめっちゃ深いのでお子さんは入らない方がいいかもしれません。逆に露天風呂はめっちゃ浅いです。寝湯みたいな感じで浸かれば全身浸かれます。お湯の温度はどれも体感40度くらい？で個人的にはちょうど良かったです。

総合的に言うとお風呂としては近くに住んでれば週一で通ってもいいかなというレベルですが、混んでたり騒がしいとちょっと辛いかなという感じです。空いているタイミングに行くのが1番良いと思います。

ちなみに脱衣所、お風呂の中のあちこちに防犯カメラがあります。女性の方は分かりませんが、気になる方はやめておいた方がいいかも？ただその分盗難とかの心配は無さそうなので安心感はかなりあります。

混み具合とかお客さんの客層とかはたまたまかもしれないので、もう1回今度はもっと遅い時間に訪れたいと思います。",露天風呂ゆの花,"
〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル","
03-5392-1233",http://www.e-yunohana.com/yunohana-1.htm,"3.9
(122)",Unknown,〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル,35.0465219,136.4338188
しなしな,3,2 年前,"本日ご利用させて頂きました。
20時ほどでしたが人は4人ほどしかおらず、空いていました。ほかの方はご高齢の常連の方でみんな常に大きめの声でおしゃべりしていました。目の前にいてもお構い無しでした。もちろんマスクはしておらず注意などもありませんでしたので、気にされる方はやめておいた方が良いです。自分は少し不快に感じたので☆-1しました。

料金については大人500円です。都内共通回数券や1010クーポンなどが使えます。ただし、タオルのレンタルやボディソープ、シャンプーなどはありません。バスタオルは800円、タオルは300円で購入となります。石けん30円ボディソープ50円シャンプー40円リンスは40円です。石鹸以外はボトルで2回分くらいは入っているので購入でも良いと思います。タオルだけ予め用意しておくか、近くのキャンドゥで購入しておきましょう。支払いは券売機で現金のみです。
中のロッカーは沢山あり、100円玉などは不要です。正直ロッカーの半分の人数も入れないくらいの広さなので、荷物多い人は2つ使っても良いと思います。(サイズは一般的なリュックが入る程度のサイズ)
ドライヤーは3分20円なので使う方は用意しておきましょう。

お風呂についてはシャワーは沢山ありますが、湯船はマッサージ系が3人入れるくらい、薬湯は1人、露天風呂は3人入れるくらいで7人で埋まってしまいます。(詰めればそれぞれ+1人ずつで10人は入れるかも)
感想としてはマッサージ系は普通のお湯、薬湯はまんまバブみたいな感じ、露天風呂は再生温泉なのですが温泉地の温泉という感じではなく、香りのある温泉という感じでした。(硫黄臭くはないです)また、薬湯はめっちゃ深いのでお子さんは入らない方がいいかもしれません。逆に露天風呂はめっちゃ浅いです。寝湯みたいな感じで浸かれば全身浸かれます。お湯の温度はどれも体感40度くらい？で個人的にはちょうど良かったです。

総合的に言うとお風呂としては近くに住んでれば週一で通ってもいいかなというレベルですが、混んでたり騒がしいとちょっと辛いかなという感じです。空いているタイミングに行くのが1番良いと思います。

ちなみに脱衣所、お風呂の中のあちこちに防犯カメラがあります。女性の方は分かりませんが、気になる方はやめておいた方がいいかも？ただその分盗難とかの心配は無さそうなので安心感はかなりあります。

混み具合とかお客さんの客層とかはたまたまかもしれないので、もう1回今度はもっと遅い時間に訪れたいと思います。",露天風呂ゆの花,"
〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル","
03-5392-1233",http://www.e-yunohana.com/yunohana-1.htm,"3.9
(122)",Unknown,〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル,35.0465219,136.4338188
Gen Tamura,5,6 年前,"以前夜から駐車できるスペースがあったのだが、今は無くなった。ここの特徴は東屋風の屋根付きの、硫黄のにおいのする白い露天風呂。

ここはうすら寒く、水も何故かぬるいのだが、かろうじてこの白湯が他より強いので、わざわざ来る気にもなれる。

東屋風の屋根がついた露天風呂に温泉の入浴剤が入っていて、白い湯の風呂なのである。

そして外にも休むための椅子があるのだが、湯船が広くないのでニ三人入ると埋まってしまう。

そこで他にレクリエーションのなさそうな親子が、ずぅーっと入り続けているのである。

他にも入る人がいるから、大抵順番にころあいをみて入ってゆくのだが、外の椅子で休んではまたはいりを繰り返すので、入る隙が無いのである。

あまりに長期間入っているので、露天には入れずに出るしかなかった。

時々、足を怪我したとおぼしき人も、白いお湯は傷の直りが早いと思ったか、同じように繰り返し浸かっている。

こうなると迷信染みている。普通の入浴料金でそこまで効能を期待するか。",露天風呂ゆの花,"
〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル","
03-5392-1233",http://www.e-yunohana.com/yunohana-1.htm,"3.9
(122)",Unknown,〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル,35.0465219,136.4338188
Gen Tamura,5,6 年前,"以前夜から駐車できるスペースがあったのだが、今は無くなった。ここの特徴は東屋風の屋根付きの、硫黄のにおいのする白い露天風呂。

ここはうすら寒く、水も何故かぬるいのだが、かろうじてこの白湯が他より強いので、わざわざ来る気にもなれる。

東屋風の屋根がついた露天風呂に温泉の入浴剤が入っていて、白い湯の風呂なのである。

そして外にも休むための椅子があるのだが、湯船が広くないのでニ三人入ると埋まってしまう。

そこで他にレクリエーションのなさそうな親子が、ずぅーっと入り続けているのである。

他にも入る人がいるから、大抵順番にころあいをみて入ってゆくのだが、外の椅子で休んではまたはいりを繰り返すので、入る隙が無いのである。

あまりに長期間入っているので、露天には入れずに出るしかなかった。

時々、足を怪我したとおぼしき人も、白いお湯は傷の直りが早いと思ったか、同じように繰り返し浸かっている。

こうなると迷信染みている。普通の入浴料金でそこまで効能を期待するか。",露天風呂ゆの花,"
〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル","
03-5392-1233",http://www.e-yunohana.com/yunohana-1.htm,"3.9
(122)",Unknown,〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル,35.0465219,136.4338188
Mari Kaneko,4,5 年前,"空が見えない露店なのが残念でしたが、ゆの花の香りが立ち込め温泉気分が味わえました。
サウナ用の水風呂または水シャワーが無いので交互浴好きの自分としては惜しい。
感じの良い若めのご主人の対応もグッド",露天風呂ゆの花,"
〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル","
03-5392-1233",http://www.e-yunohana.com/yunohana-1.htm,"3.9
(122)",Unknown,〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル,35.0465219,136.4338188
Mari Kaneko,4,5 年前,"空が見えない露店なのが残念でしたが、ゆの花の香りが立ち込め温泉気分が味わえました。
サウナ用の水風呂または水シャワーが無いので交互浴好きの自分としては惜しい。
感じの良い若めのご主人の対応もグッド",露天風呂ゆの花,"
〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル","
03-5392-1233",http://www.e-yunohana.com/yunohana-1.htm,"3.9
(122)",Unknown,〒115-0051 東京都北区浮間４丁目６−１０ 飯島ビル,35.0465219,136.4338188
