Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
きよみ,4,1 年前,薄曇りのお天気でしたが風もなかったので展望台まで登って見ました。登り下りの階段は結構きつかったけれど、海を眺めながら休み休みと頂上まで行く事ができました。晴れた日にもう一度行って見たいですねー😅 …,青海島,"
山口県長門市",Unknown,Unknown,"4.4
(82)",Unknown,山口県長門市,34.4180312,131.2148771
きよみ,4,1 年前,薄曇りのお天気でしたが風もなかったので展望台まで登って見ました。登り下りの階段は結構きつかったけれど、海を眺めながら休み休みと頂上まで行く事ができました。晴れた日にもう一度行って見たいですねー😅 …,青海島,"
山口県長門市",Unknown,Unknown,"4.4
(82)",Unknown,山口県長門市,34.4180312,131.2148771
Mika Fukunaga,5,8 か月前,クルージングを楽しみました。センザキッチンで購入した食材をグリルで頂きました。この日は平日でゆっくり出来ました。,青海島,"
山口県長門市",Unknown,Unknown,"4.4
(82)",Unknown,山口県長門市,34.4180312,131.2148771
Mika Fukunaga,5,8 か月前,クルージングを楽しみました。センザキッチンで購入した食材をグリルで頂きました。この日は平日でゆっくり出来ました。,青海島,"
山口県長門市",Unknown,Unknown,"4.4
(82)",Unknown,山口県長門市,34.4180312,131.2148771
塚本ハンスケ,4,5 か月前,"思った以上に迫力あり
晴れた波の少ない日がベスト",青海島,"
山口県長門市",Unknown,Unknown,"4.4
(82)",Unknown,山口県長門市,34.4180312,131.2148771
塚本ハンスケ,4,5 か月前,"思った以上に迫力あり
晴れた波の少ない日がベスト",青海島,"
山口県長門市",Unknown,Unknown,"4.4
(82)",Unknown,山口県長門市,34.4180312,131.2148771
白雲一望,5,2 年前,"自然研究路からは蒼く荒々しい海と眼下に点在する奇岩群、大迫力の偉観が見渡せました。この島は別名海上アルプスとも呼ばれているそうですね。画家の東山魁夷は、ここの瀬叢の景色をモデルに皇居宮殿の壁画『朝明けの潮』を描いたとされています。

原始的、というのかな、断崖から見下ろせる景色はそんな言葉を思わせます。ここはかつて捕鯨の基地としても知られていました。素晴らしい景色も勿論ですが、この島の文化も貴重で大変興味深いものです。くじらの墓は他にもありますが、戒名までつけるのはここぐらいです。島民がどのような気持ちで命と向かい合ってきたのかを感じさせます。

青海島を訪れたらくじら資料館は外せません。くじらと生きた島民の歴史と想いが刻まれた場所だと、僕は思いました。",青海島,"
山口県長門市",Unknown,Unknown,"4.4
(82)",Unknown,山口県長門市,34.4180312,131.2148771
白雲一望,5,2 年前,"自然研究路からは蒼く荒々しい海と眼下に点在する奇岩群、大迫力の偉観が見渡せました。この島は別名海上アルプスとも呼ばれているそうですね。画家の東山魁夷は、ここの瀬叢の景色をモデルに皇居宮殿の壁画『朝明けの潮』を描いたとされています。

原始的、というのかな、断崖から見下ろせる景色はそんな言葉を思わせます。ここはかつて捕鯨の基地としても知られていました。素晴らしい景色も勿論ですが、この島の文化も貴重で大変興味深いものです。くじらの墓は他にもありますが、戒名までつけるのはここぐらいです。島民がどのような気持ちで命と向かい合ってきたのかを感じさせます。

青海島を訪れたらくじら資料館は外せません。くじらと生きた島民の歴史と想いが刻まれた場所だと、僕は思いました。",青海島,"
山口県長門市",Unknown,Unknown,"4.4
(82)",Unknown,山口県長門市,34.4180312,131.2148771
KNIGHTS0812,5,3 年前,"素晴らしい景色。
青海島ダイビングセンターがある駐車場(普通車500円)で車を停め、キャンプ場から青海島遊歩道に入る、目前に素晴らしい景色が広がる。角島とはまた一味違った風景が観れる。ゆっくり歩いて、小一時間ほど。行って見る価値はあり。お勧めします。",青海島,"
山口県長門市",Unknown,Unknown,"4.4
(82)",Unknown,山口県長門市,34.4180312,131.2148771
KNIGHTS0812,5,3 年前,"素晴らしい景色。
青海島ダイビングセンターがある駐車場(普通車500円)で車を停め、キャンプ場から青海島遊歩道に入る、目前に素晴らしい景色が広がる。角島とはまた一味違った風景が観れる。ゆっくり歩いて、小一時間ほど。行って見る価値はあり。お勧めします。",青海島,"
山口県長門市",Unknown,Unknown,"4.4
(82)",Unknown,山口県長門市,34.4180312,131.2148771
