Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
星野知子,5,4 か月前,"かつて皇室の別荘だった
「武庫離宮」の跡地に
整備された都市公園になります。

久しぶりだったのですが
小学生の時、遠足で来たり
老人ホームの遠足で
車椅子の父を連れて来たりしたので
とても懐かしかったです。

駐車場は広い
のてすが土日は
並ぶこともあるそうです。

今回は
電車で行きました。

山陽電車東須磨駅から
徒歩10分くらい

須磨離宮公園には
いくつか
入り口があるのですが

東須磨駅からだと
東口という入り口が
最寄りの入り口になるので
気をつけてくださいね！
（私は入りそこねて迷いました）

敷地が広いので結構歩きます！
歩きやすい靴で行くことを
おすすめします。

11月上旬だったので
紅葉はまだまだでしたが
ちょうど秋薔薇が満開でした💕

欧風噴水庭園にある
「王侯貴族のバラ園」で
春と秋に
約180種4000株の
薔薇が咲き誇るのをはじめ

ボタンやハナショウブ、紅葉、梅など
四季を通じて植物を楽しめます💕

ランチをいただいた
レストランもステキでした

お弁当を持ってきて
広場などで食べることも可能だそうです。

フィールドアスレチック
「子供の森・冒険コース」や
「児童遊園」もあり
（ロング滑り台があります！）
子連れでも楽しめる公園ですラブラブ

但し！
12月2日（月）～3月中旬
遊具更新工事のため
子供の森アスレチックは閉鎖し
使用できないそうです！
お気をつけくださいね。

噴水とってもステキですけど
近いとかなり濡れます！

展望台は残念ながら
閉鎖中でしたが
海が見えるところは
何ヶ所かあります。

レトロなトンネルや
お茶室や日本庭園
植物園もあります💕

私たちが行ったときは
まだまだでしたが
紅葉も楽しめます！

須磨離宮公園さんの
インスタグラム情報を
チェックしていたら
見頃を発信してくれてます。

11月12月は
週末にはイベントも
やってるみたいですよ！

11/9~12/8の土日祝は20時まで
ライトアップもなさってました。

子供からお年寄りまで
楽しめると思います。",須磨離宮公園,"
〒654-0018 兵庫県神戸市須磨区東須磨１−１","
078-732-6688",https://www.kobe-park.or.jp/rikyu/,"4.2
(2,591)",Unknown,市立公園,34.6532737,135.1177624
星野知子,5,4 か月前,"かつて皇室の別荘だった
「武庫離宮」の跡地に
整備された都市公園になります。

久しぶりだったのですが
小学生の時、遠足で来たり
老人ホームの遠足で
車椅子の父を連れて来たりしたので
とても懐かしかったです。

駐車場は広い
のてすが土日は
並ぶこともあるそうです。

今回は
電車で行きました。

山陽電車東須磨駅から
徒歩10分くらい

須磨離宮公園には
いくつか
入り口があるのですが

東須磨駅からだと
東口という入り口が
最寄りの入り口になるので
気をつけてくださいね！
（私は入りそこねて迷いました）

敷地が広いので結構歩きます！
歩きやすい靴で行くことを
おすすめします。

11月上旬だったので
紅葉はまだまだでしたが
ちょうど秋薔薇が満開でした💕

欧風噴水庭園にある
「王侯貴族のバラ園」で
春と秋に
約180種4000株の
薔薇が咲き誇るのをはじめ

ボタンやハナショウブ、紅葉、梅など
四季を通じて植物を楽しめます💕

ランチをいただいた
レストランもステキでした

お弁当を持ってきて
広場などで食べることも可能だそうです。

フィールドアスレチック
「子供の森・冒険コース」や
「児童遊園」もあり
（ロング滑り台があります！）
子連れでも楽しめる公園ですラブラブ

但し！
12月2日（月）～3月中旬
遊具更新工事のため
子供の森アスレチックは閉鎖し
使用できないそうです！
お気をつけくださいね。

噴水とってもステキですけど
近いとかなり濡れます！

展望台は残念ながら
閉鎖中でしたが
海が見えるところは
何ヶ所かあります。

レトロなトンネルや
お茶室や日本庭園
植物園もあります💕

私たちが行ったときは
まだまだでしたが
紅葉も楽しめます！

須磨離宮公園さんの
インスタグラム情報を
チェックしていたら
見頃を発信してくれてます。

11月12月は
週末にはイベントも
やってるみたいですよ！

11/9~12/8の土日祝は20時まで
ライトアップもなさってました。

子供からお年寄りまで
楽しめると思います。",須磨離宮公園,"
〒654-0018 兵庫県神戸市須磨区東須磨１−１","
078-732-6688",https://www.kobe-park.or.jp/rikyu/,"4.2
(2,591)",Unknown,市立公園,34.6532737,135.1177624
快速急行 神戸三宮行,5,4 か月前,紅葉が綺麗です。園内には、植物園と本園があり、もみじの紅葉は植物園エリアに集中しています。バラやシクラメン、ビオラ、クリサンセマムなどの花も咲いています。噴水広場にはたくさんの大きな噴水があります。児童遊園にはジャンボ滑り台というすごく大きな滑り台や色々な遊具があります。子供の森冒険コースは12月2日(月)から3月中旬まで遊具の更新工事のため遊ぶことは出来ません。,須磨離宮公園,"
〒654-0018 兵庫県神戸市須磨区東須磨１−１","
078-732-6688",https://www.kobe-park.or.jp/rikyu/,"4.2
(2,591)",Unknown,市立公園,34.6532737,135.1177624
快速急行 神戸三宮行,5,4 か月前,紅葉が綺麗です。園内には、植物園と本園があり、もみじの紅葉は植物園エリアに集中しています。バラやシクラメン、ビオラ、クリサンセマムなどの花も咲いています。噴水広場にはたくさんの大きな噴水があります。児童遊園にはジャンボ滑り台というすごく大きな滑り台や色々な遊具があります。子供の森冒険コースは12月2日(月)から3月中旬まで遊具の更新工事のため遊ぶことは出来ません。,須磨離宮公園,"
〒654-0018 兵庫県神戸市須磨区東須磨１−１","
078-732-6688",https://www.kobe-park.or.jp/rikyu/,"4.2
(2,591)",Unknown,市立公園,34.6532737,135.1177624
お池,5,1 か月前,"須磨区にある都市公園
1914年(大正3年)に完成した旧武庫離宮と
TVドラマ「華麗なる一族」のモデルになった
岡崎財閥の旧岡崎邸の敷地と建物を1973年に
神戸市が買い上げ整備した植物園からなる

離宮としては
神戸大空襲で御殿が焼けるまでの30年間
大正天皇や貞明皇后、皇太子時代の昭和天皇
満州国皇帝のラストエンペラー溥儀も利用した

開園時間9:00～17:00
毎週木曜日と年末年始が休園日
入園料は
15歳以上(中学生を除く)400円・小中学生200円
神戸市内在住で65歳以上の人と
神戸市在住・在学の高校生は資料があれば無料になる
あと、3園(須磨離宮公園・森林植物園・相楽園)共通で
年間フリーパスがあって
大人(15歳以上、中学生を除く)900円
小人(小・中学生)450円とかいう激安価格になる

アクセスとしては
山陽電鉄月見山駅・須磨寺駅どちらからでも徒歩10分
だけど、一般的には車利用だと思う
阪神高速須磨IC近くに駐車場の入口があり
乗用車一日500円・バイク一日100円で結構広い
また、駐車場からだとメイン施設の噴水公園に
直接アクセスできる(正門からだと結構登る)

平面幾何学式庭園や梅林などがあり
汐見台から見える大阪湾の景色もいい
アスレチック施設はまだ休園中っだけど
家族連れでお弁当を持って一日まったりなんて
結構贅沢な過ごし方だと思う
市街地すぐだし安いしな！",須磨離宮公園,"
〒654-0018 兵庫県神戸市須磨区東須磨１−１","
078-732-6688",https://www.kobe-park.or.jp/rikyu/,"4.2
(2,591)",Unknown,市立公園,34.6532737,135.1177624
お池,5,1 か月前,"須磨区にある都市公園
1914年(大正3年)に完成した旧武庫離宮と
TVドラマ「華麗なる一族」のモデルになった
岡崎財閥の旧岡崎邸の敷地と建物を1973年に
神戸市が買い上げ整備した植物園からなる

離宮としては
神戸大空襲で御殿が焼けるまでの30年間
大正天皇や貞明皇后、皇太子時代の昭和天皇
満州国皇帝のラストエンペラー溥儀も利用した

開園時間9:00～17:00
毎週木曜日と年末年始が休園日
入園料は
15歳以上(中学生を除く)400円・小中学生200円
神戸市内在住で65歳以上の人と
神戸市在住・在学の高校生は資料があれば無料になる
あと、3園(須磨離宮公園・森林植物園・相楽園)共通で
年間フリーパスがあって
大人(15歳以上、中学生を除く)900円
小人(小・中学生)450円とかいう激安価格になる

アクセスとしては
山陽電鉄月見山駅・須磨寺駅どちらからでも徒歩10分
だけど、一般的には車利用だと思う
阪神高速須磨IC近くに駐車場の入口があり
乗用車一日500円・バイク一日100円で結構広い
また、駐車場からだとメイン施設の噴水公園に
直接アクセスできる(正門からだと結構登る)

平面幾何学式庭園や梅林などがあり
汐見台から見える大阪湾の景色もいい
アスレチック施設はまだ休園中っだけど
家族連れでお弁当を持って一日まったりなんて
結構贅沢な過ごし方だと思う
市街地すぐだし安いしな！",須磨離宮公園,"
〒654-0018 兵庫県神戸市須磨区東須磨１−１","
078-732-6688",https://www.kobe-park.or.jp/rikyu/,"4.2
(2,591)",Unknown,市立公園,34.6532737,135.1177624
宅見肇,5,4 か月前,"山陽電車月見山駅から徒歩7分。入園料400円が必要ですが2つのエリアに分かれた広い公園が有ります。

「本園エリア」は月見山と呼ばれる景観地、大谷光端さんの別邸を宮内省が買い取り、1914年に完成した""旧武庫離宮”。故に景色は素晴らしい😃

先ず、目を奪われる大噴水、バラ園、イタリア式庭園、ポセイドン広場、そしてレストハウスへと続きます。又、中門広場、潮見台、大きなくすのきのある和のゾーンも有ります。

子供連れには”子供の森""や児童遊園に設備が整っており、全ての人が楽しめる公園と言えます。

連絡橋を渡ると「植物園エリア」神戸経済を支えた旧岡崎邸の敷地と建物を神戸市が買って植物園を造っています。
小さいですが温室も有りました。花の庭園ではバラ、紅葉と合わせて3段滝、そして和庭園、そして今が見頃、歩き頃の""もみじ道""600本の紅葉が迎えてくれます。夜もライトアップするそうですよ😃",須磨離宮公園,"
〒654-0018 兵庫県神戸市須磨区東須磨１−１","
078-732-6688",https://www.kobe-park.or.jp/rikyu/,"4.2
(2,591)",Unknown,市立公園,34.6532737,135.1177624
宅見肇,5,4 か月前,"山陽電車月見山駅から徒歩7分。入園料400円が必要ですが2つのエリアに分かれた広い公園が有ります。

「本園エリア」は月見山と呼ばれる景観地、大谷光端さんの別邸を宮内省が買い取り、1914年に完成した""旧武庫離宮”。故に景色は素晴らしい😃

先ず、目を奪われる大噴水、バラ園、イタリア式庭園、ポセイドン広場、そしてレストハウスへと続きます。又、中門広場、潮見台、大きなくすのきのある和のゾーンも有ります。

子供連れには”子供の森""や児童遊園に設備が整っており、全ての人が楽しめる公園と言えます。

連絡橋を渡ると「植物園エリア」神戸経済を支えた旧岡崎邸の敷地と建物を神戸市が買って植物園を造っています。
小さいですが温室も有りました。花の庭園ではバラ、紅葉と合わせて3段滝、そして和庭園、そして今が見頃、歩き頃の""もみじ道""600本の紅葉が迎えてくれます。夜もライトアップするそうですよ😃",須磨離宮公園,"
〒654-0018 兵庫県神戸市須磨区東須磨１−１","
078-732-6688",https://www.kobe-park.or.jp/rikyu/,"4.2
(2,591)",Unknown,市立公園,34.6532737,135.1177624
富士山大好き,5,1 か月前,"適度な広さで人も多くなくとても快適でした。
まだ、梅が少しだけ咲いてる状態で、シーズン前だったからかもしれません。

駐車場は広くて500円で1日停めれます。",須磨離宮公園,"
〒654-0018 兵庫県神戸市須磨区東須磨１−１","
078-732-6688",https://www.kobe-park.or.jp/rikyu/,"4.2
(2,591)",Unknown,市立公園,34.6532737,135.1177624
富士山大好き,5,1 か月前,"適度な広さで人も多くなくとても快適でした。
まだ、梅が少しだけ咲いてる状態で、シーズン前だったからかもしれません。

駐車場は広くて500円で1日停めれます。",須磨離宮公園,"
〒654-0018 兵庫県神戸市須磨区東須磨１−１","
078-732-6688",https://www.kobe-park.or.jp/rikyu/,"4.2
(2,591)",Unknown,市立公園,34.6532737,135.1177624
