Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
kaori Ｓ,5,1 年前,"波が穏やかで、海が青い🎵

子供の頃に毎年来ていたそうですが、その頃よりおしゃれな感じになってます。

ここなら小さい子どもでも安心して海水浴を楽しめます。

芝生もキレイで丁寧に管理されている様子でした。",須美江海水浴場,"
〒889-0321 宮崎県延岡市須美江町","
0982-34-2111",Unknown,"4.5
(80)",営業時間を追加,公共ビーチ,32.6784309,131.7638652
kaori Ｓ,5,1 年前,"波が穏やかで、海が青い🎵

子供の頃に毎年来ていたそうですが、その頃よりおしゃれな感じになってます。

ここなら小さい子どもでも安心して海水浴を楽しめます。

芝生もキレイで丁寧に管理されている様子でした。",須美江海水浴場,"
〒889-0321 宮崎県延岡市須美江町","
0982-34-2111",Unknown,"4.5
(80)",営業時間を追加,公共ビーチ,32.6784309,131.7638652
カレーライス,5,1 年前,"波が穏やかで水も透き通ってる。
人も少なくゆっくり楽しめる。
ゴミや漂流物も片付けられていて、浮き輪の空気も入れてもらえた。
これで全て無料とか福岡の海水浴場じゃ考えられない　👍 …",須美江海水浴場,"
〒889-0321 宮崎県延岡市須美江町","
0982-34-2111",Unknown,"4.5
(80)",営業時間を追加,公共ビーチ,32.6784309,131.7638652
カレーライス,5,1 年前,"波が穏やかで水も透き通ってる。
人も少なくゆっくり楽しめる。
ゴミや漂流物も片付けられていて、浮き輪の空気も入れてもらえた。
これで全て無料とか福岡の海水浴場じゃ考えられない　👍 …",須美江海水浴場,"
〒889-0321 宮崎県延岡市須美江町","
0982-34-2111",Unknown,"4.5
(80)",営業時間を追加,公共ビーチ,32.6784309,131.7638652
ゆかよ,5,2 年前,"それほど混んでもなく、とてもほのぼのとした場所でした。
海もキレイです。
隣には整備されたスポーツ広場もあるので、キレイな雰囲気です。
駐車場も無料、何か所かトイレもあるので安心です。
シャワー3分100円ですが我が家は4人浴びれました。",須美江海水浴場,"
〒889-0321 宮崎県延岡市須美江町","
0982-34-2111",Unknown,"4.5
(80)",営業時間を追加,公共ビーチ,32.6784309,131.7638652
ゆかよ,5,2 年前,"それほど混んでもなく、とてもほのぼのとした場所でした。
海もキレイです。
隣には整備されたスポーツ広場もあるので、キレイな雰囲気です。
駐車場も無料、何か所かトイレもあるので安心です。
シャワー3分100円ですが我が家は4人浴びれました。",須美江海水浴場,"
〒889-0321 宮崎県延岡市須美江町","
0982-34-2111",Unknown,"4.5
(80)",営業時間を追加,公共ビーチ,32.6784309,131.7638652
Jo SST&,5,3 年前,"東海岸の須美江ビーチなので、あまり期待せずに行ってみましたが、想像以上の夕焼けの美しさに驚きました。西側で綺麗に焼けた日なので、東側の空もこれだけの美しさ。肌寒い日だったので人がいなくて穏やかな時間を過ごすことができました。

ビーチに来る手前に大きな総合駐車場があるので間違えそうですが、こちらはまだ先へ下ります。無料駐車場もあります。",須美江海水浴場,"
〒889-0321 宮崎県延岡市須美江町","
0982-34-2111",Unknown,"4.5
(80)",営業時間を追加,公共ビーチ,32.6784309,131.7638652
Jo SST&,5,3 年前,"東海岸の須美江ビーチなので、あまり期待せずに行ってみましたが、想像以上の夕焼けの美しさに驚きました。西側で綺麗に焼けた日なので、東側の空もこれだけの美しさ。肌寒い日だったので人がいなくて穏やかな時間を過ごすことができました。

ビーチに来る手前に大きな総合駐車場があるので間違えそうですが、こちらはまだ先へ下ります。無料駐車場もあります。",須美江海水浴場,"
〒889-0321 宮崎県延岡市須美江町","
0982-34-2111",Unknown,"4.5
(80)",営業時間を追加,公共ビーチ,32.6784309,131.7638652
sabatora cat,5,3 年前,日南海岸側とはまた違った南国の雰囲気が感じられる場所。海の水も透明度が高く、砂浜や岩場が多数点在する為、磯遊びにも最適😊浅瀬もあるので、子供連れの方でも楽しめる♪ …,須美江海水浴場,"
〒889-0321 宮崎県延岡市須美江町","
0982-34-2111",Unknown,"4.5
(80)",営業時間を追加,公共ビーチ,32.6784309,131.7638652
sabatora cat,5,3 年前,日南海岸側とはまた違った南国の雰囲気が感じられる場所。海の水も透明度が高く、砂浜や岩場が多数点在する為、磯遊びにも最適😊浅瀬もあるので、子供連れの方でも楽しめる♪ …,須美江海水浴場,"
〒889-0321 宮崎県延岡市須美江町","
0982-34-2111",Unknown,"4.5
(80)",営業時間を追加,公共ビーチ,32.6784309,131.7638652
"s,ワンちゃん",5,2 か月前,"広い芝生から綺麗な砂浜...
浅瀬で穏やかな波...透き通った海...都会の人が見たら沖縄?と思える様な所ですよ!
近くにキャンプ場もありケビンもあります!
是非泊まって見て下さ〜い!
砂浜で遊んで泳いでみませんか〜!",須美江海水浴場,"
〒889-0321 宮崎県延岡市須美江町","
0982-34-2111",Unknown,"4.5
(80)",営業時間を追加,公共ビーチ,32.6784309,131.7638652
"s,ワンちゃん",5,2 か月前,"広い芝生から綺麗な砂浜...
浅瀬で穏やかな波...透き通った海...都会の人が見たら沖縄?と思える様な所ですよ!
近くにキャンプ場もありケビンもあります!
是非泊まって見て下さ〜い!
砂浜で遊んで泳いでみませんか〜!",須美江海水浴場,"
〒889-0321 宮崎県延岡市須美江町","
0982-34-2111",Unknown,"4.5
(80)",営業時間を追加,公共ビーチ,32.6784309,131.7638652
kazunori furusawa,5,6 か月前,"久しぶりに行きました。
海が綺麗ですね。",須美江海水浴場,"
〒889-0321 宮崎県延岡市須美江町","
0982-34-2111",Unknown,"4.5
(80)",営業時間を追加,公共ビーチ,32.6784309,131.7638652
kazunori furusawa,5,6 か月前,"久しぶりに行きました。
海が綺麗ですね。",須美江海水浴場,"
〒889-0321 宮崎県延岡市須美江町","
0982-34-2111",Unknown,"4.5
(80)",営業時間を追加,公共ビーチ,32.6784309,131.7638652
kenjiro tanoue,5,1 年前,"やっぱり須美江は夏が最高。30年以上ぶりに海水浴を楽しみました。波が穏やかで、水も綺麗。ビーチが広く、芝に覆われた広場があり、木陰で休むこともできます。

静かでとても美しいビーチ。1月はエメラルドグリーンの海でした。
広場やドックランも併設されています。お店も増えたような気がする。
高校時代、海水浴やキャンプした思い出の地。",須美江海水浴場,"
〒889-0321 宮崎県延岡市須美江町","
0982-34-2111",Unknown,"4.5
(80)",営業時間を追加,公共ビーチ,32.6784309,131.7638652
kenjiro tanoue,5,1 年前,"やっぱり須美江は夏が最高。30年以上ぶりに海水浴を楽しみました。波が穏やかで、水も綺麗。ビーチが広く、芝に覆われた広場があり、木陰で休むこともできます。

静かでとても美しいビーチ。1月はエメラルドグリーンの海でした。
広場やドックランも併設されています。お店も増えたような気がする。
高校時代、海水浴やキャンプした思い出の地。",須美江海水浴場,"
〒889-0321 宮崎県延岡市須美江町","
0982-34-2111",Unknown,"4.5
(80)",営業時間を追加,公共ビーチ,32.6784309,131.7638652
