Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Yuji Tsuji,5,5 か月前,"飛水峡（ひすいきょう）は、岐阜県加茂郡七宗町から白川町にかけて広がる約12kmの美しい峡谷です。

この地域は、険しい断崖や奇石・怪石が織りなす絶景が楽しめる場所で、特に6月には岩場に咲く岩ツツジが見どころです。また、飛水峡ロックガーデンや展望台からの眺めも素晴らしい。",飛水峡,"
〒509-0403 岐阜県加茂郡七宗町中麻生",Unknown,Unknown,"4.4
(13)",Unknown,河川,35.5258504,137.1156179
Yuji Tsuji,5,5 か月前,"飛水峡（ひすいきょう）は、岐阜県加茂郡七宗町から白川町にかけて広がる約12kmの美しい峡谷です。

この地域は、険しい断崖や奇石・怪石が織りなす絶景が楽しめる場所で、特に6月には岩場に咲く岩ツツジが見どころです。また、飛水峡ロックガーデンや展望台からの眺めも素晴らしい。",飛水峡,"
〒509-0403 岐阜県加茂郡七宗町中麻生",Unknown,Unknown,"4.4
(13)",Unknown,河川,35.5258504,137.1156179
hal hi,5,11 か月前,"５月中旬の平日夕方に行きました。
誰もいません。
鳥居近くに車10台ほどの駐車場があり便利です。
下の岩場に降りる段が数か所にありますが、岩の上はデコボコしていて慎重に歩かないと危ないかもしれません。特に川を覗くために少し下るためには注意が必要です。
川間近なところでは柵も何もないので転落には気をつけたいものです。

そなかわり、絶景です！
岩には縦の縞模様が入り、対岸の岩にもかつての地層がはっきりと分かります。
高山線の烈車が時々通り、絵になります。
この季節、岩場に数種類の花が咲いていました。ノイバラやツツジが岩に張り付くように。
ポットホールにはオタマジャクシがたくさんいました。

ひっそりと大自然を満喫する穴場だと思いました。",飛水峡,"
〒509-0403 岐阜県加茂郡七宗町中麻生",Unknown,Unknown,"4.4
(13)",Unknown,河川,35.5258504,137.1156179
hal hi,5,11 か月前,"５月中旬の平日夕方に行きました。
誰もいません。
鳥居近くに車10台ほどの駐車場があり便利です。
下の岩場に降りる段が数か所にありますが、岩の上はデコボコしていて慎重に歩かないと危ないかもしれません。特に川を覗くために少し下るためには注意が必要です。
川間近なところでは柵も何もないので転落には気をつけたいものです。

そなかわり、絶景です！
岩には縦の縞模様が入り、対岸の岩にもかつての地層がはっきりと分かります。
高山線の烈車が時々通り、絵になります。
この季節、岩場に数種類の花が咲いていました。ノイバラやツツジが岩に張り付くように。
ポットホールにはオタマジャクシがたくさんいました。

ひっそりと大自然を満喫する穴場だと思いました。",飛水峡,"
〒509-0403 岐阜県加茂郡七宗町中麻生",Unknown,Unknown,"4.4
(13)",Unknown,河川,35.5258504,137.1156179
ymk 883,4,2 年前,飛騨川沿いの景勝地です。国道４１号線やJR高山本線が通っており、クルマでも鉄道でも楽しめます。拠点となる施設として道の駅ロックガーデン七宗もあるのでドライブやツーリングの方は休憩を兼ねて立ち寄るとよいでしょう。道の駅から国道を北上すると延々と渓谷美を楽しめます。尚、途中いくつかある橋を渡ると国道の対岸に行くことが出来ます。対岸の道はかなり細くて運転には注意ですが、国道とはまた違った景色を見ることが出来ます。,飛水峡,"
〒509-0403 岐阜県加茂郡七宗町中麻生",Unknown,Unknown,"4.4
(13)",Unknown,河川,35.5258504,137.1156179
ymk 883,4,2 年前,飛騨川沿いの景勝地です。国道４１号線やJR高山本線が通っており、クルマでも鉄道でも楽しめます。拠点となる施設として道の駅ロックガーデン七宗もあるのでドライブやツーリングの方は休憩を兼ねて立ち寄るとよいでしょう。道の駅から国道を北上すると延々と渓谷美を楽しめます。尚、途中いくつかある橋を渡ると国道の対岸に行くことが出来ます。対岸の道はかなり細くて運転には注意ですが、国道とはまた違った景色を見ることが出来ます。,飛水峡,"
〒509-0403 岐阜県加茂郡七宗町中麻生",Unknown,Unknown,"4.4
(13)",Unknown,河川,35.5258504,137.1156179
ブンブンぶらう,5,3 週間前,飛騨川の急流が生み出した美しい渓谷です。,飛水峡,"
〒509-0403 岐阜県加茂郡七宗町中麻生",Unknown,Unknown,"4.4
(13)",Unknown,河川,35.5258504,137.1156179
ブンブンぶらう,5,3 週間前,飛騨川の急流が生み出した美しい渓谷です。,飛水峡,"
〒509-0403 岐阜県加茂郡七宗町中麻生",Unknown,Unknown,"4.4
(13)",Unknown,河川,35.5258504,137.1156179
tabi nezumin,5,1 年前,"特急ひだの車窓から飛騨川の美しい景色が眺められます。個人的には高山方面へ向かう右側A席がおすすめ。
特急ひだは新型車両HC85系に変わり足元も広々で快適、窓も大きく飛騨の渓谷美をこれまで以上に楽しめます。",飛水峡,"
〒509-0403 岐阜県加茂郡七宗町中麻生",Unknown,Unknown,"4.4
(13)",Unknown,河川,35.5258504,137.1156179
tabi nezumin,5,1 年前,"特急ひだの車窓から飛騨川の美しい景色が眺められます。個人的には高山方面へ向かう右側A席がおすすめ。
特急ひだは新型車両HC85系に変わり足元も広々で快適、窓も大きく飛騨の渓谷美をこれまで以上に楽しめます。",飛水峡,"
〒509-0403 岐阜県加茂郡七宗町中麻生",Unknown,Unknown,"4.4
(13)",Unknown,河川,35.5258504,137.1156179
