Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Ree YooU,4,2 年前,夜は無人駅になります。簡易Suica改札機が設置されています。夜、特急列車を利用する場合には、車内で車掌さんから特急券を購入します。たいていは駅舎がある1番線から上下列車が発車しますが、上下列車の行き違いがある場合のみ、跨線橋を渡った向かい側にある2番線に列車がとまります。,飯岡駅,"
〒289-2613 千葉県旭市後草",Unknown,Unknown,"3.4
(32)",Unknown,駅,35.7295922,140.6453001
Ree YooU,4,2 年前,夜は無人駅になります。簡易Suica改札機が設置されています。夜、特急列車を利用する場合には、車内で車掌さんから特急券を購入します。たいていは駅舎がある1番線から上下列車が発車しますが、上下列車の行き違いがある場合のみ、跨線橋を渡った向かい側にある2番線に列車がとまります。,飯岡駅,"
〒289-2613 千葉県旭市後草",Unknown,Unknown,"3.4
(32)",Unknown,駅,35.7295922,140.6453001
石岡恵,4,4 年前,小さな駅ですが周辺の駅の中では乗降人数がおおいのか、電車の来る時間は送迎の型も含めて人が多かったです。,飯岡駅,"
〒289-2613 千葉県旭市後草",Unknown,Unknown,"3.4
(32)",Unknown,駅,35.7295922,140.6453001
石岡恵,4,4 年前,小さな駅ですが周辺の駅の中では乗降人数がおおいのか、電車の来る時間は送迎の型も含めて人が多かったです。,飯岡駅,"
〒289-2613 千葉県旭市後草",Unknown,Unknown,"3.4
(32)",Unknown,駅,35.7295922,140.6453001
k tachi,2,2 年前,"無人駅の様で無人でない。
JR東日本総武本線のローカル駅です。駅長も駅員もいませんが午前9時20分から午後4時30分までは係員が窓口にいます。因みに切符の自動販売機も同じ営業時間でそれ以外はシャッターが下りています。当然「みどりの窓口」も無く、早朝や深夜の場合はSuica、PASMOでしか乗車できません。駅前には飲食店どころかコンビニすらありません。駅からの移動は旭市コミュニティバスとタクシーしかありませんがバスは本数が少なく、タクシーは電車到着に合わせ3台程しか待機していないので注意が必要です。",飯岡駅,"
〒289-2613 千葉県旭市後草",Unknown,Unknown,"3.4
(32)",Unknown,駅,35.7295922,140.6453001
k tachi,2,2 年前,"無人駅の様で無人でない。
JR東日本総武本線のローカル駅です。駅長も駅員もいませんが午前9時20分から午後4時30分までは係員が窓口にいます。因みに切符の自動販売機も同じ営業時間でそれ以外はシャッターが下りています。当然「みどりの窓口」も無く、早朝や深夜の場合はSuica、PASMOでしか乗車できません。駅前には飲食店どころかコンビニすらありません。駅からの移動は旭市コミュニティバスとタクシーしかありませんがバスは本数が少なく、タクシーは電車到着に合わせ3台程しか待機していないので注意が必要です。",飯岡駅,"
〒289-2613 千葉県旭市後草",Unknown,Unknown,"3.4
(32)",Unknown,駅,35.7295922,140.6453001
スタバカ（SUTABAKA）,3,1 年前,徒歩で20分のところにスターバックス千葉旭店があります。,飯岡駅,"
〒289-2613 千葉県旭市後草",Unknown,Unknown,"3.4
(32)",Unknown,駅,35.7295922,140.6453001
スタバカ（SUTABAKA）,3,1 年前,徒歩で20分のところにスターバックス千葉旭店があります。,飯岡駅,"
〒289-2613 千葉県旭市後草",Unknown,Unknown,"3.4
(32)",Unknown,駅,35.7295922,140.6453001
HIRO,3,4 年前,"1897年（明治30年）に総武鉄道の駅として開業、ただし煤煙を理由とした反対運動により旧飯岡町の中心部から離れたこの場所に造られた。
2021年（令和3年）3月現在、東京駅と銚子駅を結ぶ全ての特急「わかしお」が停車します。",飯岡駅,"
〒289-2613 千葉県旭市後草",Unknown,Unknown,"3.4
(32)",Unknown,駅,35.7295922,140.6453001
HIRO,3,4 年前,"1897年（明治30年）に総武鉄道の駅として開業、ただし煤煙を理由とした反対運動により旧飯岡町の中心部から離れたこの場所に造られた。
2021年（令和3年）3月現在、東京駅と銚子駅を結ぶ全ての特急「わかしお」が停車します。",飯岡駅,"
〒289-2613 千葉県旭市後草",Unknown,Unknown,"3.4
(32)",Unknown,駅,35.7295922,140.6453001
