Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
960 im,5,1 週間前,"R7.4月上旬、桜の季節の平日、伊那方面から国道361号を通って訪問。平日の午後でしたが、渋滞等はなかったです。休日訪問の方は、HP等で事前に情報をつかんでおくことをお勧めします。🌸

放流がなかったのは残念ですが、桜の名所や残雪のある山々⛰️と一体になった景観が素晴らしいです。ダム湖越しに観る高遠城址の桜も見事ですよ。ダムカードは、関連も含めて4枚いただきました。

ダムのライトアップもありましたが、時間の関係で少しだけ観賞。次回はじっくり見たいです。",高遠ダム,"
〒396-0213 長野県伊那市高遠町東高遠",Unknown,http://damnet.or.jp/cgi-bin/binranA/All.cgi?db4=1011,"4.2
(46)",お店やスポットの電話番号を追加する,〒396-0213 長野県伊那市高遠町東高遠,35.8296377,138.0540265
960 im,5,1 週間前,"R7.4月上旬、桜の季節の平日、伊那方面から国道361号を通って訪問。平日の午後でしたが、渋滞等はなかったです。休日訪問の方は、HP等で事前に情報をつかんでおくことをお勧めします。🌸

放流がなかったのは残念ですが、桜の名所や残雪のある山々⛰️と一体になった景観が素晴らしいです。ダム湖越しに観る高遠城址の桜も見事ですよ。ダムカードは、関連も含めて4枚いただきました。

ダムのライトアップもありましたが、時間の関係で少しだけ観賞。次回はじっくり見たいです。",高遠ダム,"
〒396-0213 長野県伊那市高遠町東高遠",Unknown,http://damnet.or.jp/cgi-bin/binranA/All.cgi?db4=1011,"4.2
(46)",お店やスポットの電話番号を追加する,〒396-0213 長野県伊那市高遠町東高遠,35.8296377,138.0540265
見風使舵,5,6 か月前,三峰川の高遠ダムの上流　約3Km車で5分の近くにも美和ダムがありますが、こんな近くに2ヶ所もあるダムは初めてです。ポスターを見て高遠ダムと桜、ライトアップとても綺麗です。やはりこの高遠ダムも美和ダムと同じ様に三峰川水系県立公園でダム湖百選に選ばれています。今回は大規模工事が行われており、大型のクレーン車が稼動しており駐車場はとても狭かったです。高遠ダム下流にある三峰川に掛かる白山橋には親切なことに撮影スポット(待避所)がありダムからの放流が間近で見る事が出来ます。,高遠ダム,"
〒396-0213 長野県伊那市高遠町東高遠",Unknown,http://damnet.or.jp/cgi-bin/binranA/All.cgi?db4=1011,"4.2
(46)",お店やスポットの電話番号を追加する,〒396-0213 長野県伊那市高遠町東高遠,35.8296377,138.0540265
見風使舵,5,6 か月前,三峰川の高遠ダムの上流　約3Km車で5分の近くにも美和ダムがありますが、こんな近くに2ヶ所もあるダムは初めてです。ポスターを見て高遠ダムと桜、ライトアップとても綺麗です。やはりこの高遠ダムも美和ダムと同じ様に三峰川水系県立公園でダム湖百選に選ばれています。今回は大規模工事が行われており、大型のクレーン車が稼動しており駐車場はとても狭かったです。高遠ダム下流にある三峰川に掛かる白山橋には親切なことに撮影スポット(待避所)がありダムからの放流が間近で見る事が出来ます。,高遠ダム,"
〒396-0213 長野県伊那市高遠町東高遠",Unknown,http://damnet.or.jp/cgi-bin/binranA/All.cgi?db4=1011,"4.2
(46)",お店やスポットの電話番号を追加する,〒396-0213 長野県伊那市高遠町東高遠,35.8296377,138.0540265
TTT III,4,8 か月前,"ダム巡り：長野-高遠ダム。（202408F）
重力式コンクリートダム、 高さ30.9メートル、堤頂長76.1メートル。  天竜川水系三峰川 に建設された 灌漑・発電 を目的とした多目的ダム。 数キロ上流には美和ダムがある。 高遠ダムは城址公園が隣接しており、桜のシーズンは見事な景観となる。 周辺道路は早朝から混み合い駐車場の確保も難しいので注意が必要。 訪問時は工事中だったが、そもそもダム展望台からは堤体全体を見ることはできない。 対岸の白山橋からはダム及びダム湖まで一望できる、 車は管理事務所に置いて散歩がてら歩いて行く事をお勧めする。
ダムカード：南信発電管理事務所高遠ダム管理所 にて配布中。",高遠ダム,"
〒396-0213 長野県伊那市高遠町東高遠",Unknown,http://damnet.or.jp/cgi-bin/binranA/All.cgi?db4=1011,"4.2
(46)",お店やスポットの電話番号を追加する,〒396-0213 長野県伊那市高遠町東高遠,35.8296377,138.0540265
TTT III,4,8 か月前,"ダム巡り：長野-高遠ダム。（202408F）
重力式コンクリートダム、 高さ30.9メートル、堤頂長76.1メートル。  天竜川水系三峰川 に建設された 灌漑・発電 を目的とした多目的ダム。 数キロ上流には美和ダムがある。 高遠ダムは城址公園が隣接しており、桜のシーズンは見事な景観となる。 周辺道路は早朝から混み合い駐車場の確保も難しいので注意が必要。 訪問時は工事中だったが、そもそもダム展望台からは堤体全体を見ることはできない。 対岸の白山橋からはダム及びダム湖まで一望できる、 車は管理事務所に置いて散歩がてら歩いて行く事をお勧めする。
ダムカード：南信発電管理事務所高遠ダム管理所 にて配布中。",高遠ダム,"
〒396-0213 長野県伊那市高遠町東高遠",Unknown,http://damnet.or.jp/cgi-bin/binranA/All.cgi?db4=1011,"4.2
(46)",お店やスポットの電話番号を追加する,〒396-0213 長野県伊那市高遠町東高遠,35.8296377,138.0540265
ねこおのママ,5,7 か月前,"2024年7月日曜日　AM　見学会の日に伺いました。現在工事中で入れないエリアもありましたが、貴重な堤体や発電施設を見学することができました。
階段は急＆段　多　なので健脚でないと厳しいです。
行った先にはマイナスイオンたっぷりの素晴らしい景色が待っています。
また伺いたいです。",高遠ダム,"
〒396-0213 長野県伊那市高遠町東高遠",Unknown,http://damnet.or.jp/cgi-bin/binranA/All.cgi?db4=1011,"4.2
(46)",お店やスポットの電話番号を追加する,〒396-0213 長野県伊那市高遠町東高遠,35.8296377,138.0540265
ねこおのママ,5,7 か月前,"2024年7月日曜日　AM　見学会の日に伺いました。現在工事中で入れないエリアもありましたが、貴重な堤体や発電施設を見学することができました。
階段は急＆段　多　なので健脚でないと厳しいです。
行った先にはマイナスイオンたっぷりの素晴らしい景色が待っています。
また伺いたいです。",高遠ダム,"
〒396-0213 長野県伊那市高遠町東高遠",Unknown,http://damnet.or.jp/cgi-bin/binranA/All.cgi?db4=1011,"4.2
(46)",お店やスポットの電話番号を追加する,〒396-0213 長野県伊那市高遠町東高遠,35.8296377,138.0540265
七面鳥放浪記,3,1 年前,"高遠城の外堀を成していた天竜川水系三峰川に築かれた重力式コンクリートダムで、ダム湖と高遠城の間にはいくつかの施設が整備されています。観桜期にはダム湖周辺に桜が咲き誇り、白山橋からは雪解け水が豪快に放水される様を見渡せます。わざわざ見に行くほどではなくとも、高遠城のついでに気軽に立ち寄れます。
なお、観桜期に高遠城からタクシーを呼ぶ際には、白山橋を渡った先への配車をお願いすれば、大手門に至る権兵衛街道の渋滞を回避できます。",高遠ダム,"
〒396-0213 長野県伊那市高遠町東高遠",Unknown,http://damnet.or.jp/cgi-bin/binranA/All.cgi?db4=1011,"4.2
(46)",お店やスポットの電話番号を追加する,〒396-0213 長野県伊那市高遠町東高遠,35.8296377,138.0540265
七面鳥放浪記,3,1 年前,"高遠城の外堀を成していた天竜川水系三峰川に築かれた重力式コンクリートダムで、ダム湖と高遠城の間にはいくつかの施設が整備されています。観桜期にはダム湖周辺に桜が咲き誇り、白山橋からは雪解け水が豪快に放水される様を見渡せます。わざわざ見に行くほどではなくとも、高遠城のついでに気軽に立ち寄れます。
なお、観桜期に高遠城からタクシーを呼ぶ際には、白山橋を渡った先への配車をお願いすれば、大手門に至る権兵衛街道の渋滞を回避できます。",高遠ダム,"
〒396-0213 長野県伊那市高遠町東高遠",Unknown,http://damnet.or.jp/cgi-bin/binranA/All.cgi?db4=1011,"4.2
(46)",お店やスポットの電話番号を追加する,〒396-0213 長野県伊那市高遠町東高遠,35.8296377,138.0540265
p-t-f,4,5 か月前,"堤頂長76.1m、堤高30.9mとコンパクトな重力式コンクリートダム（多目的ダム）
ダム下流に架かる橋から綺麗に見られます。
ダム湖は「高遠湖」の名称でダム湖百選となっています。",高遠ダム,"
〒396-0213 長野県伊那市高遠町東高遠",Unknown,http://damnet.or.jp/cgi-bin/binranA/All.cgi?db4=1011,"4.2
(46)",お店やスポットの電話番号を追加する,〒396-0213 長野県伊那市高遠町東高遠,35.8296377,138.0540265
p-t-f,4,5 か月前,"堤頂長76.1m、堤高30.9mとコンパクトな重力式コンクリートダム（多目的ダム）
ダム下流に架かる橋から綺麗に見られます。
ダム湖は「高遠湖」の名称でダム湖百選となっています。",高遠ダム,"
〒396-0213 長野県伊那市高遠町東高遠",Unknown,http://damnet.or.jp/cgi-bin/binranA/All.cgi?db4=1011,"4.2
(46)",お店やスポットの電話番号を追加する,〒396-0213 長野県伊那市高遠町東高遠,35.8296377,138.0540265
まさとも,3,2 年前,"高遠城址公園の南口から高遠美術館橫を行き、階段を下った先にありました。
ダムの放水口が3ヶ所あり、行った時は真ん中の放水口から勢いよく放水をしていて、真っ白な水しぶきをあげていました。
白山橋からダムの景観を楽しむことができますが、車の通りに注意が必要です。",高遠ダム,"
〒396-0213 長野県伊那市高遠町東高遠",Unknown,http://damnet.or.jp/cgi-bin/binranA/All.cgi?db4=1011,"4.2
(46)",お店やスポットの電話番号を追加する,〒396-0213 長野県伊那市高遠町東高遠,35.8296377,138.0540265
まさとも,3,2 年前,"高遠城址公園の南口から高遠美術館橫を行き、階段を下った先にありました。
ダムの放水口が3ヶ所あり、行った時は真ん中の放水口から勢いよく放水をしていて、真っ白な水しぶきをあげていました。
白山橋からダムの景観を楽しむことができますが、車の通りに注意が必要です。",高遠ダム,"
〒396-0213 長野県伊那市高遠町東高遠",Unknown,http://damnet.or.jp/cgi-bin/binranA/All.cgi?db4=1011,"4.2
(46)",お店やスポットの電話番号を追加する,〒396-0213 長野県伊那市高遠町東高遠,35.8296377,138.0540265
河了貂,4,1 年前,"桜の咲く時期はとても素晴らしい。
風が強く無ければ桜のリフレクションも楽しめる。高遠城址公園に訪れた際は寄っておきたい場所。高遠城址公園みたいに混雑していないのでゆっくりと桜を楽しめる。周りの里山ののどかな風景も素晴らしい。",高遠ダム,"
〒396-0213 長野県伊那市高遠町東高遠",Unknown,http://damnet.or.jp/cgi-bin/binranA/All.cgi?db4=1011,"4.2
(46)",お店やスポットの電話番号を追加する,〒396-0213 長野県伊那市高遠町東高遠,35.8296377,138.0540265
河了貂,4,1 年前,"桜の咲く時期はとても素晴らしい。
風が強く無ければ桜のリフレクションも楽しめる。高遠城址公園に訪れた際は寄っておきたい場所。高遠城址公園みたいに混雑していないのでゆっくりと桜を楽しめる。周りの里山ののどかな風景も素晴らしい。",高遠ダム,"
〒396-0213 長野県伊那市高遠町東高遠",Unknown,http://damnet.or.jp/cgi-bin/binranA/All.cgi?db4=1011,"4.2
(46)",お店やスポットの電話番号を追加する,〒396-0213 長野県伊那市高遠町東高遠,35.8296377,138.0540265
半炒飯,5,1 年前,"長野県企業局さん管轄のダム。
ダム自体は小さいながら、放流している姿が見れる事が多く、ライトアップ等のイベントも積極的にしてくれている。

2023年9月 ゲート機器の更新工事が始まりました。2026年までかかる見込みだそうです。",高遠ダム,"
〒396-0213 長野県伊那市高遠町東高遠",Unknown,http://damnet.or.jp/cgi-bin/binranA/All.cgi?db4=1011,"4.2
(46)",お店やスポットの電話番号を追加する,〒396-0213 長野県伊那市高遠町東高遠,35.8296377,138.0540265
半炒飯,5,1 年前,"長野県企業局さん管轄のダム。
ダム自体は小さいながら、放流している姿が見れる事が多く、ライトアップ等のイベントも積極的にしてくれている。

2023年9月 ゲート機器の更新工事が始まりました。2026年までかかる見込みだそうです。",高遠ダム,"
〒396-0213 長野県伊那市高遠町東高遠",Unknown,http://damnet.or.jp/cgi-bin/binranA/All.cgi?db4=1011,"4.2
(46)",お店やスポットの電話番号を追加する,〒396-0213 長野県伊那市高遠町東高遠,35.8296377,138.0540265
Daisuke Kikuchi,3,2 年前,"長野県が管理する重力式コンクリートダム。
天竜川水系三峰川に造られた多目的ダム。
上流の美和ダムと連携し、下流に灌漑用水を供給している。",高遠ダム,"
〒396-0213 長野県伊那市高遠町東高遠",Unknown,http://damnet.or.jp/cgi-bin/binranA/All.cgi?db4=1011,"4.2
(46)",お店やスポットの電話番号を追加する,〒396-0213 長野県伊那市高遠町東高遠,35.8296377,138.0540265
Daisuke Kikuchi,3,2 年前,"長野県が管理する重力式コンクリートダム。
天竜川水系三峰川に造られた多目的ダム。
上流の美和ダムと連携し、下流に灌漑用水を供給している。",高遠ダム,"
〒396-0213 長野県伊那市高遠町東高遠",Unknown,http://damnet.or.jp/cgi-bin/binranA/All.cgi?db4=1011,"4.2
(46)",お店やスポットの電話番号を追加する,〒396-0213 長野県伊那市高遠町東高遠,35.8296377,138.0540265
ket see,4,2 年前,"せっかく放水も見られるのに、見られるポイントがわかりづらいです。

近くの歴史博物館の駐車場から回り込むといいですよ。近隣から見えるアーチのある橋が目印です。

ボーッと眺められてリラックスできました。",高遠ダム,"
〒396-0213 長野県伊那市高遠町東高遠",Unknown,http://damnet.or.jp/cgi-bin/binranA/All.cgi?db4=1011,"4.2
(46)",お店やスポットの電話番号を追加する,〒396-0213 長野県伊那市高遠町東高遠,35.8296377,138.0540265
ket see,4,2 年前,"せっかく放水も見られるのに、見られるポイントがわかりづらいです。

近くの歴史博物館の駐車場から回り込むといいですよ。近隣から見えるアーチのある橋が目印です。

ボーッと眺められてリラックスできました。",高遠ダム,"
〒396-0213 長野県伊那市高遠町東高遠",Unknown,http://damnet.or.jp/cgi-bin/binranA/All.cgi?db4=1011,"4.2
(46)",お店やスポットの電話番号を追加する,〒396-0213 長野県伊那市高遠町東高遠,35.8296377,138.0540265
