Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
小鳥小さな（ことりっこ）,5,1 週間前,"素晴らしい景勝地でした。ほぼ期待しないであまり時間もないままにいったのですが、この場所はもっと時間に余裕が欲しかった。
地質の関係の奇岩と、波によって削られてこのような場所ができたのでしょうね。
ただ熊野古道だけ訪ねていたら来られる事はなかったでしょう。
ブラタモリとかでも、取り上げられてるなら、バックナンバーを見たいと思いました。",鬼ヶ城,"
〒519-4323 三重県熊野市木本町１８３５−７","
0597-89-1502",http://onigajyo.jp/,"4.3
(4,495)",Unknown,国立保護区,33.890486,136.1164631
小鳥小さな（ことりっこ）,5,1 週間前,"素晴らしい景勝地でした。ほぼ期待しないであまり時間もないままにいったのですが、この場所はもっと時間に余裕が欲しかった。
地質の関係の奇岩と、波によって削られてこのような場所ができたのでしょうね。
ただ熊野古道だけ訪ねていたら来られる事はなかったでしょう。
ブラタモリとかでも、取り上げられてるなら、バックナンバーを見たいと思いました。",鬼ヶ城,"
〒519-4323 三重県熊野市木本町１８３５−７","
0597-89-1502",http://onigajyo.jp/,"4.3
(4,495)",Unknown,国立保護区,33.890486,136.1164631
kazu adria,5,1 か月前,"ユネスコの世界遺産。
2004年7月『紀伊山地の霊場と参詣道』の一部として登録。

1935年（昭和10年）に国の天然記念物に指定。
日本百景。

2度目の訪問ですが、未だ全制覇ならず。

今回は快晴で穏やかな日だったので、「東口」から7番の「木喰岩」まで妻と行けました。
前回、風が強く妻の体力を考慮して3番の「猿戻」まででしたが、結構進めて満足できました。

巨大な岩肌や断崖が連なる岩肌が長年の浸食により奇形岩となって見るものを圧倒します。
それがこの先「七里御浜」から新宮「王子ヶ浜」までなだらかな砂浜海岸になっていてその地形の変化に驚きます。

駐車場では、赤鬼、青鬼が出迎えてくれます。
「また、快晴の穏やかな日に来れたらいいね」と話しながら後にしました。",鬼ヶ城,"
〒519-4323 三重県熊野市木本町１８３５−７","
0597-89-1502",http://onigajyo.jp/,"4.3
(4,495)",Unknown,国立保護区,33.890486,136.1164631
kazu adria,5,1 か月前,"ユネスコの世界遺産。
2004年7月『紀伊山地の霊場と参詣道』の一部として登録。

1935年（昭和10年）に国の天然記念物に指定。
日本百景。

2度目の訪問ですが、未だ全制覇ならず。

今回は快晴で穏やかな日だったので、「東口」から7番の「木喰岩」まで妻と行けました。
前回、風が強く妻の体力を考慮して3番の「猿戻」まででしたが、結構進めて満足できました。

巨大な岩肌や断崖が連なる岩肌が長年の浸食により奇形岩となって見るものを圧倒します。
それがこの先「七里御浜」から新宮「王子ヶ浜」までなだらかな砂浜海岸になっていてその地形の変化に驚きます。

駐車場では、赤鬼、青鬼が出迎えてくれます。
「また、快晴の穏やかな日に来れたらいいね」と話しながら後にしました。",鬼ヶ城,"
〒519-4323 三重県熊野市木本町１８３５−７","
0597-89-1502",http://onigajyo.jp/,"4.3
(4,495)",Unknown,国立保護区,33.890486,136.1164631
mo JASDF,5,1 か月前,"５０数年生きてきて、こんなにも素晴らしい場所に出くわしたことがありません。自然の凄さが体感できると思います。しかも、入場料無料、駐車場無料の器の凄さには感服しました。思わず、レストランで食事してしましました。観光名所とはこう言う所だと」改めて思ったしだいです。
なお、散策コースはハイヒールで行くと後悔しますし、ペットを連れて行くと、なお、後悔します。それぐらい凄い所です。",鬼ヶ城,"
〒519-4323 三重県熊野市木本町１８３５−７","
0597-89-1502",http://onigajyo.jp/,"4.3
(4,495)",Unknown,国立保護区,33.890486,136.1164631
mo JASDF,5,1 か月前,"５０数年生きてきて、こんなにも素晴らしい場所に出くわしたことがありません。自然の凄さが体感できると思います。しかも、入場料無料、駐車場無料の器の凄さには感服しました。思わず、レストランで食事してしましました。観光名所とはこう言う所だと」改めて思ったしだいです。
なお、散策コースはハイヒールで行くと後悔しますし、ペットを連れて行くと、なお、後悔します。それぐらい凄い所です。",鬼ヶ城,"
〒519-4323 三重県熊野市木本町１８３５−７","
0597-89-1502",http://onigajyo.jp/,"4.3
(4,495)",Unknown,国立保護区,33.890486,136.1164631
・T・K Yuuya,5,3 か月前,"今回初めて三重県へ訪れる事になりました。
きっかけは、旅はもともと好きでしたが
この鬼ヶ城のような遺跡なども見たりする事が好きというのもあり、こちらに同じように遺跡好きの方が来られた時には、雄大な太平洋と、鬼ヶ城、また魔見ヶ島を見るにも素晴らしい場所ではないかと思います。今回、自分は空撮などもしているのがあり、許可のもと、この壮大な場所を周辺も兼ねて撮影させて頂きました。空と陸からと世界遺産に恥じない熊野市の絶景スポットだと思っております。この近くには駐車場🅿️も広めのものが完備されておりますので、鬼ヶ城へ来られる際も、安心して訪れる事が出来ると思います。",鬼ヶ城,"
〒519-4323 三重県熊野市木本町１８３５−７","
0597-89-1502",http://onigajyo.jp/,"4.3
(4,495)",Unknown,国立保護区,33.890486,136.1164631
・T・K Yuuya,5,3 か月前,"今回初めて三重県へ訪れる事になりました。
きっかけは、旅はもともと好きでしたが
この鬼ヶ城のような遺跡なども見たりする事が好きというのもあり、こちらに同じように遺跡好きの方が来られた時には、雄大な太平洋と、鬼ヶ城、また魔見ヶ島を見るにも素晴らしい場所ではないかと思います。今回、自分は空撮などもしているのがあり、許可のもと、この壮大な場所を周辺も兼ねて撮影させて頂きました。空と陸からと世界遺産に恥じない熊野市の絶景スポットだと思っております。この近くには駐車場🅿️も広めのものが完備されておりますので、鬼ヶ城へ来られる際も、安心して訪れる事が出来ると思います。",鬼ヶ城,"
〒519-4323 三重県熊野市木本町１８３５−７","
0597-89-1502",http://onigajyo.jp/,"4.3
(4,495)",Unknown,国立保護区,33.890486,136.1164631
流離いの行灯,4,2 か月前,"なんと！駐車場、入場料無料！
センターから一番奥に当たる弁天神社まで約30分素晴らしい景色を見せてくれます
最初に千畳敷に圧巻されると思います
ここだけ見るだけでも価値はあります
また、センター駐車場にある水産物直売所のマグロ3種丼は最高に美味しかった！
注文を聞いてから作ってくれます
あったかいご飯に3種のマグロが重なり合って！絶妙にタレ胡麻が混ざりマグロの味を引き立てます、ご飯の量も多くお腹一杯になります1400円以上の価値はあります
こちらに訪れればまた必ず行きたいと思います
店主さん？女性の方と雑談もとても和みました
誰もが喜ぶそのマグロをこれからも提供してくださいて願います",鬼ヶ城,"
〒519-4323 三重県熊野市木本町１８３５−７","
0597-89-1502",http://onigajyo.jp/,"4.3
(4,495)",Unknown,国立保護区,33.890486,136.1164631
流離いの行灯,4,2 か月前,"なんと！駐車場、入場料無料！
センターから一番奥に当たる弁天神社まで約30分素晴らしい景色を見せてくれます
最初に千畳敷に圧巻されると思います
ここだけ見るだけでも価値はあります
また、センター駐車場にある水産物直売所のマグロ3種丼は最高に美味しかった！
注文を聞いてから作ってくれます
あったかいご飯に3種のマグロが重なり合って！絶妙にタレ胡麻が混ざりマグロの味を引き立てます、ご飯の量も多くお腹一杯になります1400円以上の価値はあります
こちらに訪れればまた必ず行きたいと思います
店主さん？女性の方と雑談もとても和みました
誰もが喜ぶそのマグロをこれからも提供してくださいて願います",鬼ヶ城,"
〒519-4323 三重県熊野市木本町１８３５−７","
0597-89-1502",http://onigajyo.jp/,"4.3
(4,495)",Unknown,国立保護区,33.890486,136.1164631
