Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
脂肪遊戯,5,1 週間前,"上毛かるたの「あ」
浅間のいたずら鬼の押出し
ということで今回もやって参りました。
上毛かるた巡礼の旅。
かるたの読み札には、群馬と長野の県境に、絶えず煙をあげている浅間山が天明3年の大噴火に溶岩を押出し、幅2km・長さ5kmにわたって流下した。それが風雨にさらされて怪奇な姿で積み重なっているのが鬼押出しの奇観である。
浅間山　海抜2,542m
所在　吾妻郡嬬恋村
交通　軽井沢駅よりバス
と記されています。
ゴツゴツとしたした岩肌はとても迫力があり、決して人間では創ることのできない、自然の壮大さに驚かされます。
標高も高いので空気も澄んでいて美味しく感じられます。
自然の持つパワーを授かった良き訪問となりました。
そして私のかるたを巡る旅はまだまだ続きます。
ありがとうございます。",鬼押出し園,"
〒377-1593 群馬県吾妻郡嬬恋村鎌原１０５３","
0279-86-4141",http://www.princehotels.co.jp/amuse/onioshidashi/,"4.1
(5,835)",Unknown,国立保護区,35.4522833,136.0028178
脂肪遊戯,5,1 週間前,"上毛かるたの「あ」
浅間のいたずら鬼の押出し
ということで今回もやって参りました。
上毛かるた巡礼の旅。
かるたの読み札には、群馬と長野の県境に、絶えず煙をあげている浅間山が天明3年の大噴火に溶岩を押出し、幅2km・長さ5kmにわたって流下した。それが風雨にさらされて怪奇な姿で積み重なっているのが鬼押出しの奇観である。
浅間山　海抜2,542m
所在　吾妻郡嬬恋村
交通　軽井沢駅よりバス
と記されています。
ゴツゴツとしたした岩肌はとても迫力があり、決して人間では創ることのできない、自然の壮大さに驚かされます。
標高も高いので空気も澄んでいて美味しく感じられます。
自然の持つパワーを授かった良き訪問となりました。
そして私のかるたを巡る旅はまだまだ続きます。
ありがとうございます。",鬼押出し園,"
〒377-1593 群馬県吾妻郡嬬恋村鎌原１０５３","
0279-86-4141",http://www.princehotels.co.jp/amuse/onioshidashi/,"4.1
(5,835)",Unknown,国立保護区,35.4522833,136.0028178
赤い彗星,5,1 か月前,"鬼押出し園は、1783年の浅間山の大噴火により形成された壮大な溶岩帯で、世界３大奇勝のひとつに数えられています。
広さは約6.8平方kmにも及び、東京ドーム約150個分です。
人の背丈を超える巨岩が並び、まるで異世界のようです！
園内には表参道・裏参道・奥の院参道・高山植物観察コースの４コースあって、全て回ると90分ほどかかります。
売店ではここでしか買えないものもあり、浅間山観音堂では御朱印を直書きしていただきました！
オフシーズンの平日に訪問したせいか、観光客はまばらで、レストランは休業していましたが、売店ではだんごやおやきなどを販売していました。
園内にはたくさんの休憩所があるので、体力に自信のない方でも散策できると思います。
また、ワンちゃんとの散歩も可能で、ワンちゃん給水所もありました。",鬼押出し園,"
〒377-1593 群馬県吾妻郡嬬恋村鎌原１０５３","
0279-86-4141",http://www.princehotels.co.jp/amuse/onioshidashi/,"4.1
(5,835)",Unknown,国立保護区,35.4522833,136.0028178
赤い彗星,5,1 か月前,"鬼押出し園は、1783年の浅間山の大噴火により形成された壮大な溶岩帯で、世界３大奇勝のひとつに数えられています。
広さは約6.8平方kmにも及び、東京ドーム約150個分です。
人の背丈を超える巨岩が並び、まるで異世界のようです！
園内には表参道・裏参道・奥の院参道・高山植物観察コースの４コースあって、全て回ると90分ほどかかります。
売店ではここでしか買えないものもあり、浅間山観音堂では御朱印を直書きしていただきました！
オフシーズンの平日に訪問したせいか、観光客はまばらで、レストランは休業していましたが、売店ではだんごやおやきなどを販売していました。
園内にはたくさんの休憩所があるので、体力に自信のない方でも散策できると思います。
また、ワンちゃんとの散歩も可能で、ワンちゃん給水所もありました。",鬼押出し園,"
〒377-1593 群馬県吾妻郡嬬恋村鎌原１０５３","
0279-86-4141",http://www.princehotels.co.jp/amuse/onioshidashi/,"4.1
(5,835)",Unknown,国立保護区,35.4522833,136.0028178
夏澄,5,4 か月前,"浅間山の噴火で生まれた溶岩地帯の壮大な絶景は、本当に素晴らしかったです！
秋の紅葉と溶岩のコントラストも最高で、散策しながら自然の力を感じられる貴重な場所でした（24.10.20）。

アクセスには有料道路を通りますが、その価値は十分あると思います。
観光地としてはやや古さを感じますが、キャッシュレス決済等も出来て便利。ジオパークとしての魅力も圧倒的でした。

四季折々の景色も楽しめるとのことなので、また訪れたいと思います！",鬼押出し園,"
〒377-1593 群馬県吾妻郡嬬恋村鎌原１０５３","
0279-86-4141",http://www.princehotels.co.jp/amuse/onioshidashi/,"4.1
(5,835)",Unknown,国立保護区,35.4522833,136.0028178
夏澄,5,4 か月前,"浅間山の噴火で生まれた溶岩地帯の壮大な絶景は、本当に素晴らしかったです！
秋の紅葉と溶岩のコントラストも最高で、散策しながら自然の力を感じられる貴重な場所でした（24.10.20）。

アクセスには有料道路を通りますが、その価値は十分あると思います。
観光地としてはやや古さを感じますが、キャッシュレス決済等も出来て便利。ジオパークとしての魅力も圧倒的でした。

四季折々の景色も楽しめるとのことなので、また訪れたいと思います！",鬼押出し園,"
〒377-1593 群馬県吾妻郡嬬恋村鎌原１０５３","
0279-86-4141",http://www.princehotels.co.jp/amuse/onioshidashi/,"4.1
(5,835)",Unknown,国立保護区,35.4522833,136.0028178
JAPAN EnvironMentally FRIENDLY.,5,4 か月前,"1783年の浅間山の大噴火によって溢れ出た溶岩石が辺り一面を覆う、地球の息吹を感じられるジオスポット。何にも遮られることなく浅間山を観られるパノラマビューは圧巻！
訪れた日は今シーズン初冠雪だった様で、溶岩石と雪が絶妙のコントラストでした。
秋までは観光バスが来るのでそれなりの人出だそうですが、冬場という事もあって朝一は人も居らず静かにゆっくりと散策できました。

八ッ場ダムの総貯水量ほどの溶岩が噴出したとの事で、当時の様子は地獄絵図だったことでしょう。噴火で犠牲になった住民たちをお祀りする観音堂が建立され、副産物として当時をうかがい知ることができる景勝地になっています。",鬼押出し園,"
〒377-1593 群馬県吾妻郡嬬恋村鎌原１０５３","
0279-86-4141",http://www.princehotels.co.jp/amuse/onioshidashi/,"4.1
(5,835)",Unknown,国立保護区,35.4522833,136.0028178
JAPAN EnvironMentally FRIENDLY.,5,4 か月前,"1783年の浅間山の大噴火によって溢れ出た溶岩石が辺り一面を覆う、地球の息吹を感じられるジオスポット。何にも遮られることなく浅間山を観られるパノラマビューは圧巻！
訪れた日は今シーズン初冠雪だった様で、溶岩石と雪が絶妙のコントラストでした。
秋までは観光バスが来るのでそれなりの人出だそうですが、冬場という事もあって朝一は人も居らず静かにゆっくりと散策できました。

八ッ場ダムの総貯水量ほどの溶岩が噴出したとの事で、当時の様子は地獄絵図だったことでしょう。噴火で犠牲になった住民たちをお祀りする観音堂が建立され、副産物として当時をうかがい知ることができる景勝地になっています。",鬼押出し園,"
〒377-1593 群馬県吾妻郡嬬恋村鎌原１０５３","
0279-86-4141",http://www.princehotels.co.jp/amuse/onioshidashi/,"4.1
(5,835)",Unknown,国立保護区,35.4522833,136.0028178
mickey mouse (POCKEY),4,5 か月前,"2024年11月に再訪しました。
土曜日の15時頃に到着しましたが気温は6度と低かったのですが、無風だったのと日差しのおかげで穏やかでした。
今年は紅葉が遅れているので遠くの山はまだ紅葉が残っておりました。

今回は白い雲がなかったので浅間山が青空の中でとてもすてきな景色でした。
そしてここに来るときはいつも御朱印をいただきます。神社から見る景色はいつ見ても素晴らしいと感じます。",鬼押出し園,"
〒377-1593 群馬県吾妻郡嬬恋村鎌原１０５３","
0279-86-4141",http://www.princehotels.co.jp/amuse/onioshidashi/,"4.1
(5,835)",Unknown,国立保護区,35.4522833,136.0028178
mickey mouse (POCKEY),4,5 か月前,"2024年11月に再訪しました。
土曜日の15時頃に到着しましたが気温は6度と低かったのですが、無風だったのと日差しのおかげで穏やかでした。
今年は紅葉が遅れているので遠くの山はまだ紅葉が残っておりました。

今回は白い雲がなかったので浅間山が青空の中でとてもすてきな景色でした。
そしてここに来るときはいつも御朱印をいただきます。神社から見る景色はいつ見ても素晴らしいと感じます。",鬼押出し園,"
〒377-1593 群馬県吾妻郡嬬恋村鎌原１０５３","
0279-86-4141",http://www.princehotels.co.jp/amuse/onioshidashi/,"4.1
(5,835)",Unknown,国立保護区,35.4522833,136.0028178
