Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
北見洸太,5,5 か月前,"日本酒と和食に力を入れた、隠れ家的居酒屋

8月にオープンしたばかりのお店で全ての料理が本格的でとても美味しかったです。 …",魚 -io-,"
〒180-0005 東京都武蔵野市御殿山１丁目２−６ ビューキャニオン吉祥寺御殿山 １０１","
0422-29-8279",https://www.instagram.com/io_kichijoji,"4.6
(20)",Unknown,居酒屋,35.6763538,139.6308413
北見洸太,5,5 か月前,"日本酒と和食に力を入れた、隠れ家的居酒屋

8月にオープンしたばかりのお店で全ての料理が本格的でとても美味しかったです。 …",魚 -io-,"
〒180-0005 東京都武蔵野市御殿山１丁目２−６ ビューキャニオン吉祥寺御殿山 １０１","
0422-29-8279",https://www.instagram.com/io_kichijoji,"4.6
(20)",Unknown,居酒屋,35.6763538,139.6308413
吉グル（吉祥寺グルメ）,5,8 か月前,"吉祥寺に和食居酒屋「魚-io-」が2024年8月23日(金)にオープンしました！吉祥寺通り沿い、井の頭公園の真横にて、隠れ家居酒屋っぽい雰囲気で佇んでいます。

オープン後、早速伺ってきましたので詳しく紹介していきます！ …",魚 -io-,"
〒180-0005 東京都武蔵野市御殿山１丁目２−６ ビューキャニオン吉祥寺御殿山 １０１","
0422-29-8279",https://www.instagram.com/io_kichijoji,"4.6
(20)",Unknown,居酒屋,35.6763538,139.6308413
吉グル（吉祥寺グルメ）,5,8 か月前,"吉祥寺に和食居酒屋「魚-io-」が2024年8月23日(金)にオープンしました！吉祥寺通り沿い、井の頭公園の真横にて、隠れ家居酒屋っぽい雰囲気で佇んでいます。

オープン後、早速伺ってきましたので詳しく紹介していきます！ …",魚 -io-,"
〒180-0005 東京都武蔵野市御殿山１丁目２−６ ビューキャニオン吉祥寺御殿山 １０１","
0422-29-8279",https://www.instagram.com/io_kichijoji,"4.6
(20)",Unknown,居酒屋,35.6763538,139.6308413
みぃみぃ,3,6 か月前,"開店したばかりのようで、ランチもやってるとのことで入店。

店内は綺麗で、店員さんが二人。頑張ろうみたいなやる気は伝わってきました。 …",魚 -io-,"
〒180-0005 東京都武蔵野市御殿山１丁目２−６ ビューキャニオン吉祥寺御殿山 １０１","
0422-29-8279",https://www.instagram.com/io_kichijoji,"4.6
(20)",Unknown,居酒屋,35.6763538,139.6308413
みぃみぃ,3,6 か月前,"開店したばかりのようで、ランチもやってるとのことで入店。

店内は綺麗で、店員さんが二人。頑張ろうみたいなやる気は伝わってきました。 …",魚 -io-,"
〒180-0005 東京都武蔵野市御殿山１丁目２−６ ビューキャニオン吉祥寺御殿山 １０１","
0422-29-8279",https://www.instagram.com/io_kichijoji,"4.6
(20)",Unknown,居酒屋,35.6763538,139.6308413
BH,5,7 か月前,"家のポストに入ったチラシを見て来店しました。

開店したばかりのお店でしたが、 …",魚 -io-,"
〒180-0005 東京都武蔵野市御殿山１丁目２−６ ビューキャニオン吉祥寺御殿山 １０１","
0422-29-8279",https://www.instagram.com/io_kichijoji,"4.6
(20)",Unknown,居酒屋,35.6763538,139.6308413
BH,5,7 か月前,"家のポストに入ったチラシを見て来店しました。

開店したばかりのお店でしたが、 …",魚 -io-,"
〒180-0005 東京都武蔵野市御殿山１丁目２−６ ビューキャニオン吉祥寺御殿山 １０１","
0422-29-8279",https://www.instagram.com/io_kichijoji,"4.6
(20)",Unknown,居酒屋,35.6763538,139.6308413
れもん,4,2 か月前,吉祥寺通り沿いにありましたが場所が分かりづらく少し迷いました。店はこじんまりとしていて落ち着きました。珍しい日本酒があって楽しめました。お料理は何を頼んでも美味しかったですが、特に海鮮サラダと卵焼きが気に入ったので又お邪魔したいと思いました。,魚 -io-,"
〒180-0005 東京都武蔵野市御殿山１丁目２−６ ビューキャニオン吉祥寺御殿山 １０１","
0422-29-8279",https://www.instagram.com/io_kichijoji,"4.6
(20)",Unknown,居酒屋,35.6763538,139.6308413
れもん,4,2 か月前,吉祥寺通り沿いにありましたが場所が分かりづらく少し迷いました。店はこじんまりとしていて落ち着きました。珍しい日本酒があって楽しめました。お料理は何を頼んでも美味しかったですが、特に海鮮サラダと卵焼きが気に入ったので又お邪魔したいと思いました。,魚 -io-,"
〒180-0005 東京都武蔵野市御殿山１丁目２−６ ビューキャニオン吉祥寺御殿山 １０１","
0422-29-8279",https://www.instagram.com/io_kichijoji,"4.6
(20)",Unknown,居酒屋,35.6763538,139.6308413
高羽常士朗,5,8 か月前,とても楽しく飲めました！ご飯も美味しかったです！,魚 -io-,"
〒180-0005 東京都武蔵野市御殿山１丁目２−６ ビューキャニオン吉祥寺御殿山 １０１","
0422-29-8279",https://www.instagram.com/io_kichijoji,"4.6
(20)",Unknown,居酒屋,35.6763538,139.6308413
高羽常士朗,5,8 か月前,とても楽しく飲めました！ご飯も美味しかったです！,魚 -io-,"
〒180-0005 東京都武蔵野市御殿山１丁目２−６ ビューキャニオン吉祥寺御殿山 １０１","
0422-29-8279",https://www.instagram.com/io_kichijoji,"4.6
(20)",Unknown,居酒屋,35.6763538,139.6308413
晴優,5,5 か月前,店内の雰囲気が、とても居心地よい空間でした。軽く食事を…と思い入店したのですが、お料理も美味しくて、いろいろ注文してしまい、長居してしまいました。また是非、行きたいです,魚 -io-,"
〒180-0005 東京都武蔵野市御殿山１丁目２−６ ビューキャニオン吉祥寺御殿山 １０１","
0422-29-8279",https://www.instagram.com/io_kichijoji,"4.6
(20)",Unknown,居酒屋,35.6763538,139.6308413
