Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
刀村雨,5,3 か月前,"銀座で初めてお寿司を食べましたが、良いお店だと思います。
二十四節気に合わせた旬の食材を扱うとのこと。
ただ、料理はワンオペに近いのでお客さんが多くなると提供は遅くなります（当たり前ですが…。）
時間に余裕がある時に行くのが吉♪",鮨めぐり 銀座 江戸前寿司,"
〒104-0061 東京都中央区銀座３丁目１２−６ 銀座3丁目店舗ビル 1F","
03-4362-9224",https://www.sushimeguri-ginza.info/,"4.9
(71)",Unknown,寿司店,35.6707277,139.7692115
刀村雨,5,3 か月前,"銀座で初めてお寿司を食べましたが、良いお店だと思います。
二十四節気に合わせた旬の食材を扱うとのこと。
ただ、料理はワンオペに近いのでお客さんが多くなると提供は遅くなります（当たり前ですが…。）
時間に余裕がある時に行くのが吉♪",鮨めぐり 銀座 江戸前寿司,"
〒104-0061 東京都中央区銀座３丁目１２−６ 銀座3丁目店舗ビル 1F","
03-4362-9224",https://www.sushimeguri-ginza.info/,"4.9
(71)",Unknown,寿司店,35.6707277,139.7692115
shotoku team,4,8 か月前,"鮨激戦区である銀座に2022年1月にオープンした「鮨めぐり」は、銀座という立地にありながら、リーズナブルな価格で江戸前寿司が食べられるお店です。

この日は、土曜日の12時に予約して1人で訪れました。
店内は、L字のカウンターが9席のみ。木材や自然素材を使ったインテリアが多く、温もりのある空間で、肩肘張らずにリラックスして過ごすことができます。

ランチのメニューには、にぎりのみのコースが税込4,400円から用意されています。また、前菜や刺身がセットになったコースも2種類あります。

そのなかから、「にぎりのみ十二貫コース（税込5,280円）」を注文。
コースのラインナップは、
■ノレソレの酢の物
■フキノトウの和え物
■カツオ-塩-
■アオリイカ-塩-
■カツオ漬け-佃煮-
■アオリイカ-わさび醬油-
■クロムツ
■メロンと大根
■アジ
■タイラガイ
■コハダ
■キンメダイ
■マグロ赤身漬け
■シマアジ
■カツオとガリの紫蘇巻き
■梅干し
同じネタを違う食べ方で提供するなど、趣向を凝らしたにぎりの数々を堪能できる内容でした。

塩とわさび醬油の2種類の味付けで提供される「アオリイカ」は、ねっとり柔らかな食感で、口のなかに旨味が溢れでる一貫で美味しかったです。個人的には、旨味が増す塩が好きでした。

「カツオの漬け」は、旨味と風味が生のカツオより際立つ一貫。佃煮の“ピリッ”とした味も良いアクセントになっていました。

最後に提供される「梅干し」は、梅干しとシャリの酸味が絶妙に絡んだ後味が良い一貫でした。

シャリやネタに若干の物足りなさはありましたが、価格面を考慮すると満足できるランチになりました。

銀座エリアでリーズナブルに寿司を楽しみたい方は、候補の一つに入れてみては、いかがでしょうか？",鮨めぐり 銀座 江戸前寿司,"
〒104-0061 東京都中央区銀座３丁目１２−６ 銀座3丁目店舗ビル 1F","
03-4362-9224",https://www.sushimeguri-ginza.info/,"4.9
(71)",Unknown,寿司店,35.6707277,139.7692115
shotoku team,4,8 か月前,"鮨激戦区である銀座に2022年1月にオープンした「鮨めぐり」は、銀座という立地にありながら、リーズナブルな価格で江戸前寿司が食べられるお店です。

この日は、土曜日の12時に予約して1人で訪れました。
店内は、L字のカウンターが9席のみ。木材や自然素材を使ったインテリアが多く、温もりのある空間で、肩肘張らずにリラックスして過ごすことができます。

ランチのメニューには、にぎりのみのコースが税込4,400円から用意されています。また、前菜や刺身がセットになったコースも2種類あります。

そのなかから、「にぎりのみ十二貫コース（税込5,280円）」を注文。
コースのラインナップは、
■ノレソレの酢の物
■フキノトウの和え物
■カツオ-塩-
■アオリイカ-塩-
■カツオ漬け-佃煮-
■アオリイカ-わさび醬油-
■クロムツ
■メロンと大根
■アジ
■タイラガイ
■コハダ
■キンメダイ
■マグロ赤身漬け
■シマアジ
■カツオとガリの紫蘇巻き
■梅干し
同じネタを違う食べ方で提供するなど、趣向を凝らしたにぎりの数々を堪能できる内容でした。

塩とわさび醬油の2種類の味付けで提供される「アオリイカ」は、ねっとり柔らかな食感で、口のなかに旨味が溢れでる一貫で美味しかったです。個人的には、旨味が増す塩が好きでした。

「カツオの漬け」は、旨味と風味が生のカツオより際立つ一貫。佃煮の“ピリッ”とした味も良いアクセントになっていました。

最後に提供される「梅干し」は、梅干しとシャリの酸味が絶妙に絡んだ後味が良い一貫でした。

シャリやネタに若干の物足りなさはありましたが、価格面を考慮すると満足できるランチになりました。

銀座エリアでリーズナブルに寿司を楽しみたい方は、候補の一つに入れてみては、いかがでしょうか？",鮨めぐり 銀座 江戸前寿司,"
〒104-0061 東京都中央区銀座３丁目１２−６ 銀座3丁目店舗ビル 1F","
03-4362-9224",https://www.sushimeguri-ginza.info/,"4.9
(71)",Unknown,寿司店,35.6707277,139.7692115
ランチ難民,4,1 年前,"近くのとんかつ屋に行った際にたまたま発見したお寿司屋さん。比較的新しく、行ってみたいに保存。お昼の会食に利用しました。

ドアを開けると階段があり、2階まで。L字型のカウンターに、中央にモニターがあり、季語と旬の魚が表示されていて勉強になります。

WEB上から予約出来るお昼のコースは握り6巻に小鉢、刺身とかだったので、握り12巻に少しつまみを出してもらう用に変更。ちなみに12巻でも5000円以下なので銀座としてはリーズナブル。

刺し取り、鯖の分厚さにびっくり。産地と大きさも教えてくれます。握りは特に海老がパキッとしていて美味しかった。百合の根のチップスもお酒に合う…。

コスパも良く、堅苦しく無い雰囲気なので、銀座で気軽にお寿司食べるのにはおすすめな一店。",鮨めぐり 銀座 江戸前寿司,"
〒104-0061 東京都中央区銀座３丁目１２−６ 銀座3丁目店舗ビル 1F","
03-4362-9224",https://www.sushimeguri-ginza.info/,"4.9
(71)",Unknown,寿司店,35.6707277,139.7692115
ランチ難民,4,1 年前,"近くのとんかつ屋に行った際にたまたま発見したお寿司屋さん。比較的新しく、行ってみたいに保存。お昼の会食に利用しました。

ドアを開けると階段があり、2階まで。L字型のカウンターに、中央にモニターがあり、季語と旬の魚が表示されていて勉強になります。

WEB上から予約出来るお昼のコースは握り6巻に小鉢、刺身とかだったので、握り12巻に少しつまみを出してもらう用に変更。ちなみに12巻でも5000円以下なので銀座としてはリーズナブル。

刺し取り、鯖の分厚さにびっくり。産地と大きさも教えてくれます。握りは特に海老がパキッとしていて美味しかった。百合の根のチップスもお酒に合う…。

コスパも良く、堅苦しく無い雰囲気なので、銀座で気軽にお寿司食べるのにはおすすめな一店。",鮨めぐり 銀座 江戸前寿司,"
〒104-0061 東京都中央区銀座３丁目１２−６ 銀座3丁目店舗ビル 1F","
03-4362-9224",https://www.sushimeguri-ginza.info/,"4.9
(71)",Unknown,寿司店,35.6707277,139.7692115
Mood Indigo,5,6 か月前,イケメン社長と親切で可愛いスタッフ、また旬にあう料理の組み合わせが最高でした。おかげでいい思い出豊かな妻との旅行になりました。また今度訪ねます。,鮨めぐり 銀座 江戸前寿司,"
〒104-0061 東京都中央区銀座３丁目１２−６ 銀座3丁目店舗ビル 1F","
03-4362-9224",https://www.sushimeguri-ginza.info/,"4.9
(71)",Unknown,寿司店,35.6707277,139.7692115
Mood Indigo,5,6 か月前,イケメン社長と親切で可愛いスタッフ、また旬にあう料理の組み合わせが最高でした。おかげでいい思い出豊かな妻との旅行になりました。また今度訪ねます。,鮨めぐり 銀座 江戸前寿司,"
〒104-0061 東京都中央区銀座３丁目１２−６ 銀座3丁目店舗ビル 1F","
03-4362-9224",https://www.sushimeguri-ginza.info/,"4.9
(71)",Unknown,寿司店,35.6707277,139.7692115
rin aki,5,2 年前,"[2022.10.2訪問]

ランチで伺いました。オーダーは10貫3800円のコース。

お店はビルの2階にあります。バリアフリーではありません。席はL字カウンターのみ。正面5席＋側面3席の計8席。内装は落ち着いた雰囲気でした。

この日の先付けは山形県産ツルムラサキのお浸し。握りは血鯛、マコガレイ、カマス、戻り鰹、黒ムツ、鯖、赤貝、熟成鰆、帆立小柱軍艦、車海老。

お酢の加減は優しく、ふんわり握ったシャリは口当たりも良いです。ネタをしっかり味わえます。

この立地のお寿司屋さんでは大変リーズナブルだと感じました。また訪れたいと思います。",鮨めぐり 銀座 江戸前寿司,"
〒104-0061 東京都中央区銀座３丁目１２−６ 銀座3丁目店舗ビル 1F","
03-4362-9224",https://www.sushimeguri-ginza.info/,"4.9
(71)",Unknown,寿司店,35.6707277,139.7692115
rin aki,5,2 年前,"[2022.10.2訪問]

ランチで伺いました。オーダーは10貫3800円のコース。

お店はビルの2階にあります。バリアフリーではありません。席はL字カウンターのみ。正面5席＋側面3席の計8席。内装は落ち着いた雰囲気でした。

この日の先付けは山形県産ツルムラサキのお浸し。握りは血鯛、マコガレイ、カマス、戻り鰹、黒ムツ、鯖、赤貝、熟成鰆、帆立小柱軍艦、車海老。

お酢の加減は優しく、ふんわり握ったシャリは口当たりも良いです。ネタをしっかり味わえます。

この立地のお寿司屋さんでは大変リーズナブルだと感じました。また訪れたいと思います。",鮨めぐり 銀座 江戸前寿司,"
〒104-0061 東京都中央区銀座３丁目１２−６ 銀座3丁目店舗ビル 1F","
03-4362-9224",https://www.sushimeguri-ginza.info/,"4.9
(71)",Unknown,寿司店,35.6707277,139.7692115
c c,5,2 年前,"2022.銀座の大人の隠れ家
鮨めぐり

こんなところにお店があるんだ、という感じの入り口はまさに隠れ家そのものです。
看板は出ていますが、お店が2階のため、入り口入って階段を上がります。

遅めのお昼をとギリギリランチの時間に入店。
カウンター9席の静かなお店です。
2名、50代のご夫婦がお席で楽しくお食事されていました。私たちが入店した後20分後程度にまた別の二組の方が。平均年齢が高く、とても落ち着いた方がいらっしゃるので静かで上品です。

二十四節気を大切にしているお店。
その時々の旬のネタだけを仕入れているそうです。
最初に出てきたのは野菜。
ベジファーストは、血糖値の上昇を緩めてくれるので、健康に良く、嬉しいです。
おそらく、客層を考えてのことだと思いますが、お野菜も旬のものが出てきて、さっぱり、あっさり、上品な味でした。デザートもフルーツトマトと、おしゃれです。
カロリー過多の加工品ではなく、フレッシュで旬なものが一番の贅沢だなと感じました。
いろんなものを出していただきましたが、私は熟成サバと、まぐろ、山芋、フルーツトマトが美味しかったです。
また行きたいお店です。
混むと予約が取れなくなるので、あくまで隠れ家として知る人ぞ知る、のお店でいて欲しいな

その他
マスクケースあり
お手洗いに良い香りのソープがあり

2023.3.7
4名ランチで利用。
11:30に行ったのですが、そのあとすぐ別のお客様がいらしてカウンターが埋まりました。
上品なお客様が多いお店です。

海苔巻きを巻かずに手で渡してくれるのがこのお店流",鮨めぐり 銀座 江戸前寿司,"
〒104-0061 東京都中央区銀座３丁目１２−６ 銀座3丁目店舗ビル 1F","
03-4362-9224",https://www.sushimeguri-ginza.info/,"4.9
(71)",Unknown,寿司店,35.6707277,139.7692115
