Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
m03a076d,4,2 週間前,"鶴舞公園(つるまこうえん。最寄りの鶴舞駅は""つるまいえき""です笑)には名古屋に引っ越してから度々訪れており、四季折々の姿を楽しんでいます。
ポケモンGOがローンチされた当初は、公園を上から見ると噴水塔の部分がモンスターボールにそっくりということで、聖地にもなり大変な混雑にもなりました。

お花見に関しては、以前に観たどこかの番組で、東海三県のお花見スポットで第二位でした(第一位は山﨑川、第三位が名古屋城)。
ここは桜が強調されますが、他にもハナショウブ、チューリップ、バラ、アジサイ、ハス、イチョウやモミジ、ツバキなどなど、季節に応じて楽しむことができます。

とはいえやはり桜は咲く期間も短くキレイなもので、夜と朝に見に行きました。
ほとんどがソメイヨシノで、少しだシダレザクラやサトザクラなどがあります。夜はライトアップされ、日中とはまた違う光景。
以前は桜林全体の中でブルーシートを敷けてそこでどんちゃん騒ぎをしていたのを見た記憶がありますが、最近はそうできるのが一部のみとなっています。
そのため、皆さん芝生にブルーシートを敷いて楽しんでいました。
夜は屋台もたくさん、人もたくさん。
これぞお花見シーズン！であり、鶴舞駅全体が祭のさなかといった雰囲気。
一転して朝は訪れたのが平日でもあったため、太極拳を嗜む集団がいた以外はいたって静かなものでした笑

鶴舞公園はリニューアルされて新しいお店がいくつかできました。
そのためか少し緑が減ってしまいましたが、集客力はアップしたようにも感じます。
これもまた公園の移り行く姿なのでしょう。

このように、桜は日本人にとって特別なものでありつづけました。
それはやはり本居宣長が述べたように""もののあはれ""によるのでしょう。
満開の時期が短く、儚げに散っていくその様は無常感にもつながり、芥川龍之介も『舞踏会』で一瞬の花火を""生(ヴィ)""と語らせています。
万物は流転し留まることなく、そこに享楽的にならず、悲哀と美を見いだすのが、桜を愛でることなのだと思います。
日本人がいわゆる期間限定モノに弱いのも、この""もののあはれ""によるのかもしれませんね笑",鶴舞公園,"
〒466-0064 愛知県名古屋市昭和区鶴舞１","
052-733-8340",https://tsurumapark.info/,"4.2
(7,611)",Unknown,〒466-0064 愛知県名古屋市昭和区鶴舞１,35.1550781,136.9200817
m03a076d,4,2 週間前,"鶴舞公園(つるまこうえん。最寄りの鶴舞駅は""つるまいえき""です笑)には名古屋に引っ越してから度々訪れており、四季折々の姿を楽しんでいます。
ポケモンGOがローンチされた当初は、公園を上から見ると噴水塔の部分がモンスターボールにそっくりということで、聖地にもなり大変な混雑にもなりました。

お花見に関しては、以前に観たどこかの番組で、東海三県のお花見スポットで第二位でした(第一位は山﨑川、第三位が名古屋城)。
ここは桜が強調されますが、他にもハナショウブ、チューリップ、バラ、アジサイ、ハス、イチョウやモミジ、ツバキなどなど、季節に応じて楽しむことができます。

とはいえやはり桜は咲く期間も短くキレイなもので、夜と朝に見に行きました。
ほとんどがソメイヨシノで、少しだシダレザクラやサトザクラなどがあります。夜はライトアップされ、日中とはまた違う光景。
以前は桜林全体の中でブルーシートを敷けてそこでどんちゃん騒ぎをしていたのを見た記憶がありますが、最近はそうできるのが一部のみとなっています。
そのため、皆さん芝生にブルーシートを敷いて楽しんでいました。
夜は屋台もたくさん、人もたくさん。
これぞお花見シーズン！であり、鶴舞駅全体が祭のさなかといった雰囲気。
一転して朝は訪れたのが平日でもあったため、太極拳を嗜む集団がいた以外はいたって静かなものでした笑

鶴舞公園はリニューアルされて新しいお店がいくつかできました。
そのためか少し緑が減ってしまいましたが、集客力はアップしたようにも感じます。
これもまた公園の移り行く姿なのでしょう。

このように、桜は日本人にとって特別なものでありつづけました。
それはやはり本居宣長が述べたように""もののあはれ""によるのでしょう。
満開の時期が短く、儚げに散っていくその様は無常感にもつながり、芥川龍之介も『舞踏会』で一瞬の花火を""生(ヴィ)""と語らせています。
万物は流転し留まることなく、そこに享楽的にならず、悲哀と美を見いだすのが、桜を愛でることなのだと思います。
日本人がいわゆる期間限定モノに弱いのも、この""もののあはれ""によるのかもしれませんね笑",鶴舞公園,"
〒466-0064 愛知県名古屋市昭和区鶴舞１","
052-733-8340",https://tsurumapark.info/,"4.2
(7,611)",Unknown,〒466-0064 愛知県名古屋市昭和区鶴舞１,35.1550781,136.9200817
amsang04,4,2 週間前,"「さくら名所100選の地」のひとつ
2025年4月8日に桜を観に行きました。
平日にも関わらず多くの人が来園し、キッチンカーや屋台を数多く営業されて活気あり。
桜は散り始めでしたが十二分の美しさ
かつ穏やかな天気でしたので
「平和な日本の風景」を堪能できました。",鶴舞公園,"
〒466-0064 愛知県名古屋市昭和区鶴舞１","
052-733-8340",https://tsurumapark.info/,"4.2
(7,611)",Unknown,〒466-0064 愛知県名古屋市昭和区鶴舞１,35.1550781,136.9200817
amsang04,4,2 週間前,"「さくら名所100選の地」のひとつ
2025年4月8日に桜を観に行きました。
平日にも関わらず多くの人が来園し、キッチンカーや屋台を数多く営業されて活気あり。
桜は散り始めでしたが十二分の美しさ
かつ穏やかな天気でしたので
「平和な日本の風景」を堪能できました。",鶴舞公園,"
〒466-0064 愛知県名古屋市昭和区鶴舞１","
052-733-8340",https://tsurumapark.info/,"4.2
(7,611)",Unknown,〒466-0064 愛知県名古屋市昭和区鶴舞１,35.1550781,136.9200817
e H,5,1 週間前,"子供の頃から大人になっても馴染みのある公園。
名古屋人は　つるま公園って呼びますね。
遊具はもちろん、色々なお花、池、噴水、遊歩道、グランドもあり人気ですね。

春は桜で有名。
咲いてなくても最近は移動販売の車がたくさん出ていて良いおやつタイムが味わえます。",鶴舞公園,"
〒466-0064 愛知県名古屋市昭和区鶴舞１","
052-733-8340",https://tsurumapark.info/,"4.2
(7,611)",Unknown,〒466-0064 愛知県名古屋市昭和区鶴舞１,35.1550781,136.9200817
e H,5,1 週間前,"子供の頃から大人になっても馴染みのある公園。
名古屋人は　つるま公園って呼びますね。
遊具はもちろん、色々なお花、池、噴水、遊歩道、グランドもあり人気ですね。

春は桜で有名。
咲いてなくても最近は移動販売の車がたくさん出ていて良いおやつタイムが味わえます。",鶴舞公園,"
〒466-0064 愛知県名古屋市昭和区鶴舞１","
052-733-8340",https://tsurumapark.info/,"4.2
(7,611)",Unknown,〒466-0064 愛知県名古屋市昭和区鶴舞１,35.1550781,136.9200817
しほ,4,1 週間前,"鶴舞駅から降りてすぐだからとても行きやすいです。
桜の時期は人はたくさんいるけど、公園は広いしある程度通り道を整備されているおかげで歩きやすいです。
夜はライトアップされるので昼も夜も桜を楽しむことができました。

お花見の時期は屋台もたくさんあります。",鶴舞公園,"
〒466-0064 愛知県名古屋市昭和区鶴舞１","
052-733-8340",https://tsurumapark.info/,"4.2
(7,611)",Unknown,〒466-0064 愛知県名古屋市昭和区鶴舞１,35.1550781,136.9200817
しほ,4,1 週間前,"鶴舞駅から降りてすぐだからとても行きやすいです。
桜の時期は人はたくさんいるけど、公園は広いしある程度通り道を整備されているおかげで歩きやすいです。
夜はライトアップされるので昼も夜も桜を楽しむことができました。

お花見の時期は屋台もたくさんあります。",鶴舞公園,"
〒466-0064 愛知県名古屋市昭和区鶴舞１","
052-733-8340",https://tsurumapark.info/,"4.2
(7,611)",Unknown,〒466-0064 愛知県名古屋市昭和区鶴舞１,35.1550781,136.9200817
Bluesky,5,4 週間前,"2025.3.25
桜まつり期間中でしたが、今年の桜は遅いですね。開花しているのはほんの少しでした。

それでも人出は多く、噴水塔をぐるりと二重の輪になって並ぶ多くのキッチンカーが一層の賑わいをもたらしていました。

お昼近くなったら芝生広場でお弁当を広げる家族連れやカップルがいっぱい！

桜はなくとも庭園を回ったり今の季節の草花を愛でたりと色々と楽しめました。

広くて歩いて回るだけで楽しめる公園。
うらやましいです(笑)",鶴舞公園,"
〒466-0064 愛知県名古屋市昭和区鶴舞１","
052-733-8340",https://tsurumapark.info/,"4.2
(7,611)",Unknown,〒466-0064 愛知県名古屋市昭和区鶴舞１,35.1550781,136.9200817
Bluesky,5,4 週間前,"2025.3.25
桜まつり期間中でしたが、今年の桜は遅いですね。開花しているのはほんの少しでした。

それでも人出は多く、噴水塔をぐるりと二重の輪になって並ぶ多くのキッチンカーが一層の賑わいをもたらしていました。

お昼近くなったら芝生広場でお弁当を広げる家族連れやカップルがいっぱい！

桜はなくとも庭園を回ったり今の季節の草花を愛でたりと色々と楽しめました。

広くて歩いて回るだけで楽しめる公園。
うらやましいです(笑)",鶴舞公園,"
〒466-0064 愛知県名古屋市昭和区鶴舞１","
052-733-8340",https://tsurumapark.info/,"4.2
(7,611)",Unknown,〒466-0064 愛知県名古屋市昭和区鶴舞１,35.1550781,136.9200817
