Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Space Dragon,4,8 か月前,八丁峠から。山頂近くの好展望な岩場で早弁(半分)。9時頃。細長い山頂で、富士山は見えなかった。2024/8/2,黒富士,"
〒400-1218 山梨県甲府市御岳町",Unknown,Unknown,"4.5
(13)",Unknown,山頂,35.7976832,137.943582
Space Dragon,4,8 か月前,八丁峠から。山頂近くの好展望な岩場で早弁(半分)。9時頃。細長い山頂で、富士山は見えなかった。2024/8/2,黒富士,"
〒400-1218 山梨県甲府市御岳町",Unknown,Unknown,"4.5
(13)",Unknown,山頂,35.7976832,137.943582
annie jp,4,5 年前,"梅雨入り前の山登り♪
曲岳との縦走でしたが、ゆっくり登山者でも大丈夫でした！

とはいえ曲岳からは、ちょっと急な場所や岩場があるので気は抜けませんが、そこさえ越えれば稜線はめちゃくちゃ気持ち良いお散歩でした。
広葉樹の林が続くので紅葉の季節もきっと素敵です。

山頂から見える甲府盆地景も良いですが、手前の岩場から望む秩父の山、八ヶ岳、晴れていれば南アルプスが絶景！
途中の登山道から見える黒富士越しの富士山も良いです♪

山頂狭いですが、途中ちょっと寄り道して升形山から見る黒富士の景色もオススメ。",黒富士,"
〒400-1218 山梨県甲府市御岳町",Unknown,Unknown,"4.5
(13)",Unknown,山頂,35.7976832,137.943582
annie jp,4,5 年前,"梅雨入り前の山登り♪
曲岳との縦走でしたが、ゆっくり登山者でも大丈夫でした！

とはいえ曲岳からは、ちょっと急な場所や岩場があるので気は抜けませんが、そこさえ越えれば稜線はめちゃくちゃ気持ち良いお散歩でした。
広葉樹の林が続くので紅葉の季節もきっと素敵です。

山頂から見える甲府盆地景も良いですが、手前の岩場から望む秩父の山、八ヶ岳、晴れていれば南アルプスが絶景！
途中の登山道から見える黒富士越しの富士山も良いです♪

山頂狭いですが、途中ちょっと寄り道して升形山から見る黒富士の景色もオススメ。",黒富士,"
〒400-1218 山梨県甲府市御岳町",Unknown,Unknown,"4.5
(13)",Unknown,山頂,35.7976832,137.943582
ゴメ山ゴメ男,4,5 年前,"最初は観音峠から「曲岳」だけ登る予定でしたが、「黒富士登山道入り口」があるのを知り「黒富士」とセットで登りました‼️
11月の🌄快晴の日で360度見渡せ最高の低山ハイクでした‼️
太刀岡山と違い人気が無いのか登山者には二人しか会いませんでした••• …",黒富士,"
〒400-1218 山梨県甲府市御岳町",Unknown,Unknown,"4.5
(13)",Unknown,山頂,35.7976832,137.943582
ゴメ山ゴメ男,4,5 年前,"最初は観音峠から「曲岳」だけ登る予定でしたが、「黒富士登山道入り口」があるのを知り「黒富士」とセットで登りました‼️
11月の🌄快晴の日で360度見渡せ最高の低山ハイクでした‼️
太刀岡山と違い人気が無いのか登山者には二人しか会いませんでした••• …",黒富士,"
〒400-1218 山梨県甲府市御岳町",Unknown,Unknown,"4.5
(13)",Unknown,山頂,35.7976832,137.943582
鴨田昌明,4,3 年前,"2021年11月11日、曲岳～黒富士登山。曲岳登山口6時15分気温2度。
曲岳登山口までの道路は舗装されていますが、途中から狭くなるので注意。あまり下調べせずに曲岳から登るものの、曲岳は急登、岩場、ロープありの険しい山でした。頂上からも急降下なので雨の日は遠慮した方が無難かと。対して黒富士は普通の里山で、こちらは初心者でも十分登れます。曲岳登山口～曲岳～八丁峠～黒富士～八丁峠～黒富士登山口～車道歩きで曲岳登山口までトータル3時間20分程でした(写真の番号①～⑧です)。平日朝6時30分から登りましたが、誰とも会わず静かな山歩きができました。時期的に枯れ葉が多く登山道がわかりづらいのでピンク色のテープを目印にして歩きました。",黒富士,"
〒400-1218 山梨県甲府市御岳町",Unknown,Unknown,"4.5
(13)",Unknown,山頂,35.7976832,137.943582
鴨田昌明,4,3 年前,"2021年11月11日、曲岳～黒富士登山。曲岳登山口6時15分気温2度。
曲岳登山口までの道路は舗装されていますが、途中から狭くなるので注意。あまり下調べせずに曲岳から登るものの、曲岳は急登、岩場、ロープありの険しい山でした。頂上からも急降下なので雨の日は遠慮した方が無難かと。対して黒富士は普通の里山で、こちらは初心者でも十分登れます。曲岳登山口～曲岳～八丁峠～黒富士～八丁峠～黒富士登山口～車道歩きで曲岳登山口までトータル3時間20分程でした(写真の番号①～⑧です)。平日朝6時30分から登りましたが、誰とも会わず静かな山歩きができました。時期的に枯れ葉が多く登山道がわかりづらいのでピンク色のテープを目印にして歩きました。",黒富士,"
〒400-1218 山梨県甲府市御岳町",Unknown,Unknown,"4.5
(13)",Unknown,山頂,35.7976832,137.943582
相模原散策部3,5,3 年前,山梨百名山と甲府名山の標柱が向かい合わせで立ってました。,黒富士,"
〒400-1218 山梨県甲府市御岳町",Unknown,Unknown,"4.5
(13)",Unknown,山頂,35.7976832,137.943582
相模原散策部3,5,3 年前,山梨百名山と甲府名山の標柱が向かい合わせで立ってました。,黒富士,"
〒400-1218 山梨県甲府市御岳町",Unknown,Unknown,"4.5
(13)",Unknown,山頂,35.7976832,137.943582
かいしん,4,2 年前,頂上からの展望はよく有りません。頂上の先に展望の良い場所が有ります。,黒富士,"
〒400-1218 山梨県甲府市御岳町",Unknown,Unknown,"4.5
(13)",Unknown,山頂,35.7976832,137.943582
かいしん,4,2 年前,頂上からの展望はよく有りません。頂上の先に展望の良い場所が有ります。,黒富士,"
〒400-1218 山梨県甲府市御岳町",Unknown,Unknown,"4.5
(13)",Unknown,山頂,35.7976832,137.943582
