Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
国崎住人,5,5 か月前,"駐車場のみ有料となります。駐車場から少し歩くと自然豊かな景色に癒される環境となっています。
水は2か所で汲むことができ、駐車場の受付でもペットボトルが販売されています。
11月中旬に訪問しましたが、少し涼しかったので防寒対策をしてもよかったかな。夏なら涼しくてよかったと思います。
受付の裏には男女別のトイレも設置されています。
駐車場は広いので、混雑の可能性は低いと思われますが、それでも他にも観光で来られている方はチラホラといらっしゃいました。",龍ヶ窪,"
〒949-8204 新潟県中魚沼郡津南町谷内６２１７","
025-765-3115",http://www.town.tsunan.niigata.jp/site/kanko/ryugakubo.html,"4.3
(828)",Unknown,〒949-8204 新潟県中魚沼郡津南町谷内６２１７,36.9750944,138.6295132
国崎住人,5,5 か月前,"駐車場のみ有料となります。駐車場から少し歩くと自然豊かな景色に癒される環境となっています。
水は2か所で汲むことができ、駐車場の受付でもペットボトルが販売されています。
11月中旬に訪問しましたが、少し涼しかったので防寒対策をしてもよかったかな。夏なら涼しくてよかったと思います。
受付の裏には男女別のトイレも設置されています。
駐車場は広いので、混雑の可能性は低いと思われますが、それでも他にも観光で来られている方はチラホラといらっしゃいました。",龍ヶ窪,"
〒949-8204 新潟県中魚沼郡津南町谷内６２１７","
025-765-3115",http://www.town.tsunan.niigata.jp/site/kanko/ryugakubo.html,"4.3
(828)",Unknown,〒949-8204 新潟県中魚沼郡津南町谷内６２１７,36.9750944,138.6295132
grade 9,5,6 か月前,"駐車場はそれなりに台数停められますので問題ないと思いますが、観光ツアーなどで組み込まれているほど有名な場所ですので、そのツアー客と一緒になってしまった場合は厳かな雰囲気の場所が、一転してにぎやかな場所になります。
駐車場料金は管理人さんがいない場合はセルフでポストに入れます。

御朱印などはありませんが、とても雰囲気のよいパワースポットです。",龍ヶ窪,"
〒949-8204 新潟県中魚沼郡津南町谷内６２１７","
025-765-3115",http://www.town.tsunan.niigata.jp/site/kanko/ryugakubo.html,"4.3
(828)",Unknown,〒949-8204 新潟県中魚沼郡津南町谷内６２１７,36.9750944,138.6295132
grade 9,5,6 か月前,"駐車場はそれなりに台数停められますので問題ないと思いますが、観光ツアーなどで組み込まれているほど有名な場所ですので、そのツアー客と一緒になってしまった場合は厳かな雰囲気の場所が、一転してにぎやかな場所になります。
駐車場料金は管理人さんがいない場合はセルフでポストに入れます。

御朱印などはありませんが、とても雰囲気のよいパワースポットです。",龍ヶ窪,"
〒949-8204 新潟県中魚沼郡津南町谷内６２１７","
025-765-3115",http://www.town.tsunan.niigata.jp/site/kanko/ryugakubo.html,"4.3
(828)",Unknown,〒949-8204 新潟県中魚沼郡津南町谷内６２１７,36.9750944,138.6295132
310k mcs,5,7 か月前,"すごく神秘的で静かな雰囲気の場所です✨️
池の水は澄んでいて本当に綺麗でした。
駐車場からの道中に湧き水を汲む場所があるので
是非、空のペットボトルなどを持参して
頂いてみてください♪
池を眺めながら飲むとより一層ありがたい気持ちに
なれること間違いなしです！",龍ヶ窪,"
〒949-8204 新潟県中魚沼郡津南町谷内６２１７","
025-765-3115",http://www.town.tsunan.niigata.jp/site/kanko/ryugakubo.html,"4.3
(828)",Unknown,〒949-8204 新潟県中魚沼郡津南町谷内６２１７,36.9750944,138.6295132
310k mcs,5,7 か月前,"すごく神秘的で静かな雰囲気の場所です✨️
池の水は澄んでいて本当に綺麗でした。
駐車場からの道中に湧き水を汲む場所があるので
是非、空のペットボトルなどを持参して
頂いてみてください♪
池を眺めながら飲むとより一層ありがたい気持ちに
なれること間違いなしです！",龍ヶ窪,"
〒949-8204 新潟県中魚沼郡津南町谷内６２１７","
025-765-3115",http://www.town.tsunan.niigata.jp/site/kanko/ryugakubo.html,"4.3
(828)",Unknown,〒949-8204 新潟県中魚沼郡津南町谷内６２１７,36.9750944,138.6295132
茶々丸,4,8 か月前,"写真のとおり、静かでとても神聖な場所に感じました。
飲める湧き水がありますので、ペットボトルを用意している方もいました。
駐車場は普通車200円です。

犬や猫は、入ることができません。
入り口に看板がありますが、犬を連れている方がいました。
更に、水飲み場にも犬を入れてました。
神聖な場所が、一瞬にして神聖でなくなったような気がしてしまいました。

ので、マイナス1にします。",龍ヶ窪,"
〒949-8204 新潟県中魚沼郡津南町谷内６２１７","
025-765-3115",http://www.town.tsunan.niigata.jp/site/kanko/ryugakubo.html,"4.3
(828)",Unknown,〒949-8204 新潟県中魚沼郡津南町谷内６２１７,36.9750944,138.6295132
茶々丸,4,8 か月前,"写真のとおり、静かでとても神聖な場所に感じました。
飲める湧き水がありますので、ペットボトルを用意している方もいました。
駐車場は普通車200円です。

犬や猫は、入ることができません。
入り口に看板がありますが、犬を連れている方がいました。
更に、水飲み場にも犬を入れてました。
神聖な場所が、一瞬にして神聖でなくなったような気がしてしまいました。

ので、マイナス1にします。",龍ヶ窪,"
〒949-8204 新潟県中魚沼郡津南町谷内６２１７","
025-765-3115",http://www.town.tsunan.niigata.jp/site/kanko/ryugakubo.html,"4.3
(828)",Unknown,〒949-8204 新潟県中魚沼郡津南町谷内６２１７,36.9750944,138.6295132
田中浩和,5,8 か月前,新潟・長野の旅行で、立ち寄りました。６年ぶりに訪れたのですが、天候が不安定で、雨が降ったり止んだりでした。それでも一瞬の晴れ間に、遊歩道を散策しました。前回は晴天で、水面に木々が写し出されて、エメラルドグリーンでした。今回は、雨上がりで水蒸気が発生していて、幻想的な風景になっていました。龍ヶ窪は、日々違った顔見せるので、撮影に訪れる人も少なく無いそうです。,龍ヶ窪,"
〒949-8204 新潟県中魚沼郡津南町谷内６２１７","
025-765-3115",http://www.town.tsunan.niigata.jp/site/kanko/ryugakubo.html,"4.3
(828)",Unknown,〒949-8204 新潟県中魚沼郡津南町谷内６２１７,36.9750944,138.6295132
田中浩和,5,8 か月前,新潟・長野の旅行で、立ち寄りました。６年ぶりに訪れたのですが、天候が不安定で、雨が降ったり止んだりでした。それでも一瞬の晴れ間に、遊歩道を散策しました。前回は晴天で、水面に木々が写し出されて、エメラルドグリーンでした。今回は、雨上がりで水蒸気が発生していて、幻想的な風景になっていました。龍ヶ窪は、日々違った顔見せるので、撮影に訪れる人も少なく無いそうです。,龍ヶ窪,"
〒949-8204 新潟県中魚沼郡津南町谷内６２１７","
025-765-3115",http://www.town.tsunan.niigata.jp/site/kanko/ryugakubo.html,"4.3
(828)",Unknown,〒949-8204 新潟県中魚沼郡津南町谷内６２１７,36.9750944,138.6295132
