Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
H J,5,2 年前,"最初は値段にひかれて行きましたが、
今ではシンプルなスタイルならここが一番！
と思えるようになってきました。
カットしてくれる店長さんと細かい指定をしなくても、
いい感じに仕上げてもらえてます。
カットの指定をあれこれとするのが苦手な自分にはありがたい！
(もちろん細かい要望も聞いてくれると思いますが)

シャンプーカットとカットとトリートメント、縮毛矯正で通ってますが、
どれも納得な出来栄えです。",ＢＥＡＵＴＥｄｅＳａｋｕｒａ,"
〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル","
03-5375-8083",https://x.com/beautedesakura,"4.1
(10)",Unknown,〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル,35.7510293,139.6910508
H J,5,2 年前,"最初は値段にひかれて行きましたが、
今ではシンプルなスタイルならここが一番！
と思えるようになってきました。
カットしてくれる店長さんと細かい指定をしなくても、
いい感じに仕上げてもらえてます。
カットの指定をあれこれとするのが苦手な自分にはありがたい！
(もちろん細かい要望も聞いてくれると思いますが)

シャンプーカットとカットとトリートメント、縮毛矯正で通ってますが、
どれも納得な出来栄えです。",ＢＥＡＵＴＥｄｅＳａｋｕｒａ,"
〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル","
03-5375-8083",https://x.com/beautedesakura,"4.1
(10)",Unknown,〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル,35.7510293,139.6910508
まり,5,2 か月前,"お世話になっております
家族でお世話になっております
いつもありがとうございます😊 …",ＢＥＡＵＴＥｄｅＳａｋｕｒａ,"
〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル","
03-5375-8083",https://x.com/beautedesakura,"4.1
(10)",Unknown,〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル,35.7510293,139.6910508
まり,5,2 か月前,"お世話になっております
家族でお世話になっております
いつもありがとうございます😊 …",ＢＥＡＵＴＥｄｅＳａｋｕｒａ,"
〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル","
03-5375-8083",https://x.com/beautedesakura,"4.1
(10)",Unknown,〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル,35.7510293,139.6910508
あこ,1,6 年前,"毛先カットのみで行きました。
男性の方でしたが美容師免許持ってます？ってくらいの出来映え…。
長さが揃ってなくガタガタでした。
カウンターにいた女性スタッフも目付きが悪く最悪でした。",ＢＥＡＵＴＥｄｅＳａｋｕｒａ,"
〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル","
03-5375-8083",https://x.com/beautedesakura,"4.1
(10)",Unknown,〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル,35.7510293,139.6910508
あこ,1,6 年前,"毛先カットのみで行きました。
男性の方でしたが美容師免許持ってます？ってくらいの出来映え…。
長さが揃ってなくガタガタでした。
カウンターにいた女性スタッフも目付きが悪く最悪でした。",ＢＥＡＵＴＥｄｅＳａｋｕｒａ,"
〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル","
03-5375-8083",https://x.com/beautedesakura,"4.1
(10)",Unknown,〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル,35.7510293,139.6910508
K O,5,6 日前,一生通いたい,ＢＥＡＵＴＥｄｅＳａｋｕｒａ,"
〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル","
03-5375-8083",https://x.com/beautedesakura,"4.1
(10)",Unknown,〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル,35.7510293,139.6910508
K O,5,6 日前,一生通いたい,ＢＥＡＵＴＥｄｅＳａｋｕｒａ,"
〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル","
03-5375-8083",https://x.com/beautedesakura,"4.1
(10)",Unknown,〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル,35.7510293,139.6910508
TORKEN,5,8 年前,安い早いオシャレ！予約いらずだからフラッといける,ＢＥＡＵＴＥｄｅＳａｋｕｒａ,"
〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル","
03-5375-8083",https://x.com/beautedesakura,"4.1
(10)",Unknown,〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル,35.7510293,139.6910508
TORKEN,5,8 年前,安い早いオシャレ！予約いらずだからフラッといける,ＢＥＡＵＴＥｄｅＳａｋｕｒａ,"
〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル","
03-5375-8083",https://x.com/beautedesakura,"4.1
(10)",Unknown,〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル,35.7510293,139.6910508
まあめろぷり,5,6 年前,良いです,ＢＥＡＵＴＥｄｅＳａｋｕｒａ,"
〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル","
03-5375-8083",https://x.com/beautedesakura,"4.1
(10)",Unknown,〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル,35.7510293,139.6910508
まあめろぷり,5,6 年前,良いです,ＢＥＡＵＴＥｄｅＳａｋｕｒａ,"
〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル","
03-5375-8083",https://x.com/beautedesakura,"4.1
(10)",Unknown,〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル,35.7510293,139.6910508
わおん,1,1 年前,     1 年前,ＢＥＡＵＴＥｄｅＳａｋｕｒａ,"
〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル","
03-5375-8083",https://x.com/beautedesakura,"4.1
(10)",Unknown,〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル,35.7510293,139.6910508
わおん,1,1 年前,     1 年前,ＢＥＡＵＴＥｄｅＳａｋｕｒａ,"
〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル","
03-5375-8083",https://x.com/beautedesakura,"4.1
(10)",Unknown,〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル,35.7510293,139.6910508
近慶太,5,2 年前,     2 年前,ＢＥＡＵＴＥｄｅＳａｋｕｒａ,"
〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル","
03-5375-8083",https://x.com/beautedesakura,"4.1
(10)",Unknown,〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル,35.7510293,139.6910508
近慶太,5,2 年前,     2 年前,ＢＥＡＵＴＥｄｅＳａｋｕｒａ,"
〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル","
03-5375-8083",https://x.com/beautedesakura,"4.1
(10)",Unknown,〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル,35.7510293,139.6910508
Amano Hidemi,4,6 年前,      6 年前,ＢＥＡＵＴＥｄｅＳａｋｕｒａ,"
〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル","
03-5375-8083",https://x.com/beautedesakura,"4.1
(10)",Unknown,〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル,35.7510293,139.6910508
Amano Hidemi,4,6 年前,      6 年前,ＢＥＡＵＴＥｄｅＳａｋｕｒａ,"
〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル","
03-5375-8083",https://x.com/beautedesakura,"4.1
(10)",Unknown,〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル,35.7510293,139.6910508
たなべあすか,5,9 年前,      9 年前,ＢＥＡＵＴＥｄｅＳａｋｕｒａ,"
〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル","
03-5375-8083",https://x.com/beautedesakura,"4.1
(10)",Unknown,〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル,35.7510293,139.6910508
たなべあすか,5,9 年前,      9 年前,ＢＥＡＵＴＥｄｅＳａｋｕｒａ,"
〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル","
03-5375-8083",https://x.com/beautedesakura,"4.1
(10)",Unknown,〒173-0004 東京都板橋区板橋２丁目６１−１５ 旭ビル,35.7510293,139.6910508
