Prefecture,Category,Place,Location
niigata,Selection of best 100 beach,Senami beach,
niigata,Selection of best 100 beach,Futatsukame beach,
niigata,Selection of best 100 beach,Banjin Nishibanjin beache,
niigata,the 100 LocalLine of Japan,JR Oito Line,
niigata,the 100 LocalLine of Japan,JR Banetsusai Line,
niigata,the 100 LocalLine of Japan,JR Yonesaka Line,
niigata,the 100 LocalLine of Japan,JR Joetsu Line,
niigata,New Flower Mountains 100,Hokushingogaku,
niigata,New Flower Mountains 100,Komatsubarashitugen,
niigata,New Flower Mountains 100,Hiragadake,
niigata,New Flower Mountains 100,Sumondake,
niigata,New Flower Mountains 100,Asakusadake,
niigata,New Flower Mountains 100,Higurayama,
niigata,New Flower Mountains 100,Kakudayama,
niigata,New Flower Mountains 100,Kinpokusan,
niigata,The 100 New Japan Travel Destinations,Oze,
niigata,Japan Top 100 Sakura Viewing Sites,Ookozu Watershed,Tsubame-shi Niigata
niigata,Japan Top 100 Sakura Viewing Sites,Takada Park,Joetsu-shi Niigata
niigata,Japan Top 100 Sakura Viewing Sites,Muramatsu Park,Gosen-shi Niigata
niigata,Japan Sunset Best 100,Aikawa-machi,
niigata,Geology 100 selections of Japan,Sado gold mine,
niigata,Geology 100 selections of Japan,Sado Ogikaigan,
niigata,Geology 100 selections of Japan,Niitsu oil field,
niigata,Geology 100 selections of Japan,Itoigawa - Shizuoka Tectonic Line ( Itoigawa ),
niigata,Geology 100 selections of Japan,Kotaki jade Gorges,
niigata,The best 100th of Public Building,Fukitani Koji Memorial . Shibata,
niigata,The best 100th of Public Building,Niigata .,
niigata,the 100 Japanese hot springs,Echigoyuzawa Onsen,
niigata,the 100 Japanese hot springs,Matsunoyama Onsen,
niigata,100 Japanese bridge,Bandai bridge,"Bandai, Niigata, Niigata"
niigata,100 Japanese bridge,Naoetsu bridge,"Kasugashinden, Joetsu City, Niigata"
niigata,100 famous Pass in Japan,Torii pass .,
niigata,100 selections of Beautiful Japanese Village Landscape,Ketto,Niigata Tsunan
niigata,100 selections of Beautiful Japanese Village Landscape,Oginoshima,Niigata Takayanagi
niigata,100 selections of Beautiful Japanese Village Landscape,Natsui,Niigata Iwamuro
niigata,Japanese city park best 100,Ijimino park,"Shibata City, Niigata Prefecture"
niigata,Japanese city park best 100,Hakusan park,"Niigata, Niigata Prefecture"
niigata,Japanese city park best 100,Yukyuzan park,"Nagaoka, Niigata Prefecture"
niigata,the 100 Best Rice Terraces in Japan,Kamifunakura Rice terraces,Niigata Yasuzuka
niigata,the 100 Best Rice Terraces in Japan,Kitsunezuka Rice terraces,Niigata Matsunoyama
niigata,the 100 Best Rice Terraces in Japan,Hasuno Rice terraces,Niigata Oshima
niigata,the 100 Best Rice Terraces in Japan,Hanazaka Rice terraces,Niigata Takayanagi
niigata,the 100 Best Rice Terraces in Japan,Nashinokiida Rice terraces,Niigata Takayanagi
niigata,the 100 Best Rice Terraces in Japan,Oobiraki Rice terraces,Niigata Takayanagi
niigata,the 100 Best Rice Terraces in Japan,Kitaimogawa Rice terraces,Niigata Shimoda
niigata,The 100 elections of the waterfall in Japan,Suzuga Falls,"Asahi village Iwafune-gun, Niigata"
niigata,The 100 elections of the waterfall in Japan,Naena Falls,"Myoko, Niigata"
niigata,The 100 elections of the waterfall in Japan,Sou Falls,"Myoko, Niigata"
niigata,Hometown Rice Ball Onigiri Top 100,Chimaki,Niigata Iwafune Yamakita
niigata,Hometown Rice Ball Onigiri Top 100,Kensayaki,"Niigata Nishikanbara county ally , Katahigashi"
niigata,Hometown Rice Ball Onigiri Top 100,Sasa Zushi ( Warajizushi ),Niigata Joetsu
niigata,Top 100 Dam Lake,Okutadamiko ( Ginzan lake ) - Okutadami Dam,Niigata Uonuma
niigata,Top 100 Famous Water,Ryugakubo Water,Niigata Nakauonuma Tsunan
niigata,Top 100 Famous Water,Todonomori spring water,Niigata Nagaoka Nishinakanomata
