Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
青森LOVER,4,2 年前,合浦公園内にある伝統ある野球場です。戦後まもなく、プロ野球で初めての完全試合がありました。海の近くはあり、とても自然環境良いところにあります。公園は憩いの場になっています。,ダイシンベースボールスタジアム（青森市営野球場）,"
〒030-0902 青森県青森市合浦２丁目１４−５３ 公園内","
017-744-7755",https://sports-aomori.jp/ballpark/,"3.8
(102)",営業時間を追加,〒030-0902 青森県青森市合浦２丁目１４−５３ 公園内,40.8301251,140.7791627
青森LOVER,4,2 年前,合浦公園内にある伝統ある野球場です。戦後まもなく、プロ野球で初めての完全試合がありました。海の近くはあり、とても自然環境良いところにあります。公園は憩いの場になっています。,ダイシンベースボールスタジアム（青森市営野球場）,"
〒030-0902 青森県青森市合浦２丁目１４−５３ 公園内","
017-744-7755",https://sports-aomori.jp/ballpark/,"3.8
(102)",営業時間を追加,〒030-0902 青森県青森市合浦２丁目１４−５３ 公園内,40.8301251,140.7791627
ノリユキ,4,5 年前,"青森の小中高校野球の試合会場と言えばここ！。またたまに社会人の草野球とかもやっている。電工掲示板とウグイス嬢のアナウンスがあるのは本格的で良いと思う。
この球場では昔プロ野球の1軍の試合をしていた様で入口に石碑もあるが、今はせいぜい2軍試合が年に一度来るか来ないかレベル。球場&スタンドが共に狭いせいであろう。そこら辺は弘前の「遥か夢球場」に一歩負けていると言える。
2018年6月23・24日に青森山田VS作新学院と盛岡大付属との招待試合が行われて盛り上がりを見せていました(入場料無料)",ダイシンベースボールスタジアム（青森市営野球場）,"
〒030-0902 青森県青森市合浦２丁目１４−５３ 公園内","
017-744-7755",https://sports-aomori.jp/ballpark/,"3.8
(102)",営業時間を追加,〒030-0902 青森県青森市合浦２丁目１４−５３ 公園内,40.8301251,140.7791627
ノリユキ,4,5 年前,"青森の小中高校野球の試合会場と言えばここ！。またたまに社会人の草野球とかもやっている。電工掲示板とウグイス嬢のアナウンスがあるのは本格的で良いと思う。
この球場では昔プロ野球の1軍の試合をしていた様で入口に石碑もあるが、今はせいぜい2軍試合が年に一度来るか来ないかレベル。球場&スタンドが共に狭いせいであろう。そこら辺は弘前の「遥か夢球場」に一歩負けていると言える。
2018年6月23・24日に青森山田VS作新学院と盛岡大付属との招待試合が行われて盛り上がりを見せていました(入場料無料)",ダイシンベースボールスタジアム（青森市営野球場）,"
〒030-0902 青森県青森市合浦２丁目１４−５３ 公園内","
017-744-7755",https://sports-aomori.jp/ballpark/,"3.8
(102)",営業時間を追加,〒030-0902 青森県青森市合浦２丁目１４−５３ 公園内,40.8301251,140.7791627
佐々木優子,3,4 年前,スタジアムにスピードガンをつけてください。弘前はるか、八戸長根は付いてます。なぜ、この青森市の球場は付けないのか毎年怒り心頭　　魅力にかける青森市,ダイシンベースボールスタジアム（青森市営野球場）,"
〒030-0902 青森県青森市合浦２丁目１４−５３ 公園内","
017-744-7755",https://sports-aomori.jp/ballpark/,"3.8
(102)",営業時間を追加,〒030-0902 青森県青森市合浦２丁目１４−５３ 公園内,40.8301251,140.7791627
佐々木優子,3,4 年前,スタジアムにスピードガンをつけてください。弘前はるか、八戸長根は付いてます。なぜ、この青森市の球場は付けないのか毎年怒り心頭　　魅力にかける青森市,ダイシンベースボールスタジアム（青森市営野球場）,"
〒030-0902 青森県青森市合浦２丁目１４−５３ 公園内","
017-744-7755",https://sports-aomori.jp/ballpark/,"3.8
(102)",営業時間を追加,〒030-0902 青森県青森市合浦２丁目１４−５３ 公園内,40.8301251,140.7791627
OSSAN,4,5 年前,この球場が出来たのが、2000年だからもう19年もたったんだね❗傷みもあるけど、フィールドの状態は良いと思います‼️,ダイシンベースボールスタジアム（青森市営野球場）,"
〒030-0902 青森県青森市合浦２丁目１４−５３ 公園内","
017-744-7755",https://sports-aomori.jp/ballpark/,"3.8
(102)",営業時間を追加,〒030-0902 青森県青森市合浦２丁目１４−５３ 公園内,40.8301251,140.7791627
OSSAN,4,5 年前,この球場が出来たのが、2000年だからもう19年もたったんだね❗傷みもあるけど、フィールドの状態は良いと思います‼️,ダイシンベースボールスタジアム（青森市営野球場）,"
〒030-0902 青森県青森市合浦２丁目１４−５３ 公園内","
017-744-7755",https://sports-aomori.jp/ballpark/,"3.8
(102)",営業時間を追加,〒030-0902 青森県青森市合浦２丁目１４−５３ 公園内,40.8301251,140.7791627
佐久間裕也,4,5 年前,"青森市内中心に位置する合浦公園にある球場。
名勝負を、たくさんみられる場所。",ダイシンベースボールスタジアム（青森市営野球場）,"
〒030-0902 青森県青森市合浦２丁目１４−５３ 公園内","
017-744-7755",https://sports-aomori.jp/ballpark/,"3.8
(102)",営業時間を追加,〒030-0902 青森県青森市合浦２丁目１４−５３ 公園内,40.8301251,140.7791627
佐久間裕也,4,5 年前,"青森市内中心に位置する合浦公園にある球場。
名勝負を、たくさんみられる場所。",ダイシンベースボールスタジアム（青森市営野球場）,"
〒030-0902 青森県青森市合浦２丁目１４−５３ 公園内","
017-744-7755",https://sports-aomori.jp/ballpark/,"3.8
(102)",営業時間を追加,〒030-0902 青森県青森市合浦２丁目１４−５３ 公園内,40.8301251,140.7791627
