Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
name no,5,2 週間前,"大分遅くなってしまいましたが(書いた気もするけど歴に無かったから書きます！)、火起こし薪割り体験してきました。(24/12/7)

先ずは大満足です！
全てはスタッフさんが良すぎたからです！
体験だけなら満足w素敵すぎるスタッフさんで大大大満足！になりました！！！

いつもは何かと辛口の家族も良い言葉しかでてきませんでした(^^)

いこーよだったかな？と思います。
たまたま広告で見てちょ〜ッと遠いけど即決しました。正直期待はあまりしてませんでした。

が！それらをものともしないHappyな時間が待っていました！

着いてから受付に行き、時間まで待ってました。軍手は事前に準備してましたが、子供のだけは現地調達しよーということで事前に色をチェックしてましたが欲しい色は在庫切れでしたが、可愛らしいDesignだったので問題なし！
受付の男性の方も丁寧に案内してくれて好印象(*^^*)

アスレチックの方は外から眺めるだけでしたが、凄く面白そうでした。是非チャレンジに行きたいねと子供と話してます。
記念写真撮ったりなんかして時間潰して、
いよいよ時間が来て、火起こし、薪割り体験へ！

解かり易い！丁寧な説明と自己紹介があって、早速家族に分かれて準備していきます。
薪集め→火おこしと続いて行きますが、ここでも丁寧解り易く、お〜…という流石な感じのデモンストレーションも魅せてくれます。

火おこしは3種類やりました。
我が家族は全くの初めてでしたが根気強く見守ってくれて、子供にも優しくアドバイスくれたりフォローしてくれたりととても子供が楽しんでやれる空間を作ってくれました。
トークも上手で、途中薪の違いも教えてくれました！子供はそれを宿題として提出してましたw

あとは全体をしっかり見てくれていて、私は時間的にやらないいようにした火おこしの一つをやってないですよね？って声かけてくれて、無事やり遂げました(笑)

全てに満たされた気分の中で心地良く、ティータイムの焼きマシュマロも楽しく、心に残る時間になりました。焼きマシュマロは〇〇に挟むと格段に美味しいのも教わりました☆

未だ試験段階のイベントとのことでしたが、またいつでもやって欲しいなと思いました。
今度はお友達家族も連れて行きますw

今度お世話になったスタッフさんみ〜〜んな素適過ぎました！

会社さんは是非逃さないようにしてくださいね(*´ω｀*)",フォレストアドベンチャー・千葉,"
〒265-0053 千葉県千葉市若葉区野呂町１０８ 内 泉自然公園","
090-5535-1230",https://fa-chiba.foret-aventure.jp/,"4.2
(224)",Unknown,〒265-0053 千葉県千葉市若葉区野呂町１０８ 内 泉自然公園,35.5778517,140.2273444
name no,5,2 週間前,"大分遅くなってしまいましたが(書いた気もするけど歴に無かったから書きます！)、火起こし薪割り体験してきました。(24/12/7)

先ずは大満足です！
全てはスタッフさんが良すぎたからです！
体験だけなら満足w素敵すぎるスタッフさんで大大大満足！になりました！！！

いつもは何かと辛口の家族も良い言葉しかでてきませんでした(^^)

いこーよだったかな？と思います。
たまたま広告で見てちょ〜ッと遠いけど即決しました。正直期待はあまりしてませんでした。

が！それらをものともしないHappyな時間が待っていました！

着いてから受付に行き、時間まで待ってました。軍手は事前に準備してましたが、子供のだけは現地調達しよーということで事前に色をチェックしてましたが欲しい色は在庫切れでしたが、可愛らしいDesignだったので問題なし！
受付の男性の方も丁寧に案内してくれて好印象(*^^*)

アスレチックの方は外から眺めるだけでしたが、凄く面白そうでした。是非チャレンジに行きたいねと子供と話してます。
記念写真撮ったりなんかして時間潰して、
いよいよ時間が来て、火起こし、薪割り体験へ！

解かり易い！丁寧な説明と自己紹介があって、早速家族に分かれて準備していきます。
薪集め→火おこしと続いて行きますが、ここでも丁寧解り易く、お〜…という流石な感じのデモンストレーションも魅せてくれます。

火おこしは3種類やりました。
我が家族は全くの初めてでしたが根気強く見守ってくれて、子供にも優しくアドバイスくれたりフォローしてくれたりととても子供が楽しんでやれる空間を作ってくれました。
トークも上手で、途中薪の違いも教えてくれました！子供はそれを宿題として提出してましたw

あとは全体をしっかり見てくれていて、私は時間的にやらないいようにした火おこしの一つをやってないですよね？って声かけてくれて、無事やり遂げました(笑)

全てに満たされた気分の中で心地良く、ティータイムの焼きマシュマロも楽しく、心に残る時間になりました。焼きマシュマロは〇〇に挟むと格段に美味しいのも教わりました☆

未だ試験段階のイベントとのことでしたが、またいつでもやって欲しいなと思いました。
今度はお友達家族も連れて行きますw

今度お世話になったスタッフさんみ〜〜んな素適過ぎました！

会社さんは是非逃さないようにしてくださいね(*´ω｀*)",フォレストアドベンチャー・千葉,"
〒265-0053 千葉県千葉市若葉区野呂町１０８ 内 泉自然公園","
090-5535-1230",https://fa-chiba.foret-aventure.jp/,"4.2
(224)",Unknown,〒265-0053 千葉県千葉市若葉区野呂町１０８ 内 泉自然公園,35.5778517,140.2273444
Piyo Piyo,5,1 か月前,"とても楽しかったです！

スタッフの皆さん、みんな優しく子ども達が楽しめるよう励まして下さり、親子で大満足な１日でした。

110cmちょっとの幼児も、キャノピーコースを満喫できました。

また挑戦したいと思います！ありがとうございました！",フォレストアドベンチャー・千葉,"
〒265-0053 千葉県千葉市若葉区野呂町１０８ 内 泉自然公園","
090-5535-1230",https://fa-chiba.foret-aventure.jp/,"4.2
(224)",Unknown,〒265-0053 千葉県千葉市若葉区野呂町１０８ 内 泉自然公園,35.5778517,140.2273444
Piyo Piyo,5,1 か月前,"とても楽しかったです！

スタッフの皆さん、みんな優しく子ども達が楽しめるよう励まして下さり、親子で大満足な１日でした。

110cmちょっとの幼児も、キャノピーコースを満喫できました。

また挑戦したいと思います！ありがとうございました！",フォレストアドベンチャー・千葉,"
〒265-0053 千葉県千葉市若葉区野呂町１０８ 内 泉自然公園","
090-5535-1230",https://fa-chiba.foret-aventure.jp/,"4.2
(224)",Unknown,〒265-0053 千葉県千葉市若葉区野呂町１０８ 内 泉自然公園,35.5778517,140.2273444
capybara onsen,5,1 か月前,"お店の方も親切で、人も少なくて快適でした！
アドベンチャーコースにしましたが、ジップラインが結構多くて楽しかったです。
大人であれば1時間10分前後で全てのコースをクリアできるかなぁと思います。

あと、公園の駐車場代として400円かかりますので注意してください。",フォレストアドベンチャー・千葉,"
〒265-0053 千葉県千葉市若葉区野呂町１０８ 内 泉自然公園","
090-5535-1230",https://fa-chiba.foret-aventure.jp/,"4.2
(224)",Unknown,〒265-0053 千葉県千葉市若葉区野呂町１０８ 内 泉自然公園,35.5778517,140.2273444
capybara onsen,5,1 か月前,"お店の方も親切で、人も少なくて快適でした！
アドベンチャーコースにしましたが、ジップラインが結構多くて楽しかったです。
大人であれば1時間10分前後で全てのコースをクリアできるかなぁと思います。

あと、公園の駐車場代として400円かかりますので注意してください。",フォレストアドベンチャー・千葉,"
〒265-0053 千葉県千葉市若葉区野呂町１０８ 内 泉自然公園","
090-5535-1230",https://fa-chiba.foret-aventure.jp/,"4.2
(224)",Unknown,〒265-0053 千葉県千葉市若葉区野呂町１０８ 内 泉自然公園,35.5778517,140.2273444
るるらら,4,2 週間前,"フォレストアドベンチャー大好きです。…が、花見の時期はお勧めしません。泉自然公園駐車場がキャパオーバーで、駐車場に入るために待つところもありません。何も言わないと、警備員さんに時間を置いて再度来てください！と言われ先に行くように言われてしまいます。予約がある、と言うと待ち列に入れてもらえることもありますが、最初はそんな宣言が必要、と知らないので。
結果１時間遅れのスタートで、空いていた枠だったのに、15人と一緒にやることになりました。花見の時期の対策を望みます。",フォレストアドベンチャー・千葉,"
〒265-0053 千葉県千葉市若葉区野呂町１０８ 内 泉自然公園","
090-5535-1230",https://fa-chiba.foret-aventure.jp/,"4.2
(224)",Unknown,〒265-0053 千葉県千葉市若葉区野呂町１０８ 内 泉自然公園,35.5778517,140.2273444
るるらら,4,2 週間前,"フォレストアドベンチャー大好きです。…が、花見の時期はお勧めしません。泉自然公園駐車場がキャパオーバーで、駐車場に入るために待つところもありません。何も言わないと、警備員さんに時間を置いて再度来てください！と言われ先に行くように言われてしまいます。予約がある、と言うと待ち列に入れてもらえることもありますが、最初はそんな宣言が必要、と知らないので。
結果１時間遅れのスタートで、空いていた枠だったのに、15人と一緒にやることになりました。花見の時期の対策を望みます。",フォレストアドベンチャー・千葉,"
〒265-0053 千葉県千葉市若葉区野呂町１０８ 内 泉自然公園","
090-5535-1230",https://fa-chiba.foret-aventure.jp/,"4.2
(224)",Unknown,〒265-0053 千葉県千葉市若葉区野呂町１０８ 内 泉自然公園,35.5778517,140.2273444
U Ru,5,1 か月前,"友人4人でアドベンチャーコースを利用しました。
とても楽しかったです！
アスレチック自体も楽しかったのですが、何よりスタッフさんの対応が良かったです！

当日は渋滞の関係で時間ギリギリになってしまいましたが、遅れそうな旨を電話で伝えた際も丁寧に対応していただけましたし、アスレチックで遊ぶ前の練習コースでも分かりやすく、そして細かくレクチャーしてくださり安心感もありました。
コースを楽しんでいる間も、目の届く距離で常にスタッフさんがそっと見守ってくれています。

アドベンチャーコースも、安全装置を付けているので高所でも恐怖を感じることなく楽しめました。
バランス系なので、普段運動しない大人でも小学生くらいの子供でも体力に余裕のある状態でクリアできます。

ただ、ジップラインの着地は転がる前提だと考えて、貸し出してくれているツナギを着用するのがオススメです！着てなかったら洋服がドロドロになるのを覚悟したほうがいいですね…🤣

また行きたいと思える施設でした。
友人にも勧めます！
ありがとうございました〜！",フォレストアドベンチャー・千葉,"
〒265-0053 千葉県千葉市若葉区野呂町１０８ 内 泉自然公園","
090-5535-1230",https://fa-chiba.foret-aventure.jp/,"4.2
(224)",Unknown,〒265-0053 千葉県千葉市若葉区野呂町１０８ 内 泉自然公園,35.5778517,140.2273444
U Ru,5,1 か月前,"友人4人でアドベンチャーコースを利用しました。
とても楽しかったです！
アスレチック自体も楽しかったのですが、何よりスタッフさんの対応が良かったです！

当日は渋滞の関係で時間ギリギリになってしまいましたが、遅れそうな旨を電話で伝えた際も丁寧に対応していただけましたし、アスレチックで遊ぶ前の練習コースでも分かりやすく、そして細かくレクチャーしてくださり安心感もありました。
コースを楽しんでいる間も、目の届く距離で常にスタッフさんがそっと見守ってくれています。

アドベンチャーコースも、安全装置を付けているので高所でも恐怖を感じることなく楽しめました。
バランス系なので、普段運動しない大人でも小学生くらいの子供でも体力に余裕のある状態でクリアできます。

ただ、ジップラインの着地は転がる前提だと考えて、貸し出してくれているツナギを着用するのがオススメです！着てなかったら洋服がドロドロになるのを覚悟したほうがいいですね…🤣

また行きたいと思える施設でした。
友人にも勧めます！
ありがとうございました〜！",フォレストアドベンチャー・千葉,"
〒265-0053 千葉県千葉市若葉区野呂町１０８ 内 泉自然公園","
090-5535-1230",https://fa-chiba.foret-aventure.jp/,"4.2
(224)",Unknown,〒265-0053 千葉県千葉市若葉区野呂町１０８ 内 泉自然公園,35.5778517,140.2273444
