Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
みー,5,1 か月前,"最近の訪問では、お魚メインのランチをいただきました。前菜、サラダ、メイン、パン、デザート、コーヒー。サラダがすごいボリュームでとても満足なランチでした。2回目は前回当日に行って食べられなかったので、今回は予約してクイックランチをいただきました。
ワンプレートのサラダ、メイン、スープにパン、スイーツ、コーヒーのセットでした。 …",ミクニ マルノウチ,"
〒100-6902 東京都千代田区丸の内２丁目６−１ ブリックスクエア アネックス（別館 2階","
03-5220-3921",http://www.mikuni-marunouchi.jp/,"4.1
(247)",Unknown,〒100-6902 東京都千代田区丸の内２丁目６−１ ブリックスクエア アネックス（別館 2階,35.9454278,137.9622681
みー,5,1 か月前,"最近の訪問では、お魚メインのランチをいただきました。前菜、サラダ、メイン、パン、デザート、コーヒー。サラダがすごいボリュームでとても満足なランチでした。2回目は前回当日に行って食べられなかったので、今回は予約してクイックランチをいただきました。
ワンプレートのサラダ、メイン、スープにパン、スイーツ、コーヒーのセットでした。 …",ミクニ マルノウチ,"
〒100-6902 東京都千代田区丸の内２丁目６−１ ブリックスクエア アネックス（別館 2階","
03-5220-3921",http://www.mikuni-marunouchi.jp/,"4.1
(247)",Unknown,〒100-6902 東京都千代田区丸の内２丁目６−１ ブリックスクエア アネックス（別館 2階,35.9454278,137.9622681
うなぎ犬,5,4 週間前,"気軽に行けるカジュアルフレンチ！

お魚とお肉のフルコース＋ペアリング３杯のコースを予約し、ランチで伺いました。 …",ミクニ マルノウチ,"
〒100-6902 東京都千代田区丸の内２丁目６−１ ブリックスクエア アネックス（別館 2階","
03-5220-3921",http://www.mikuni-marunouchi.jp/,"4.1
(247)",Unknown,〒100-6902 東京都千代田区丸の内２丁目６−１ ブリックスクエア アネックス（別館 2階,35.9454278,137.9622681
うなぎ犬,5,4 週間前,"気軽に行けるカジュアルフレンチ！

お魚とお肉のフルコース＋ペアリング３杯のコースを予約し、ランチで伺いました。 …",ミクニ マルノウチ,"
〒100-6902 東京都千代田区丸の内２丁目６−１ ブリックスクエア アネックス（別館 2階","
03-5220-3921",http://www.mikuni-marunouchi.jp/,"4.1
(247)",Unknown,〒100-6902 東京都千代田区丸の内２丁目６−１ ブリックスクエア アネックス（別館 2階,35.9454278,137.9622681
やる気、元気、食べ物“おいちいもの通信”良質なものに吸い寄せられる今日この頃,5,3 週間前,"ディナーで利用しました。
春のコースは、旬の食材を使った料理でとても美味しかったです。 …",ミクニ マルノウチ,"
〒100-6902 東京都千代田区丸の内２丁目６−１ ブリックスクエア アネックス（別館 2階","
03-5220-3921",http://www.mikuni-marunouchi.jp/,"4.1
(247)",Unknown,〒100-6902 東京都千代田区丸の内２丁目６−１ ブリックスクエア アネックス（別館 2階,35.9454278,137.9622681
やる気、元気、食べ物“おいちいもの通信”良質なものに吸い寄せられる今日この頃,5,3 週間前,"ディナーで利用しました。
春のコースは、旬の食材を使った料理でとても美味しかったです。 …",ミクニ マルノウチ,"
〒100-6902 東京都千代田区丸の内２丁目６−１ ブリックスクエア アネックス（別館 2階","
03-5220-3921",http://www.mikuni-marunouchi.jp/,"4.1
(247)",Unknown,〒100-6902 東京都千代田区丸の内２丁目６−１ ブリックスクエア アネックス（別館 2階,35.9454278,137.9622681
Co-a,5,6 か月前,"ドレスコードはありますが、スマートカジュアルを守ったうえで、私も友人もスニーカーでランチに♪♪

とても高級感のある接客で、お料理の説明とか聞き惚れてしまいます。 …",ミクニ マルノウチ,"
〒100-6902 東京都千代田区丸の内２丁目６−１ ブリックスクエア アネックス（別館 2階","
03-5220-3921",http://www.mikuni-marunouchi.jp/,"4.1
(247)",Unknown,〒100-6902 東京都千代田区丸の内２丁目６−１ ブリックスクエア アネックス（別館 2階,35.9454278,137.9622681
Co-a,5,6 か月前,"ドレスコードはありますが、スマートカジュアルを守ったうえで、私も友人もスニーカーでランチに♪♪

とても高級感のある接客で、お料理の説明とか聞き惚れてしまいます。 …",ミクニ マルノウチ,"
〒100-6902 東京都千代田区丸の内２丁目６−１ ブリックスクエア アネックス（別館 2階","
03-5220-3921",http://www.mikuni-marunouchi.jp/,"4.1
(247)",Unknown,〒100-6902 東京都千代田区丸の内２丁目６−１ ブリックスクエア アネックス（別館 2階,35.9454278,137.9622681
Y K,4,8 か月前,落ち着いていて、胡蝶蘭が飾ってあったりと会食やデートに最適。食事も美味しいです。ワインのペアリングもしてくれましたが、聞かないと銘柄の説明をしてくれなかったです。あまり詳しく無かったです。全体的な感想としては、お勧めです。,ミクニ マルノウチ,"
〒100-6902 東京都千代田区丸の内２丁目６−１ ブリックスクエア アネックス（別館 2階","
03-5220-3921",http://www.mikuni-marunouchi.jp/,"4.1
(247)",Unknown,〒100-6902 東京都千代田区丸の内２丁目６−１ ブリックスクエア アネックス（別館 2階,35.9454278,137.9622681
Y K,4,8 か月前,落ち着いていて、胡蝶蘭が飾ってあったりと会食やデートに最適。食事も美味しいです。ワインのペアリングもしてくれましたが、聞かないと銘柄の説明をしてくれなかったです。あまり詳しく無かったです。全体的な感想としては、お勧めです。,ミクニ マルノウチ,"
〒100-6902 東京都千代田区丸の内２丁目６−１ ブリックスクエア アネックス（別館 2階","
03-5220-3921",http://www.mikuni-marunouchi.jp/,"4.1
(247)",Unknown,〒100-6902 東京都千代田区丸の内２丁目６−１ ブリックスクエア アネックス（別館 2階,35.9454278,137.9622681
