Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
kn,5,3 週間前,"20代後半で異業種未経験からIT業界への転職を目指して利用しました。利用させて頂いてよかったです。
初回面談ではしっかり90分間、転職の軸やこれまでの経験について深堀って頂きました。書類の添削や推薦状も、今まで利用したエージェントの中で一番細やかで、安心して選考に進むことが出来ました。面接練習の時間も、出来具合によって納得いくまで時間をかけて下さったことがとても有り難かった。包み隠さず、正直な意見やフィードバックをもらえたところが信頼出来ました。また、連絡のレスポンスが早く、最短で就活を進められたところも満足です。転職のイロハから教えて頂けるし、未経験の職種でも、きちんと業界知識を兼ね備えた方にサポートしてもらえると思います。初めて転職される方や20代にはお勧めです。",㈱UZUZ,"
〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階","
03-5333-0802",http://uzuz.jp/,"4.5
(463)",Unknown,〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階,35.6336389,139.6690353
kn,5,3 週間前,"20代後半で異業種未経験からIT業界への転職を目指して利用しました。利用させて頂いてよかったです。
初回面談ではしっかり90分間、転職の軸やこれまでの経験について深堀って頂きました。書類の添削や推薦状も、今まで利用したエージェントの中で一番細やかで、安心して選考に進むことが出来ました。面接練習の時間も、出来具合によって納得いくまで時間をかけて下さったことがとても有り難かった。包み隠さず、正直な意見やフィードバックをもらえたところが信頼出来ました。また、連絡のレスポンスが早く、最短で就活を進められたところも満足です。転職のイロハから教えて頂けるし、未経験の職種でも、きちんと業界知識を兼ね備えた方にサポートしてもらえると思います。初めて転職される方や20代にはお勧めです。",㈱UZUZ,"
〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階","
03-5333-0802",http://uzuz.jp/,"4.5
(463)",Unknown,〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階,35.6336389,139.6690353
しおり,5,1 週間前,"とにかく利用者に寄り添い、手厚いサポートをしてくださるエージェントさんでした。

担当してくださった前田様はとても話しやすく、接するうちに自分もこうありたいと感じさせてくれるようなお人柄でした。

初回の面談から内定獲得まで本当に親身に寄り添い続けてくださり、1人で就職活動を行っていた時には見えてこなかったような気付きもたくさんありました。

また、些細なことでも逐一ヒアリングをしてくださったので、企業の志望度や不安な点も包み隠さず本音でお伝えすることができました。

約2週間という短い期間でしたが、前田様のおかげでとても充実した濃い期間になったと思っております。

UZUZさんを利用して本当に良かったです。感謝が尽きません。この度はありがとうございました！

前田様にいただいた言葉やアドバイスを胸に、新しい環境で成長していけるように頑張ります！",㈱UZUZ,"
〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階","
03-5333-0802",http://uzuz.jp/,"4.5
(463)",Unknown,〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階,35.6336389,139.6690353
しおり,5,1 週間前,"とにかく利用者に寄り添い、手厚いサポートをしてくださるエージェントさんでした。

担当してくださった前田様はとても話しやすく、接するうちに自分もこうありたいと感じさせてくれるようなお人柄でした。

初回の面談から内定獲得まで本当に親身に寄り添い続けてくださり、1人で就職活動を行っていた時には見えてこなかったような気付きもたくさんありました。

また、些細なことでも逐一ヒアリングをしてくださったので、企業の志望度や不安な点も包み隠さず本音でお伝えすることができました。

約2週間という短い期間でしたが、前田様のおかげでとても充実した濃い期間になったと思っております。

UZUZさんを利用して本当に良かったです。感謝が尽きません。この度はありがとうございました！

前田様にいただいた言葉やアドバイスを胸に、新しい環境で成長していけるように頑張ります！",㈱UZUZ,"
〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階","
03-5333-0802",http://uzuz.jp/,"4.5
(463)",Unknown,〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階,35.6336389,139.6690353
ああ,5,3 週間前,"栗原さんに担当していただきました。
初めて利用したのですが、最初は転職活動での軸や仕事に対する優先順位が明確になっていなかったのですが、親身に迅速に対応していただけて複数の面談を重ねる事にやる気と明確な軸を見つけることができました。ただ流れ作業のように面談をするのではなく、しっかりと今後の人生の為に必要な情報を教えていただきました。今回ご縁があり無事に転職活動を終えることができましたが、またキャリアアップを考えた時の転職活動の際にお世話になりたいと思います。短い間でしたがとても手厚いサポートをしていただきありがとうございました。",㈱UZUZ,"
〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階","
03-5333-0802",http://uzuz.jp/,"4.5
(463)",Unknown,〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階,35.6336389,139.6690353
ああ,5,3 週間前,"栗原さんに担当していただきました。
初めて利用したのですが、最初は転職活動での軸や仕事に対する優先順位が明確になっていなかったのですが、親身に迅速に対応していただけて複数の面談を重ねる事にやる気と明確な軸を見つけることができました。ただ流れ作業のように面談をするのではなく、しっかりと今後の人生の為に必要な情報を教えていただきました。今回ご縁があり無事に転職活動を終えることができましたが、またキャリアアップを考えた時の転職活動の際にお世話になりたいと思います。短い間でしたがとても手厚いサポートをしていただきありがとうございました。",㈱UZUZ,"
〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階","
03-5333-0802",http://uzuz.jp/,"4.5
(463)",Unknown,〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階,35.6336389,139.6690353
Ellie,5,1 週間前,"堂下さんに担当して頂き、大変お世話になりました。4年通った大学を中退しての転職活動で、どの業界に進むかも定まっていない状況でしたが、無事志望していた企業様から内定を頂くことができました。

自分はこだわりが強いものの、上手く言葉に表せず曖昧なビジョンを持っていましたが、面談を通し的確な質問をして頂いたことで、より具体的に深掘りすることができました。だんだんと言語化出来るようになったことで自信がつき、内定に繋がったと感じています。

この就活を通して、これからのキャリアを考えていく上で重要になる人生の軸も明確になりました。

本当にありがとうございました！",㈱UZUZ,"
〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階","
03-5333-0802",http://uzuz.jp/,"4.5
(463)",Unknown,〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階,35.6336389,139.6690353
Ellie,5,1 週間前,"堂下さんに担当して頂き、大変お世話になりました。4年通った大学を中退しての転職活動で、どの業界に進むかも定まっていない状況でしたが、無事志望していた企業様から内定を頂くことができました。

自分はこだわりが強いものの、上手く言葉に表せず曖昧なビジョンを持っていましたが、面談を通し的確な質問をして頂いたことで、より具体的に深掘りすることができました。だんだんと言語化出来るようになったことで自信がつき、内定に繋がったと感じています。

この就活を通して、これからのキャリアを考えていく上で重要になる人生の軸も明確になりました。

本当にありがとうございました！",㈱UZUZ,"
〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階","
03-5333-0802",http://uzuz.jp/,"4.5
(463)",Unknown,〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階,35.6336389,139.6690353
Y Yagai.,5,3 週間前,"前田さんにご担当いただき、初回の面談から親身になってお話を聞いてくださいました。私自身、転職に対して不安もありましたが、的確なアドバイスと温かいサポートのおかげで、前向きに活動を進めることができました。

また、お忙しい中でも常に迅速かつ丁寧にご対応いただき、面接前には毎回励ましの言葉をくださるなど、精神的な支えにもなりました。疑問点や不安があればすぐに相談できる環境があり、一人で進めるよりもはるかに安心感を持って転職活動に臨めたと思います。

前田さんのおかげで、自分に合った企業様と出会うことができ、本当に感謝しております。転職を考えている方には、ぜひおすすめしたいエージェントさんです。

改めて、心より感謝申し上げます。本当にありがとうございました！",㈱UZUZ,"
〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階","
03-5333-0802",http://uzuz.jp/,"4.5
(463)",Unknown,〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階,35.6336389,139.6690353
Y Yagai.,5,3 週間前,"前田さんにご担当いただき、初回の面談から親身になってお話を聞いてくださいました。私自身、転職に対して不安もありましたが、的確なアドバイスと温かいサポートのおかげで、前向きに活動を進めることができました。

また、お忙しい中でも常に迅速かつ丁寧にご対応いただき、面接前には毎回励ましの言葉をくださるなど、精神的な支えにもなりました。疑問点や不安があればすぐに相談できる環境があり、一人で進めるよりもはるかに安心感を持って転職活動に臨めたと思います。

前田さんのおかげで、自分に合った企業様と出会うことができ、本当に感謝しております。転職を考えている方には、ぜひおすすめしたいエージェントさんです。

改めて、心より感謝申し上げます。本当にありがとうございました！",㈱UZUZ,"
〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階","
03-5333-0802",http://uzuz.jp/,"4.5
(463)",Unknown,〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階,35.6336389,139.6690353
M S,5,2 か月前,"宇佐美様にメインで担当していただき、数回高橋様にもご対応していただきました。

未経験の業界への就職活動だったため不安もありましたが宇佐美さんのポジティブなお声がけのおかげで前向きに就職活動に取り組むことができました。
初めての面接で上手くいかず悔しい思いをした際には「一緒に頑張りましょう！」と寄り添った言葉をかけていただき大変励みになりました。
その後の面接練習で的確なアドバイスを下さり自分の弱みを対策できたことで無事内定をいただくことができました。

高橋さんには学習の相談をしておりましたがフランクに話して下さり取り組み方などのアドバイスをいただけて学習へのモチベーションが維持できました。

自分一人では面接対策や学習を上手く進められず心が折れていたと思います。宇佐美さんや高橋さんの親身なサポートがとても支えになっておりお二人にサポートしていただけて良かったと心から思います。本当にありがとうございました。",㈱UZUZ,"
〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階","
03-5333-0802",http://uzuz.jp/,"4.5
(463)",Unknown,〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階,35.6336389,139.6690353
M S,5,2 か月前,"宇佐美様にメインで担当していただき、数回高橋様にもご対応していただきました。

未経験の業界への就職活動だったため不安もありましたが宇佐美さんのポジティブなお声がけのおかげで前向きに就職活動に取り組むことができました。
初めての面接で上手くいかず悔しい思いをした際には「一緒に頑張りましょう！」と寄り添った言葉をかけていただき大変励みになりました。
その後の面接練習で的確なアドバイスを下さり自分の弱みを対策できたことで無事内定をいただくことができました。

高橋さんには学習の相談をしておりましたがフランクに話して下さり取り組み方などのアドバイスをいただけて学習へのモチベーションが維持できました。

自分一人では面接対策や学習を上手く進められず心が折れていたと思います。宇佐美さんや高橋さんの親身なサポートがとても支えになっておりお二人にサポートしていただけて良かったと心から思います。本当にありがとうございました。",㈱UZUZ,"
〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階","
03-5333-0802",http://uzuz.jp/,"4.5
(463)",Unknown,〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階,35.6336389,139.6690353
