Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Yoshi Yoshi,5,2 週間前,"広大な🏞十和田湖を🛳️遊覧船で巡り、その景色に心打たれました💕

更に湖面に映る周囲の⛰️山々も美しく、自然の雄大さを肌で感じることができ、大変感動的な体験をさせてもらいました😍 …",十和田湖,Unknown,Unknown,Unknown,"4.4
(922)",Unknown,湖,40.4586652,140.8863498
Yoshi Yoshi,5,2 週間前,"広大な🏞十和田湖を🛳️遊覧船で巡り、その景色に心打たれました💕

更に湖面に映る周囲の⛰️山々も美しく、自然の雄大さを肌で感じることができ、大変感動的な体験をさせてもらいました😍 …",十和田湖,Unknown,Unknown,Unknown,"4.4
(922)",Unknown,湖,40.4586652,140.8863498
Nakamaru Coffee,5,1 か月前,"道の駅 十和田湖周辺で見れる
とにかく広い 広大です

時期にもよるのですが冬は雪崩注意です実際に雪の塊が落ちていて道を塞いでましたしガタガタ道で運転がキツいんですがそれだけの価値がある景色でしたね😀",十和田湖,Unknown,Unknown,Unknown,"4.4
(922)",Unknown,湖,40.4586652,140.8863498
Nakamaru Coffee,5,1 か月前,"道の駅 十和田湖周辺で見れる
とにかく広い 広大です

時期にもよるのですが冬は雪崩注意です実際に雪の塊が落ちていて道を塞いでましたしガタガタ道で運転がキツいんですがそれだけの価値がある景色でしたね😀",十和田湖,Unknown,Unknown,Unknown,"4.4
(922)",Unknown,湖,40.4586652,140.8863498
結YUI,5,3 か月前,"素敵な湖！
夏にも行きましたが、冬の景色も格別にキレイでした！
ほぼ一周回りましたが、途中に何度も降りたくなりました。
自然は美しい🥰 …",十和田湖,Unknown,Unknown,Unknown,"4.4
(922)",Unknown,湖,40.4586652,140.8863498
結YUI,5,3 か月前,"素敵な湖！
夏にも行きましたが、冬の景色も格別にキレイでした！
ほぼ一周回りましたが、途中に何度も降りたくなりました。
自然は美しい🥰 …",十和田湖,Unknown,Unknown,Unknown,"4.4
(922)",Unknown,湖,40.4586652,140.8863498
たこやきはっちゃん,3,1 週間前,"総評:4月15日(雨)なら見所無し
雨と霧の中に行ってサッサと帰りました。
駐車場料金は500円。
北海道の支笏湖と同じ値段ですが、管理状態はやや劣ります。
大きな廃墟が物悲しく、行政の手で改善して欲しい印象でした。",十和田湖,Unknown,Unknown,Unknown,"4.4
(922)",Unknown,湖,40.4586652,140.8863498
たこやきはっちゃん,3,1 週間前,"総評:4月15日(雨)なら見所無し
雨と霧の中に行ってサッサと帰りました。
駐車場料金は500円。
北海道の支笏湖と同じ値段ですが、管理状態はやや劣ります。
大きな廃墟が物悲しく、行政の手で改善して欲しい印象でした。",十和田湖,Unknown,Unknown,Unknown,"4.4
(922)",Unknown,湖,40.4586652,140.8863498
ミュニコ,3,5 か月前,交通規制の時間が気になり、ゆっくり堪能できなかった。薄曇りの天気だと、湖の美しさや景色が半減してしまう気がする。外国の方がたくさんいて賑わっていました。,十和田湖,Unknown,Unknown,Unknown,"4.4
(922)",Unknown,湖,40.4586652,140.8863498
ミュニコ,3,5 か月前,交通規制の時間が気になり、ゆっくり堪能できなかった。薄曇りの天気だと、湖の美しさや景色が半減してしまう気がする。外国の方がたくさんいて賑わっていました。,十和田湖,Unknown,Unknown,Unknown,"4.4
(922)",Unknown,湖,40.4586652,140.8863498
Akira SATO,4,3 か月前,"飛行機の窓から見えた十和田湖と岩木山の光景です。この組み合わせを空から眺める機会はなかなか貴重で、思わず見入ってしまいました。

手前に広がる十和田湖は冬の静けさをまとい、周囲の雪景色と相まって美しいコントラストを生み出しています。そしてその先にそびえる岩木山が、青空に映える雄大な姿で存在感を放っています。",十和田湖,Unknown,Unknown,Unknown,"4.4
(922)",Unknown,湖,40.4586652,140.8863498
Akira SATO,4,3 か月前,"飛行機の窓から見えた十和田湖と岩木山の光景です。この組み合わせを空から眺める機会はなかなか貴重で、思わず見入ってしまいました。

手前に広がる十和田湖は冬の静けさをまとい、周囲の雪景色と相まって美しいコントラストを生み出しています。そしてその先にそびえる岩木山が、青空に映える雄大な姿で存在感を放っています。",十和田湖,Unknown,Unknown,Unknown,"4.4
(922)",Unknown,湖,40.4586652,140.8863498
TOMOMI O-,4,6 か月前,"湖は水が透き通っていて、景色も綺麗でした。
どんぐりがたくさん落ちていて、歩いているとパチパチと落ちる音が聞こえました。

道路が湖を囲むように通っているので車窓からの景色とても良かったです。

道の駅も開店し、そこからの景色も良さそうでした。",十和田湖,Unknown,Unknown,Unknown,"4.4
(922)",Unknown,湖,40.4586652,140.8863498
TOMOMI O-,4,6 か月前,"湖は水が透き通っていて、景色も綺麗でした。
どんぐりがたくさん落ちていて、歩いているとパチパチと落ちる音が聞こえました。

道路が湖を囲むように通っているので車窓からの景色とても良かったです。

道の駅も開店し、そこからの景色も良さそうでした。",十和田湖,Unknown,Unknown,Unknown,"4.4
(922)",Unknown,湖,40.4586652,140.8863498
田村徹,5,1 か月前,"十和田湖の魅力は、雄大な自然景観、湖上遊覧、歴史と伝説、四季折々の美しさなどです。
（雄大な自然景観）
⦿日本で唯一の二重カルデラ湖で原生林で囲まれています。
⦿湖の周囲の山々や空が映し込まれ、ブルーの湖面が美しく輝いています。
⦿湖面には、ブナなどの自然林が広がっています。
（湖上遊覧）
⦿湖水の蒼さや絶壁千丈幕など豪快にして繊細な十和田湖の魅力を四季折々約５０分楽しめます。
⦿カヌーでなければ、味わえない魅力、それは森と湖水との距離感です。
（歴史と伝説）
⦿十和田湖神社は龍神信仰のあるパワースポットで修験僧が龍と戦って勝利し、龍へと姿を変えて『青龍大権現』として、祀られた伝説があります。
⦿十和田湖に伝わる十和田伝説は、南祖坊と八郎太郎の戦いで、青森・秋田にまたがる十和田湖、八郎潟・田沢湖を舞台とするストーリーです。
（四季折々の美しさ）
⦿冬は白一色で氷結しない青が印象的です。
⦿新緑は芽吹いた緑が輝きを増します。
⦿秋は周囲の山々が紅葉に染まります。",十和田湖,Unknown,Unknown,Unknown,"4.4
(922)",Unknown,湖,40.4586652,140.8863498
田村徹,5,1 か月前,"十和田湖の魅力は、雄大な自然景観、湖上遊覧、歴史と伝説、四季折々の美しさなどです。
（雄大な自然景観）
⦿日本で唯一の二重カルデラ湖で原生林で囲まれています。
⦿湖の周囲の山々や空が映し込まれ、ブルーの湖面が美しく輝いています。
⦿湖面には、ブナなどの自然林が広がっています。
（湖上遊覧）
⦿湖水の蒼さや絶壁千丈幕など豪快にして繊細な十和田湖の魅力を四季折々約５０分楽しめます。
⦿カヌーでなければ、味わえない魅力、それは森と湖水との距離感です。
（歴史と伝説）
⦿十和田湖神社は龍神信仰のあるパワースポットで修験僧が龍と戦って勝利し、龍へと姿を変えて『青龍大権現』として、祀られた伝説があります。
⦿十和田湖に伝わる十和田伝説は、南祖坊と八郎太郎の戦いで、青森・秋田にまたがる十和田湖、八郎潟・田沢湖を舞台とするストーリーです。
（四季折々の美しさ）
⦿冬は白一色で氷結しない青が印象的です。
⦿新緑は芽吹いた緑が輝きを増します。
⦿秋は周囲の山々が紅葉に染まります。",十和田湖,Unknown,Unknown,Unknown,"4.4
(922)",Unknown,湖,40.4586652,140.8863498
takeshi,4,9 か月前,"奥入瀬渓流の銚子大滝から歩いて20分で到着、本当は遊覧船に乗りたかったのですが、前日飲み過ぎて八戸駅午後発のバス移動になったので時間的に断念

とても綺麗な湖で奥入瀬渓流の源というのが神秘的な感じがします。

JRのバスは青森と八戸があるようですが本数は少ないので時間確認はとても重要です。乗り過ごすと戻る術のない秘境だと思います。

しかし旅先での深酒はよろしくないですね。今後は程々にしたいと思います。",十和田湖,Unknown,Unknown,Unknown,"4.4
(922)",Unknown,湖,40.4586652,140.8863498
takeshi,4,9 か月前,"奥入瀬渓流の銚子大滝から歩いて20分で到着、本当は遊覧船に乗りたかったのですが、前日飲み過ぎて八戸駅午後発のバス移動になったので時間的に断念

とても綺麗な湖で奥入瀬渓流の源というのが神秘的な感じがします。

JRのバスは青森と八戸があるようですが本数は少ないので時間確認はとても重要です。乗り過ごすと戻る術のない秘境だと思います。

しかし旅先での深酒はよろしくないですね。今後は程々にしたいと思います。",十和田湖,Unknown,Unknown,Unknown,"4.4
(922)",Unknown,湖,40.4586652,140.8863498
Hiroyuki,3,11 か月前,"[十和田湖]

日本の湖沼として第3位の深さをもつ湖

十和田八幡平国立公園, 特別名勝,天然記念物

最大水深は326.8 mで、面積では日本の湖沼としては12番目。
東岸には奥入瀬川が存在し、北東に約14 kmにわたり奥入瀬渓流が延びている。
西湖一帯は全国唯一の湖を登録したみなとオアシスで観光拠点ともなっており、冬季を除き遊覧船が就航している。
内水ながら国の地方港湾に指定されている港が2つ存在している。
国会議事堂の中央広間の四隅を彩る日本の春夏秋冬を描いた油絵のうち、夏の題材とされている。
十和田湖を擁する山地はその北に位置する八甲田山と同じくカルデラを有する火山群である。約20万年前から約15万年前の十和田火山の噴火活動で中央部が陥没した地形となり、3万5000年〜1万5000年頃の巨大噴火で水が流入してカルデラ湖が形成された。
江戸時代より郡の境界が不明確で、明治維新後も十和田湖面上の青森県と秋田県との境界は長らく決まっていなかった。
2008年8月29日に青森市で開かれた北海道・北東北知事サミットにおいて、青森・秋田両県と沿岸の関係市町が、湖面の境界線を青森県6：秋田県4という割合で県境を画定することで最終合意した。
湖畔には1953年に建てられた高村光太郎作のブロンズ像「乙女の像」があり、台座には国立公園化の実現に寄与した大町桂月、武田千代三郎、小笠原新一の功績が刻まれている。

天気によってさまざまな姿を見せてくれる。
奥入瀬渓流と共に訪れてほしい。

おすすめ度:★★★☆☆

2013.10.12,2021.03.09",十和田湖,Unknown,Unknown,Unknown,"4.4
(922)",Unknown,湖,40.4586652,140.8863498
