Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
板垣政行,5,1 か月前,"昨日佐野ぬいさんの追悼で作品を見に行きました！
地元の方で親しみもあって素晴らしい作品がいっぱいですよ☺️
まだまだ見れますのでゆっくり見て欲しいですね♪",弘前市立博物館,"
〒036-8356 青森県弘前市下白銀町１−６ 弘前公園内","
0172-35-0700",https://www.city.hirosaki.aomori.jp/hakubutsukan/,"4.0
(223)",Unknown,〒036-8356 青森県弘前市下白銀町１−６ 弘前公園内,40.6053122,140.4532308
板垣政行,5,1 か月前,"昨日佐野ぬいさんの追悼で作品を見に行きました！
地元の方で親しみもあって素晴らしい作品がいっぱいですよ☺️
まだまだ見れますのでゆっくり見て欲しいですね♪",弘前市立博物館,"
〒036-8356 青森県弘前市下白銀町１−６ 弘前公園内","
0172-35-0700",https://www.city.hirosaki.aomori.jp/hakubutsukan/,"4.0
(223)",Unknown,〒036-8356 青森県弘前市下白銀町１−６ 弘前公園内,40.6053122,140.4532308
石アタマ英二,3,7 か月前,"清水の舞台から飛び降りたつもりで
入館料600円を払って入ったんですが
正直言って展示物があまり…

なんか遺跡と発掘品ばかりで他の博物館と比べると寂しく感じました。

幕末~近年の暮らしや歴史についてや
動植物についても展示して欲しかったです。

館内の受付の方は感じの良いご婦人でした。
「食事でも」と誘ったら肘テツ喰らいました。",弘前市立博物館,"
〒036-8356 青森県弘前市下白銀町１−６ 弘前公園内","
0172-35-0700",https://www.city.hirosaki.aomori.jp/hakubutsukan/,"4.0
(223)",Unknown,〒036-8356 青森県弘前市下白銀町１−６ 弘前公園内,40.6053122,140.4532308
石アタマ英二,3,7 か月前,"清水の舞台から飛び降りたつもりで
入館料600円を払って入ったんですが
正直言って展示物があまり…

なんか遺跡と発掘品ばかりで他の博物館と比べると寂しく感じました。

幕末~近年の暮らしや歴史についてや
動植物についても展示して欲しかったです。

館内の受付の方は感じの良いご婦人でした。
「食事でも」と誘ったら肘テツ喰らいました。",弘前市立博物館,"
〒036-8356 青森県弘前市下白銀町１−６ 弘前公園内","
0172-35-0700",https://www.city.hirosaki.aomori.jp/hakubutsukan/,"4.0
(223)",Unknown,〒036-8356 青森県弘前市下白銀町１−６ 弘前公園内,40.6053122,140.4532308
田口敦,3,5 か月前,"2024.11.20の訪問。
弘前市内博物館は弘前城の一角に建っています。外壁の赤褐色の打ち込みタイルが特徴で弘前の歴史や文化を展示しています。",弘前市立博物館,"
〒036-8356 青森県弘前市下白銀町１−６ 弘前公園内","
0172-35-0700",https://www.city.hirosaki.aomori.jp/hakubutsukan/,"4.0
(223)",Unknown,〒036-8356 青森県弘前市下白銀町１−６ 弘前公園内,40.6053122,140.4532308
田口敦,3,5 か月前,"2024.11.20の訪問。
弘前市内博物館は弘前城の一角に建っています。外壁の赤褐色の打ち込みタイルが特徴で弘前の歴史や文化を展示しています。",弘前市立博物館,"
〒036-8356 青森県弘前市下白銀町１−６ 弘前公園内","
0172-35-0700",https://www.city.hirosaki.aomori.jp/hakubutsukan/,"4.0
(223)",Unknown,〒036-8356 青森県弘前市下白銀町１−６ 弘前公園内,40.6053122,140.4532308
モカメタル,5,1 か月前,"建築家の前川國男の設計で知られる弘前市立博物館へ。
町田尚子絵本原画展『隙あらば猫』を観るために。
『建物』も良かったし、『絵本原画展』も良かったです。
今回の展示で、弘前市立博物館の為に博物館をモチーフにしたオリジナル作品が2点展示されていて、なかなか気がきいているなぁと感心しました。
遠くから足を運ぶ町田尚子ファンのかたにも喜ばれると思います。
ただ、せっかくの博物館をモチーフにした作品なのだから、作品を飾るだけでなく作品にまつわるエピソード、どうしてこの作品が描かれたのかなどの裏話的なモノが、ファンなら知りたいと思うのが人情かと。そこまで配慮があればもっと良かったのにと思いました。
博物館スタッフの応対は親切丁寧な感じを受けます。",弘前市立博物館,"
〒036-8356 青森県弘前市下白銀町１−６ 弘前公園内","
0172-35-0700",https://www.city.hirosaki.aomori.jp/hakubutsukan/,"4.0
(223)",Unknown,〒036-8356 青森県弘前市下白銀町１−６ 弘前公園内,40.6053122,140.4532308
モカメタル,5,1 か月前,"建築家の前川國男の設計で知られる弘前市立博物館へ。
町田尚子絵本原画展『隙あらば猫』を観るために。
『建物』も良かったし、『絵本原画展』も良かったです。
今回の展示で、弘前市立博物館の為に博物館をモチーフにしたオリジナル作品が2点展示されていて、なかなか気がきいているなぁと感心しました。
遠くから足を運ぶ町田尚子ファンのかたにも喜ばれると思います。
ただ、せっかくの博物館をモチーフにした作品なのだから、作品を飾るだけでなく作品にまつわるエピソード、どうしてこの作品が描かれたのかなどの裏話的なモノが、ファンなら知りたいと思うのが人情かと。そこまで配慮があればもっと良かったのにと思いました。
博物館スタッフの応対は親切丁寧な感じを受けます。",弘前市立博物館,"
〒036-8356 青森県弘前市下白銀町１−６ 弘前公園内","
0172-35-0700",https://www.city.hirosaki.aomori.jp/hakubutsukan/,"4.0
(223)",Unknown,〒036-8356 青森県弘前市下白銀町１−６ 弘前公園内,40.6053122,140.4532308
saba sime,5,4 か月前,"駐車場が広い。
入館料が安いので足を運びやすい。
定期的に展示が変わっているので何度も楽しめます。",弘前市立博物館,"
〒036-8356 青森県弘前市下白銀町１−６ 弘前公園内","
0172-35-0700",https://www.city.hirosaki.aomori.jp/hakubutsukan/,"4.0
(223)",Unknown,〒036-8356 青森県弘前市下白銀町１−６ 弘前公園内,40.6053122,140.4532308
saba sime,5,4 か月前,"駐車場が広い。
入館料が安いので足を運びやすい。
定期的に展示が変わっているので何度も楽しめます。",弘前市立博物館,"
〒036-8356 青森県弘前市下白銀町１−６ 弘前公園内","
0172-35-0700",https://www.city.hirosaki.aomori.jp/hakubutsukan/,"4.0
(223)",Unknown,〒036-8356 青森県弘前市下白銀町１−６ 弘前公園内,40.6053122,140.4532308
