Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Daisuke Nishimura,5,3 年前,"落合の駅から徒歩10分ほど。
中規模の公園。
小高い山の上に複合遊具があり、長めのローラー滑り台があります。
また、その後ろには簡単なアスレチックもあり、3-6歳は楽しめると思います。
すぐ横を同じ高さで西武線が走っており、電車好きなこどもは喜ぶと思います。
うちの子は大興奮でした。",新宿区立落合公園,"
〒161-0035 東京都新宿区中井１丁目１４","
03-3209-1111",http://www.city.shinjuku.lg.jp/shisetsu/map6-27.html,"4.1
(615)",Unknown,〒161-0035 東京都新宿区中井１丁目１４,35.4938164,138.341526
Daisuke Nishimura,5,3 年前,"落合の駅から徒歩10分ほど。
中規模の公園。
小高い山の上に複合遊具があり、長めのローラー滑り台があります。
また、その後ろには簡単なアスレチックもあり、3-6歳は楽しめると思います。
すぐ横を同じ高さで西武線が走っており、電車好きなこどもは喜ぶと思います。
うちの子は大興奮でした。",新宿区立落合公園,"
〒161-0035 東京都新宿区中井１丁目１４","
03-3209-1111",http://www.city.shinjuku.lg.jp/shisetsu/map6-27.html,"4.1
(615)",Unknown,〒161-0035 東京都新宿区中井１丁目１４,35.4938164,138.341526
ゆたか,5,2 年前,"都内では大き目の公園。眺めのすべり台があります。
保育園幼稚園のお子さんから小学生もたくさんまで、おおくの子供の遊び場になってます。
クライミングウォールやターザンロープも２列あるのは魅力的
落合駅から徒歩１０分ほど。トイレ＆水飲み場あり。",新宿区立落合公園,"
〒161-0035 東京都新宿区中井１丁目１４","
03-3209-1111",http://www.city.shinjuku.lg.jp/shisetsu/map6-27.html,"4.1
(615)",Unknown,〒161-0035 東京都新宿区中井１丁目１４,35.4938164,138.341526
ゆたか,5,2 年前,"都内では大き目の公園。眺めのすべり台があります。
保育園幼稚園のお子さんから小学生もたくさんまで、おおくの子供の遊び場になってます。
クライミングウォールやターザンロープも２列あるのは魅力的
落合駅から徒歩１０分ほど。トイレ＆水飲み場あり。",新宿区立落合公園,"
〒161-0035 東京都新宿区中井１丁目１４","
03-3209-1111",http://www.city.shinjuku.lg.jp/shisetsu/map6-27.html,"4.1
(615)",Unknown,〒161-0035 東京都新宿区中井１丁目１４,35.4938164,138.341526
Gスミス,4,1 年前,"大型の複合遊具が他にはなく特徴的です。
長い滑り台、ターザンロープ２箇所、アスレチックなど非常に充実しています。
その他、ブランコ、砂場、鉄棒、スプリング遊具、回転遊具、一本橋、球技スペース、ドッグランなどもあります。
西武線が隣を遠っているので電車を見ながら遊べます。
休日は非常に混雑する公園です。",新宿区立落合公園,"
〒161-0035 東京都新宿区中井１丁目１４","
03-3209-1111",http://www.city.shinjuku.lg.jp/shisetsu/map6-27.html,"4.1
(615)",Unknown,〒161-0035 東京都新宿区中井１丁目１４,35.4938164,138.341526
Gスミス,4,1 年前,"大型の複合遊具が他にはなく特徴的です。
長い滑り台、ターザンロープ２箇所、アスレチックなど非常に充実しています。
その他、ブランコ、砂場、鉄棒、スプリング遊具、回転遊具、一本橋、球技スペース、ドッグランなどもあります。
西武線が隣を遠っているので電車を見ながら遊べます。
休日は非常に混雑する公園です。",新宿区立落合公園,"
〒161-0035 東京都新宿区中井１丁目１４","
03-3209-1111",http://www.city.shinjuku.lg.jp/shisetsu/map6-27.html,"4.1
(615)",Unknown,〒161-0035 東京都新宿区中井１丁目１４,35.4938164,138.341526
oks Hama,5,1 年前,公園沿いに電車が通っているため電車を見たい人にはちょうどいい、ドッグランもあるので犬も連れてこれる。遊具やバスケットコートなどもあったためとても楽しめる公園,新宿区立落合公園,"
〒161-0035 東京都新宿区中井１丁目１４","
03-3209-1111",http://www.city.shinjuku.lg.jp/shisetsu/map6-27.html,"4.1
(615)",Unknown,〒161-0035 東京都新宿区中井１丁目１４,35.4938164,138.341526
oks Hama,5,1 年前,公園沿いに電車が通っているため電車を見たい人にはちょうどいい、ドッグランもあるので犬も連れてこれる。遊具やバスケットコートなどもあったためとても楽しめる公園,新宿区立落合公園,"
〒161-0035 東京都新宿区中井１丁目１４","
03-3209-1111",http://www.city.shinjuku.lg.jp/shisetsu/map6-27.html,"4.1
(615)",Unknown,〒161-0035 東京都新宿区中井１丁目１４,35.4938164,138.341526
毎日逆立ち,5,10 か月前,"【あなどれない公園】
そこまで大きな公園というわけではないですが、バスケットコート、池、ドッグランもあり、複合型のアスレチック遊具の充実感がすごいです。ローラーすべり台やターザンロープも付いてます。(2つありましたが1つは使用中止になってました)
すぐ隣に西武新宿線が走ってます。",新宿区立落合公園,"
〒161-0035 東京都新宿区中井１丁目１４","
03-3209-1111",http://www.city.shinjuku.lg.jp/shisetsu/map6-27.html,"4.1
(615)",Unknown,〒161-0035 東京都新宿区中井１丁目１４,35.4938164,138.341526
毎日逆立ち,5,10 か月前,"【あなどれない公園】
そこまで大きな公園というわけではないですが、バスケットコート、池、ドッグランもあり、複合型のアスレチック遊具の充実感がすごいです。ローラーすべり台やターザンロープも付いてます。(2つありましたが1つは使用中止になってました)
すぐ隣に西武新宿線が走ってます。",新宿区立落合公園,"
〒161-0035 東京都新宿区中井１丁目１４","
03-3209-1111",http://www.city.shinjuku.lg.jp/shisetsu/map6-27.html,"4.1
(615)",Unknown,〒161-0035 東京都新宿区中井１丁目１４,35.4938164,138.341526
