Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
cafeすけ,3,1 か月前,愛知県名古屋市中村区名駅南にある橋。近代からの目抜き通り広小路通に架かる鉄骨造アーチ形状橋です。高欄、親柱、橋梁灯などに凝り、この通りにふさわしいつくりとなっています。昭和56年に改築されましたが、高欄などは架設当時のものを再現しています。中央部のアルコーブが全体のアクセントとなっています。,納屋橋,"
〒450-0003 愛知県名古屋市中村区名駅南",Unknown,https://www.city.nagoya.jp/kankobunkakoryu/page/0000038078.html,"4.2
(133)",お店やスポットの電話番号を追加する,〒450-0003 愛知県名古屋市中村区名駅南,35.1679186,136.8920374
cafeすけ,3,1 か月前,愛知県名古屋市中村区名駅南にある橋。近代からの目抜き通り広小路通に架かる鉄骨造アーチ形状橋です。高欄、親柱、橋梁灯などに凝り、この通りにふさわしいつくりとなっています。昭和56年に改築されましたが、高欄などは架設当時のものを再現しています。中央部のアルコーブが全体のアクセントとなっています。,納屋橋,"
〒450-0003 愛知県名古屋市中村区名駅南",Unknown,https://www.city.nagoya.jp/kankobunkakoryu/page/0000038078.html,"4.2
(133)",お店やスポットの電話番号を追加する,〒450-0003 愛知県名古屋市中村区名駅南,35.1679186,136.8920374
星のアンジェラ,4,1 か月前,"伏見から名古屋へ堀川にかかるモダンな橋。最近は川岸も整備されて景観もよくなりました。この上は川の水をより良くして、名古屋城までの水上バスの定期運行もして欲しい。
薄皮の酒蒸し饅頭「納屋橋饅頭」のお店が失われたことは残念。特徴あるタイ料理のビル地下一階にはギャラリーもあります。",納屋橋,"
〒450-0003 愛知県名古屋市中村区名駅南",Unknown,https://www.city.nagoya.jp/kankobunkakoryu/page/0000038078.html,"4.2
(133)",お店やスポットの電話番号を追加する,〒450-0003 愛知県名古屋市中村区名駅南,35.1679186,136.8920374
星のアンジェラ,4,1 か月前,"伏見から名古屋へ堀川にかかるモダンな橋。最近は川岸も整備されて景観もよくなりました。この上は川の水をより良くして、名古屋城までの水上バスの定期運行もして欲しい。
薄皮の酒蒸し饅頭「納屋橋饅頭」のお店が失われたことは残念。特徴あるタイ料理のビル地下一階にはギャラリーもあります。",納屋橋,"
〒450-0003 愛知県名古屋市中村区名駅南",Unknown,https://www.city.nagoya.jp/kankobunkakoryu/page/0000038078.html,"4.2
(133)",お店やスポットの電話番号を追加する,〒450-0003 愛知県名古屋市中村区名駅南,35.1679186,136.8920374
123 123,3,6 か月前,納屋橋で毎月第4金曜日に開催されるナイトマーケット「なやばし夜イチ」。飲食や物販等のお店が出ており、多くの人で賑わっていました。昼間とは違ってライトアップされた納屋橋は少しお洒落な雰囲気です。,納屋橋,"
〒450-0003 愛知県名古屋市中村区名駅南",Unknown,https://www.city.nagoya.jp/kankobunkakoryu/page/0000038078.html,"4.2
(133)",お店やスポットの電話番号を追加する,〒450-0003 愛知県名古屋市中村区名駅南,35.1679186,136.8920374
123 123,3,6 か月前,納屋橋で毎月第4金曜日に開催されるナイトマーケット「なやばし夜イチ」。飲食や物販等のお店が出ており、多くの人で賑わっていました。昼間とは違ってライトアップされた納屋橋は少しお洒落な雰囲気です。,納屋橋,"
〒450-0003 愛知県名古屋市中村区名駅南",Unknown,https://www.city.nagoya.jp/kankobunkakoryu/page/0000038078.html,"4.2
(133)",お店やスポットの電話番号を追加する,〒450-0003 愛知県名古屋市中村区名駅南,35.1679186,136.8920374
t. momonga,5,3 週間前,"ホテルへ向かう途中に偶然に通りかかり､見惚れてしまいました。
夕暮れから夜にかけて水面に映る灯りに照らされ､両岸の建物とのコントラストが美しい街並みでした。",納屋橋,"
〒450-0003 愛知県名古屋市中村区名駅南",Unknown,https://www.city.nagoya.jp/kankobunkakoryu/page/0000038078.html,"4.2
(133)",お店やスポットの電話番号を追加する,〒450-0003 愛知県名古屋市中村区名駅南,35.1679186,136.8920374
t. momonga,5,3 週間前,"ホテルへ向かう途中に偶然に通りかかり､見惚れてしまいました。
夕暮れから夜にかけて水面に映る灯りに照らされ､両岸の建物とのコントラストが美しい街並みでした。",納屋橋,"
〒450-0003 愛知県名古屋市中村区名駅南",Unknown,https://www.city.nagoya.jp/kankobunkakoryu/page/0000038078.html,"4.2
(133)",お店やスポットの電話番号を追加する,〒450-0003 愛知県名古屋市中村区名駅南,35.1679186,136.8920374
Kazuhiko Yahagi,4,4 週間前,"夜は雰囲気あるね。
ちょっと桜もあったり。
いーね。",納屋橋,"
〒450-0003 愛知県名古屋市中村区名駅南",Unknown,https://www.city.nagoya.jp/kankobunkakoryu/page/0000038078.html,"4.2
(133)",お店やスポットの電話番号を追加する,〒450-0003 愛知県名古屋市中村区名駅南,35.1679186,136.8920374
Kazuhiko Yahagi,4,4 週間前,"夜は雰囲気あるね。
ちょっと桜もあったり。
いーね。",納屋橋,"
〒450-0003 愛知県名古屋市中村区名駅南",Unknown,https://www.city.nagoya.jp/kankobunkakoryu/page/0000038078.html,"4.2
(133)",お店やスポットの電話番号を追加する,〒450-0003 愛知県名古屋市中村区名駅南,35.1679186,136.8920374
英子,5,1 年前,"川や橋にはロマンがある
街やその場所の情緒を感じます
都心はもっと変わっていくでしょうね
加藤商会さんの小さなギャラリー（堀川ギャラリー）のあたりも雰囲気ありました",納屋橋,"
〒450-0003 愛知県名古屋市中村区名駅南",Unknown,https://www.city.nagoya.jp/kankobunkakoryu/page/0000038078.html,"4.2
(133)",お店やスポットの電話番号を追加する,〒450-0003 愛知県名古屋市中村区名駅南,35.1679186,136.8920374
英子,5,1 年前,"川や橋にはロマンがある
街やその場所の情緒を感じます
都心はもっと変わっていくでしょうね
加藤商会さんの小さなギャラリー（堀川ギャラリー）のあたりも雰囲気ありました",納屋橋,"
〒450-0003 愛知県名古屋市中村区名駅南",Unknown,https://www.city.nagoya.jp/kankobunkakoryu/page/0000038078.html,"4.2
(133)",お店やスポットの電話番号を追加する,〒450-0003 愛知県名古屋市中村区名駅南,35.1679186,136.8920374
てつや,3,6 か月前,"むかしはポケモンたちが
たくさんいてひとがたくさん集まっちゃってパトカーが来てしまうこともあったな　今ではすっかりおしゃれエリアになっちゃって名古屋も変わったなあ",納屋橋,"
〒450-0003 愛知県名古屋市中村区名駅南",Unknown,https://www.city.nagoya.jp/kankobunkakoryu/page/0000038078.html,"4.2
(133)",お店やスポットの電話番号を追加する,〒450-0003 愛知県名古屋市中村区名駅南,35.1679186,136.8920374
てつや,3,6 か月前,"むかしはポケモンたちが
たくさんいてひとがたくさん集まっちゃってパトカーが来てしまうこともあったな　今ではすっかりおしゃれエリアになっちゃって名古屋も変わったなあ",納屋橋,"
〒450-0003 愛知県名古屋市中村区名駅南",Unknown,https://www.city.nagoya.jp/kankobunkakoryu/page/0000038078.html,"4.2
(133)",お店やスポットの電話番号を追加する,〒450-0003 愛知県名古屋市中村区名駅南,35.1679186,136.8920374
Aoty知江美,4,1 年前,名古屋駅からぶらりと歩いても行けるエリア。堀川沿い納屋橋エリアでは時々イベントも開催されます。先日は2023年5月27日まで開催中のフラワーフェスティバル2023をちらりと見にいってみました。普段は無いお花が川沿いにあしらってあるとちょっといい雰囲気。撮影角度や味方によりなんとなく海外みたいにも見えるかも…。リバーサイドにあるカフェ（リヴァージュモンシェール堀川納屋橋店）で一休みしました。窓辺から花が見えるし窓辺からの撮影のバックにも素敵な雰囲気になりました。,納屋橋,"
〒450-0003 愛知県名古屋市中村区名駅南",Unknown,https://www.city.nagoya.jp/kankobunkakoryu/page/0000038078.html,"4.2
(133)",お店やスポットの電話番号を追加する,〒450-0003 愛知県名古屋市中村区名駅南,35.1679186,136.8920374
Aoty知江美,4,1 年前,名古屋駅からぶらりと歩いても行けるエリア。堀川沿い納屋橋エリアでは時々イベントも開催されます。先日は2023年5月27日まで開催中のフラワーフェスティバル2023をちらりと見にいってみました。普段は無いお花が川沿いにあしらってあるとちょっといい雰囲気。撮影角度や味方によりなんとなく海外みたいにも見えるかも…。リバーサイドにあるカフェ（リヴァージュモンシェール堀川納屋橋店）で一休みしました。窓辺から花が見えるし窓辺からの撮影のバックにも素敵な雰囲気になりました。,納屋橋,"
〒450-0003 愛知県名古屋市中村区名駅南",Unknown,https://www.city.nagoya.jp/kankobunkakoryu/page/0000038078.html,"4.2
(133)",お店やスポットの電話番号を追加する,〒450-0003 愛知県名古屋市中村区名駅南,35.1679186,136.8920374
