Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
夜,5,6 か月前,9.27鉾立ルートから時計回りに登頂、10:40登山開始13時30頃登頂、七高山で14:20頃から1時間お昼休憩で夕陽に向かって歩く最高の時間が待ってました、スタート遅すぎたけどあのタイミングで良かった,鳥海山,"
〒999-8521 山形県飽海郡遊佐町吹浦",Unknown,Unknown,"4.6
(340)",Unknown,〒999-8521 山形県飽海郡遊佐町吹浦,39.0988586,140.0440705
夜,5,6 か月前,9.27鉾立ルートから時計回りに登頂、10:40登山開始13時30頃登頂、七高山で14:20頃から1時間お昼休憩で夕陽に向かって歩く最高の時間が待ってました、スタート遅すぎたけどあのタイミングで良かった,鳥海山,"
〒999-8521 山形県飽海郡遊佐町吹浦",Unknown,Unknown,"4.6
(340)",Unknown,〒999-8521 山形県飽海郡遊佐町吹浦,39.0988586,140.0440705
オカシラ太郎,4,6 か月前,"新潟から来ました。
10月は空いていて走りやすい
狙うなら平日ですね
初めて来ましたがなんて走りやすい場所
景色も最高だし空気も美味い
また行きたいですね",鳥海山,"
〒999-8521 山形県飽海郡遊佐町吹浦",Unknown,Unknown,"4.6
(340)",Unknown,〒999-8521 山形県飽海郡遊佐町吹浦,39.0988586,140.0440705
オカシラ太郎,4,6 か月前,"新潟から来ました。
10月は空いていて走りやすい
狙うなら平日ですね
初めて来ましたがなんて走りやすい場所
景色も最高だし空気も美味い
また行きたいですね",鳥海山,"
〒999-8521 山形県飽海郡遊佐町吹浦",Unknown,Unknown,"4.6
(340)",Unknown,〒999-8521 山形県飽海郡遊佐町吹浦,39.0988586,140.0440705
John Doe,5,7 か月前,昨年高速で北上中、日本海から見上げる鳥海山に圧倒され、どうしても登りたくて再訪。変化に富んだとても素晴らしい山です。鳥海湖は鳥海山がかつて活発な火山であったことを偲ばせます。,鳥海山,"
〒999-8521 山形県飽海郡遊佐町吹浦",Unknown,Unknown,"4.6
(340)",Unknown,〒999-8521 山形県飽海郡遊佐町吹浦,39.0988586,140.0440705
John Doe,5,7 か月前,昨年高速で北上中、日本海から見上げる鳥海山に圧倒され、どうしても登りたくて再訪。変化に富んだとても素晴らしい山です。鳥海湖は鳥海山がかつて活発な火山であったことを偲ばせます。,鳥海山,"
〒999-8521 山形県飽海郡遊佐町吹浦",Unknown,Unknown,"4.6
(340)",Unknown,〒999-8521 山形県飽海郡遊佐町吹浦,39.0988586,140.0440705
JIM K,5,6 か月前,"2024/10登頂。
山腹はガスってましたが、稜線に出ると晴れ上がりました。見事な雲海でしたが、周辺の眺望は無し。",鳥海山,"
〒999-8521 山形県飽海郡遊佐町吹浦",Unknown,Unknown,"4.6
(340)",Unknown,〒999-8521 山形県飽海郡遊佐町吹浦,39.0988586,140.0440705
JIM K,5,6 か月前,"2024/10登頂。
山腹はガスってましたが、稜線に出ると晴れ上がりました。見事な雲海でしたが、周辺の眺望は無し。",鳥海山,"
〒999-8521 山形県飽海郡遊佐町吹浦",Unknown,Unknown,"4.6
(340)",Unknown,〒999-8521 山形県飽海郡遊佐町吹浦,39.0988586,140.0440705
Hideyuki Asou,5,7 か月前,"大自然の景色を眺めながら歩いたり活火山がなすダイナミックな岩場を両手足を使って登ったり、雪渓に季節を感じたりと、山登りの醍醐味が沢山詰まったとても魅力的な山です。

日本海のすぐそばだからでしょうか、雲が絶えず生まれては尾根を越えていく感じで、登ってみなければ良い景色に出会えるかどうかわかりません。また、８月下旬に登った時でもまだ谷間に雪が残っている、雪渓が見られました。

途中からは外輪山の尾根に沿って登っていきましたが、外側はベルベット生地かのような見た目のなだらかな緑の草原が広がっているのに対して内側はごつごつとした急斜面が続き、複雑な地形は絶景と呼ぶにふさわしい景色でした。

最高地点である新山（２２３６ｍ）は大きな岩が積み重なったような山で、油断すると相応の危険が生じそうでとても注意が必要です。それを乗り越えて頂上に立つと日本海や山形県と秋田県の山々を見渡す大パノラマが待っています。
新山だけでなく、すぐ隣にあって外輪山の最高地点である七高山からも素晴らしい景色が見られます。但しいったん下って登る瓦礫の坂道は足を取られやすいのでロープやチェーンを掴んで慎重に昇り降りしなければなりません。

山の南側、湯の台口には無料の駐車場があります。湯の台口からであれば日帰り登山で収まると思います。",鳥海山,"
〒999-8521 山形県飽海郡遊佐町吹浦",Unknown,Unknown,"4.6
(340)",Unknown,〒999-8521 山形県飽海郡遊佐町吹浦,39.0988586,140.0440705
Hideyuki Asou,5,7 か月前,"大自然の景色を眺めながら歩いたり活火山がなすダイナミックな岩場を両手足を使って登ったり、雪渓に季節を感じたりと、山登りの醍醐味が沢山詰まったとても魅力的な山です。

日本海のすぐそばだからでしょうか、雲が絶えず生まれては尾根を越えていく感じで、登ってみなければ良い景色に出会えるかどうかわかりません。また、８月下旬に登った時でもまだ谷間に雪が残っている、雪渓が見られました。

途中からは外輪山の尾根に沿って登っていきましたが、外側はベルベット生地かのような見た目のなだらかな緑の草原が広がっているのに対して内側はごつごつとした急斜面が続き、複雑な地形は絶景と呼ぶにふさわしい景色でした。

最高地点である新山（２２３６ｍ）は大きな岩が積み重なったような山で、油断すると相応の危険が生じそうでとても注意が必要です。それを乗り越えて頂上に立つと日本海や山形県と秋田県の山々を見渡す大パノラマが待っています。
新山だけでなく、すぐ隣にあって外輪山の最高地点である七高山からも素晴らしい景色が見られます。但しいったん下って登る瓦礫の坂道は足を取られやすいのでロープやチェーンを掴んで慎重に昇り降りしなければなりません。

山の南側、湯の台口には無料の駐車場があります。湯の台口からであれば日帰り登山で収まると思います。",鳥海山,"
〒999-8521 山形県飽海郡遊佐町吹浦",Unknown,Unknown,"4.6
(340)",Unknown,〒999-8521 山形県飽海郡遊佐町吹浦,39.0988586,140.0440705
